Date, Open, High, Low, Close, Volume
17-May-13,46.03,47.34,45.85,47.17,5245633
16-May-13,46.06,46.90,46.01,46.21,4605696
15-May-13,45.72,46.93,45.48,46.03,6702565
14-May-13,44.09,45.52,44.09,45.35,5761112
13-May-13,44.79,44.79,44.17,44.54,3738818
10-May-13,44.21,45.01,44.20,45.01,4455864
9-May-13,43.34,44.45,43.25,44.24,5047066
8-May-13,45.01,45.05,43.39,43.49,6973380
7-May-13,44.50,45.00,44.42,44.91,3745563
6-May-13,44.95,44.95,44.15,44.59,4085682
3-May-13,44.31,44.77,43.83,44.68,4643020
2-May-13,45.68,45.68,43.86,43.99,9651487
1-May-13,45.74,46.09,45.55,45.55,6399553
30-Apr-13,45.05,46.23,45.01,46.05,6799572
29-Apr-13,45.83,45.93,45.05,45.23,6025501
26-Apr-13,44.95,46.31,44.75,45.84,10100905
25-Apr-13,44.75,44.79,43.76,44.24,5237276
24-Apr-13,45.14,45.34,43.94,44.32,5541884
23-Apr-13,44.61,46.32,44.40,45.14,9380305
22-Apr-13,43.00,44.83,42.88,44.20,8531644
19-Apr-13,42.51,42.58,42.20,42.39,6493328
18-Apr-13,42.37,42.64,41.89,42.32,5008971
17-Apr-13,42.14,42.43,41.42,42.24,5046271
16-Apr-13,41.67,42.53,41.13,42.45,6999109
15-Apr-13,42.87,43.03,41.41,41.44,7153137
12-Apr-13,42.97,43.29,42.62,43.09,4202267
11-Apr-13,43.42,43.70,43.11,43.20,6494382
10-Apr-13,42.65,43.77,42.50,43.62,7815594
9-Apr-13,41.96,43.56,41.80,42.55,8674668
8-Apr-13,41.47,41.87,41.07,41.77,16449213
5-Apr-13,41.31,41.50,41.09,41.31,14091702
4-Apr-13,40.77,41.78,40.62,41.60,20688370
3-Apr-13,40.75,41.45,40.35,40.57,4122422
2-Apr-13,41.22,41.22,40.52,40.71,5510629
1-Apr-13,39.96,41.14,39.96,41.12,5739918
28-Mar-13,40.26,40.80,39.78,40.78,7264747
27-Mar-13,40.22,40.29,39.66,40.15,4275285
26-Mar-13,39.57,40.52,39.57,40.21,7249496
25-Mar-13,39.12,39.52,38.93,39.32,6064941
22-Mar-13,38.57,38.97,38.30,38.97,3323330
21-Mar-13,38.82,38.97,38.48,38.49,4738157
20-Mar-13,38.50,39.19,38.41,39.06,7073266
19-Mar-13,38.25,38.40,37.84,38.36,5108398
18-Mar-13,38.05,38.49,37.99,38.16,5179092
15-Mar-13,37.44,38.54,37.28,38.50,12208850
14-Mar-13,37.43,37.59,36.86,37.56,9864532
13-Mar-13,37.20,37.59,37.04,37.17,3710541
12-Mar-13,37.70,38.30,37.05,37.17,6524031
11-Mar-13,37.25,38.15,37.08,37.67,4614351
8-Mar-13,37.64,37.65,37.16,37.34,4114897
7-Mar-13,37.65,38.01,37.44,37.49,4442420
6-Mar-13,37.56,37.86,37.37,37.74,5489700
5-Mar-13,38.45,38.57,37.29,37.51,6650310
4-Mar-13,37.53,38.25,37.53,38.24,5420719
1-Mar-13,36.80,38.07,36.55,37.81,8929379
28-Feb-13,36.66,37.14,36.50,36.92,10322499
27-Feb-13,36.97,36.98,36.40,36.73,12238463
26-Feb-13,37.60,37.60,36.96,37.09,4462936
25-Feb-13,38.54,38.61,37.37,37.37,4665671
22-Feb-13,38.79,38.85,38.14,38.46,4490835
21-Feb-13,38.49,39.02,38.19,38.78,7261136
20-Feb-13,38.16,39.13,37.61,38.61,8096330
19-Feb-13,37.54,38.33,37.11,38.19,8292612
15-Feb-13,36.93,37.81,36.93,37.58,13296886
14-Feb-13,35.05,36.73,35.01,36.57,7570052
13-Feb-13,35.42,35.57,35.15,35.27,4860053
12-Feb-13,35.77,35.90,35.20,35.42,7473991
11-Feb-13,36.13,36.18,35.75,35.85,6032057
8-Feb-13,36.37,36.42,35.82,36.25,13859010
7-Feb-13,37.57,37.57,35.80,36.42,9874217
6-Feb-13,36.96,37.28,36.86,37.14,5738899
5-Feb-13,37.42,37.73,37.18,37.20,7284674
4-Feb-13,36.64,37.30,36.55,37.28,6347915
1-Feb-13,36.84,37.20,36.52,37.18,9528042
31-Jan-13,36.84,36.93,36.27,36.69,10720870
30-Jan-13,36.81,37.52,36.81,36.93,10842451
29-Jan-13,36.71,37.46,36.25,37.31,8839042
28-Jan-13,37.65,37.87,36.71,36.89,7140026
25-Jan-13,37.52,37.84,36.64,37.60,8938685
