Date, Open, High, Low, Close, Volume
17-May-13,44.77,45.05,44.39,44.50,470721
16-May-13,44.60,45.04,44.53,44.72,486700
15-May-13,44.86,44.92,44.28,44.57,862293
14-May-13,44.98,45.39,44.72,44.86,823753
13-May-13,45.01,45.36,44.92,45.36,540104
10-May-13,44.46,45.00,44.26,45.00,499632
9-May-13,44.27,44.53,44.16,44.42,556629
8-May-13,44.36,44.59,44.26,44.35,708785
7-May-13,43.62,44.47,43.58,44.47,769801
6-May-13,43.62,44.08,43.62,43.69,520666
3-May-13,44.40,44.50,43.74,43.74,577093
2-May-13,44.19,44.68,44.03,44.09,818762
1-May-13,44.53,44.84,44.01,44.15,783714
30-Apr-13,44.14,44.85,43.97,44.64,1702982
29-Apr-13,43.15,43.91,43.15,43.74,1423182
26-Apr-13,42.76,43.16,42.49,43.12,1286596
25-Apr-13,43.23,43.23,42.47,42.75,1550411
24-Apr-13,43.69,44.07,43.21,43.30,1545266
23-Apr-13,43.74,43.90,43.17,43.83,1447697
22-Apr-13,44.03,44.03,43.43,43.65,731201
19-Apr-13,44.06,44.30,43.59,43.79,717675
18-Apr-13,44.68,44.68,43.71,43.90,872143
17-Apr-13,44.88,45.05,44.40,44.62,886188
16-Apr-13,44.65,45.25,44.41,45.22,861194
15-Apr-13,45.03,45.24,44.35,44.45,1442011
12-Apr-13,45.67,45.71,44.97,45.26,1581371
11-Apr-13,46.43,46.48,45.59,45.65,1224161
10-Apr-13,47.24,47.35,46.34,46.51,925807
9-Apr-13,47.60,47.60,46.84,47.19,753380
8-Apr-13,46.92,47.64,46.82,47.60,601875
5-Apr-13,45.94,47.02,45.78,46.95,781659
4-Apr-13,45.74,46.17,45.73,46.14,962177
3-Apr-13,46.34,46.51,45.68,45.70,855120
2-Apr-13,46.23,46.37,46.10,46.30,541780
1-Apr-13,45.30,46.11,45.17,46.11,599619
28-Mar-13,45.29,45.49,45.17,45.34,704942
27-Mar-13,44.65,45.29,44.62,45.22,754341
26-Mar-13,44.77,45.05,44.74,44.93,808212
25-Mar-13,44.58,44.92,44.56,44.80,689919
22-Mar-13,44.52,44.90,44.40,44.62,582378
21-Mar-13,44.36,45.16,44.33,44.55,862188
20-Mar-13,44.73,44.85,44.16,44.52,481493
19-Mar-13,44.57,44.73,44.19,44.54,476704
18-Mar-13,44.28,44.71,44.18,44.52,764009
15-Mar-13,44.48,44.71,44.31,44.50,1042151
14-Mar-13,44.20,44.61,44.10,44.50,666146
13-Mar-13,44.37,44.61,44.14,44.17,617265
12-Mar-13,44.47,44.49,44.23,44.29,611494
11-Mar-13,44.76,45.23,44.34,44.51,849026
8-Mar-13,45.39,45.43,44.69,44.82,1000255
7-Mar-13,45.69,45.95,45.12,45.22,560003
6-Mar-13,46.25,46.28,45.59,45.66,475965
5-Mar-13,46.03,46.25,45.76,46.06,602528
4-Mar-13,45.48,45.94,45.25,45.80,659480
1-Mar-13,45.10,45.53,44.84,45.33,893060
28-Feb-13,45.56,45.76,45.20,45.20,1263287
27-Feb-13,45.90,46.05,45.57,45.61,447356
26-Feb-13,45.83,46.16,45.53,45.85,480003
25-Feb-13,46.58,46.58,45.72,45.72,311822
22-Feb-13,46.39,46.58,46.28,46.48,311713
21-Feb-13,46.58,46.90,46.14,46.23,463558
20-Feb-13,46.39,46.99,46.36,46.55,1178952
19-Feb-13,45.95,46.42,45.95,46.32,809250
15-Feb-13,46.31,46.34,45.73,45.95,761240
14-Feb-13,46.90,47.03,46.24,46.32,583781
13-Feb-13,46.69,47.10,46.12,46.91,964070
12-Feb-13,46.63,46.97,46.49,46.94,588214
11-Feb-13,46.91,46.91,46.36,46.61,734026
8-Feb-13,46.60,47.10,46.58,46.84,459143
7-Feb-13,46.72,46.96,46.43,46.59,603639
6-Feb-13,46.31,46.89,46.15,46.66,674981
5-Feb-13,47.01,47.01,46.17,46.57,789632
4-Feb-13,46.62,47.14,46.62,46.86,509229
1-Feb-13,46.79,46.97,46.43,46.95,565913
31-Jan-13,47.18,47.18,46.49,46.57,821310
30-Jan-13,47.70,47.77,47.06,47.11,566310
29-Jan-13,47.63,47.96,47.37,47.76,770851
28-Jan-13,47.90,47.99,47.52,47.60,546245
25-Jan-13,47.56,47.77,47.33,47.72,471112
24-Jan-13,47.55,47.77,47.23,47.42,518948
23-Jan-13,47.44,47.67,47.33,47.38,562572
22-Jan-13,47.55,47.83,47.42,47.55,479648
18-Jan-13,47.79,47.97,47.43,47.56,420281
17-Jan-13,48.02,48.27,47.74,47.74,379218
16-Jan-13,48.07,48.49,47.69,47.86,572649
15-Jan-13,47.22,47.96,47.06,47.88,533561
14-Jan-13,47.16,47.31,47.01,47.25,346680
11-Jan-13,47.18,47.18,46.45,47.00,459696
10-Jan-13,47.37,47.47,46.86,46.94,398119
9-Jan-13,47.10,47.35,46.90,47.30,365835
8-Jan-13,47.06,47.37,46.84,46.92,381950
7-Jan-13,46.75,47.25,46.67,47.15,478769
4-Jan-13,46.70,46.90,46.54,46.87,441038
3-Jan-13,46.60,47.02,46.53,46.71,435042
2-Jan-13,46.73,46.86,46.30,46.65,589700
31-Dec-12,45.76,46.15,45.64,46.13,531219
28-Dec-12,45.87,46.15,45.68,45.86,381094
27-Dec-12,46.14,46.34,45.56,46.02,884318
26-Dec-12,46.41,46.43,45.87,46.09,542258
24-Dec-12,46.34,47.13,46.20,46.39,308029
21-Dec-12,46.23,46.64,45.88,46.49,1899118
20-Dec-12,45.55,46.38,45.46,46.37,878656
19-Dec-12,45.53,45.81,45.48,45.48,754601
18-Dec-12,45.39,45.83,45.32,45.50,652667
17-Dec-12,45.07,45.54,45.00,45.50,696389
14-Dec-12,45.03,45.24,44.54,45.04,437472
13-Dec-12,45.06,45.16,44.43,44.72,525880
12-Dec-12,44.95,45.26,44.73,45.12,499800
11-Dec-12,45.23,45.39,44.97,45.03,715866
10-Dec-12,45.04,45.29,44.82,45.14,418149
7-Dec-12,44.82,44.99,44.62,44.93,579727
6-Dec-12,43.84,44.71,43.84,44.62,876253
5-Dec-12,44.33,44.75,43.55,43.79,886405
4-Dec-12,43.87,44.53,43.84,44.23,656669
3-Dec-12,43.94,44.06,43.60,43.80,665528
30-Nov-12,43.73,44.10,43.69,43.80,3272794
29-Nov-12,43.89,44.27,43.46,43.66,2228700
28-Nov-12,44.26,44.26,43.59,43.80,1475372
27-Nov-12,44.17,44.47,43.70,44.16,1512887
26-Nov-12,44.41,45.00,44.00,44.40,690950
23-Nov-12,44.54,44.71,44.23,44.55,254246
21-Nov-12,44.67,44.85,44.20,44.35,392667
20-Nov-12,44.45,44.68,44.15,44.68,449490
19-Nov-12,44.32,44.56,43.93,44.48,677404
16-Nov-12,43.49,44.04,43.34,44.01,654029
15-Nov-12,43.74,43.91,42.96,43.27,992043
14-Nov-12,44.77,44.77,43.62,43.79,608991
13-Nov-12,44.44,44.96,43.93,44.64,478771
12-Nov-12,44.80,44.84,44.48,44.63,380400
9-Nov-12,44.82,45.11,44.41,44.76,613755
8-Nov-12,45.46,45.46,44.85,44.99,1003800
7-Nov-12,45.90,46.15,45.56,45.70,712472
6-Nov-12,46.45,46.55,45.93,46.08,1145993
5-Nov-12,46.74,46.74,46.18,46.35,812748
2-Nov-12,46.39,46.75,46.18,46.72,2154406
1-Nov-12,45.41,46.33,45.05,46.17,1861020
31-Oct-12,44.84,45.39,44.52,45.31,1480042
26-Oct-12,44.33,45.01,44.02,45.01,8648816
25-Oct-12,44.24,44.74,43.53,44.25,1633485
24-Oct-12,44.30,46.69,44.06,44.52,1071019
23-Oct-12,43.90,44.00,43.30,43.68,896792
22-Oct-12,44.17,44.17,43.75,44.05,920874
19-Oct-12,44.08,44.44,43.82,44.19,573149
18-Oct-12,43.51,44.15,43.42,44.09,558475
17-Oct-12,43.42,43.67,43.29,43.46,518197
16-Oct-12,43.50,43.67,43.34,43.57,689256
15-Oct-12,43.22,43.48,42.92,43.48,696700
12-Oct-12,42.88,43.38,42.82,43.22,772086
11-Oct-12,43.39,43.48,42.83,42.83,869436
10-Oct-12,42.52,42.81,42.44,42.81,485238
9-Oct-12,42.65,42.92,42.50,42.51,499387
8-Oct-12,42.70,42.82,42.56,42.73,619089
5-Oct-12,43.10,43.15,42.76,42.79,1021288
4-Oct-12,43.59,43.85,43.00,43.04,502747
3-Oct-12,43.44,43.95,43.31,43.46,564543
2-Oct-12,43.34,43.51,43.05,43.49,483346
1-Oct-12,43.90,43.92,42.70,43.29,1189461
28-Sep-12,43.52,43.99,43.40,43.88,849217
