Date, Open, High, Low, Close, Volume
17-May-13,16.81,16.98,16.59,16.98,127788
16-May-13,16.88,16.99,16.47,16.71,82433
15-May-13,16.88,17.15,16.68,16.93,87690
14-May-13,16.87,16.89,16.72,16.85,32727
13-May-13,16.67,16.88,16.67,16.87,34768
10-May-13,16.90,16.90,16.60,16.83,26775
9-May-13,16.90,16.98,16.77,16.86,56543
8-May-13,16.87,16.95,16.72,16.90,36551
7-May-13,16.75,17.01,16.67,16.83,55215
6-May-13,16.59,16.74,16.55,16.65,28494
3-May-13,16.65,16.75,16.55,16.61,26753
2-May-13,16.45,16.67,16.36,16.64,34168
1-May-13,16.74,16.80,16.40,16.40,60457
30-Apr-13,16.70,16.84,16.62,16.83,45167
29-Apr-13,16.69,16.85,16.60,16.79,27622
26-Apr-13,16.71,16.79,16.59,16.70,29006
25-Apr-13,16.90,16.92,16.62,16.70,43840
24-Apr-13,16.66,16.84,16.66,16.82,32449
23-Apr-13,16.51,16.73,16.41,16.66,26263
22-Apr-13,16.30,16.46,16.15,16.40,28382
19-Apr-13,16.25,16.33,16.12,16.33,59917
18-Apr-13,16.24,16.26,16.08,16.14,50496
17-Apr-13,16.11,16.27,16.08,16.15,38279
16-Apr-13,16.37,16.51,16.08,16.18,41371
15-Apr-13,16.59,16.60,16.20,16.21,52285
12-Apr-13,16.70,16.75,16.54,16.61,19502
11-Apr-13,16.68,16.75,16.58,16.73,31534
10-Apr-13,16.55,16.72,16.48,16.63,43439
9-Apr-13,16.50,16.62,16.33,16.49,26604
8-Apr-13,16.36,16.58,16.29,16.50,40729
5-Apr-13,16.54,16.54,16.25,16.32,117475
4-Apr-13,16.59,16.75,16.45,16.60,62590
3-Apr-13,17.00,17.00,16.76,16.87,57784
2-Apr-13,16.81,17.00,16.81,16.91,42434
1-Apr-13,16.95,17.05,16.70,16.86,59232
28-Mar-13,17.05,17.05,16.86,16.92,23269
27-Mar-13,16.84,17.07,16.82,16.95,17943
26-Mar-13,17.02,17.03,16.86,16.95,20973
25-Mar-13,16.92,17.05,16.81,16.90,43280
22-Mar-13,16.84,17.10,16.79,16.96,44847
21-Mar-13,16.77,16.99,16.75,16.85,26091
20-Mar-13,16.80,16.99,16.74,16.77,23952
19-Mar-13,16.86,16.86,16.66,16.70,31318
18-Mar-13,16.74,16.98,16.65,16.73,60888
15-Mar-13,17.20,17.27,16.74,16.74,156450
14-Mar-13,17.10,17.19,17.00,17.15,26667
13-Mar-13,17.26,17.30,17.05,17.13,87799
12-Mar-13,17.09,17.38,17.09,17.31,15757
11-Mar-13,16.96,17.24,16.95,17.11,19674
8-Mar-13,16.92,17.07,16.75,16.96,23228
7-Mar-13,16.97,17.04,16.69,16.86,41462
6-Mar-13,16.92,16.92,16.72,16.86,13367
5-Mar-13,17.14,17.14,16.72,16.84,27770
4-Mar-13,16.98,17.04,16.83,17.00,13336
1-Mar-13,17.00,17.09,16.89,17.06,14896
28-Feb-13,16.68,17.06,16.68,17.03,38928
27-Feb-13,16.77,16.89,16.60,16.62,70798
26-Feb-13,16.70,16.92,16.69,16.83,23624
25-Feb-13,17.01,17.06,16.69,16.69,53295
22-Feb-13,17.13,17.13,16.93,17.02,20942
21-Feb-13,16.91,17.07,16.88,16.94,21693
20-Feb-13,16.91,17.20,16.90,16.93,24783
19-Feb-13,17.17,17.19,16.89,17.00,40992
15-Feb-13,17.13,17.23,17.09,17.19,21114
14-Feb-13,16.94,17.08,16.87,17.02,36098
13-Feb-13,16.88,17.21,16.84,16.84,49493
12-Feb-13,17.00,17.21,16.85,16.97,36258
11-Feb-13,17.16,17.23,16.81,17.02,13244
8-Feb-13,17.00,17.21,16.80,17.09,35673
7-Feb-13,17.20,17.20,16.85,16.96,33983
6-Feb-13,17.20,17.24,17.00,17.06,26829
5-Feb-13,17.50,17.50,17.04,17.20,43787
4-Feb-13,17.50,17.51,17.33,17.47,18533
1-Feb-13,17.43,17.48,17.35,17.44,43542
31-Jan-13,17.29,17.44,17.06,17.30,41419
30-Jan-13,17.45,17.45,17.19,17.26,16574
29-Jan-13,16.98,17.46,16.98,17.43,22220
28-Jan-13,17.34,17.34,16.79,16.94,103773
25-Jan-13,17.17,17.31,17.14,17.26,19133
24-Jan-13,17.32,17.33,17.00,17.18,34464
23-Jan-13,17.50,17.50,17.31,17.34,11845
22-Jan-13,17.32,17.50,17.29,17.46,19670
18-Jan-13,17.64,17.64,17.32,17.32,53640
17-Jan-13,17.47,17.65,17.36,17.46,20254
16-Jan-13,17.16,17.49,16.90,17.45,23330
15-Jan-13,17.23,17.35,17.08,17.28,45395
14-Jan-13,17.28,17.29,17.09,17.24,58500
11-Jan-13,17.10,17.29,16.98,17.20,84485
10-Jan-13,17.03,17.10,16.95,17.08,58702
9-Jan-13,16.95,17.03,16.81,16.94,83999
