Date, Open, High, Low, Close, Volume
17-May-13,13.00,13.00,12.86,12.86,1400
16-May-13,13.01,13.01,12.80,12.99,2150
15-May-13,13.40,13.40,13.10,13.10,7453
14-May-13,13.08,13.25,13.08,13.18,800
13-May-13,13.00,13.03,13.00,13.03,320
10-May-13,12.93,13.08,12.80,12.98,850
9-May-13,12.80,12.89,12.76,12.80,7575
8-May-13,12.95,12.95,12.80,12.80,2900
7-May-13,13.00,13.00,12.81,12.81,1200
6-May-13,12.95,12.96,12.70,12.96,3700
3-May-13,13.20,13.24,12.90,12.92,5939
2-May-13,12.50,13.05,12.50,13.05,6300
1-May-13,12.66,12.71,12.65,12.65,1203
30-Apr-13,12.12,12.80,12.12,12.80,16357
29-Apr-13,12.44,12.44,11.95,12.14,23369
26-Apr-13,12.22,12.44,12.22,12.44,7012
25-Apr-13,12.11,12.41,12.11,12.33,5591
24-Apr-13,12.30,12.30,12.11,12.11,1500
23-Apr-13,12.40,12.44,12.29,12.30,3680
22-Apr-13,12.50,12.50,12.04,12.44,2227
19-Apr-13,12.20,12.44,12.20,12.44,4670
18-Apr-13,12.10,12.29,12.10,12.29,2600
17-Apr-13,12.19,12.19,11.99,11.99,1200
16-Apr-13,12.18,12.25,12.04,12.25,666
15-Apr-13,12.40,12.40,12.04,12.29,5921
12-Apr-13,12.44,12.44,12.44,12.44,1957
11-Apr-13,12.36,12.43,12.36,12.37,626
10-Apr-13,12.44,12.44,12.44,12.44,385
9-Apr-13,12.42,12.44,12.42,12.44,800
8-Apr-13,12.43,12.43,12.26,12.26,2300
5-Apr-13,12.28,12.44,12.20,12.44,2500
4-Apr-13,12.20,12.39,12.20,12.20,600
3-Apr-13,12.28,12.28,12.18,12.18,1800
2-Apr-13,12.17,12.25,12.17,12.18,10250
1-Apr-13,12.20,12.20,12.19,12.19,1200
28-Mar-13,12.17,12.22,12.17,12.19,5006
27-Mar-13,12.19,12.19,12.17,12.17,1440
26-Mar-13,12.20,12.20,12.20,12.20,100
25-Mar-13,12.19,12.20,12.15,12.19,700
22-Mar-13,12.17,12.20,12.13,12.16,2450
21-Mar-13,12.20,12.20,12.16,12.16,401
20-Mar-13,12.11,12.20,12.11,12.20,3900
19-Mar-13,12.17,12.17,12.17,12.17,200
18-Mar-13,12.25,12.25,12.15,12.16,3856
15-Mar-13,12.20,12.25,12.20,12.20,1042
14-Mar-13,12.20,12.25,12.20,12.25,3457
13-Mar-13,12.30,12.30,12.25,12.25,2715
12-Mar-13,12.28,12.28,12.28,12.28,100
11-Mar-13,12.29,12.29,12.29,12.29,100
8-Mar-13,12.25,12.30,12.25,12.30,1620
7-Mar-13,12.30,12.30,12.25,12.25,800
6-Mar-13,12.35,12.35,12.27,12.30,3541
5-Mar-13,12.30,12.44,12.15,12.43,16448
4-Mar-13,12.41,12.41,12.26,12.30,4133
1-Mar-13,12.61,12.61,12.41,12.42,6157
28-Feb-13,12.20,12.54,12.20,12.54,4400
27-Feb-13,12.10,12.15,12.10,12.15,1200
26-Feb-13,12.11,12.11,12.10,12.10,514
25-Feb-13,12.15,12.15,12.10,12.14,1600
22-Feb-13,12.10,12.15,12.10,12.15,700
21-Feb-13,-,-,-,12.11,0
20-Feb-13,12.10,12.15,12.10,12.11,2004
19-Feb-13,12.16,12.17,12.11,12.13,2700
15-Feb-13,12.12,12.20,12.12,12.20,490
14-Feb-13,12.20,12.20,12.10,12.10,2607
13-Feb-13,-,-,-,12.11,0
12-Feb-13,12.05,12.15,12.05,12.11,3789
11-Feb-13,-,-,-,12.10,0
8-Feb-13,11.94,12.10,11.94,12.10,3068
7-Feb-13,11.93,11.94,11.85,11.85,768
6-Feb-13,12.02,12.02,11.90,11.90,2100
5-Feb-13,12.06,12.06,12.06,12.06,250
4-Feb-13,12.18,12.18,11.92,12.02,8517
1-Feb-13,12.22,12.27,12.07,12.17,5135
31-Jan-13,12.16,12.20,12.16,12.20,426
30-Jan-13,12.08,12.12,12.08,12.12,1329
29-Jan-13,12.31,12.31,11.97,12.12,1352
28-Jan-13,12.00,12.07,12.00,12.04,700
25-Jan-13,12.06,12.11,12.02,12.11,509
24-Jan-13,12.06,12.11,12.01,12.09,400
23-Jan-13,11.95,12.10,11.95,12.10,3800
22-Jan-13,11.96,12.01,11.96,12.01,450
18-Jan-13,11.93,11.99,11.89,11.94,2024
17-Jan-13,11.89,11.89,11.87,11.87,956
16-Jan-13,8.75,8.75,8.75,8.75,0
15-Jan-13,8.75,8.75,8.75,8.75,0
14-Jan-13,11.90,11.95,11.85,11.90,2110
11-Jan-13,11.93,12.00,11.90,12.00,1148
10-Jan-13,11.70,11.90,11.70,11.85,2503
9-Jan-13,11.51,11.65,11.51,11.60,2539
8-Jan-13,11.56,11.56,11.50,11.55,564
7-Jan-13,8.75,8.75,8.75,8.75,0
4-Jan-13,11.55,11.55,11.55,11.55,100
3-Jan-13,11.40,11.50,11.37,11.50,1570
2-Jan-13,11.08,11.38,11.08,11.36,4370
31-Dec-12,10.97,11.05,10.97,11.04,4883
28-Dec-12,10.95,11.00,10.95,11.00,923
27-Dec-12,10.92,10.99,10.90,10.99,1783
26-Dec-12,10.85,10.90,10.80,10.90,1800
24-Dec-12,10.83,10.83,10.80,10.80,2100
21-Dec-12,10.75,10.83,10.75,10.83,3170
20-Dec-12,10.85,10.90,10.80,10.85,1203
19-Dec-12,10.85,10.85,10.84,10.85,700
18-Dec-12,10.80,10.80,10.80,10.80,1900
17-Dec-12,10.83,10.83,10.79,10.79,355
13-Dec-12,10.84,10.84,10.84,10.84,300
12-Dec-12,10.80,10.85,10.80,10.82,1481
11-Dec-12,10.74,10.74,10.62,10.69,5748
10-Dec-12,10.85,10.85,10.70,10.70,4700
7-Dec-12,10.96,10.96,10.96,10.96,100
6-Dec-12,10.90,10.90,10.90,10.90,500
5-Dec-12,10.85,11.00,10.85,11.00,4611
4-Dec-12,10.91,10.96,10.59,10.91,7450
3-Dec-12,10.97,11.00,10.97,11.00,2076
30-Nov-12,10.96,11.02,10.90,11.02,3077
29-Nov-12,11.00,11.08,11.00,11.04,2528
28-Nov-12,11.07,11.09,11.07,11.09,628
27-Nov-12,11.14,11.15,10.74,11.00,17403
