Date, Open, High, Low, Close, Volume
17-May-13,1.79,1.81,1.74,1.76,43539
16-May-13,1.74,1.81,1.72,1.78,32098
15-May-13,1.71,1.75,1.71,1.74,26447
14-May-13,1.71,1.74,1.69,1.73,28715
13-May-13,1.70,1.74,1.68,1.69,89345
10-May-13,1.76,1.76,1.70,1.72,16549
9-May-13,1.72,1.75,1.68,1.75,24702
8-May-13,1.71,1.73,1.67,1.73,21625
7-May-13,1.69,1.69,1.64,1.69,23050
6-May-13,1.67,1.70,1.65,1.70,10015
3-May-13,1.67,1.73,1.65,1.69,62671
2-May-13,1.65,1.70,1.61,1.65,59679
1-May-13,1.84,1.84,1.63,1.64,72266
30-Apr-13,1.71,1.84,1.70,1.84,33235
29-Apr-13,1.71,1.71,1.67,1.71,42435
26-Apr-13,1.71,1.74,1.71,1.72,21089
25-Apr-13,1.66,1.71,1.64,1.71,15776
24-Apr-13,1.64,1.66,1.63,1.66,9201
23-Apr-13,1.60,1.63,1.58,1.63,27279
22-Apr-13,1.60,1.60,1.54,1.59,19082
19-Apr-13,1.62,1.64,1.60,1.62,53280
18-Apr-13,1.70,1.70,1.63,1.63,13560
17-Apr-13,1.86,1.86,1.69,1.69,46858
16-Apr-13,1.90,1.92,1.85,1.87,24150
15-Apr-13,2.00,2.00,1.87,1.87,50408
12-Apr-13,2.00,2.01,2.00,2.00,7761
11-Apr-13,2.02,2.04,1.99,2.01,7552
10-Apr-13,1.97,2.02,1.95,2.01,21644
9-Apr-13,2.01,2.01,1.95,1.95,15443
8-Apr-13,1.96,2.00,1.95,1.99,30230
5-Apr-13,1.95,2.00,1.95,1.97,19797
4-Apr-13,1.95,1.99,1.95,1.96,16163
3-Apr-13,1.98,1.98,1.92,1.95,38398
2-Apr-13,2.12,2.14,1.98,1.98,31053
1-Apr-13,2.10,2.16,2.08,2.10,48313
28-Mar-13,2.24,2.25,2.09,2.10,35219
27-Mar-13,2.21,2.23,2.20,2.21,15624
26-Mar-13,2.26,2.26,2.22,2.23,6742
25-Mar-13,2.24,2.27,2.23,2.24,30113
22-Mar-13,2.19,2.23,2.19,2.23,11427
21-Mar-13,2.24,2.24,2.16,2.17,16714
20-Mar-13,2.17,2.26,2.16,2.26,30740
19-Mar-13,2.24,2.24,2.08,2.15,41067
18-Mar-13,2.23,2.26,2.20,2.23,12858
15-Mar-13,2.28,2.28,2.20,2.25,80495
14-Mar-13,2.22,2.29,2.20,2.29,16267
13-Mar-13,2.26,2.28,2.24,2.27,22150
12-Mar-13,2.21,2.31,2.21,2.28,54310
11-Mar-13,2.22,2.23,2.11,2.22,17450
8-Mar-13,2.20,2.38,2.18,2.24,18925
