Date, Open, High, Low, Close, Volume
17-May-13,5.55,5.66,5.01,5.08,168064
16-May-13,5.84,5.88,5.77,5.80,84086
15-May-13,5.80,5.93,5.78,5.90,74713
14-May-13,5.79,5.85,5.75,5.80,63489
13-May-13,5.83,5.83,5.75,5.78,30518
10-May-13,5.73,5.83,5.73,5.80,83964
9-May-13,5.51,5.72,5.51,5.67,20890
8-May-13,5.52,5.69,5.47,5.59,20999
7-May-13,5.55,5.69,5.50,5.58,30531
6-May-13,5.26,5.60,5.26,5.60,54001
3-May-13,5.47,5.50,5.13,5.33,125187
2-May-13,5.53,5.53,5.39,5.50,87779
1-May-13,5.64,5.77,5.53,5.53,24403
30-Apr-13,5.60,5.80,5.57,5.80,21638
29-Apr-13,5.69,5.75,5.47,5.60,39254
26-Apr-13,5.56,5.79,5.56,5.75,30049
25-Apr-13,5.64,5.84,5.35,5.56,51735
24-Apr-13,5.89,5.89,5.70,5.70,28905
23-Apr-13,5.64,5.88,5.64,5.86,80206
22-Apr-13,5.86,5.94,5.21,5.72,190025
19-Apr-13,5.93,6.02,5.75,5.80,131852
18-Apr-13,6.25,6.26,5.76,5.88,1016835
17-Apr-13,4.20,4.32,3.85,4.30,129009
16-Apr-13,4.30,4.30,4.20,4.29,26706
15-Apr-13,4.37,4.37,4.21,4.30,24875
12-Apr-13,4.24,4.29,4.20,4.28,14666
11-Apr-13,4.28,4.32,4.20,4.22,31526
10-Apr-13,4.24,4.28,4.23,4.28,12234
9-Apr-13,4.16,4.30,4.16,4.23,49719
8-Apr-13,4.15,4.25,4.13,4.23,25817
5-Apr-13,4.02,4.33,4.00,4.11,38724
4-Apr-13,4.01,4.10,3.95,4.01,13763
3-Apr-13,4.08,4.12,4.00,4.05,32337
2-Apr-13,4.24,4.24,4.12,4.12,17461
1-Apr-13,4.10,4.24,3.99,4.24,14489
28-Mar-13,3.70,4.06,3.66,4.00,75011
27-Mar-13,3.77,3.85,3.68,3.80,124344
26-Mar-13,4.00,4.00,3.75,3.90,131932
25-Mar-13,4.12,4.12,3.96,3.96,42260
22-Mar-13,4.15,4.30,4.06,4.12,31184
21-Mar-13,4.24,4.24,4.10,4.19,7354
20-Mar-13,4.27,4.29,4.06,4.17,46127
19-Mar-13,4.30,4.30,4.21,4.21,9227
18-Mar-13,4.24,4.30,4.20,4.25,17750
15-Mar-13,4.21,4.30,4.13,4.30,42391
14-Mar-13,4.17,4.29,4.10,4.22,60238
13-Mar-13,4.57,4.57,4.00,4.17,184089
12-Mar-13,4.70,4.72,4.52,4.65,27844
11-Mar-13,4.58,4.75,4.58,4.75,19496
8-Mar-13,4.85,4.85,4.50,4.64,34524
7-Mar-13,4.81,4.90,4.65,4.68,24182
6-Mar-13,4.66,4.85,4.66,4.74,24606
5-Mar-13,4.55,4.88,4.55,4.60,24170
4-Mar-13,4.53,4.70,4.53,4.57,15500
1-Mar-13,4.42,4.51,4.42,4.50,11665
28-Feb-13,4.33,4.51,4.33,4.42,29300
27-Feb-13,4.27,4.42,4.24,4.38,25924
26-Feb-13,4.35,4.35,4.26,4.26,11000
25-Feb-13,4.34,4.57,4.30,4.36,29569
22-Feb-13,4.34,4.40,4.20,4.37,12922
21-Feb-13,4.55,4.55,4.35,4.37,29380
20-Feb-13,4.60,4.72,4.57,4.57,20117
19-Feb-13,4.65,4.69,4.50,4.57,32271
15-Feb-13,4.56,4.70,4.56,4.70,13152
14-Feb-13,4.75,4.75,4.52,4.60,29317
13-Feb-13,4.55,4.75,4.55,4.75,17535
12-Feb-13,4.78,4.78,4.30,4.50,204982
11-Feb-13,4.87,4.93,4.64,4.82,32535
8-Feb-13,4.94,5.05,4.74,4.81,18530
7-Feb-13,5.00,5.00,4.86,5.00,19868
6-Feb-13,4.83,5.04,4.75,4.96,25154
5-Feb-13,4.95,4.96,4.69,4.77,34808
4-Feb-13,4.97,5.08,4.91,4.99,4713
1-Feb-13,5.07,5.10,4.97,5.01,39226
31-Jan-13,5.02,5.10,4.97,4.97,37603
30-Jan-13,5.05,5.12,5.01,5.11,21331
29-Jan-13,5.08,5.12,4.97,5.12,47031
28-Jan-13,5.00,5.10,4.99,5.10,76813
25-Jan-13,4.99,4.99,4.91,4.99,19110
24-Jan-13,4.99,5.03,4.95,4.99,36093
23-Jan-13,4.91,5.04,4.91,4.91,73646
22-Jan-13,4.81,4.94,4.80,4.89,24726
18-Jan-13,4.70,4.91,4.70,4.91,13173
17-Jan-13,4.73,4.91,4.72,4.91,47494
16-Jan-13,4.70,4.78,4.61,4.68,26261
15-Jan-13,4.70,4.76,4.66,4.76,11968
14-Jan-13,4.80,4.80,4.67,4.70,24523
11-Jan-13,4.72,4.80,4.66,4.76,10387
10-Jan-13,4.80,4.80,4.67,4.76,9774
9-Jan-13,4.66,4.78,4.65,4.73,1952
8-Jan-13,4.69,4.70,4.61,4.69,23415
7-Jan-13,4.64,4.78,4.52,4.78,43179
4-Jan-13,4.82,4.87,4.67,4.81,8720
3-Jan-13,4.85,4.90,4.75,4.75,4078
2-Jan-13,4.77,4.90,4.77,4.90,48507
31-Dec-12,4.61,4.77,4.61,4.75,30050
28-Dec-12,4.61,4.66,4.61,4.66,9044
27-Dec-12,4.66,4.67,4.47,4.61,37279
26-Dec-12,4.61,4.70,4.61,4.67,13511
24-Dec-12,4.33,4.68,4.32,4.55,34297
21-Dec-12,4.55,4.55,4.40,4.40,1828
20-Dec-12,4.50,4.51,4.41,4.41,8757
19-Dec-12,4.57,4.57,4.50,4.55,5973
18-Dec-12,4.54,4.68,4.50,4.50,5687
17-Dec-12,4.50,4.54,4.50,4.50,13380
14-Dec-12,4.45,4.50,4.37,4.50,23625
13-Dec-12,4.44,4.48,4.31,4.40,22672
12-Dec-12,4.46,4.50,4.37,4.37,19699
11-Dec-12,4.44,4.58,4.35,4.50,10388
10-Dec-12,4.38,4.49,4.29,4.49,25344
7-Dec-12,4.36,4.45,4.32,4.34,17612
6-Dec-12,4.40,4.55,4.30,4.39,14432
5-Dec-12,4.52,4.56,4.29,4.36,12178
4-Dec-12,4.55,4.55,4.31,4.52,17606
3-Dec-12,4.57,4.57,4.46,4.55,16485
30-Nov-12,4.60,4.66,4.55,4.60,25132
29-Nov-12,4.66,4.66,4.44,4.52,15550
28-Nov-12,4.62,4.72,4.59,4.68,27735
27-Nov-12,4.34,4.64,4.34,4.59,38427
26-Nov-12,4.20,4.34,4.20,4.30,24467
23-Nov-12,4.30,4.34,4.21,4.24,4300
21-Nov-12,4.29,4.32,4.20,4.26,7001
20-Nov-12,4.18,4.30,4.10,4.30,5751
