Date, Open, High, Low, Close, Volume
17-May-13,25.49,25.53,25.46,25.50,53393
16-May-13,25.54,25.55,25.48,25.53,49727
15-May-13,25.50,25.62,25.45,25.48,30941
14-May-13,25.62,25.74,25.49,25.54,46678
13-May-13,25.61,25.70,25.60,25.63,46383
10-May-13,25.70,25.70,25.56,25.59,24999
9-May-13,25.70,25.70,25.55,25.58,33167
8-May-13,25.69,25.73,25.59,25.67,87178
7-May-13,25.57,25.75,25.56,25.75,63146
6-May-13,25.56,25.64,25.56,25.58,35134
3-May-13,25.58,25.67,25.58,25.60,52785
2-May-13,25.49,25.70,25.49,25.53,34448
1-May-13,25.47,25.60,25.43,25.48,27960
30-Apr-13,25.48,25.57,25.46,25.51,19048
29-Apr-13,25.47,25.60,25.45,25.50,22320
26-Apr-13,25.37,25.48,25.37,25.44,18462
25-Apr-13,25.27,25.47,25.27,25.44,13024
24-Apr-13,25.32,25.44,25.31,25.37,75476
23-Apr-13,25.40,25.45,25.30,25.31,95879
22-Apr-13,25.28,25.42,25.28,25.31,35895
19-Apr-13,25.45,25.49,25.20,25.34,108214
18-Apr-13,25.40,25.42,25.33,25.42,65296
17-Apr-13,25.27,25.35,25.27,25.32,27500
16-Apr-13,25.28,25.35,25.28,25.30,26064
15-Apr-13,25.25,25.30,25.25,25.30,29290
12-Apr-13,25.21,25.29,25.20,25.28,52918
11-Apr-13,25.23,25.28,25.19,25.28,37832
10-Apr-13,25.24,25.27,25.17,25.21,25225
9-Apr-13,25.21,25.23,25.17,25.23,20523
8-Apr-13,25.27,25.27,25.19,25.22,18542
5-Apr-13,25.14,25.23,25.13,25.22,45775
4-Apr-13,25.18,25.19,25.13,25.15,32713
3-Apr-13,25.21,25.24,25.14,25.14,49076
2-Apr-13,25.26,25.26,25.17,25.20,126499
1-Apr-13,25.29,25.33,25.18,25.18,38258
28-Mar-13,25.35,25.38,25.20,25.27,87071
27-Mar-13,25.26,25.40,25.13,25.35,120151
26-Mar-13,25.32,25.43,25.32,25.39,23026
25-Mar-13,25.42,25.45,25.37,25.39,50793
22-Mar-13,25.50,25.50,25.37,25.45,25973
21-Mar-13,25.56,25.56,25.35,25.42,22501
20-Mar-13,25.35,25.47,25.35,25.44,21348
19-Mar-13,25.51,25.52,25.37,25.42,54320
18-Mar-13,25.38,25.38,25.21,25.37,32063
15-Mar-13,25.25,25.28,25.21,25.28,20359
14-Mar-13,25.23,25.48,25.21,25.24,23650
13-Mar-13,25.28,25.29,25.21,25.26,54458
12-Mar-13,25.18,25.26,25.18,25.23,24646
11-Mar-13,25.24,25.24,25.18,25.22,20270
8-Mar-13,25.21,25.30,25.21,25.26,18227
7-Mar-13,25.26,25.26,25.18,25.22,42602
6-Mar-13,25.25,25.26,25.16,25.17,25779
5-Mar-13,25.25,25.29,25.23,25.26,17027
4-Mar-13,25.17,25.27,25.15,25.21,40957
1-Mar-13,25.20,25.22,25.15,25.17,44156
28-Feb-13,25.19,25.25,25.19,25.19,31414
27-Feb-13,25.20,25.26,25.17,25.23,48752
26-Feb-13,25.61,25.61,25.48,25.52,30486
25-Feb-13,25.61,25.61,25.38,25.50,43236
22-Feb-13,25.38,25.46,25.38,25.46,35863
21-Feb-13,25.44,25.44,25.37,25.40,30314
20-Feb-13,25.45,25.45,25.38,25.41,30704
19-Feb-13,25.40,25.44,25.39,25.43,28573
15-Feb-13,25.43,25.43,25.34,25.40,16347
14-Feb-13,25.16,25.42,25.16,25.41,37111
13-Feb-13,25.33,25.40,25.32,25.35,27133
12-Feb-13,25.36,25.41,25.32,25.41,56456
11-Feb-13,25.36,25.39,25.35,25.38,12329
8-Feb-13,25.34,25.37,25.31,25.36,31534
7-Feb-13,25.08,25.36,25.08,25.33,25693
6-Feb-13,25.31,25.41,25.28,25.28,25295
5-Feb-13,25.30,25.32,25.29,25.32,27328
4-Feb-13,25.30,25.31,25.26,25.30,21016
1-Feb-13,25.25,25.32,25.25,25.31,32956
31-Jan-13,25.26,25.28,25.23,25.23,35375
30-Jan-13,25.31,25.32,25.27,25.27,19626
29-Jan-13,25.28,25.32,25.27,25.28,18111
28-Jan-13,25.28,25.33,25.25,25.28,25281
25-Jan-13,25.26,25.34,25.26,25.33,24427
24-Jan-13,25.25,25.30,25.24,25.29,49414
23-Jan-13,25.24,25.76,25.08,25.27,89285
22-Jan-13,25.40,25.40,25.30,25.35,55594
18-Jan-13,25.34,25.36,25.29,25.36,60695
17-Jan-13,25.29,25.35,25.28,25.35,45879
16-Jan-13,25.25,25.29,25.22,25.25,35011
15-Jan-13,25.28,25.32,25.25,25.25,26708
14-Jan-13,25.25,25.29,25.24,25.28,21605
11-Jan-13,25.26,25.27,25.24,25.25,13556
10-Jan-13,25.27,25.27,25.22,25.25,23179
9-Jan-13,25.20,25.26,25.20,25.23,16260
8-Jan-13,25.24,25.25,25.17,25.19,26821
7-Jan-13,25.24,25.25,25.19,25.21,18489
4-Jan-13,25.17,25.25,25.12,25.24,27595
3-Jan-13,25.09,25.20,25.07,25.15,39946
2-Jan-13,25.07,25.12,25.00,25.05,42375
31-Dec-12,24.91,25.00,24.91,25.00,33259
28-Dec-12,24.91,24.96,24.91,24.92,53906
27-Dec-12,25.03,25.03,24.90,24.90,47283
26-Dec-12,25.11,25.11,25.00,25.03,20612
24-Dec-12,25.06,25.09,25.01,25.09,10878
21-Dec-12,25.07,25.08,25.00,25.02,58080
20-Dec-12,25.08,25.14,25.07,25.10,22513
19-Dec-12,25.09,25.11,25.05,25.09,48981
18-Dec-12,25.19,25.19,25.08,25.14,48327
17-Dec-12,25.20,25.20,25.14,25.17,42096
14-Dec-12,25.01,25.28,25.00,25.19,116148
13-Dec-12,25.04,25.06,25.00,25.04,26914
12-Dec-12,24.95,25.04,24.94,25.02,55606
11-Dec-12,24.99,25.03,24.90,25.01,36394
10-Dec-12,25.00,25.01,24.95,25.01,62949
7-Dec-12,24.98,25.02,24.98,25.00,15351
6-Dec-12,24.99,25.04,24.94,24.98,42181
5-Dec-12,25.01,25.01,24.93,25.00,42749
4-Dec-12,25.01,25.08,25.00,25.01,30302
3-Dec-12,25.01,25.06,25.00,25.00,21240
30-Nov-12,25.00,25.09,25.00,25.00,26719
29-Nov-12,25.00,25.05,24.99,25.05,29034
28-Nov-12,25.24,25.24,24.94,24.98,37450
27-Nov-12,25.35,25.36,25.27,25.30,40451
26-Nov-12,25.29,25.38,25.23,25.33,28019
23-Nov-12,25.30,25.37,25.20,25.30,11309
21-Nov-12,25.36,25.37,25.21,25.27,24716
20-Nov-12,25.15,25.33,25.15,25.33,38425
19-Nov-12,25.15,25.24,24.99,25.24,64999
16-Nov-12,24.83,25.17,24.83,25.15,73108
15-Nov-12,25.03,25.03,24.73,24.91,64743
14-Nov-12,25.16,25.18,24.97,24.97,40992
13-Nov-12,25.18,25.21,25.10,25.14,36000
12-Nov-12,25.09,25.23,25.09,25.23,21186
9-Nov-12,25.14,25.18,25.06,25.09,15543
8-Nov-12,25.21,25.24,25.14,25.14,35811
7-Nov-12,25.18,25.19,25.11,25.18,17123
6-Nov-12,25.19,25.25,25.17,25.18,38938
5-Nov-12,25.16,25.26,25.16,25.23,22947
2-Nov-12,25.28,25.28,25.16,25.17,17543
1-Nov-12,25.18,25.27,25.18,25.25,17314
31-Oct-12,25.04,25.18,25.04,25.18,31373
26-Oct-12,25.12,25.12,25.00,25.06,31015
25-Oct-12,25.06,25.11,25.06,25.08,16446
24-Oct-12,25.05,25.11,25.01,25.08,20867
23-Oct-12,25.06,25.09,24.99,25.08,23237
22-Oct-12,25.02,25.13,24.99,25.09,59217
19-Oct-12,25.17,25.20,24.77,24.87,109552
18-Oct-12,25.27,25.28,25.17,25.17,38776
17-Oct-12,25.23,25.28,25.17,25.25,32382
16-Oct-12,25.19,25.28,25.16,25.23,28052
15-Oct-12,25.22,25.22,25.11,25.15,22880
12-Oct-12,25.19,25.22,25.09,25.22,22538
11-Oct-12,25.13,25.22,25.13,25.19,40266
10-Oct-12,25.08,25.19,25.05,25.17,35200
9-Oct-12,25.14,25.17,25.07,25.12,24474
8-Oct-12,25.15,25.22,25.11,25.11,19158
5-Oct-12,25.16,25.20,25.13,25.20,16146
4-Oct-12,25.11,25.16,25.05,25.14,29280
3-Oct-12,25.06,25.16,25.06,25.15,22610
2-Oct-12,25.07,25.13,25.06,25.13,18375
1-Oct-12,25.06,25.20,25.00,25.00,33694
28-Sep-12,25.05,25.17,24.99,25.05,27552
27-Sep-12,24.95,25.10,24.95,25.07,91565
26-Sep-12,24.89,24.96,24.86,24.93,40503
25-Sep-12,24.87,24.97,24.84,24.94,57959
24-Sep-12,24.94,24.97,24.82,24.82,62529
21-Sep-12,25.00,25.00,24.92,24.92,55289
20-Sep-12,24.96,24.99,24.94,24.95,39437
19-Sep-12,25.03,25.03,24.96,24.96,32054
18-Sep-12,25.04,25.05,24.98,25.00,42242
17-Sep-12,25.04,25.04,24.97,24.98,38083
14-Sep-12,25.08,25.09,25.00,25.00,51931
13-Sep-12,25.01,25.11,25.01,25.04,35582
12-Sep-12,25.01,25.07,24.97,25.00,52136
11-Sep-12,25.00,25.09,24.98,25.04,42742
10-Sep-12,24.99,25.00,24.96,24.97,40844
7-Sep-12,24.99,25.03,24.97,25.00,31301
6-Sep-12,24.96,25.00,24.94,25.00,42469
5-Sep-12,24.97,24.97,24.90,24.95,36191
4-Sep-12,24.90,24.97,24.88,24.97,37702
31-Aug-12,24.99,24.99,24.84,24.86,58263
30-Aug-12,24.98,24.98,24.93,24.95,42820
29-Aug-12,25.01,25.04,24.94,24.95,35167
28-Aug-12,25.26,25.38,25.24,25.36,30723
27-Aug-12,25.20,25.27,25.19,25.24,26551
24-Aug-12,25.21,25.26,25.14,25.15,20355
23-Aug-12,25.21,25.28,25.21,25.27,34812
22-Aug-12,25.30,25.30,25.17,25.17,34856
21-Aug-12,25.26,25.37,25.20,25.27,39485
20-Aug-12,25.32,25.36,25.25,25.26,26730
17-Aug-12,25.25,25.35,25.23,25.27,31899
16-Aug-12,25.29,25.36,25.23,25.32,50107
15-Aug-12,25.13,25.36,25.13,25.29,130125
14-Aug-12,25.17,25.19,25.13,25.17,29616
13-Aug-12,25.15,25.21,25.13,25.13,40615
10-Aug-12,25.14,25.22,25.13,25.18,21774
9-Aug-12,25.19,25.22,25.11,25.20,34457
8-Aug-12,25.15,25.19,25.11,25.16,15558
7-Aug-12,25.17,25.21,25.06,25.15,45424
6-Aug-12,25.15,25.20,25.15,25.20,13581
3-Aug-12,25.13,25.20,25.05,25.09,24169
2-Aug-12,25.05,25.10,25.04,25.09,31658
1-Aug-12,25.10,25.12,25.04,25.07,26949
31-Jul-12,25.17,25.17,24.99,24.99,35136
30-Jul-12,25.17,25.21,25.07,25.10,28694
27-Jul-12,25.13,25.20,25.07,25.12,31461
26-Jul-12,24.98,25.12,24.98,25.08,44202
25-Jul-12,24.98,24.98,24.85,24.96,52405
24-Jul-12,24.97,25.05,24.73,24.88,134007
23-Jul-12,24.92,25.04,24.81,24.96,64922
20-Jul-12,24.93,25.09,24.80,25.05,69740
19-Jul-12,25.00,25.07,24.89,24.89,240340
18-Jul-12,24.98,25.00,24.97,25.00,85021
17-Jul-12,24.99,25.00,24.97,25.00,80097
16-Jul-12,24.98,25.00,24.94,25.00,117804
13-Jul-12,24.91,25.00,24.89,25.00,101419
12-Jul-12,24.80,24.95,24.67,24.89,93778
11-Jul-12,24.73,24.86,24.64,24.85,78153
10-Jul-12,24.87,24.88,24.60,24.66,84129
9-Jul-12,24.70,24.88,24.64,24.81,72742
6-Jul-12,24.62,24.77,24.62,24.71,32058
5-Jul-12,24.81,24.88,24.66,24.72,89926
3-Jul-12,24.78,24.85,24.73,24.84,27033
2-Jul-12,24.76,24.79,24.67,24.76,44119
29-Jun-12,24.64,24.79,24.49,24.79,81321
28-Jun-12,24.28,24.66,24.28,24.64,41485
27-Jun-12,24.40,24.55,24.40,24.48,55588
26-Jun-12,24.13,24.48,24.13,24.44,86574
25-Jun-12,24.19,24.32,24.07,24.22,44657
22-Jun-12,24.16,24.42,24.07,24.31,56601
21-Jun-12,23.96,24.30,23.96,24.12,64518
20-Jun-12,23.89,24.09,23.74,24.07,72240
19-Jun-12,23.88,23.96,23.74,23.83,57511
18-Jun-12,23.47,23.84,23.34,23.74,47820
15-Jun-12,23.24,23.66,23.04,23.48,167016
14-Jun-12,23.18,23.31,22.93,23.15,56146
13-Jun-12,22.98,23.24,22.84,23.13,39795
12-Jun-12,22.81,23.14,22.30,23.03,78733
11-Jun-12,23.46,23.46,22.63,22.64,69410
8-Jun-12,23.27,23.50,23.21,23.49,33148
7-Jun-12,23.62,23.69,23.41,23.41,65062
6-Jun-12,23.35,23.68,23.35,23.52,52191
5-Jun-12,22.88,23.49,22.88,23.24,49988
4-Jun-12,22.70,23.05,22.68,22.95,33020
1-Jun-12,22.75,22.98,22.55,22.83,67599
31-May-12,23.35,23.45,23.06,23.13,99270
30-May-12,23.40,23.63,23.17,23.31,91117
29-May-12,23.94,24.09,23.85,23.94,47225
25-May-12,23.73,23.84,23.49,23.74,49624
24-May-12,23.33,23.80,23.33,23.66,100010
23-May-12,23.39,23.46,22.95,23.40,138434
22-May-12,23.01,23.70,23.01,23.45,79219
21-May-12,21.74,22.99,21.74,22.89,77637
18-May-12,22.75,22.86,21.52,21.73,176010
17-May-12,23.82,23.83,22.78,22.83,64181
16-May-12,24.05,24.08,23.77,23.85,55318
15-May-12,24.16,24.18,23.92,23.95,44728
14-May-12,24.34,24.34,24.11,24.14,47866
11-May-12,24.40,24.63,24.38,24.48,40159
10-May-12,24.37,24.53,24.26,24.49,71201
9-May-12,24.27,24.36,24.14,24.30,30965
8-May-12,24.43,24.45,24.24,24.42,45967
7-May-12,24.22,24.50,24.22,24.43,36843
4-May-12,24.22,24.37,24.17,24.36,38483
3-May-12,24.07,24.28,24.00,24.23,32939
2-May-12,24.18,24.25,23.94,23.97,51600
1-May-12,24.29,24.42,24.17,24.20,31075
30-Apr-12,24.02,24.33,24.02,24.25,31129
27-Apr-12,23.91,24.14,23.90,24.09,56386
26-Apr-12,23.91,24.03,23.91,23.94,44251
25-Apr-12,24.05,24.13,23.88,23.95,63373
24-Apr-12,23.70,24.00,23.70,23.98,44914
23-Apr-12,23.95,23.95,23.60,23.76,85165
20-Apr-12,24.13,24.20,23.96,24.04,46404
19-Apr-12,24.11,24.26,24.01,24.08,60921
18-Apr-12,24.21,24.24,24.05,24.05,56177
17-Apr-12,24.12,24.29,24.12,24.22,39584
