Date, Open, High, Low, Close, Volume
17-May-13,19.11,19.27,19.05,19.05,37153
16-May-13,19.13,19.28,19.10,19.11,34291
15-May-13,19.39,19.43,19.16,19.30,49898
14-May-13,19.66,19.80,19.32,19.43,42125
13-May-13,19.24,19.65,19.24,19.53,62502
10-May-13,19.50,19.54,19.33,19.33,16801
9-May-13,19.35,19.60,19.28,19.46,56218
8-May-13,19.17,19.40,19.17,19.40,57184
7-May-13,18.96,19.37,18.96,19.37,51629
6-May-13,19.18,19.18,18.95,19.01,27755
3-May-13,19.00,19.20,19.00,19.11,29666
2-May-13,18.85,19.00,18.85,18.96,68827
1-May-13,18.89,18.91,18.56,18.82,44009
30-Apr-13,18.60,18.97,18.60,18.84,65505
29-Apr-13,18.70,18.73,18.40,18.64,69372
26-Apr-13,18.65,18.74,18.60,18.73,34756
25-Apr-13,18.90,18.95,18.45,18.52,176423
24-Apr-13,18.92,19.05,18.83,18.90,40770
23-Apr-13,18.85,18.93,18.61,18.93,106276
22-Apr-13,18.88,18.97,18.85,18.93,13535
19-Apr-13,18.90,18.90,18.78,18.89,32748
18-Apr-13,18.95,19.04,18.69,18.93,52859
17-Apr-13,19.15,19.25,18.83,18.95,38795
16-Apr-13,19.28,19.31,19.03,19.24,44646
15-Apr-13,19.76,19.76,19.23,19.25,43211
12-Apr-13,19.95,19.95,19.58,19.76,35181
11-Apr-13,20.00,20.01,20.00,20.00,143265
10-Apr-13,20.00,20.01,20.00,20.00,58075
9-Apr-13,20.01,20.01,20.00,20.00,40270
8-Apr-13,19.78,20.01,19.75,20.00,74713
5-Apr-13,19.90,19.90,19.70,19.75,119140
4-Apr-13,20.06,20.21,20.00,20.00,14759
3-Apr-13,20.01,20.13,20.01,20.03,13220
2-Apr-13,20.00,20.00,20.00,20.00,10400
1-Apr-13,20.00,20.02,20.00,20.00,37690
28-Mar-13,20.00,20.01,20.00,20.00,2250
27-Mar-13,20.01,20.05,20.01,20.02,6700
26-Mar-13,19.99,20.07,19.99,20.03,41969
25-Mar-13,20.00,20.01,20.00,20.00,5052
22-Mar-13,20.00,20.08,19.98,20.00,87262
21-Mar-13,20.01,20.05,20.00,20.02,15557
20-Mar-13,20.01,20.01,20.00,20.00,158715
19-Mar-13,20.00,20.04,20.00,20.01,57418
18-Mar-13,20.02,20.04,20.00,20.00,5560
15-Mar-13,20.00,20.02,20.00,20.00,8830
14-Mar-13,20.00,20.01,20.00,20.00,24509
13-Mar-13,20.01,20.05,20.00,20.01,20993
12-Mar-13,20.01,20.01,20.00,20.01,15259
11-Mar-13,20.00,20.01,20.00,20.01,14400
8-Mar-13,20.01,20.01,20.00,20.00,11807
7-Mar-13,20.01,20.10,20.00,20.00,63666
6-Mar-13,20.00,20.01,20.00,20.00,14510
5-Mar-13,20.02,20.04,20.00,20.00,19883
4-Mar-13,20.00,20.02,20.00,20.00,31200
1-Mar-13,20.01,20.01,20.00,20.01,16500
28-Feb-13,20.00,20.01,20.00,20.00,44324
27-Feb-13,20.00,20.01,19.99,20.00,78081
26-Feb-13,20.00,20.06,19.97,20.00,567899
