Date, Open, High, Low, Close, Volume
17-May-13,24.24,25.01,24.17,24.31,482454
16-May-13,23.14,24.00,23.14,23.91,230354
15-May-13,22.73,23.54,22.65,23.01,173220
14-May-13,23.21,23.45,22.40,22.73,266213
13-May-13,23.65,23.69,23.10,23.11,227648
10-May-13,23.73,23.97,23.57,23.78,173294
9-May-13,23.95,24.30,23.47,23.83,467108
8-May-13,24.50,24.89,23.04,23.54,618510
7-May-13,26.53,26.61,25.70,25.84,682351
6-May-13,26.10,26.66,25.84,26.49,608048
3-May-13,25.99,26.20,25.51,25.95,372974
2-May-13,25.32,25.65,25.12,25.35,342867
1-May-13,26.74,26.85,24.36,25.07,778215
30-Apr-13,25.24,25.24,24.61,24.80,153255
29-Apr-13,24.77,25.82,24.77,25.25,194071
26-Apr-13,24.76,25.25,23.83,24.81,174336
25-Apr-13,25.43,25.75,24.52,24.75,180519
24-Apr-13,26.62,26.62,24.79,25.17,202105
23-Apr-13,25.75,26.68,25.60,26.50,427196
22-Apr-13,24.61,25.75,24.36,25.55,200936
19-Apr-13,23.79,24.42,23.61,24.36,189284
18-Apr-13,23.57,23.78,22.73,23.46,198067
17-Apr-13,23.85,24.06,23.26,23.33,160040
16-Apr-13,23.13,24.23,23.00,23.93,204160
15-Apr-13,23.50,23.88,22.63,22.89,237008
12-Apr-13,23.74,24.42,23.50,23.97,245750
11-Apr-13,24.80,25.09,23.50,23.88,272175
10-Apr-13,24.39,24.97,24.31,24.80,246731
9-Apr-13,23.43,24.75,23.20,24.38,378047
8-Apr-13,22.42,23.38,22.20,23.18,255994
5-Apr-13,22.25,22.47,21.73,22.19,321381
4-Apr-13,23.23,23.60,22.28,22.62,334914
3-Apr-13,23.87,24.34,21.27,23.46,1327545
2-Apr-13,26.39,26.45,23.01,23.68,617317
1-Apr-13,26.88,26.88,25.50,26.00,154790
28-Mar-13,25.50,26.85,25.42,26.62,219901
27-Mar-13,24.32,25.50,24.11,25.45,235092
26-Mar-13,24.00,24.66,23.75,24.50,216943
25-Mar-13,24.50,24.74,23.76,23.82,239415
22-Mar-13,24.57,25.06,24.06,24.35,193020
21-Mar-13,25.39,25.39,24.50,24.55,210596
20-Mar-13,25.61,25.61,24.50,25.28,206498
19-Mar-13,25.62,26.01,24.95,25.36,133604
18-Mar-13,25.83,25.96,25.50,25.78,103739
15-Mar-13,26.06,26.22,25.66,26.00,178580
14-Mar-13,26.13,26.26,25.21,26.06,335214
13-Mar-13,27.29,27.50,25.93,26.12,329669
12-Mar-13,27.01,27.40,26.95,27.29,135638
11-Mar-13,27.43,27.58,26.96,27.02,120809
8-Mar-13,27.21,27.50,27.03,27.42,218660
7-Mar-13,27.43,27.43,26.53,27.11,232794
6-Mar-13,27.39,27.70,27.04,27.46,252394
5-Mar-13,27.35,27.95,26.85,27.35,318387
4-Mar-13,27.35,27.85,26.73,26.96,323987
1-Mar-13,27.00,27.64,26.61,27.32,327118
28-Feb-13,27.25,27.40,26.81,27.29,207702
27-Feb-13,27.08,27.89,26.69,27.14,276087
26-Feb-13,27.81,27.98,26.51,27.16,643341
25-Feb-13,28.80,28.85,27.24,27.65,415474
22-Feb-13,26.90,28.50,26.90,28.41,376628
21-Feb-13,26.82,27.10,26.00,26.52,435243
20-Feb-13,28.56,29.12,26.47,27.15,718723
19-Feb-13,28.17,29.09,27.80,28.86,529078
15-Feb-13,28.00,28.22,27.45,27.69,318722
14-Feb-13,27.44,28.65,27.25,27.97,603119
13-Feb-13,26.68,26.89,26.42,26.44,252662
12-Feb-13,27.60,27.91,26.52,26.70,408011
11-Feb-13,26.28,28.27,26.28,27.67,532895
8-Feb-13,25.70,26.90,25.58,26.46,370469
7-Feb-13,24.59,25.95,24.51,25.86,569603
6-Feb-13,24.49,24.64,24.00,24.60,256861
5-Feb-13,24.08,25.29,23.94,24.50,708306
4-Feb-13,23.53,23.75,23.39,23.50,278058
1-Feb-13,23.51,23.63,23.21,23.54,286478
31-Jan-13,22.67,23.43,22.52,23.28,355597
30-Jan-13,22.98,23.05,22.60,22.67,248504
29-Jan-13,23.00,23.48,22.55,23.14,454512
28-Jan-13,23.00,23.10,22.54,22.80,232140
25-Jan-13,22.27,23.07,22.27,22.98,336105
24-Jan-13,22.20,23.02,22.01,22.27,328342
23-Jan-13,21.30,22.13,20.86,21.93,447913
22-Jan-13,21.89,21.89,21.11,21.33,486972
18-Jan-13,22.71,22.82,21.55,21.89,450166
17-Jan-13,22.92,23.22,22.52,22.55,516868
16-Jan-13,22.17,22.70,21.88,22.59,169523
15-Jan-13,21.25,22.19,21.02,22.09,290735
14-Jan-13,20.51,21.49,20.15,21.20,713800
11-Jan-13,20.74,21.24,20.12,20.52,931890
10-Jan-13,21.51,21.54,20.53,20.73,597709
9-Jan-13,22.06,22.22,21.44,21.51,498796
8-Jan-13,22.79,22.79,21.92,21.98,657503
7-Jan-13,22.74,22.86,22.10,22.25,311299
4-Jan-13,23.89,23.89,22.31,22.55,704754
3-Jan-13,24.69,24.70,22.95,23.81,368394
2-Jan-13,24.87,25.33,24.22,24.79,395397
31-Dec-12,23.15,24.08,22.72,24.07,503985
28-Dec-12,23.89,23.89,22.61,22.85,619450
27-Dec-12,25.32,25.32,23.66,24.13,387744
26-Dec-12,24.59,24.90,24.45,24.78,252055
24-Dec-12,24.61,24.97,24.20,24.50,201069
21-Dec-12,23.80,24.99,23.65,24.30,469184
20-Dec-12,23.00,24.13,22.80,23.96,532487
19-Dec-12,22.51,23.14,22.44,22.90,541765
18-Dec-12,22.00,23.24,21.90,22.50,539073
17-Dec-12,21.83,21.88,21.44,21.83,157314
14-Dec-12,21.77,21.80,21.51,21.73,83901
13-Dec-12,21.75,21.92,21.40,21.75,97667
12-Dec-12,21.55,22.10,21.47,21.75,153132
11-Dec-12,21.44,21.52,21.10,21.25,247990
10-Dec-12,21.39,22.28,21.11,21.25,339936
7-Dec-12,20.83,21.50,20.40,21.09,374147
6-Dec-12,20.05,20.85,19.86,20.16,916572
5-Dec-12,19.20,20.32,19.18,19.81,294173
4-Dec-12,18.75,19.41,18.61,19.18,151712
3-Dec-12,19.10,19.21,18.60,18.72,169566
30-Nov-12,19.11,19.32,18.73,18.88,163838
29-Nov-12,19.30,19.89,19.01,19.17,326242
28-Nov-12,19.00,19.45,18.75,19.13,263931
27-Nov-12,18.47,19.50,18.37,19.00,276330
26-Nov-12,18.35,18.82,18.25,18.50,271814
23-Nov-12,19.02,19.09,18.30,18.30,119221
21-Nov-12,18.55,19.44,18.52,18.85,882015
20-Nov-12,17.00,19.25,16.84,18.40,7311436
