Date, Open, High, Low, Close, Volume
17-May-13,78.82,80.37,78.75,80.04,387643
16-May-13,78.78,79.07,78.00,78.19,200932
15-May-13,78.75,79.20,78.34,78.86,385408
14-May-13,78.88,79.24,78.54,79.04,629104
13-May-13,77.91,79.10,77.90,79.02,678163
10-May-13,78.31,78.98,78.18,78.90,557543
9-May-13,78.03,78.65,77.70,77.85,323550
8-May-13,77.98,78.29,77.78,78.02,454302
7-May-13,77.30,77.41,76.64,77.34,357610
6-May-13,76.33,77.49,76.33,76.93,510587
3-May-13,75.97,77.70,75.97,76.51,663262
2-May-13,75.11,75.67,75.00,75.50,738841
1-May-13,75.94,76.58,75.58,75.82,348033
30-Apr-13,75.80,76.58,75.73,76.42,606532
29-Apr-13,75.21,76.40,75.02,75.59,979948
26-Apr-13,74.96,76.09,73.97,75.09,2034696
25-Apr-13,69.27,71.18,69.16,70.96,1658284
24-Apr-13,67.33,69.26,67.23,69.22,1140259
23-Apr-13,67.46,67.89,67.00,67.78,1087343
22-Apr-13,66.84,68.99,66.66,68.20,719907
19-Apr-13,67.02,67.30,66.40,67.27,849346
18-Apr-13,67.20,67.20,65.97,66.47,617122
17-Apr-13,68.08,68.14,66.80,67.46,874515
16-Apr-13,68.57,69.12,68.42,69.12,355731
15-Apr-13,69.55,69.63,67.65,68.17,940698
12-Apr-13,70.33,70.75,70.19,70.63,629648
11-Apr-13,69.63,71.20,69.53,70.97,667171
10-Apr-13,68.13,69.78,67.98,69.78,457206
9-Apr-13,67.33,67.97,66.75,67.67,809139
8-Apr-13,67.40,67.72,66.89,67.52,353047
5-Apr-13,66.89,68.56,66.62,67.99,691256
4-Apr-13,68.14,68.47,67.51,67.79,418896
3-Apr-13,69.07,69.34,68.25,68.63,620187
2-Apr-13,68.79,69.09,68.35,68.58,396216
1-Apr-13,68.96,69.16,67.47,67.88,564261
28-Mar-13,69.14,70.04,68.33,69.14,670822
27-Mar-13,68.01,69.20,67.66,68.86,387609
26-Mar-13,67.80,68.74,67.65,68.61,244410
25-Mar-13,68.25,68.44,67.47,67.59,354274
22-Mar-13,68.41,68.61,67.77,68.08,489416
21-Mar-13,68.58,69.06,68.17,68.24,328090
20-Mar-13,68.91,69.48,68.54,69.15,371602
19-Mar-13,68.93,69.04,67.71,68.59,363532
18-Mar-13,68.31,69.14,67.97,68.81,417605
15-Mar-13,69.52,69.75,68.93,69.58,346335
14-Mar-13,68.46,69.10,68.34,69.10,310809
13-Mar-13,68.83,69.00,68.41,68.88,365428
12-Mar-13,69.81,69.90,68.88,69.15,236575
11-Mar-13,68.54,69.37,68.27,69.14,328817
8-Mar-13,68.33,69.64,67.53,68.95,592708
7-Mar-13,68.50,68.66,67.76,68.01,557798
6-Mar-13,67.27,67.50,66.62,67.30,336786
5-Mar-13,66.74,66.74,66.15,66.44,483158
4-Mar-13,65.42,65.71,65.00,65.45,418709
1-Mar-13,65.30,65.91,64.73,65.91,438472
28-Feb-13,65.48,65.87,65.09,65.18,398453
