Date, Open, High, Low, Close, Volume
17-May-13,2.69,2.82,2.69,2.72,28118
16-May-13,2.75,2.80,2.66,2.73,18531
15-May-13,2.80,2.88,2.73,2.80,13270
14-May-13,2.82,2.88,2.81,2.81,8786
13-May-13,2.80,2.85,2.75,2.82,26335
10-May-13,2.80,2.90,2.80,2.82,8597
9-May-13,2.83,2.86,2.83,2.83,5182
8-May-13,2.86,2.88,2.83,2.84,3771
7-May-13,2.83,2.93,2.83,2.89,20032
6-May-13,2.85,2.92,2.83,2.84,26304
3-May-13,2.86,2.93,2.75,2.83,39883
2-May-13,2.92,2.92,2.82,2.86,26888
1-May-13,2.95,2.95,2.90,2.92,6053
30-Apr-13,3.03,3.03,2.93,2.96,20858
29-Apr-13,3.11,3.11,3.03,3.03,7189
26-Apr-13,3.11,3.15,3.09,3.11,13700
25-Apr-13,3.11,3.13,3.09,3.09,14857
24-Apr-13,3.12,3.15,3.12,3.12,12795
23-Apr-13,3.11,3.16,3.10,3.12,21433
22-Apr-13,3.20,3.20,3.12,3.15,16222
19-Apr-13,3.28,3.36,3.18,3.24,39663
18-Apr-13,3.31,3.31,3.16,3.25,9571
17-Apr-13,3.33,3.43,3.29,3.32,13603
16-Apr-13,3.38,3.64,3.33,3.41,44432
15-Apr-13,3.31,3.39,3.17,3.26,46586
12-Apr-13,3.76,3.76,3.26,3.31,148941
11-Apr-13,3.95,3.96,3.92,3.92,4918
10-Apr-13,3.85,4.05,3.84,3.99,21208
9-Apr-13,3.96,3.96,3.83,3.86,23548
8-Apr-13,3.93,4.03,3.85,4.03,39092
5-Apr-13,3.75,3.94,3.75,3.89,19999
4-Apr-13,3.88,3.88,3.75,3.79,18097
3-Apr-13,3.85,4.20,3.85,3.94,31340
2-Apr-13,-,-,-,3.75,36604
1-Apr-13,3.70,3.78,3.60,3.61,4405
28-Mar-13,3.70,3.88,3.70,3.70,6562
27-Mar-13,3.80,3.90,3.72,3.90,6588
26-Mar-13,3.71,3.90,3.71,3.80,10338
25-Mar-13,3.72,3.98,3.72,3.90,17420
22-Mar-13,3.98,4.00,3.72,4.00,8516
21-Mar-13,3.82,3.90,3.82,3.90,2709
20-Mar-13,3.98,3.98,3.80,3.80,4930
19-Mar-13,3.92,4.00,3.80,3.85,16328
18-Mar-13,3.95,4.10,3.90,3.90,11525
15-Mar-13,4.10,4.10,3.90,4.02,6055
14-Mar-13,4.15,4.15,3.85,3.92,17180
13-Mar-13,4.40,4.40,4.00,4.20,14147
12-Mar-13,4.21,4.40,4.19,4.40,14101
11-Mar-13,4.10,4.24,4.10,4.24,8767
8-Mar-13,4.15,4.30,4.14,4.25,8100
7-Mar-13,4.10,4.20,4.10,4.20,10868
6-Mar-13,4.11,4.12,4.00,4.07,13377
5-Mar-13,4.20,4.25,4.00,4.10,22203
4-Mar-13,4.50,4.53,3.65,4.06,86160
1-Mar-13,4.62,4.84,4.62,4.70,6051
28-Feb-13,4.54,4.80,4.50,4.80,13524
27-Feb-13,4.62,5.00,4.50,4.50,31732
26-Feb-13,4.85,5.00,4.63,4.78,28310
25-Feb-13,5.00,5.10,4.70,4.70,15300
22-Feb-13,5.50,5.50,5.00,5.00,51486
21-Feb-13,5.18,5.80,5.11,5.70,48894
20-Feb-13,5.20,5.40,5.01,5.20,88004
19-Feb-13,5.00,5.10,4.70,5.10,25855
15-Feb-13,5.12,5.22,5.06,5.10,12890
14-Feb-13,5.07,5.32,5.06,5.27,6500
13-Feb-13,5.25,5.35,5.10,5.10,6097
12-Feb-13,5.20,5.62,5.10,5.25,17778
11-Feb-13,5.16,5.40,5.11,5.30,25179
8-Feb-13,5.15,5.20,4.91,5.10,20360
7-Feb-13,4.85,5.07,4.75,5.00,12147
6-Feb-13,5.10,5.20,4.65,4.75,45678
5-Feb-13,5.10,5.23,5.10,5.17,35819
4-Feb-13,5.10,5.30,5.10,5.12,31300
1-Feb-13,5.21,5.70,5.21,5.50,23494
31-Jan-13,5.07,5.39,5.05,5.27,50584
30-Jan-13,5.60,6.15,5.07,5.60,380539
29-Jan-13,4.30,4.40,4.30,4.31,11686
28-Jan-13,4.35,4.35,4.30,4.30,9848
25-Jan-13,4.05,4.40,4.05,4.35,14277
24-Jan-13,4.12,4.30,3.88,4.30,31787
23-Jan-13,4.12,4.19,4.12,4.15,3572
22-Jan-13,4.40,4.40,4.11,4.13,7384
18-Jan-13,4.30,4.49,4.28,4.28,4132
17-Jan-13,4.25,4.40,4.25,4.40,8699
16-Jan-13,4.22,4.40,4.22,4.35,5946
15-Jan-13,4.40,4.66,4.24,4.35,24262
14-Jan-13,4.60,4.60,4.40,4.45,24328
11-Jan-13,4.60,4.89,4.60,4.71,24861
