Date, Open, High, Low, Close, Volume
17-May-13,24.12,24.13,23.48,23.62,62484
16-May-13,24.20,24.46,23.94,24.12,9319
15-May-13,24.09,24.36,23.81,24.36,13695
14-May-13,23.79,24.06,23.69,24.02,14596
13-May-13,24.24,24.25,23.46,23.64,22060
10-May-13,24.24,24.40,24.22,24.24,5994
9-May-13,24.09,24.50,24.06,24.18,16363
8-May-13,24.49,24.62,24.08,24.33,17180
7-May-13,24.26,24.49,24.26,24.48,12590
6-May-13,24.58,24.59,23.83,24.26,45239
3-May-13,23.50,24.75,23.48,24.66,34277
2-May-13,23.33,23.48,23.30,23.45,54123
1-May-13,23.38,23.50,23.30,23.30,98876
30-Apr-13,23.40,23.50,23.33,23.41,36921
29-Apr-13,23.35,23.50,23.24,23.42,23412
26-Apr-13,23.33,23.44,22.75,23.33,39064
25-Apr-13,23.55,23.60,23.40,23.47,147967
24-Apr-13,22.50,23.60,20.64,23.55,92604
23-Apr-13,23.59,23.59,23.18,23.35,52678
22-Apr-13,23.59,23.64,23.50,23.53,21099
19-Apr-13,23.50,23.70,23.32,23.55,106658
18-Apr-13,23.35,23.95,23.22,23.54,193066
17-Apr-13,22.11,22.75,22.11,22.55,146601
16-Apr-13,21.78,22.98,21.78,22.55,380662
15-Apr-13,19.91,19.91,19.48,19.61,39132
12-Apr-13,19.90,19.97,19.70,19.94,11754
11-Apr-13,19.99,19.99,19.80,19.94,13082
10-Apr-13,19.69,20.00,19.69,19.93,17681
9-Apr-13,19.91,19.95,19.73,19.89,47925
8-Apr-13,19.55,19.55,19.19,19.46,12260
5-Apr-13,19.12,19.60,19.11,19.44,18899
4-Apr-13,19.10,19.43,19.10,19.43,13633
3-Apr-13,19.18,19.33,19.05,19.10,16544
2-Apr-13,19.50,19.65,19.19,19.22,19799
1-Apr-13,19.43,19.60,19.41,19.46,32657
28-Mar-13,19.45,19.63,19.39,19.39,17938
27-Mar-13,19.22,19.52,19.20,19.41,10848
26-Mar-13,19.50,19.50,19.20,19.36,8148
25-Mar-13,19.34,19.45,19.20,19.35,11864
22-Mar-13,19.61,19.67,19.21,19.23,16467
21-Mar-13,19.74,19.74,19.43,19.54,17545
20-Mar-13,19.43,19.86,19.30,19.86,22949
19-Mar-13,19.20,19.42,18.96,19.39,37195
18-Mar-13,19.39,19.60,19.20,19.23,26703
15-Mar-13,19.65,19.77,18.93,19.62,62809
14-Mar-13,19.56,19.76,19.45,19.63,18773
13-Mar-13,19.56,19.72,19.20,19.71,38018
12-Mar-13,19.50,19.75,19.33,19.49,30856
11-Mar-13,19.92,19.92,19.50,19.59,16511
8-Mar-13,19.96,20.03,19.47,19.91,41101
7-Mar-13,19.88,19.98,19.88,19.98,7050
6-Mar-13,20.06,20.06,19.84,19.91,5802
5-Mar-13,19.92,20.02,19.78,19.95,13537
4-Mar-13,19.71,19.94,19.35,19.89,22584
1-Mar-13,19.20,19.84,19.13,19.69,16571
28-Feb-13,19.25,19.50,19.13,19.35,88103
27-Feb-13,19.25,19.49,19.20,19.27,21574
26-Feb-13,19.28,19.46,19.20,19.22,14452
25-Feb-13,19.51,19.66,19.20,19.20,29716
22-Feb-13,19.37,19.65,19.10,19.39,37159
21-Feb-13,18.96,19.36,18.96,19.24,20378
20-Feb-13,19.57,19.57,18.73,18.96,35103
19-Feb-13,20.00,20.00,19.37,19.54,38772
15-Feb-13,19.98,20.04,19.68,19.96,23184
14-Feb-13,19.64,19.82,19.50,19.81,12474
13-Feb-13,19.29,19.80,19.25,19.73,31146
12-Feb-13,19.28,19.36,19.20,19.22,24109
11-Feb-13,19.84,19.84,19.17,19.25,17079
8-Feb-13,19.38,19.96,19.35,19.79,15709
7-Feb-13,19.29,19.40,19.15,19.30,43062
6-Feb-13,19.59,19.70,19.29,19.34,19093
5-Feb-13,19.76,20.04,19.49,19.62,31773
4-Feb-13,19.78,19.99,19.55,19.64,24981
1-Feb-13,19.70,19.88,19.40,19.81,18841
31-Jan-13,19.42,19.83,19.31,19.57,37561
30-Jan-13,20.19,20.19,19.25,19.30,30170
29-Jan-13,20.09,20.49,19.91,20.27,40545
28-Jan-13,20.05,20.38,19.84,20.15,30793
25-Jan-13,19.70,20.34,19.70,19.91,30773
24-Jan-13,20.07,20.19,19.64,19.69,57951
23-Jan-13,19.38,20.60,19.38,19.99,93057
22-Jan-13,19.07,19.15,18.57,18.90,43133
18-Jan-13,19.05,19.22,18.74,19.17,43679
17-Jan-13,19.12,19.12,18.95,19.05,27389
16-Jan-13,19.00,19.08,18.95,19.01,17072
15-Jan-13,18.92,19.15,18.92,19.00,23935
14-Jan-13,19.13,19.14,18.88,19.06,7467
11-Jan-13,19.27,19.27,19.01,19.23,8648
10-Jan-13,19.38,19.42,19.01,19.23,61702
9-Jan-13,19.27,19.31,18.85,19.27,18250
8-Jan-13,19.20,19.30,19.08,19.17,11843
7-Jan-13,19.56,19.56,19.00,19.16,30807
4-Jan-13,19.58,19.70,19.54,19.61,13569
3-Jan-13,19.76,19.76,19.17,19.53,15673
2-Jan-13,19.85,19.85,19.49,19.69,57370
31-Dec-12,18.88,19.45,18.76,19.45,25319
28-Dec-12,19.14,19.14,18.68,18.74,17520
27-Dec-12,18.66,19.38,18.47,19.20,56533
26-Dec-12,19.65,19.65,18.97,19.04,16322
24-Dec-12,19.41,19.52,19.20,19.42,2925
21-Dec-12,19.78,19.78,19.29,19.33,74940
20-Dec-12,19.69,19.88,19.30,19.79,26764
19-Dec-12,19.89,19.89,19.54,19.60,26568
18-Dec-12,19.77,19.83,19.39,19.78,44286
17-Dec-12,19.34,19.76,19.34,19.69,37846
14-Dec-12,19.04,19.43,19.04,19.32,13924
13-Dec-12,19.11,19.27,19.04,19.13,24926
12-Dec-12,18.72,19.12,18.71,19.11,48694
11-Dec-12,18.90,18.94,18.71,18.81,144131
10-Dec-12,18.69,18.96,18.53,18.74,17174
7-Dec-12,18.85,18.85,18.65,18.71,12609
6-Dec-12,18.73,18.79,18.57,18.74,10839
5-Dec-12,19.00,19.04,18.71,18.76,29545
4-Dec-12,19.25,19.30,18.97,19.01,26536
3-Dec-12,19.50,19.50,19.06,19.17,19633
30-Nov-12,19.30,19.67,19.11,19.49,70464
29-Nov-12,19.41,19.50,19.16,19.34,22994
28-Nov-12,18.83,19.25,18.83,19.21,9069
27-Nov-12,18.62,19.20,18.60,18.95,31253
26-Nov-12,18.33,18.70,18.33,18.69,24683
23-Nov-12,18.18,18.46,18.18,18.34,21284
21-Nov-12,18.02,18.35,18.01,18.09,20699
20-Nov-12,18.26,18.31,17.84,18.00,46537
19-Nov-12,18.28,18.66,18.28,18.35,23897
16-Nov-12,18.00,18.30,17.86,18.09,29486
15-Nov-12,17.99,18.11,17.80,18.03,22141
14-Nov-12,18.54,19.03,18.00,18.02,32849
13-Nov-12,18.71,19.15,18.39,18.45,30771
12-Nov-12,18.50,18.92,18.46,18.75,28345
9-Nov-12,17.99,18.80,17.91,18.55,67759
8-Nov-12,17.96,18.25,17.96,18.09,34580
7-Nov-12,18.09,18.13,17.61,17.98,98371
6-Nov-12,18.22,18.36,18.13,18.24,8070
5-Nov-12,18.37,18.50,18.10,18.20,16139
2-Nov-12,18.38,18.50,18.14,18.32,36199
1-Nov-12,18.09,18.76,18.09,18.41,67705
31-Oct-12,18.03,18.30,18.00,18.03,337076
26-Oct-12,18.70,18.70,18.01,18.08,210398
25-Oct-12,19.29,19.70,18.63,18.70,62476
24-Oct-12,19.20,19.91,19.11,19.12,37263
23-Oct-12,19.25,19.32,19.00,19.17,36993
22-Oct-12,19.40,19.40,19.25,19.32,39332
19-Oct-12,19.32,19.46,19.26,19.26,59527
18-Oct-12,19.78,19.78,19.47,19.49,29000
17-Oct-12,19.80,20.00,19.66,19.74,8822
16-Oct-12,20.29,20.29,19.74,19.83,22331
15-Oct-12,20.29,20.29,19.97,20.13,7132
12-Oct-12,20.15,20.32,20.12,20.18,7195
11-Oct-12,20.25,20.25,20.09,20.19,7594
10-Oct-12,19.57,20.08,19.50,20.08,18423
9-Oct-12,20.05,20.05,19.56,19.60,44709
8-Oct-12,20.15,20.38,20.07,20.07,5870
5-Oct-12,20.36,20.69,20.17,20.22,25856
4-Oct-12,20.30,20.38,20.11,20.35,17002
3-Oct-12,20.20,20.25,19.98,20.24,19183
