Date, Open, High, Low, Close, Volume
17-May-13,7.45,7.50,6.89,6.97,3865686
16-May-13,7.62,8.08,7.38,7.57,3092806
15-May-13,8.60,8.75,7.78,7.82,3841882
14-May-13,9.10,9.33,8.79,8.86,2178222
13-May-13,9.36,9.38,9.10,9.13,1430795
10-May-13,9.29,9.55,9.12,9.49,2175102
9-May-13,9.55,10.00,9.43,9.51,1746558
8-May-13,9.40,9.98,9.32,9.74,2398878
7-May-13,9.82,9.82,9.16,9.31,2449741
6-May-13,10.09,10.10,9.73,9.77,1198136
3-May-13,9.96,10.20,9.77,9.98,2251462
2-May-13,10.04,10.20,9.46,9.96,3903942
1-May-13,10.50,10.52,9.58,9.92,5275680
30-Apr-13,11.10,11.83,10.31,10.70,5961727
29-Apr-13,11.32,11.98,11.27,11.83,1669049
26-Apr-13,11.57,11.81,11.25,11.41,1884336
25-Apr-13,12.06,12.15,11.46,11.63,2872779
24-Apr-13,10.94,11.85,10.94,11.52,3366760
23-Apr-13,10.75,10.83,10.25,10.68,1550670
22-Apr-13,11.18,11.28,10.58,10.85,1922328
19-Apr-13,10.86,11.01,10.64,10.92,2703695
18-Apr-13,10.71,10.94,10.20,10.63,2950527
17-Apr-13,11.38,11.75,10.42,10.45,3987716
16-Apr-13,12.31,12.45,11.27,11.44,3043561
15-Apr-13,12.36,12.59,11.65,11.88,4843425
12-Apr-13,13.17,13.66,12.87,13.17,2981107
11-Apr-13,14.21,14.38,13.55,13.67,2027226
10-Apr-13,15.21,15.21,13.87,14.16,4026495
9-Apr-13,11.87,15.74,11.85,15.35,8742099
8-Apr-13,11.95,12.52,11.72,11.79,3212105
5-Apr-13,13.74,13.96,12.30,12.45,4615304
4-Apr-13,13.30,13.83,13.03,13.72,2745007
3-Apr-13,14.43,14.67,13.26,13.45,3276168
2-Apr-13,16.24,16.45,14.43,14.43,2819568
1-Apr-13,16.42,16.65,15.90,16.27,1145847
28-Mar-13,16.94,16.94,15.65,16.46,2585439
27-Mar-13,16.85,17.31,16.76,17.05,963475
26-Mar-13,17.02,17.06,16.63,16.96,613680
25-Mar-13,17.05,17.39,16.59,17.09,960549
22-Mar-13,17.82,17.95,16.86,17.16,1963874
21-Mar-13,18.00,18.38,17.92,18.16,1063170
20-Mar-13,18.30,18.36,17.90,17.96,521472
19-Mar-13,18.18,18.47,17.92,18.34,1406305
18-Mar-13,18.37,18.86,18.04,18.14,849747
15-Mar-13,18.07,18.31,17.73,18.12,2610358
14-Mar-13,17.80,18.17,17.78,18.02,1111182
13-Mar-13,18.64,18.79,17.83,17.86,929931
12-Mar-13,18.57,18.76,18.36,18.62,1229414
11-Mar-13,18.40,18.68,18.01,18.27,1145690
8-Mar-13,17.79,18.47,17.65,18.14,2293948
7-Mar-13,18.05,18.38,17.87,17.88,1473668
6-Mar-13,17.11,18.16,16.96,18.00,1450511
5-Mar-13,17.39,17.78,16.89,16.98,1587473
4-Mar-13,17.66,17.77,17.20,17.33,945354
1-Mar-13,18.33,18.40,17.39,17.77,1652337
28-Feb-13,19.59,19.59,18.07,18.30,1372347
27-Feb-13,20.43,20.43,19.51,19.55,897745
26-Feb-13,19.45,20.60,19.45,20.46,1072836
25-Feb-13,19.69,19.88,19.00,19.62,1189559
22-Feb-13,20.60,21.12,19.19,19.43,1506110
21-Feb-13,20.08,21.38,20.08,20.77,1012948
20-Feb-13,21.06,21.09,20.07,20.15,1222828
19-Feb-13,21.74,21.81,20.96,21.35,1277388
15-Feb-13,23.30,23.30,21.84,22.00,1349187
14-Feb-13,23.15,23.68,23.05,23.47,608691
13-Feb-13,23.65,23.74,23.11,23.11,662577
12-Feb-13,23.22,23.76,23.04,23.55,620774
11-Feb-13,23.44,23.70,23.16,23.32,680797
8-Feb-13,24.27,24.27,23.67,23.71,591944
