Date, Open, High, Low, Close, Volume
17-May-13,39.00,39.12,38.07,38.72,900858
16-May-13,39.13,39.50,38.84,38.91,652036
15-May-13,39.01,39.33,38.63,38.97,1352455
14-May-13,38.00,38.71,37.95,38.37,658438
13-May-13,38.02,38.16,37.66,38.02,404234
10-May-13,37.68,38.47,37.48,38.05,508087
9-May-13,37.26,37.57,37.04,37.48,699488
8-May-13,36.50,37.49,36.44,37.44,1019549
7-May-13,36.28,36.72,36.28,36.52,777212
6-May-13,36.06,36.39,35.63,36.30,976369
3-May-13,36.42,36.72,36.15,36.48,628202
2-May-13,36.47,36.95,36.10,36.15,662229
1-May-13,36.75,37.67,36.27,36.35,1454325
30-Apr-13,36.02,36.35,35.74,36.34,371532
29-Apr-13,35.90,36.25,35.60,36.08,372197
26-Apr-13,36.05,36.57,35.23,35.80,542222
25-Apr-13,36.00,36.61,35.85,36.18,740917
24-Apr-13,35.38,35.99,35.20,35.86,660082
23-Apr-13,35.45,35.73,35.31,35.39,887443
22-Apr-13,35.72,35.98,35.21,35.49,660409
19-Apr-13,34.66,35.80,34.61,35.55,1492579
18-Apr-13,34.51,35.11,34.45,34.70,7532074
17-Apr-13,34.32,34.73,34.09,34.24,2677065
16-Apr-13,35.05,35.50,34.85,35.46,353679
15-Apr-13,35.30,35.30,34.58,34.80,528123
12-Apr-13,34.75,35.35,34.65,35.21,226862
11-Apr-13,35.28,35.32,34.92,35.09,199557
10-Apr-13,35.81,35.93,35.15,35.29,321400
9-Apr-13,34.93,35.86,34.71,35.66,898497
8-Apr-13,34.31,34.94,34.25,34.92,508901
5-Apr-13,33.40,34.35,33.05,34.23,510804
4-Apr-13,34.25,34.75,33.79,33.80,306019
3-Apr-13,34.90,34.90,34.00,34.19,374505
2-Apr-13,34.88,34.95,34.59,34.78,293277
1-Apr-13,34.67,34.79,34.25,34.65,339567
28-Mar-13,34.68,34.82,34.40,34.58,249308
27-Mar-13,34.51,34.70,34.06,34.56,357637
26-Mar-13,34.34,34.70,34.17,34.61,232342
25-Mar-13,33.63,34.15,33.63,34.13,434023
22-Mar-13,33.38,33.75,33.15,33.63,357591
21-Mar-13,32.50,33.17,32.45,33.11,344363
20-Mar-13,32.70,32.70,32.36,32.50,257252
