Date, Open, High, Low, Close, Volume
17-May-13,46.86,46.91,46.83,46.91,376493
16-May-13,46.80,46.87,46.79,46.85,411170
15-May-13,46.79,46.88,46.78,46.84,101266
14-May-13,46.77,46.85,46.76,46.85,116563
13-May-13,46.81,46.81,46.71,46.78,130039
10-May-13,46.79,46.81,46.78,46.80,86928
9-May-13,46.75,46.80,46.74,46.79,187465
8-May-13,46.73,46.80,46.73,46.80,175288
7-May-13,46.74,46.79,46.71,46.78,137323
6-May-13,46.74,46.75,46.67,46.75,102828
3-May-13,46.70,46.75,46.66,46.75,180873
2-May-13,46.75,46.80,46.60,46.64,211045
1-May-13,46.56,46.75,46.56,46.66,272922
30-Apr-13,46.60,46.69,46.60,46.69,117419
29-Apr-13,46.70,46.70,46.55,46.60,132084
26-Apr-13,46.69,46.73,46.59,46.62,165665
25-Apr-13,46.73,46.81,46.62,46.70,223876
24-Apr-13,46.72,46.83,46.68,46.74,120490
23-Apr-13,46.82,46.84,46.60,46.76,349255
22-Apr-13,46.72,46.85,46.67,46.72,162074
19-Apr-13,46.72,46.77,46.65,46.76,235487
18-Apr-13,46.71,46.77,46.64,46.66,311559
17-Apr-13,46.70,46.73,46.68,46.71,438072
16-Apr-13,46.78,46.86,46.64,46.74,347943
15-Apr-13,46.72,46.75,46.63,46.66,409465
12-Apr-13,46.71,46.77,46.70,46.72,166283
11-Apr-13,46.80,46.81,46.72,46.75,150211
10-Apr-13,46.75,46.86,46.75,46.80,181277
9-Apr-13,46.80,46.80,46.68,46.72,126496
8-Apr-13,46.84,46.85,46.66,46.84,252885
5-Apr-13,46.84,46.87,46.81,46.85,158285
4-Apr-13,46.94,46.94,46.84,46.87,383713
3-Apr-13,46.88,46.97,46.86,46.95,433825
2-Apr-13,46.94,46.95,46.84,46.86,290120
1-Apr-13,46.88,46.95,46.84,46.95,218213
28-Mar-13,46.85,46.92,46.85,46.87,148004
27-Mar-13,46.84,46.95,46.84,46.87,224877
26-Mar-13,46.89,46.95,46.84,46.87,176359
25-Mar-13,46.89,46.98,46.85,46.85,135787
22-Mar-13,46.92,46.96,46.85,46.87,144257
21-Mar-13,46.91,46.94,46.87,46.88,142642
20-Mar-13,46.96,46.99,46.88,46.94,332683
19-Mar-13,46.94,46.99,46.85,46.87,307510
18-Mar-13,46.80,46.97,46.78,46.91,223843
15-Mar-13,46.94,47.01,46.87,46.98,289038
14-Mar-13,46.78,46.95,46.78,46.87,710782
13-Mar-13,46.87,46.88,46.75,46.78,435443
12-Mar-13,46.88,46.93,46.88,46.88,184881
11-Mar-13,46.96,47.00,46.77,46.88,924321
8-Mar-13,47.03,47.10,46.99,47.06,415605
7-Mar-13,46.90,47.02,46.88,47.02,916471
6-Mar-13,46.85,46.95,46.85,46.92,532741
5-Mar-13,46.94,46.94,46.75,46.82,359199
4-Mar-13,46.78,46.85,46.76,46.84,206397
1-Mar-13,46.80,46.94,46.75,46.76,432262
28-Feb-13,46.88,46.97,46.82,46.84,397775
27-Feb-13,46.75,47.01,46.75,46.96,654100
26-Feb-13,46.85,46.91,46.73,46.73,449523
25-Feb-13,47.00,47.00,46.85,46.85,280876
22-Feb-13,46.92,47.00,46.89,46.92,600146
21-Feb-13,46.91,47.02,46.87,46.90,309219
20-Feb-13,47.03,47.10,46.90,46.90,152266
19-Feb-13,46.87,47.08,46.81,47.04,1463230
15-Feb-13,47.12,47.17,46.90,46.90,457605
14-Feb-13,47.05,47.09,46.98,46.98,229873
13-Feb-13,47.10,47.10,47.00,47.09,395011
12-Feb-13,47.00,47.09,46.99,47.05,339495
11-Feb-13,47.00,47.10,46.95,47.00,248044
