Date, Open, High, Low, Close, Volume
17-May-13,5.06,5.06,5.00,5.01,500
16-May-13,4.84,4.91,4.65,4.65,2564
10-May-13,5.12,5.12,5.12,5.12,300
9-May-13,5.11,5.11,5.11,5.11,100
8-May-13,4.80,5.01,4.80,5.01,1478
7-May-13,4.71,4.71,4.71,4.71,600
3-May-13,5.06,5.06,5.05,5.05,600
2-May-13,5.10,5.10,5.10,5.10,900
1-May-13,5.04,5.04,5.04,5.04,600
30-Apr-13,5.06,5.06,5.06,5.06,200
29-Apr-13,5.04,5.04,5.00,5.04,1800
24-Apr-13,5.04,5.04,5.04,5.04,100
23-Apr-13,5.05,5.05,4.99,4.99,2300
22-Apr-13,5.13,5.13,5.13,5.13,200
19-Apr-13,5.16,5.16,5.10,5.10,2900
18-Apr-13,5.16,5.16,5.16,5.16,100
17-Apr-13,5.28,5.28,5.02,5.02,1205
16-Apr-13,5.33,5.33,5.27,5.27,1020
15-Apr-13,5.36,5.50,5.35,5.50,900
11-Apr-13,5.35,5.35,5.35,5.35,200
10-Apr-13,5.23,5.23,5.20,5.20,6400
9-Apr-13,5.04,5.20,5.00,5.20,19793
8-Apr-13,5.03,5.04,5.00,5.00,1300
5-Apr-13,5.10,5.10,5.07,5.10,911
4-Apr-13,5.07,5.07,5.07,5.07,100
3-Apr-13,5.00,5.00,5.00,5.00,900
1-Apr-13,5.18,5.18,4.85,5.02,500
25-Mar-13,5.24,5.25,5.24,5.25,209
22-Mar-13,5.28,5.28,5.17,5.18,1617
21-Mar-13,5.43,5.43,5.20,5.30,2200
20-Mar-13,5.46,5.46,5.43,5.44,1000
19-Mar-13,5.60,5.60,5.60,5.60,300
12-Mar-13,5.51,5.51,5.51,5.51,100
11-Mar-13,5.53,5.53,5.51,5.51,300
8-Mar-13,5.54,5.54,5.53,5.53,900
7-Mar-13,5.55,5.55,5.54,5.54,400
6-Mar-13,5.61,5.75,5.55,5.55,1702
5-Mar-13,5.56,5.56,5.56,5.56,700
28-Feb-13,5.52,5.52,5.52,5.52,300
27-Feb-13,5.60,5.60,5.60,5.60,200
26-Feb-13,5.56,5.56,5.56,5.56,200
25-Feb-13,5.56,5.56,5.56,5.56,100
22-Feb-13,5.52,5.52,5.52,5.52,100
21-Feb-13,5.57,5.57,5.57,5.57,100
20-Feb-13,5.67,5.67,5.67,5.67,212
19-Feb-13,5.80,5.83,5.48,5.54,3421
14-Feb-13,5.88,5.88,5.82,5.82,1100
