Date, Open, High, Low, Close, Volume
17-May-13,5.46,5.66,5.33,5.59,770690
16-May-13,5.49,5.50,5.32,5.42,578482
15-May-13,5.78,5.82,5.46,5.49,945059
14-May-13,5.67,5.90,5.66,5.76,757033
13-May-13,5.51,5.75,5.40,5.74,1522374
10-May-13,5.34,5.61,5.34,5.55,1722269
9-May-13,5.26,5.54,5.16,5.50,2015809
8-May-13,5.46,5.55,5.17,5.26,2657985
7-May-13,5.85,5.88,5.41,5.56,1890951
6-May-13,5.82,5.91,5.78,5.81,1341098
3-May-13,5.92,5.99,5.74,5.80,1777551
2-May-13,6.00,6.22,5.78,5.87,2004159
1-May-13,6.80,6.80,5.78,6.00,3840723
30-Apr-13,6.94,6.95,6.79,6.88,1400473
29-Apr-13,6.70,6.90,6.68,6.85,1846013
26-Apr-13,6.71,6.75,6.54,6.74,1272509
25-Apr-13,6.50,6.80,6.49,6.73,1716653
24-Apr-13,6.54,6.54,6.38,6.48,1005645
23-Apr-13,6.45,6.65,6.36,6.54,1102231
22-Apr-13,6.48,6.52,6.24,6.35,1756683
19-Apr-13,6.15,6.64,6.13,6.44,2568418
18-Apr-13,6.22,6.26,6.07,6.17,1012070
17-Apr-13,6.28,6.28,5.95,6.22,1374406
16-Apr-13,6.19,6.34,6.12,6.28,1002325
15-Apr-13,6.38,6.38,5.99,6.08,1715772
12-Apr-13,6.32,6.43,6.14,6.38,1497601
11-Apr-13,6.11,6.46,6.11,6.32,2390921
10-Apr-13,6.02,6.21,5.94,6.18,3114495
9-Apr-13,5.57,5.93,5.53,5.87,2722434
8-Apr-13,5.47,5.54,5.24,5.50,1724165
5-Apr-13,5.17,5.49,5.08,5.39,1726307
4-Apr-13,5.58,5.60,5.16,5.23,4183706
3-Apr-13,5.41,5.81,5.40,5.57,6809232
2-Apr-13,4.73,5.09,4.70,5.05,4093288
1-Apr-13,4.47,4.70,4.47,4.57,2187483
28-Mar-13,4.29,4.54,4.26,4.46,3771513
27-Mar-13,4.26,4.35,4.23,4.27,2137770
26-Mar-13,4.15,4.34,4.15,4.26,1237162
25-Mar-13,4.07,4.16,3.98,4.12,1587282
22-Mar-13,3.90,4.13,3.89,4.07,1563326
21-Mar-13,3.95,4.00,3.81,3.87,835337
20-Mar-13,3.96,4.03,3.91,3.99,809023
19-Mar-13,4.06,4.12,3.94,3.94,970179
18-Mar-13,3.93,4.16,3.93,4.04,793671
15-Mar-13,4.25,4.29,3.93,3.99,3774529
14-Mar-13,4.34,4.34,4.24,4.29,1092476
13-Mar-13,4.28,4.37,4.15,4.33,1819247
12-Mar-13,4.29,4.39,4.29,4.34,827288
11-Mar-13,4.48,4.50,4.21,4.29,1830129
8-Mar-13,4.12,4.58,4.12,4.52,2838357
7-Mar-13,3.81,4.12,3.74,4.12,2925379
6-Mar-13,3.40,3.84,3.37,3.77,2425677
5-Mar-13,3.39,3.50,3.36,3.39,923814
4-Mar-13,3.31,3.50,3.28,3.38,1864093
1-Mar-13,3.21,3.33,3.14,3.31,572956
28-Feb-13,3.20,3.27,3.16,3.26,473675
27-Feb-13,3.13,3.24,3.08,3.19,572399
26-Feb-13,3.01,3.15,2.94,3.13,1759656
25-Feb-13,3.13,3.14,2.97,3.01,539526
22-Feb-13,3.10,3.16,3.06,3.10,604232
