Date, Open, High, Low, Close, Volume
17-May-13,16.33,16.90,16.33,16.88,14118
16-May-13,16.53,16.54,16.45,16.45,4767
15-May-13,16.59,16.62,16.51,16.59,32011
14-May-13,16.55,16.85,16.55,16.84,66837
13-May-13,16.33,16.33,16.25,16.28,7958
10-May-13,16.47,16.59,16.44,16.53,39057
9-May-13,16.01,16.26,15.78,16.21,35690
8-May-13,15.53,15.69,15.49,15.57,62620
7-May-13,15.30,15.53,15.30,15.44,93586
6-May-13,15.15,15.17,15.06,15.12,41030
3-May-13,15.12,15.26,15.02,15.14,19685
2-May-13,14.71,14.92,14.69,14.87,13556
1-May-13,14.89,14.89,14.70,14.73,20024
30-Apr-13,14.96,15.00,14.86,15.00,6246
29-Apr-13,14.52,14.54,14.47,14.48,9049
26-Apr-13,14.37,14.42,14.24,14.42,22626
25-Apr-13,15.11,15.40,15.07,15.40,25152
24-Apr-13,15.00,15.18,15.00,15.11,6956
23-Apr-13,14.45,14.72,14.45,14.70,5923
22-Apr-13,13.94,14.04,13.86,13.94,9357
19-Apr-13,13.84,14.19,13.84,14.19,12280
18-Apr-13,13.72,13.81,13.60,13.77,44952
17-Apr-13,13.68,13.78,13.61,13.74,5336
16-Apr-13,13.75,13.92,13.75,13.82,3981
15-Apr-13,13.63,13.72,13.63,13.67,6935
12-Apr-13,13.74,13.80,13.67,13.77,1961
11-Apr-13,13.94,14.06,13.81,13.99,25144
10-Apr-13,13.85,14.13,13.85,14.06,21488
9-Apr-13,13.48,13.61,13.39,13.56,3930
8-Apr-13,13.43,13.67,13.41,13.60,3886
5-Apr-13,13.22,13.74,13.10,13.73,10377
4-Apr-13,14.17,14.40,14.16,14.27,8897
3-Apr-13,13.92,13.94,13.57,13.57,9792
2-Apr-13,14.28,14.46,14.23,14.43,40763
1-Apr-13,14.08,14.50,14.08,14.27,14859
28-Mar-13,14.08,14.09,14.02,14.06,4702
27-Mar-13,14.49,14.49,14.23,14.27,147297
26-Mar-13,14.77,14.83,14.64,14.81,17700
25-Mar-13,15.19,15.19,14.82,14.92,4480
22-Mar-13,14.82,15.00,14.81,15.00,16339
21-Mar-13,14.92,15.01,14.88,14.88,4550
20-Mar-13,15.49,15.60,15.46,15.57,3011
19-Mar-13,15.20,15.33,15.20,15.32,2764
18-Mar-13,15.14,15.22,15.07,15.07,3893
15-Mar-13,15.35,15.40,15.29,15.34,12447
14-Mar-13,15.45,15.62,15.39,15.56,10292
13-Mar-13,14.93,15.17,14.93,15.13,7046
12-Mar-13,14.68,14.75,14.65,14.65,5436
11-Mar-13,14.48,14.51,14.35,14.48,15289
8-Mar-13,14.78,14.86,14.62,14.84,6562
7-Mar-13,14.48,14.53,14.41,14.44,12520
6-Mar-13,14.35,14.52,14.31,14.51,57427
5-Mar-13,14.24,14.41,14.13,14.30,47525
