Date, Open, High, Low, Close, Volume
17-May-13,13.66,13.77,13.53,13.69,20097
16-May-13,13.59,13.82,13.42,13.63,17744
15-May-13,13.65,13.74,13.64,13.67,58987
14-May-13,13.56,13.72,13.41,13.65,28654
13-May-13,13.65,13.66,13.51,13.59,33457
10-May-13,13.66,13.80,13.66,13.69,24271
9-May-13,13.14,13.63,13.14,13.60,44010
8-May-13,12.93,13.21,12.93,13.19,6779
7-May-13,12.93,13.05,12.64,13.01,9879
6-May-13,12.64,12.94,12.61,12.94,5536
3-May-13,12.34,12.91,12.34,12.88,6524
2-May-13,12.30,12.31,12.10,12.20,10206
1-May-13,12.54,12.62,11.97,12.27,32526
30-Apr-13,12.62,12.64,12.55,12.62,8898
29-Apr-13,12.51,12.65,12.49,12.61,7859
26-Apr-13,12.65,12.70,12.42,12.42,13069
25-Apr-13,12.59,12.65,12.47,12.64,19780
24-Apr-13,12.46,12.63,12.40,12.48,4313
23-Apr-13,12.63,12.63,12.34,12.51,3873
22-Apr-13,12.81,12.93,12.44,12.51,9293
19-Apr-13,12.27,12.68,12.27,12.65,8078
18-Apr-13,12.31,12.54,12.27,12.27,8618
17-Apr-13,13.21,13.21,12.10,12.25,14780
16-Apr-13,12.93,13.37,12.93,13.32,5324
15-Apr-13,12.90,13.11,12.80,12.82,16031
12-Apr-13,12.72,13.05,12.72,12.95,3878
11-Apr-13,12.81,13.08,12.81,12.93,9034
10-Apr-13,12.87,13.12,12.69,13.08,7697
9-Apr-13,13.11,13.27,12.72,12.89,35412
8-Apr-13,13.38,13.38,12.99,13.27,5479
5-Apr-13,13.08,13.51,13.02,13.37,8036
4-Apr-13,13.22,13.35,13.05,13.34,4205
3-Apr-13,13.32,13.51,13.09,13.16,18413
2-Apr-13,13.29,13.53,13.27,13.31,7240
1-Apr-13,13.79,13.93,12.82,13.24,20606
28-Mar-13,13.77,13.99,13.76,13.77,33203
27-Mar-13,13.84,13.95,13.70,13.74,19223
26-Mar-13,13.93,14.10,13.64,13.99,10688
25-Mar-13,13.68,13.86,13.50,13.81,8452
22-Mar-13,13.25,13.67,13.25,13.67,8528
21-Mar-13,13.39,13.39,13.16,13.31,58275
20-Mar-13,13.37,13.56,13.08,13.56,6509
19-Mar-13,13.52,13.52,12.98,13.32,8325
18-Mar-13,12.75,13.20,12.75,12.96,5178
15-Mar-13,13.46,13.47,12.87,12.87,40734
14-Mar-13,13.16,13.43,13.00,13.43,14575
13-Mar-13,12.95,13.21,12.95,13.17,24776
12-Mar-13,13.03,13.20,12.69,12.90,9885
11-Mar-13,12.76,13.10,12.49,13.10,10732
8-Mar-13,12.16,12.95,12.13,12.91,23180
7-Mar-13,12.50,12.62,11.80,12.05,20762
6-Mar-13,12.66,12.72,12.27,12.38,4787
5-Mar-13,12.12,12.50,12.12,12.34,7527
4-Mar-13,12.02,12.10,11.93,12.10,4941
1-Mar-13,12.04,12.41,11.90,12.00,22007
28-Feb-13,12.72,12.72,12.06,12.21,10268
27-Feb-13,12.50,12.50,12.36,12.43,7182
26-Feb-13,12.51,12.65,12.41,12.54,3501
25-Feb-13,12.59,12.90,12.38,12.41,23042
22-Feb-13,12.35,12.57,12.33,12.54,9822
21-Feb-13,12.23,12.43,11.92,12.27,16554
20-Feb-13,12.67,12.81,12.18,12.18,20769
19-Feb-13,12.40,12.74,11.90,12.64,21708
15-Feb-13,12.55,12.55,12.20,12.41,36388
14-Feb-13,12.11,12.50,12.11,12.44,42810
13-Feb-13,12.25,12.29,12.00,12.11,16418
12-Feb-13,12.02,12.44,12.02,12.27,15347
11-Feb-13,12.02,12.11,11.95,11.95,93021
8-Feb-13,11.99,12.11,11.95,12.09,10995
7-Feb-13,12.06,12.12,11.95,11.99,11841
6-Feb-13,12.16,12.26,11.95,12.09,38985
5-Feb-13,11.95,12.29,11.95,12.26,231205
4-Feb-13,11.44,11.44,11.02,11.05,17716
1-Feb-13,11.45,11.50,11.11,11.44,20329
31-Jan-13,11.30,11.45,11.25,11.44,9626
30-Jan-13,11.24,11.32,11.22,11.27,3161
29-Jan-13,11.00,11.25,10.85,11.20,40499
28-Jan-13,10.87,10.99,10.75,10.97,16470
25-Jan-13,11.00,11.23,10.80,10.89,6343
24-Jan-13,11.36,11.36,10.87,10.99,2826
23-Jan-13,11.28,11.38,11.06,11.06,5486
22-Jan-13,11.12,11.40,11.02,11.32,17977
18-Jan-13,11.10,11.15,10.93,11.10,50689
17-Jan-13,10.74,11.15,10.71,11.14,15982
16-Jan-13,10.72,10.72,10.45,10.66,9737
15-Jan-13,10.78,10.78,10.63,10.67,10807
14-Jan-13,10.58,10.88,10.58,10.84,5435
11-Jan-13,10.89,10.90,10.77,10.80,4570
10-Jan-13,10.80,10.87,10.68,10.87,10340
9-Jan-13,10.84,10.96,10.73,10.80,5846
8-Jan-13,10.67,10.80,10.64,10.78,9344
7-Jan-13,11.04,11.04,10.64,10.71,17642
4-Jan-13,11.04,11.18,11.04,11.13,9750
3-Jan-13,11.07,11.11,10.31,11.01,16935
2-Jan-13,10.88,11.14,10.83,11.03,51626
31-Dec-12,10.63,10.79,10.49,10.78,26285
28-Dec-12,10.72,10.75,10.63,10.65,11696
27-Dec-12,10.69,10.79,10.66,10.73,11177
26-Dec-12,10.57,10.76,10.57,10.73,9052
24-Dec-12,10.80,10.90,10.51,10.51,5506
21-Dec-12,10.84,10.85,10.69,10.82,76253
20-Dec-12,10.61,10.84,10.61,10.80,24808
19-Dec-12,10.47,10.76,10.25,10.65,30671
18-Dec-12,10.01,10.50,10.00,10.50,35355
17-Dec-12,9.93,10.00,9.83,9.92,23664
14-Dec-12,9.49,9.92,9.45,9.92,40021
13-Dec-12,9.57,9.64,9.43,9.54,6670
12-Dec-12,9.82,9.82,9.46,9.59,49296
11-Dec-12,9.76,9.85,9.53,9.84,14867
10-Dec-12,9.68,9.78,9.60,9.67,17162
7-Dec-12,9.53,9.67,9.41,9.67,12272
6-Dec-12,9.51,9.68,9.42,9.46,19551
5-Dec-12,9.77,9.77,9.50,9.56,17055
4-Dec-12,9.77,9.90,9.70,9.72,16701
3-Dec-12,9.80,9.89,9.80,9.80,7585
30-Nov-12,9.76,9.80,9.57,9.80,15889
29-Nov-12,9.60,9.81,9.47,9.76,30362
28-Nov-12,9.45,9.62,9.44,9.50,14598
27-Nov-12,9.90,9.90,9.50,9.54,37545
26-Nov-12,9.66,9.71,9.55,9.59,17840
23-Nov-12,9.80,9.89,9.50,9.80,12245
21-Nov-12,9.65,9.75,9.61,9.74,8832
20-Nov-12,9.30,9.50,9.22,9.45,8958
19-Nov-12,9.24,9.47,9.24,9.29,16651
16-Nov-12,9.16,9.31,9.10,9.18,21569
15-Nov-12,9.38,9.51,9.17,9.22,13144
14-Nov-12,9.65,9.68,9.29,9.34,11150
13-Nov-12,9.70,9.74,9.49,9.63,16884
12-Nov-12,9.05,9.87,9.05,9.71,30645
9-Nov-12,8.53,8.96,8.38,8.80,20884
8-Nov-12,8.58,8.83,8.51,8.51,90241
7-Nov-12,9.28,9.30,8.49,8.57,509952
6-Nov-12,9.40,9.51,9.31,9.35,10601
5-Nov-12,9.30,9.39,9.26,9.37,8160
2-Nov-12,9.50,9.50,9.20,9.30,26058
1-Nov-12,9.46,9.75,9.37,9.44,21891
31-Oct-12,9.42,9.52,9.42,9.47,20191
26-Oct-12,9.34,9.43,9.32,9.40,27187
25-Oct-12,9.35,9.67,9.20,9.30,65208
24-Oct-12,9.55,9.67,9.40,9.58,25918
23-Oct-12,9.50,9.57,9.44,9.51,20813
22-Oct-12,9.54,9.56,9.50,9.53,26143
19-Oct-12,9.83,9.88,9.55,9.56,16819
18-Oct-12,9.94,10.01,9.85,9.88,15851
17-Oct-12,9.94,9.96,9.78,9.92,18428
16-Oct-12,10.00,10.04,9.93,9.94,38883
15-Oct-12,9.99,10.04,9.95,9.99,14222
12-Oct-12,9.99,10.01,9.96,9.98,8159
11-Oct-12,10.00,10.02,9.91,9.97,15119
10-Oct-12,9.98,10.02,9.92,9.99,5734
9-Oct-12,10.00,10.03,9.95,9.99,5896
8-Oct-12,10.01,10.08,9.92,9.96,8247
5-Oct-12,10.11,10.11,9.99,10.00,14559
4-Oct-12,9.97,10.03,9.90,10.03,13297
3-Oct-12,9.99,10.08,9.94,9.97,17977
2-Oct-12,9.95,10.03,9.95,10.00,16642
1-Oct-12,10.01,10.14,9.90,9.94,18832
28-Sep-12,10.22,10.22,9.92,9.97,18215
27-Sep-12,10.12,10.33,10.05,10.29,12202
26-Sep-12,10.42,10.50,10.31,10.36,13516
25-Sep-12,10.39,10.59,10.28,10.40,22551
24-Sep-12,10.16,10.35,10.04,10.35,6185
21-Sep-12,10.43,10.45,9.97,10.18,34504
20-Sep-12,10.35,10.35,10.22,10.29,6778
19-Sep-12,10.33,10.45,10.23,10.39,11652
18-Sep-12,10.17,10.43,10.15,10.38,22717
17-Sep-12,10.20,10.30,10.14,10.27,10434
14-Sep-12,10.26,10.26,10.00,10.13,20858
13-Sep-12,10.12,10.24,10.10,10.22,15431
12-Sep-12,10.19,10.19,10.06,10.10,2887
11-Sep-12,10.10,10.15,10.09,10.15,3644
10-Sep-12,9.99,10.15,9.89,10.02,18629
7-Sep-12,9.89,9.97,9.67,9.97,10039
6-Sep-12,9.84,9.97,9.74,9.83,19685
5-Sep-12,9.78,9.96,9.56,9.79,15225
4-Sep-12,9.92,9.99,9.84,9.86,35401
31-Aug-12,9.83,10.00,9.75,9.91,6828
30-Aug-12,9.81,9.88,9.71,9.71,16069
29-Aug-12,9.90,9.90,9.82,9.85,8576
28-Aug-12,9.86,9.97,9.81,9.85,20254
27-Aug-12,9.84,9.85,9.78,9.85,3509
24-Aug-12,9.64,9.81,9.60,9.77,5796
23-Aug-12,9.77,9.77,9.56,9.69,8570
22-Aug-12,9.75,9.84,9.68,9.83,3807
21-Aug-12,9.68,9.92,9.68,9.82,6158
20-Aug-12,10.14,10.14,9.54,9.64,51194
17-Aug-12,10.04,10.15,9.91,10.15,26398
16-Aug-12,9.96,10.10,9.83,10.10,13413
15-Aug-12,9.70,9.97,9.70,9.96,8345
14-Aug-12,9.76,9.87,9.65,9.68,14218
13-Aug-12,9.78,9.84,9.70,9.73,6013
10-Aug-12,10.01,10.06,9.90,9.95,4567
9-Aug-12,9.90,10.03,9.81,10.03,9267
8-Aug-12,9.70,10.04,9.70,9.88,4214
7-Aug-12,9.93,10.03,9.79,9.89,14080
6-Aug-12,9.77,10.10,9.41,10.02,11880
3-Aug-12,9.71,9.98,9.62,9.76,11610
2-Aug-12,9.43,9.76,9.43,9.48,15822
1-Aug-12,9.68,9.68,9.38,9.43,28507
31-Jul-12,9.73,9.88,9.60,9.63,10879
30-Jul-12,10.00,10.04,9.78,9.78,5370
27-Jul-12,9.88,10.02,9.70,10.02,16747
26-Jul-12,9.90,9.95,9.63,9.88,10742
25-Jul-12,9.92,10.06,9.63,9.80,10048
24-Jul-12,9.50,9.90,9.50,9.81,15847
23-Jul-12,9.55,9.61,9.37,9.43,34515
20-Jul-12,9.86,10.01,9.66,9.69,28252
19-Jul-12,10.25,10.25,9.79,9.92,10352
18-Jul-12,10.30,10.91,10.19,10.25,50727
17-Jul-12,10.27,10.44,9.40,10.30,7598
16-Jul-12,10.20,10.28,10.20,10.23,3871
13-Jul-12,10.15,10.25,10.15,10.21,7295
12-Jul-12,10.09,10.20,9.96,10.14,8078
11-Jul-12,10.00,10.10,9.89,9.96,8683
10-Jul-12,10.12,10.20,9.87,9.99,11723
9-Jul-12,10.00,10.37,9.73,10.09,9132
6-Jul-12,10.28,10.28,10.16,10.20,4925
5-Jul-12,10.15,10.50,10.14,10.38,8776
3-Jul-12,10.05,10.24,9.84,10.22,20494
2-Jul-12,9.94,10.09,9.80,10.09,30081
29-Jun-12,9.88,9.94,9.65,9.87,23509
28-Jun-12,9.54,9.64,9.24,9.64,16116
27-Jun-12,9.67,9.76,9.60,9.64,16447
26-Jun-12,9.57,9.71,9.50,9.66,9186
25-Jun-12,9.70,10.11,9.45,9.60,23658
