Date, Open, High, Low, Close, Volume
17-May-13,1.53,1.54,1.52,1.52,188146
16-May-13,1.48,1.55,1.48,1.53,219664
15-May-13,1.57,1.58,1.50,1.50,262701
14-May-13,1.58,1.63,1.55,1.58,226062
13-May-13,1.50,1.57,1.49,1.56,168390
10-May-13,1.51,1.54,1.49,1.51,443485
9-May-13,1.50,1.61,1.50,1.55,265152
8-May-13,1.60,1.64,1.58,1.60,175623
7-May-13,1.65,1.66,1.56,1.60,231673
6-May-13,1.64,1.76,1.64,1.67,163338
3-May-13,1.63,1.81,1.63,1.68,243983
2-May-13,1.74,1.76,1.63,1.65,204301
1-May-13,1.78,1.81,1.67,1.74,226581
30-Apr-13,1.92,1.92,1.77,1.82,213184
29-Apr-13,1.85,1.92,1.82,1.91,234579
26-Apr-13,1.76,1.86,1.76,1.83,606084
25-Apr-13,1.75,1.83,1.68,1.75,593256
24-Apr-13,1.51,1.76,1.47,1.74,777326
23-Apr-13,1.52,1.60,1.47,1.57,163504
22-Apr-13,1.63,1.66,1.55,1.57,228521
19-Apr-13,1.65,1.65,1.52,1.58,209886
18-Apr-13,1.52,1.65,1.47,1.62,228253
17-Apr-13,1.61,1.65,1.46,1.51,562595
16-Apr-13,1.68,1.75,1.58,1.60,376688
15-Apr-13,1.78,1.85,1.60,1.63,753448
12-Apr-13,2.05,2.05,1.86,1.91,542105
11-Apr-13,2.12,2.16,2.03,2.06,314281
10-Apr-13,2.24,2.28,2.11,2.12,311614
9-Apr-13,2.21,2.27,2.19,2.23,288645
8-Apr-13,2.24,2.35,2.16,2.17,267236
5-Apr-13,2.20,2.34,2.16,2.30,276694
4-Apr-13,2.17,2.24,2.10,2.19,293957
3-Apr-13,2.28,2.32,2.18,2.20,343634
2-Apr-13,2.38,2.47,2.27,2.30,314330
1-Apr-13,2.35,2.47,2.30,2.45,167887
28-Mar-13,2.52,2.52,2.32,2.38,233017
27-Mar-13,2.44,2.52,2.36,2.48,129097
26-Mar-13,2.48,2.55,2.36,2.41,233784
25-Mar-13,2.56,2.58,2.40,2.45,263272
22-Mar-13,2.62,2.66,2.55,2.57,192509
21-Mar-13,2.72,2.75,2.58,2.64,215985
20-Mar-13,2.60,2.89,2.58,2.67,215339
19-Mar-13,2.68,2.70,2.57,2.57,224656
18-Mar-13,2.94,2.96,2.67,2.69,329013
15-Mar-13,2.78,3.11,2.76,2.89,1219735
14-Mar-13,2.64,2.75,2.57,2.73,215861
13-Mar-13,2.70,2.70,2.59,2.62,154703
12-Mar-13,2.70,2.79,2.64,2.69,274791
11-Mar-13,2.53,2.78,2.53,2.69,467332
8-Mar-13,2.31,2.52,2.25,2.49,381395
7-Mar-13,2.46,2.53,2.27,2.39,423394
6-Mar-13,2.28,2.47,2.16,2.45,671839
5-Mar-13,2.48,2.48,2.23,2.28,465478
4-Mar-13,2.75,2.75,2.36,2.42,796506
1-Mar-13,2.91,3.03,2.73,2.75,378103
28-Feb-13,3.00,3.12,2.87,2.90,287412
27-Feb-13,3.14,3.16,2.96,3.00,194479
26-Feb-13,3.12,3.27,3.02,3.18,395159
25-Feb-13,2.95,3.16,2.95,3.10,357885
22-Feb-13,2.90,2.94,2.85,2.90,208368
21-Feb-13,2.83,2.94,2.81,2.85,353474
20-Feb-13,2.99,3.03,2.80,2.80,676854
19-Feb-13,3.15,3.16,3.02,3.03,433994
15-Feb-13,3.29,3.30,3.10,3.14,568945
14-Feb-13,3.39,3.44,3.21,3.23,534070
13-Feb-13,3.23,3.45,3.23,3.33,334952
12-Feb-13,3.36,3.37,3.20,3.20,325497
11-Feb-13,3.39,3.43,3.32,3.36,182518
8-Feb-13,3.43,3.54,3.41,3.44,379414
7-Feb-13,3.20,3.57,3.19,3.40,1146129
6-Feb-13,3.20,3.26,3.18,3.21,238328
5-Feb-13,3.38,3.42,3.20,3.23,417534
4-Feb-13,3.45,3.48,3.34,3.34,315128
1-Feb-13,3.54,3.58,3.43,3.49,251291
31-Jan-13,3.51,3.55,3.43,3.47,283754
30-Jan-13,3.60,3.68,3.50,3.51,293869
29-Jan-13,3.64,3.67,3.54,3.58,275604
28-Jan-13,3.61,3.64,3.50,3.53,375871
25-Jan-13,3.71,3.73,3.55,3.61,528550
24-Jan-13,4.01,4.01,3.75,3.78,581881
23-Jan-13,4.14,4.14,3.98,4.03,362445
22-Jan-13,4.18,4.18,4.03,4.10,520560
18-Jan-13,4.59,4.59,4.06,4.20,920454
17-Jan-13,4.61,4.66,4.54,4.61,167448
16-Jan-13,4.65,4.68,4.57,4.62,201742
15-Jan-13,4.66,4.87,4.59,4.66,470993
14-Jan-13,4.72,4.75,4.58,4.61,218602
11-Jan-13,4.66,4.70,4.58,4.67,156546
10-Jan-13,4.72,4.72,4.55,4.66,183806
9-Jan-13,4.56,4.62,4.54,4.57,159800
8-Jan-13,4.78,4.81,4.55,4.60,286851
7-Jan-13,4.53,4.80,4.52,4.76,395554
4-Jan-13,4.60,4.65,4.52,4.59,154544
3-Jan-13,4.73,4.75,4.55,4.60,197486
2-Jan-13,4.75,4.76,4.60,4.74,355874
31-Dec-12,4.51,4.61,4.45,4.59,306520
28-Dec-12,4.47,4.53,4.45,4.51,237204
27-Dec-12,4.45,4.60,4.44,4.48,161368
26-Dec-12,4.52,4.64,4.45,4.51,195558
24-Dec-12,4.55,4.61,4.35,4.48,230322
21-Dec-12,4.81,4.86,4.55,4.66,1296341
20-Dec-12,4.41,4.75,4.36,4.72,420012
19-Dec-12,4.64,4.70,4.52,4.56,314327
18-Dec-12,4.87,4.97,4.59,4.71,292960
17-Dec-12,4.65,4.90,4.64,4.90,553572
14-Dec-12,4.68,4.76,4.53,4.64,306672
13-Dec-12,4.70,4.79,4.54,4.72,440063
12-Dec-12,4.67,4.83,4.65,4.80,596191
11-Dec-12,4.27,4.74,4.25,4.67,1139051
10-Dec-12,4.17,4.27,4.15,4.25,122998
7-Dec-12,4.06,4.29,4.05,4.16,158339
6-Dec-12,4.11,4.26,3.99,4.12,209642
5-Dec-12,4.26,4.30,4.10,4.11,199304
4-Dec-12,4.01,4.32,4.00,4.28,467292
3-Dec-12,3.96,4.17,3.93,4.12,227146
30-Nov-12,4.01,4.01,3.86,3.99,536812
29-Nov-12,3.88,4.03,3.87,4.02,172125
28-Nov-12,3.74,3.89,3.74,3.84,219858
27-Nov-12,3.98,4.01,3.92,3.98,173470
26-Nov-12,3.92,4.00,3.90,4.00,159677
23-Nov-12,3.90,3.99,3.88,3.93,151482
21-Nov-12,3.68,3.89,3.66,3.88,156919
20-Nov-12,3.76,3.82,3.65,3.73,9973
19-Nov-12,3.60,3.80,3.60,3.78,34318
16-Nov-12,3.59,3.63,3.50,3.57,59833
15-Nov-12,3.63,3.68,3.58,3.65,42408
14-Nov-12,3.80,3.85,3.65,3.67,41837
13-Nov-12,3.78,3.91,3.77,3.82,34793
12-Nov-12,3.88,3.89,3.78,3.84,29116
9-Nov-12,4.02,4.03,3.81,3.86,84344
8-Nov-12,4.08,4.09,4.01,4.04,37002
7-Nov-12,4.17,4.18,4.01,4.13,61920
6-Nov-12,4.15,4.23,4.08,4.18,28730
5-Nov-12,4.10,4.17,4.02,4.12,35739
2-Nov-12,4.35,4.36,4.06,4.09,95935
1-Nov-12,4.42,4.46,4.35,4.37,27585
31-Oct-12,4.39,4.51,4.34,4.37,53757
26-Oct-12,4.66,4.72,4.45,4.49,30924
25-Oct-12,4.57,4.62,4.48,4.59,62067
24-Oct-12,4.45,4.49,4.32,4.40,72416
23-Oct-12,4.44,4.45,4.32,4.39,28446
22-Oct-12,4.42,4.55,4.41,4.55,34648
19-Oct-12,4.45,4.47,4.32,4.42,49032
18-Oct-12,4.48,4.56,4.46,4.47,24795
17-Oct-12,4.44,4.54,4.38,4.47,19170
16-Oct-12,4.54,4.54,4.35,4.40,46673
15-Oct-12,4.37,4.47,4.31,4.46,29707
12-Oct-12,4.54,4.64,4.39,4.43,43468
11-Oct-12,4.69,4.71,4.46,4.48,58174
10-Oct-12,4.46,4.60,4.38,4.48,50984
9-Oct-12,4.75,4.75,4.43,4.48,84724
8-Oct-12,4.69,4.75,4.65,4.71,37777
5-Oct-12,4.92,4.99,4.65,4.76,127111
4-Oct-12,4.98,5.03,4.82,4.98,83239
3-Oct-12,5.03,5.04,4.87,4.93,62138
2-Oct-12,5.13,5.16,4.91,5.03,73602
1-Oct-12,5.29,5.36,5.04,5.09,71792
28-Sep-12,5.39,5.39,5.15,5.21,43395
27-Sep-12,5.19,5.41,5.10,5.40,55865
26-Sep-12,5.01,5.16,4.81,5.12,102093
25-Sep-12,5.52,5.55,5.03,5.05,113893
24-Sep-12,5.64,5.65,5.32,5.40,104898
21-Sep-12,5.93,5.96,5.67,5.74,74299
20-Sep-12,5.92,5.92,5.67,5.75,64289
19-Sep-12,5.89,6.15,5.87,5.96,71836
18-Sep-12,5.82,5.93,5.77,5.90,92453
17-Sep-12,5.79,5.96,5.72,5.81,131731
14-Sep-12,5.78,6.13,5.62,5.85,835897
13-Sep-12,6.29,7.22,6.06,7.01,85092
12-Sep-12,6.42,6.42,5.84,6.33,45823
11-Sep-12,6.43,6.50,6.04,6.13,29204
10-Sep-12,6.64,6.67,6.26,6.30,83735
7-Sep-12,6.30,6.66,6.25,6.55,55031
6-Sep-12,6.08,6.24,6.01,6.11,40765
5-Sep-12,5.88,6.08,5.67,5.95,46874
4-Sep-12,5.43,5.88,5.28,5.85,83592
31-Aug-12,4.81,5.37,4.81,5.33,66670
30-Aug-12,5.20,5.20,4.79,4.81,61302
29-Aug-12,5.29,5.29,5.09,5.18,12242
28-Aug-12,5.37,5.50,5.27,5.28,20877
27-Aug-12,5.18,5.53,5.18,5.34,27291
24-Aug-12,5.28,5.35,5.13,5.17,18079
23-Aug-12,5.60,5.67,5.31,5.32,27551
22-Aug-12,5.50,5.51,5.18,5.45,64234
21-Aug-12,4.85,5.47,4.85,5.46,70872
20-Aug-12,4.80,4.81,4.64,4.74,17650
17-Aug-12,4.80,4.84,4.67,4.75,24912
16-Aug-12,4.45,4.80,4.36,4.70,111446
15-Aug-12,4.25,4.43,4.25,4.42,12626
14-Aug-12,4.29,4.45,4.23,4.26,21986
13-Aug-12,4.46,4.48,4.25,4.29,16534
10-Aug-12,4.29,4.49,4.26,4.49,26821
9-Aug-12,4.23,4.45,4.12,4.45,19717
8-Aug-12,4.42,4.48,4.20,4.21,40954
7-Aug-12,4.27,4.47,4.23,4.37,17871
6-Aug-12,4.27,4.48,4.27,4.30,27025
3-Aug-12,3.95,4.16,3.92,4.09,24223
2-Aug-12,4.06,4.25,3.90,3.94,34983
1-Aug-12,4.15,4.38,4.05,4.11,24968
31-Jul-12,4.31,4.32,4.15,4.20,7198
30-Jul-12,4.40,4.44,4.25,4.29,16261
27-Jul-12,4.17,4.39,4.11,4.36,33665
26-Jul-12,3.98,4.32,3.97,4.17,40769
25-Jul-12,3.89,4.11,3.89,4.09,30029
24-Jul-12,3.90,3.90,3.81,3.82,27098
23-Jul-12,4.01,4.05,3.83,3.87,51042
20-Jul-12,4.01,4.16,3.94,4.15,49516
19-Jul-12,4.30,4.42,4.07,4.11,47156
18-Jul-12,4.13,4.32,4.13,4.27,25617
17-Jul-12,4.31,4.37,4.11,4.19,25188
16-Jul-12,4.19,4.44,4.15,4.39,35347
13-Jul-12,4.30,4.41,4.11,4.16,22638
12-Jul-12,4.21,4.31,4.05,4.25,32268
11-Jul-12,4.53,4.64,4.26,4.32,41277
10-Jul-12,5.04,5.04,4.38,4.54,43127
9-Jul-12,4.98,5.16,4.78,4.82,22083
6-Jul-12,5.28,5.30,5.01,5.12,44917
5-Jul-12,5.16,5.45,5.10,5.38,59921
3-Jul-12,4.89,5.29,4.72,5.25,68118
2-Jul-12,4.50,4.79,4.35,4.75,34697
29-Jun-12,4.42,4.52,4.30,4.50,35083
28-Jun-12,4.28,4.31,4.04,4.18,31016
27-Jun-12,4.50,4.52,4.26,4.38,41563
26-Jun-12,4.57,4.57,4.39,4.55,18497
25-Jun-12,4.35,4.70,4.25,4.64,44252
22-Jun-12,4.20,4.43,4.12,4.41,39448
21-Jun-12,4.69,4.69,4.17,4.18,74555
20-Jun-12,4.86,5.06,4.69,4.82,94791
19-Jun-12,4.97,5.19,4.91,4.97,117445
18-Jun-12,4.70,5.09,4.61,5.00,61339
15-Jun-12,5.11,5.11,4.56,4.59,63353
14-Jun-12,4.88,5.19,4.73,5.06,55861
13-Jun-12,5.27,5.70,4.87,4.94,79102
12-Jun-12,5.10,5.36,5.05,5.24,51413
11-Jun-12,5.33,5.40,5.08,5.08,32460
8-Jun-12,5.13,5.35,4.88,5.31,53252
7-Jun-12,5.61,5.62,5.06,5.30,59156
6-Jun-12,5.37,5.94,5.24,5.57,128477
5-Jun-12,5.02,5.37,4.68,5.32,145777
4-Jun-12,3.88,5.24,3.84,5.06,154463
1-Jun-12,3.50,3.86,3.44,3.74,68359
31-May-12,3.70,3.79,3.42,3.45,51616
30-May-12,3.72,3.91,3.55,3.72,44632
29-May-12,3.87,3.95,3.71,3.80,48860
25-May-12,3.74,3.78,3.61,3.72,36509
24-May-12,3.90,3.90,3.55,3.76,58842
23-May-12,3.46,3.71,3.24,3.70,66071
22-May-12,3.77,3.85,3.42,3.54,75188
21-May-12,3.74,3.85,3.62,3.85,36386
18-May-12,3.74,3.94,3.53,3.62,162492
17-May-12,4.27,4.27,3.33,3.38,283801
16-May-12,4.03,4.28,4.02,4.06,60354
15-May-12,5.05,5.09,4.09,4.18,137443
14-May-12,5.04,5.12,4.97,5.08,29702
11-May-12,5.12,5.23,5.05,5.22,31540
10-May-12,5.47,5.58,5.12,5.16,32849
9-May-12,5.29,5.67,5.16,5.43,57574
8-May-12,5.47,5.49,5.11,5.40,41235
7-May-12,6.00,6.04,5.60,5.68,47083
4-May-12,6.27,6.51,6.01,6.06,39337
3-May-12,6.57,6.57,6.16,6.28,37764
2-May-12,6.68,6.76,6.53,6.60,29129
1-May-12,7.50,7.53,6.97,6.97,26252
30-Apr-12,6.98,7.49,6.91,7.40,52256
27-Apr-12,6.99,7.07,6.87,7.07,18125
26-Apr-12,6.78,6.92,6.62,6.88,33539
25-Apr-12,6.31,6.72,6.29,6.68,37725
24-Apr-12,6.16,6.30,6.10,6.30,41553
23-Apr-12,6.23,6.23,5.95,6.11,39158
20-Apr-12,6.33,6.47,6.28,6.31,21738
19-Apr-12,6.84,6.84,6.28,6.29,30985
18-Apr-12,6.63,6.67,6.31,6.45,23808
17-Apr-12,6.61,6.80,6.52,6.67,22515
16-Apr-12,6.86,6.88,6.51,6.52,30700
13-Apr-12,7.09,7.09,6.83,6.93,34941
12-Apr-12,6.90,7.36,6.90,7.13,37077
11-Apr-12,7.27,7.38,6.94,7.05,35967
10-Apr-12,7.08,7.23,6.62,7.23,47527
9-Apr-12,7.30,7.45,6.97,7.01,29805
5-Apr-12,7.63,7.82,7.26,7.27,27680
4-Apr-12,8.10,8.10,7.53,7.61,38893
3-Apr-12,8.60,8.63,8.27,8.39,46667
2-Apr-12,8.37,8.64,8.31,8.60,32518
30-Mar-12,8.42,8.52,8.37,8.44,34362
29-Mar-12,8.27,8.29,7.92,8.26,33606
28-Mar-12,8.31,8.50,8.26,8.38,40866
27-Mar-12,8.62,8.75,8.44,8.64,76068
26-Mar-12,7.92,8.65,7.89,8.64,88311
23-Mar-12,7.58,7.94,7.58,7.85,30554
22-Mar-12,7.37,7.54,7.29,7.48,26160
21-Mar-12,7.75,7.83,7.57,7.59,31694
20-Mar-12,7.50,7.76,7.43,7.72,28322
19-Mar-12,7.37,7.86,7.27,7.70,70545
16-Mar-12,7.01,7.53,6.92,7.30,69359
15-Mar-12,6.73,7.00,6.62,6.97,32863
14-Mar-12,6.85,6.91,6.60,6.66,59419
13-Mar-12,6.95,7.05,6.82,6.96,35541
12-Mar-12,7.22,7.32,6.94,6.97,35759
9-Mar-12,7.35,7.53,7.16,7.41,22810
8-Mar-12,7.36,7.43,7.11,7.42,23376
7-Mar-12,6.94,7.30,6.83,7.22,41411
6-Mar-12,7.10,7.10,6.69,6.87,50519
5-Mar-12,7.82,7.82,7.25,7.37,39359
2-Mar-12,8.30,8.31,7.80,7.87,38991
1-Mar-12,8.48,8.62,8.31,8.35,26825
29-Feb-12,9.29,9.40,8.32,8.36,71693
28-Feb-12,9.14,9.20,8.95,9.20,34280
27-Feb-12,9.07,9.20,8.91,9.03,23000
24-Feb-12,9.49,9.57,9.27,9.31,12144
23-Feb-12,9.85,9.85,9.36,9.52,42220
