Date, Open, High, Low, Close, Volume
17-May-13,61.35,61.35,61.00,61.00,550
16-May-13,61.12,61.12,61.12,61.12,161
15-May-13,60.93,60.96,60.93,60.96,300
14-May-13,60.00,60.00,60.00,60.00,100
10-May-13,61.28,61.28,61.28,61.28,769
8-May-13,61.52,61.52,61.52,61.52,675
3-May-13,59.89,60.71,59.86,60.71,880
1-May-13,59.60,59.60,59.60,59.60,300
29-Apr-13,59.66,60.03,59.63,59.63,1700
22-Apr-13,58.35,58.35,58.30,58.30,200
19-Apr-13,58.15,58.50,58.15,58.50,569
15-Apr-13,57.43,57.43,57.01,57.01,400
10-Apr-13,57.52,57.52,57.19,57.19,1100
8-Apr-13,57.22,57.22,55.98,56.59,3460
5-Apr-13,56.12,56.89,56.11,56.39,1997
4-Apr-13,57.06,57.06,56.89,56.89,800
3-Apr-13,57.10,57.16,56.98,57.16,500
2-Apr-13,57.85,57.85,57.85,57.85,300
1-Apr-13,57.99,58.10,57.67,57.69,1203
28-Mar-13,57.67,57.67,57.67,57.67,200
27-Mar-13,58.52,58.52,57.04,57.53,5006
25-Mar-13,57.35,57.35,57.18,57.20,1100
21-Mar-13,57.25,57.25,57.25,57.25,100
20-Mar-13,57.26,57.94,57.26,57.94,1000
19-Mar-13,56.71,56.71,56.63,56.63,1400
14-Mar-13,58.12,58.45,58.10,58.11,1600
13-Mar-13,57.80,57.80,57.74,57.74,300
12-Mar-13,58.07,58.08,58.07,58.08,200
11-Mar-13,59.00,59.00,58.70,58.83,3200
8-Mar-13,58.71,58.72,58.71,58.72,1100
6-Mar-13,58.57,58.57,58.47,58.47,300
5-Mar-13,58.12,58.14,58.12,58.12,300
4-Mar-13,58.17,58.17,58.17,58.17,200
27-Feb-13,58.00,58.00,58.00,58.00,200
22-Feb-13,57.48,57.48,57.48,57.48,200
21-Feb-13,58.75,58.75,57.27,57.48,6751
20-Feb-13,58.65,58.65,58.65,58.65,163
19-Feb-13,59.13,59.13,59.13,59.13,163
15-Feb-13,58.82,58.82,58.82,58.82,100
14-Feb-13,58.00,58.78,57.93,58.16,3245
12-Feb-13,57.44,57.44,57.43,57.43,563
8-Feb-13,57.79,57.79,57.79,57.79,437
6-Feb-13,56.67,57.50,56.64,57.22,2983
1-Feb-13,57.04,57.04,57.04,57.04,100
31-Jan-13,56.68,56.68,56.68,56.68,100
29-Jan-13,56.60,56.60,56.60,56.60,439
28-Jan-13,55.98,56.70,55.98,56.37,2000
25-Jan-13,56.40,56.56,56.40,56.56,377
23-Jan-13,57.26,57.43,57.26,57.43,3300
22-Jan-13,57.38,57.38,57.38,57.38,200
18-Jan-13,57.48,57.48,57.48,57.48,200
15-Jan-13,57.36,57.36,57.35,57.35,277
9-Jan-13,57.35,57.35,57.35,57.35,100
4-Jan-13,56.94,56.94,56.80,56.80,500
3-Jan-13,56.90,56.90,56.90,56.90,500
31-Dec-12,55.48,55.76,55.34,55.54,1777
28-Dec-12,54.81,54.81,54.81,54.81,105
27-Dec-12,54.14,54.14,54.14,54.14,200
24-Dec-12,53.92,53.92,53.92,53.92,100
18-Dec-12,54.39,54.39,53.75,53.92,625
11-Dec-12,59.05,59.05,59.05,59.05,255
7-Dec-12,58.57,58.57,58.57,58.57,200
21-Nov-12,-,-,-,57.22,0
20-Nov-12,-,-,-,57.22,0
19-Nov-12,-,-,-,57.22,0
16-Nov-12,-,-,-,57.22,0
15-Nov-12,-,-,-,57.22,0
14-Nov-12,-,-,-,57.22,0
13-Nov-12,56.48,56.48,56.48,56.48,100
12-Nov-12,-,-,-,57.22,0
9-Nov-12,-,-,-,57.22,0
8-Nov-12,-,-,-,57.22,0
7-Nov-12,-,-,-,57.22,0
6-Nov-12,57.14,57.23,57.14,57.22,1200
5-Nov-12,-,-,-,57.33,0
2-Nov-12,-,-,-,57.33,0
1-Nov-12,-,-,-,57.33,0
31-Oct-12,-,-,-,57.33,0
26-Oct-12,-,-,-,57.33,0
25-Oct-12,-,-,-,57.33,0
24-Oct-12,57.33,57.33,57.33,57.33,200
23-Oct-12,-,-,-,56.69,0
22-Oct-12,-,-,-,56.69,0
19-Oct-12,-,-,-,56.69,0
18-Oct-12,-,-,-,56.69,0
