Date, Open, High, Low, Close, Volume
17-May-13,15.80,15.85,15.70,15.75,624246
16-May-13,15.76,15.86,15.55,15.70,325476
15-May-13,15.55,15.88,15.50,15.75,403259
14-May-13,15.43,15.62,15.43,15.55,292651
13-May-13,15.51,15.52,15.40,15.43,150846
10-May-13,15.55,15.64,15.41,15.55,296627
9-May-13,15.53,15.67,15.46,15.48,305552
8-May-13,15.47,15.62,15.45,15.51,339136
7-May-13,15.25,15.50,15.15,15.40,311426
6-May-13,14.90,15.19,14.90,15.17,325021
3-May-13,14.91,15.07,14.79,14.82,423624
2-May-13,14.16,14.85,13.85,14.77,922031
1-May-13,13.83,13.94,13.62,13.77,386161
30-Apr-13,13.96,14.00,13.87,13.96,191400
29-Apr-13,13.86,13.99,13.77,13.95,147235
26-Apr-13,13.74,13.81,13.52,13.75,338332
25-Apr-13,13.95,14.06,13.78,13.78,244900
24-Apr-13,13.81,13.92,13.66,13.86,254539
23-Apr-13,13.47,13.75,13.41,13.75,425877
22-Apr-13,13.39,13.43,13.01,13.36,223547
19-Apr-13,13.19,13.37,13.16,13.36,229164
18-Apr-13,13.32,13.32,12.88,13.17,528860
17-Apr-13,13.71,13.78,13.16,13.22,388840
16-Apr-13,13.64,13.80,13.64,13.78,246157
15-Apr-13,14.14,14.15,13.51,13.52,348230
12-Apr-13,14.09,14.20,13.99,14.20,330877
11-Apr-13,13.92,14.09,13.86,14.09,194691
10-Apr-13,13.83,13.97,13.68,13.92,214836
9-Apr-13,13.88,13.88,13.77,13.78,212191
8-Apr-13,13.64,13.89,13.50,13.88,260604
5-Apr-13,13.36,13.62,13.31,13.61,212588
4-Apr-13,13.58,13.62,13.35,13.57,279006
3-Apr-13,13.87,13.87,13.55,13.56,288846
2-Apr-13,13.86,14.00,13.72,13.85,485438
1-Apr-13,13.64,13.90,13.50,13.80,490694
28-Mar-13,13.40,13.76,13.38,13.68,605274
27-Mar-13,13.66,13.68,13.29,13.33,629481
26-Mar-13,13.87,13.87,13.67,13.70,269008
25-Mar-13,13.92,13.98,13.76,13.80,287401
22-Mar-13,13.84,13.88,13.79,13.85,268189
21-Mar-13,13.90,13.93,13.76,13.80,237200
20-Mar-13,13.88,13.96,13.83,13.96,204093
19-Mar-13,13.89,14.09,13.79,13.86,274431
18-Mar-13,14.08,14.11,13.84,13.89,310448
15-Mar-13,13.96,14.20,13.96,14.17,557129
14-Mar-13,13.80,13.98,13.78,13.97,202222
13-Mar-13,13.81,13.90,13.75,13.82,183164
12-Mar-13,13.81,13.88,13.78,13.81,273588
11-Mar-13,13.79,13.89,13.76,13.83,205699
8-Mar-13,13.85,13.89,13.76,13.87,246092
7-Mar-13,13.76,13.78,13.69,13.75,172567
6-Mar-13,13.79,13.80,13.66,13.72,147903
5-Mar-13,13.78,13.82,13.66,13.73,248630
4-Mar-13,13.69,13.78,13.50,13.68,311704
1-Mar-13,13.41,13.67,13.36,13.67,372578
28-Feb-13,13.61,13.63,13.45,13.47,330265
27-Feb-13,13.38,13.85,13.38,13.77,430795
26-Feb-13,13.34,13.40,13.25,13.35,359330
25-Feb-13,13.34,13.48,13.25,13.28,767744
22-Feb-13,13.88,13.88,13.12,13.36,1009329
21-Feb-13,14.03,14.18,13.83,13.99,476535
20-Feb-13,14.14,14.17,13.93,13.95,462000
19-Feb-13,14.08,14.15,14.05,14.15,347115
15-Feb-13,14.03,14.11,13.92,14.05,335691
14-Feb-13,14.01,14.07,13.72,13.98,267114
13-Feb-13,13.91,14.06,13.86,14.06,263520
12-Feb-13,13.85,13.93,13.78,13.87,221697
11-Feb-13,13.95,14.00,13.80,13.86,236288
8-Feb-13,13.96,14.00,13.80,13.95,273360
7-Feb-13,13.81,13.83,13.68,13.77,414813
6-Feb-13,13.82,13.83,13.70,13.78,196647
5-Feb-13,13.82,14.00,13.81,13.85,304297
4-Feb-13,13.78,13.86,13.71,13.73,393224
1-Feb-13,13.90,14.00,13.78,13.78,707996
31-Jan-13,13.40,13.81,13.35,13.80,664593
30-Jan-13,13.52,13.52,13.30,13.35,516679
29-Jan-13,13.19,13.51,13.12,13.44,661940
28-Jan-13,13.14,13.26,13.06,13.20,307440
25-Jan-13,13.16,13.20,13.01,13.12,295739
24-Jan-13,13.12,13.20,13.01,13.12,212319
23-Jan-13,13.08,13.13,13.02,13.11,274008
22-Jan-13,12.96,13.08,12.90,13.08,381865
18-Jan-13,12.78,12.94,12.75,12.94,309752
17-Jan-13,12.90,12.90,12.72,12.77,226527
16-Jan-13,12.77,12.89,12.75,12.85,254565
15-Jan-13,12.65,12.80,12.60,12.78,292737
14-Jan-13,12.64,12.86,12.64,12.66,528211
11-Jan-13,12.72,12.81,12.58,12.63,297556
10-Jan-13,12.54,12.70,12.51,12.68,330415
9-Jan-13,12.49,12.69,12.49,12.53,474547
8-Jan-13,12.68,12.68,12.43,12.44,594676
7-Jan-13,12.86,12.91,12.60,12.69,613184
4-Jan-13,12.94,12.98,12.79,12.88,326008
3-Jan-13,12.81,12.96,12.73,12.88,330308
2-Jan-13,12.75,12.85,12.67,12.78,594631
31-Dec-12,12.25,12.58,12.15,12.54,419233
28-Dec-12,12.25,12.35,12.20,12.25,322957
27-Dec-12,12.42,12.42,12.08,12.28,397408
26-Dec-12,12.62,12.65,12.42,12.44,386857
24-Dec-12,12.46,12.69,12.42,12.61,263413
21-Dec-12,12.32,12.53,12.25,12.51,800579
20-Dec-12,12.15,12.42,12.15,12.36,318736
19-Dec-12,12.27,12.40,12.19,12.27,322767
18-Dec-12,12.20,12.30,12.16,12.23,418165
17-Dec-12,12.09,12.25,12.09,12.22,414341
14-Dec-12,12.05,12.20,12.04,12.11,339355
13-Dec-12,12.30,12.39,12.05,12.08,469928
12-Dec-12,12.19,12.36,12.04,12.11,562694
11-Dec-12,12.09,12.14,11.97,12.08,400118
10-Dec-12,11.99,12.14,11.97,12.06,411263
7-Dec-12,11.96,12.09,11.92,11.99,514117
6-Dec-12,11.71,11.94,11.62,11.91,414222
5-Dec-12,11.62,11.92,11.62,11.73,493421
4-Dec-12,11.63,11.79,11.55,11.58,409898
3-Dec-12,11.47,11.64,11.42,11.62,523473
30-Nov-12,11.41,11.45,11.31,11.37,448543
29-Nov-12,11.38,11.43,11.29,11.39,251723
