Date, Open, High, Low, Close, Volume
17-Apr-13,5.00,5.00,5.00,5.00,1550
16-Apr-13,5.00,5.00,5.00,5.00,5537
15-Apr-13,5.00,5.00,5.00,5.00,1093
5-Apr-13,4.50,4.50,4.50,4.50,2100
4-Apr-13,4.22,4.50,4.22,4.50,4500
26-Mar-13,4.00,4.00,4.00,4.00,900
14-Mar-13,4.00,4.00,4.00,4.00,1000
11-Mar-13,4.10,4.10,4.06,4.06,400
1-Mar-13,4.05,4.05,4.05,4.05,350
25-Feb-13,4.05,4.05,4.05,4.05,1000
22-Feb-13,4.05,4.05,4.05,4.05,200
21-Feb-13,4.35,4.35,4.35,4.35,225
13-Feb-13,4.05,4.05,4.05,4.05,1000
12-Feb-13,4.11,4.25,4.11,4.25,1100
29-Jan-13,4.11,4.11,4.11,4.11,200
25-Jan-13,4.10,4.10,4.00,4.00,1250
23-Jan-13,4.15,4.15,3.95,3.95,1000
3-Jan-13,4.00,4.00,4.00,4.00,200
28-Dec-12,4.00,4.00,4.00,4.00,383
17-Dec-12,4.00,4.00,4.00,4.00,200
11-Dec-12,4.00,4.00,4.00,4.00,100
10-Dec-12,4.00,4.00,3.50,3.50,1800
6-Dec-12,4.30,4.30,4.30,4.30,500
5-Dec-12,4.60,4.60,4.60,4.60,200
3-Dec-12,4.78,4.78,4.78,4.78,200
19-Nov-12,4.78,4.78,4.78,4.78,100
15-Nov-12,4.78,4.78,4.78,4.78,200
9-Nov-12,4.65,4.80,4.65,4.80,317
8-Nov-12,4.30,4.30,4.30,4.30,1000
2-Nov-12,4.65,4.65,4.65,4.65,2000
1-Nov-12,5.00,5.00,5.00,5.00,100
26-Oct-12,5.00,5.00,5.00,5.00,300
25-Oct-12,4.65,4.65,4.65,4.65,100
23-Oct-12,4.62,4.62,4.62,4.62,5000
22-Oct-12,4.62,4.62,4.62,4.62,398
16-Oct-12,4.25,4.25,4.25,4.25,225
15-Oct-12,4.00,4.10,4.00,4.10,1450
16-Aug-12,3.75,3.75,3.75,3.75,200
13-Aug-12,4.02,4.02,4.02,4.02,4900
8-Aug-12,4.02,4.02,4.02,4.02,100
2-Aug-12,4.05,4.05,4.05,4.05,300
25-Jul-12,4.00,4.00,4.00,4.00,398
19-Jul-12,5.00,5.00,5.00,5.00,150
18-Jul-12,5.00,5.00,5.00,5.00,600
12-Jul-12,5.00,5.00,5.00,5.00,598
10-Jul-12,4.20,4.20,4.20,4.20,100
5-Jul-12,4.22,4.50,4.22,4.50,600
27-Jun-12,4.10,4.10,4.10,4.10,1000
8-Jun-12,5.00,5.00,5.00,5.00,200
31-May-12,3.60,5.00,3.60,5.00,200
25-May-12,4.90,4.90,4.90,4.90,1000
24-May-12,4.90,4.90,4.90,4.90,3309
23-May-12,4.65,4.90,4.65,4.90,2000
11-May-12,4.50,4.50,4.50,4.50,175
9-May-12,4.50,4.50,3.50,3.50,400
8-May-12,4.50,4.50,4.50,4.50,300
17-Apr-12,4.50,4.50,4.00,4.40,1200
13-Apr-12,4.05,4.05,4.05,4.05,300
12-Apr-12,4.00,4.00,4.00,4.00,200
29-Mar-12,4.65,4.65,4.25,4.25,3400
24-Feb-12,3.10,3.10,3.10,3.10,150
22-Feb-12,4.00,4.00,4.00,4.00,500
17-Feb-12,4.00,4.00,4.00,4.00,150
9-Feb-12,4.00,4.00,4.00,4.00,600
2-Feb-12,3.00,3.00,3.00,3.00,250
1-Feb-12,3.25,3.25,3.20,3.20,500
31-Jan-12,4.90,4.90,4.90,4.90,1000
24-Jan-12,3.20,3.20,3.20,3.20,500
11-Jan-12,3.40,3.40,3.40,3.40,500
9-Jan-12,4.25,4.25,4.25,4.25,1390
6-Jan-12,3.40,3.40,3.40,3.40,395
5-Jan-12,3.36,3.36,3.36,3.36,1225
30-Dec-11,4.90,4.90,4.90,4.90,1225
29-Dec-11,4.90,4.90,4.90,4.90,500
28-Dec-11,3.35,3.35,3.35,3.35,126
27-Dec-11,4.90,4.90,4.90,4.90,100
16-Dec-11,4.90,4.90,4.90,4.90,400
12-Dec-11,4.90,4.90,4.90,4.90,400
2-Dec-11,4.50,4.50,4.50,4.50,350
17-Nov-11,4.90,4.90,4.90,4.90,525
16-Nov-11,4.90,4.90,4.90,4.90,525
1-Nov-11,4.10,4.10,4.10,4.10,119
5-Oct-11,3.35,3.35,3.35,3.35,157
13-Sep-11,4.50,4.50,2.50,3.35,2800
12-Sep-11,4.60,4.90,4.50,4.50,2600
9-Aug-11,4.25,4.25,4.25,4.25,500
27-Jul-11,4.90,4.90,4.90,4.90,200
22-Jul-11,3.97,3.97,3.97,3.97,1000
20-Jul-11,3.97,3.97,3.97,3.97,100
14-Jul-11,5.00,5.00,5.00,5.00,1100
12-Jul-11,3.97,3.97,3.97,3.97,100
23-Jun-11,1.10,1.10,1.10,1.10,280
3-May-11,5.00,5.00,5.00,5.00,100
29-Apr-11,5.00,5.00,5.00,5.00,460
18-Apr-11,5.25,5.25,0.40,5.25,1200
14-Apr-11,0.40,0.40,0.40,0.40,120
30-Mar-11,5.25,5.25,5.25,5.25,100
28-Mar-11,2.00,2.00,2.00,2.00,360
17-Feb-11,5.00,5.00,5.00,5.00,2100
16-Feb-11,5.00,5.00,5.00,5.00,1000
11-Feb-11,1.25,4.00,0.30,4.00,4840
1-Feb-11,5.00,5.00,5.00,5.00,500
19-Aug-10,5.25,5.25,5.25,5.25,103
4-Jun-10,5.40,5.40,5.40,5.40,100
27-May-10,5.40,5.40,5.40,5.40,150
24-May-10,3.50,3.50,3.50,3.50,200
19-May-10,0.25,0.25,0.25,0.25,200
25-Mar-10,4.75,4.75,4.75,4.75,400
18-Mar-10,5.00,5.00,5.00,5.00,100
