Date, Open, High, Low, Close, Volume
17-May-13,3.82,3.90,3.75,3.88,81381
16-May-13,3.58,3.95,3.55,3.77,154077
15-May-13,3.58,3.68,3.51,3.66,52801
14-May-13,3.55,3.68,3.49,3.58,77476
13-May-13,3.53,3.68,3.48,3.51,484687
10-May-13,3.62,3.67,3.47,3.51,37257
9-May-13,3.46,3.66,3.41,3.59,405603
8-May-13,3.44,3.52,3.26,3.43,91915
7-May-13,3.51,3.56,3.40,3.47,71399
6-May-13,3.44,3.51,3.32,3.47,74575
3-May-13,3.34,3.60,3.25,3.46,165497
2-May-13,3.22,3.31,3.17,3.28,72374
1-May-13,3.45,3.55,3.24,3.24,38092
30-Apr-13,3.41,3.56,3.41,3.47,22504
29-Apr-13,3.36,3.55,3.29,3.42,32172
26-Apr-13,3.33,3.45,3.30,3.37,38578
25-Apr-13,3.43,3.50,3.30,3.34,145646
24-Apr-13,3.42,3.43,3.35,3.43,22697
23-Apr-13,3.39,3.46,3.25,3.34,155656
22-Apr-13,3.26,3.33,3.22,3.33,31736
19-Apr-13,3.23,3.24,3.16,3.24,29459
18-Apr-13,3.40,3.40,3.10,3.23,191243
17-Apr-13,3.58,3.58,3.35,3.48,53703
16-Apr-13,3.63,3.70,3.55,3.59,125484
15-Apr-13,3.61,3.61,3.55,3.55,33898
12-Apr-13,3.73,3.73,3.62,3.66,22273
11-Apr-13,3.65,3.75,3.65,3.75,32923
10-Apr-13,3.62,3.69,3.60,3.67,51950
9-Apr-13,3.54,3.73,3.51,3.61,96464
8-Apr-13,3.49,3.57,3.45,3.50,56100
5-Apr-13,3.45,3.60,3.45,3.57,126230
4-Apr-13,3.60,3.60,3.38,3.39,114306
3-Apr-13,3.76,3.76,3.62,3.67,41566
2-Apr-13,3.77,3.82,3.77,3.80,30060
1-Apr-13,4.05,4.05,3.66,3.80,81113
28-Mar-13,4.01,4.11,4.00,4.09,99289
27-Mar-13,4.01,4.01,3.94,4.00,137076
26-Mar-13,4.24,4.25,4.04,4.07,31377
25-Mar-13,4.29,4.31,4.21,4.25,169544
22-Mar-13,4.12,4.38,4.12,4.30,308291
21-Mar-13,3.95,4.20,3.95,4.08,130856
20-Mar-13,3.95,4.00,3.90,3.99,31872
19-Mar-13,3.91,3.93,3.83,3.90,37112
18-Mar-13,3.85,3.99,3.81,3.90,32361
15-Mar-13,3.90,3.94,3.78,3.90,174186
14-Mar-13,3.94,3.98,3.90,3.94,64576
13-Mar-13,3.92,3.94,3.84,3.92,79710
