Date, Open, High, Low, Close, Volume
17-May-13,25.89,26.96,25.87,26.90,5907052
16-May-13,26.15,26.27,25.70,25.90,3622994
15-May-13,26.49,26.65,25.88,26.40,5580472
14-May-13,25.33,27.15,25.30,26.74,7455359
13-May-13,25.47,25.54,25.11,25.31,3424261
10-May-13,25.65,25.69,24.98,25.37,4185666
9-May-13,25.49,26.14,25.45,25.60,4496457
8-May-13,26.01,26.42,25.39,25.51,5986545
7-May-13,26.37,26.45,26.00,26.12,3659499
6-May-13,26.47,26.59,25.90,26.34,4664218
3-May-13,26.45,26.62,25.95,26.52,5109876
2-May-13,25.90,26.37,25.83,26.26,4392838
1-May-13,25.69,26.44,25.44,25.90,7448992
30-Apr-13,25.71,26.92,25.65,25.99,23296740
29-Apr-13,23.58,24.20,23.30,24.20,5288810
26-Apr-13,24.04,24.21,23.40,23.50,4644032
25-Apr-13,23.78,24.37,23.70,24.14,5285173
24-Apr-13,24.15,24.38,23.53,23.77,4496015
23-Apr-13,23.73,24.34,23.62,24.13,6209687
22-Apr-13,23.14,23.94,22.87,23.68,5294291
19-Apr-13,23.18,23.58,22.80,23.25,5044786
18-Apr-13,23.50,23.71,22.78,22.97,6092339
17-Apr-13,23.40,23.67,23.06,23.38,6153666
16-Apr-13,23.03,23.73,22.92,23.66,7350912
15-Apr-13,23.91,24.27,22.55,22.94,11309653
12-Apr-13,24.07,24.23,23.42,24.09,14930692
11-Apr-13,24.60,24.90,23.98,24.11,11822853
10-Apr-13,25.76,25.76,24.40,24.82,14280073
9-Apr-13,25.66,26.09,25.31,25.74,12265022
8-Apr-13,25.47,26.29,24.75,25.96,31708718
5-Apr-13,24.85,25.46,24.31,25.45,25427357
4-Apr-13,21.72,25.30,21.71,25.13,55397659
3-Apr-13,21.73,22.08,21.47,21.65,7599463
2-Apr-13,21.75,22.20,21.57,21.64,7679190
1-Apr-13,22.13,22.46,21.64,21.68,6090846
28-Mar-13,22.18,22.53,22.00,22.15,8861813
27-Mar-13,22.30,22.73,21.77,22.15,10648375
26-Mar-13,23.10,23.24,22.27,22.70,9421625
25-Mar-13,22.90,23.46,22.62,23.20,9802214
22-Mar-13,22.58,22.98,21.83,22.78,15663494
21-Mar-13,22.94,23.35,22.36,22.46,15838591
20-Mar-13,22.57,23.46,22.52,23.07,16468628
19-Mar-13,21.90,22.35,21.76,22.25,11295155
18-Mar-13,21.22,22.25,21.22,22.13,14993535
15-Mar-13,21.61,21.80,21.14,21.45,12090173
14-Mar-13,20.99,21.55,20.92,21.50,9247820
13-Mar-13,20.34,21.26,20.30,20.96,11652796
12-Mar-13,20.26,20.60,20.06,20.29,15194770
11-Mar-13,20.28,20.45,19.99,20.08,20020448
8-Mar-13,19.43,20.61,19.20,20.17,22784536
7-Mar-13,18.84,19.33,18.56,19.26,10560467
6-Mar-13,19.29,19.50,17.79,18.75,26689250
5-Mar-13,18.01,18.45,17.69,18.40,12123958
4-Mar-13,17.08,18.13,16.98,17.77,14176479
1-Mar-13,17.38,17.46,16.12,17.16,32706859
28-Feb-13,16.95,16.95,15.75,16.41,12811959
27-Feb-13,16.30,16.64,16.25,16.60,4565676
26-Feb-13,17.00,17.16,16.20,16.46,10844487
25-Feb-13,17.06,17.34,16.84,17.00,8513712
22-Feb-13,17.36,17.41,16.96,17.02,5182435
21-Feb-13,17.17,17.50,16.90,17.41,8612691
20-Feb-13,17.66,17.70,16.89,17.25,7948606
19-Feb-13,17.53,17.76,17.20,17.33,16391263
15-Feb-13,15.93,16.89,15.92,16.87,18403687
14-Feb-13,15.05,16.36,15.00,15.71,14403742
13-Feb-13,15.46,16.20,13.83,15.12,17339431
12-Feb-13,15.62,15.70,15.28,15.43,4486675
11-Feb-13,15.24,15.80,15.21,15.71,3858936
8-Feb-13,15.61,15.65,15.12,15.29,4775369
7-Feb-13,15.92,15.98,15.44,15.58,3930129
6-Feb-13,15.79,15.91,15.62,15.91,4596652
5-Feb-13,15.96,16.17,15.45,15.93,5346101
4-Feb-13,16.04,16.14,15.73,15.76,6203339
1-Feb-13,16.38,16.41,15.96,16.11,4504805
31-Jan-13,15.75,16.33,15.62,16.26,6413514
30-Jan-13,16.01,16.14,15.84,15.90,6744279
29-Jan-13,16.06,16.20,15.87,15.99,5402826
28-Jan-13,16.18,16.36,15.93,16.06,10581052
25-Jan-13,15.44,15.82,15.35,15.78,9187641
24-Jan-13,15.27,15.51,15.26,15.34,7004260
23-Jan-13,15.29,15.73,15.13,15.40,12234872
22-Jan-13,14.88,15.77,14.75,15.39,13803000
18-Jan-13,14.71,14.93,14.57,14.88,6266854
17-Jan-13,14.76,14.96,14.54,14.62,8322927
16-Jan-13,14.32,14.76,14.32,14.67,6923206
15-Jan-13,14.38,14.50,14.20,14.42,11252590
14-Jan-13,14.00,14.67,13.92,14.48,19678785
11-Jan-13,13.10,14.38,13.01,14.21,45788037
10-Jan-13,11.78,12.32,11.70,12.21,9785184
9-Jan-13,11.88,11.94,11.38,11.59,8371859
8-Jan-13,12.15,12.20,11.75,11.82,6884522
7-Jan-13,12.06,12.22,12.02,12.21,5150458
4-Jan-13,11.96,12.11,11.89,12.11,6075705
3-Jan-13,11.87,12.21,11.82,11.99,6108041
2-Jan-13,12.14,12.21,11.72,11.81,6571728
31-Dec-12,11.36,11.88,11.29,11.85,8208512
28-Dec-12,11.37,11.44,11.23,11.29,4483372
27-Dec-12,11.50,11.52,11.20,11.51,5439402
26-Dec-12,11.62,11.69,11.41,11.47,5003984
24-Dec-12,11.68,11.72,11.51,11.57,2299104
21-Dec-12,11.84,11.86,11.60,11.67,8458649
20-Dec-12,11.91,12.10,11.80,11.97,5891422
19-Dec-12,12.17,12.22,11.88,11.90,6052185
18-Dec-12,12.32,12.38,12.08,12.12,8355345
17-Dec-12,12.08,12.29,12.06,12.27,7953513
