Date, Open, High, Low, Close, Volume
17-May-13,20.10,20.29,19.51,20.20,13700
16-May-13,20.03,20.37,20.03,20.09,5899
15-May-13,20.11,20.41,20.03,20.16,15098
14-May-13,20.35,20.66,20.05,20.25,76020
13-May-13,20.07,20.69,19.62,20.48,30081
10-May-13,20.24,20.55,19.73,19.98,29455
9-May-13,20.28,20.62,20.08,20.37,10067
8-May-13,20.58,20.83,20.27,20.37,13123
7-May-13,20.51,20.80,20.27,20.70,28958
6-May-13,20.50,20.90,20.27,20.60,22273
3-May-13,20.62,20.91,20.61,20.69,17190
2-May-13,20.61,20.89,20.32,20.64,27075
1-May-13,20.35,20.66,20.33,20.43,4446
30-Apr-13,20.27,20.72,20.27,20.48,28166
29-Apr-13,20.39,20.75,20.28,20.44,37737
26-Apr-13,20.99,21.16,20.37,20.37,18394
25-Apr-13,20.69,21.20,20.51,20.98,15047
24-Apr-13,20.39,20.47,20.23,20.41,2784
23-Apr-13,20.13,20.65,20.13,20.59,10342
22-Apr-13,20.14,20.21,19.82,20.06,5122
19-Apr-13,19.91,20.38,19.91,20.16,8138
18-Apr-13,19.31,20.17,19.31,19.95,11036
17-Apr-13,19.45,19.55,18.72,19.34,75550
16-Apr-13,19.36,19.97,19.36,19.60,22684
15-Apr-13,19.67,19.96,19.21,19.36,17895
12-Apr-13,20.45,20.45,19.77,20.00,14688
11-Apr-13,20.83,20.85,20.53,20.59,16940
10-Apr-13,21.04,21.19,20.86,20.93,14943
9-Apr-13,20.76,21.13,20.74,20.94,16037
8-Apr-13,20.00,20.74,20.00,20.56,13862
5-Apr-13,20.22,20.28,19.85,19.99,11287
4-Apr-13,20.58,20.64,20.21,20.34,20793
3-Apr-13,20.48,20.68,20.28,20.55,13000
2-Apr-13,20.30,20.72,20.16,20.37,28524
1-Apr-13,20.77,20.77,20.38,20.44,20488
28-Mar-13,20.57,20.98,20.57,20.91,8768
27-Mar-13,20.60,20.80,20.59,20.77,2415
26-Mar-13,20.57,20.90,20.57,20.67,7039
25-Mar-13,21.12,21.12,20.41,20.75,14807
22-Mar-13,21.29,22.80,20.67,20.95,21338
21-Mar-13,21.00,21.18,20.89,21.00,2552
20-Mar-13,20.83,21.11,20.82,21.11,7479
19-Mar-13,20.87,21.03,20.80,20.85,6016
18-Mar-13,20.84,21.03,20.60,21.00,9705
15-Mar-13,21.33,21.33,20.83,21.03,27879
14-Mar-13,21.28,21.44,21.17,21.43,12258
13-Mar-13,21.26,21.46,21.10,21.39,26818
12-Mar-13,21.28,21.46,21.16,21.37,9139
11-Mar-13,21.25,21.54,21.10,21.46,20069
8-Mar-13,21.31,21.39,20.95,21.22,9139
7-Mar-13,21.09,21.39,20.70,21.31,62991
6-Mar-13,21.67,21.70,21.28,21.41,31960
5-Mar-13,22.22,22.31,21.67,21.78,54306
4-Mar-13,21.81,22.11,21.63,22.06,52016
