Date, Open, High, Low, Close, Volume
17-May-13,91.26,92.40,89.00,90.50,21017
16-May-13,94.00,94.00,91.21,91.28,11040
15-May-13,92.61,94.47,92.61,93.83,12519
14-May-13,92.52,93.57,91.87,92.60,9374
13-May-13,92.30,92.70,91.12,92.15,14827
10-May-13,93.95,93.95,91.72,92.10,7583
9-May-13,95.10,95.10,93.49,94.35,19379
8-May-13,95.00,95.40,94.42,94.88,11941
7-May-13,95.77,95.77,93.99,94.35,19607
6-May-13,94.88,95.62,94.18,95.27,14746
3-May-13,95.99,96.01,94.13,94.73,6251
2-May-13,92.35,94.82,92.35,94.58,5501
1-May-13,92.89,92.89,91.41,91.60,4877
30-Apr-13,92.25,93.48,91.73,93.41,9260
29-Apr-13,91.60,92.35,91.58,92.05,6521
26-Apr-13,92.10,92.20,90.84,91.10,12875
25-Apr-13,92.10,92.83,91.79,91.85,7948
24-Apr-13,92.60,96.21,90.90,92.10,22369
23-Apr-13,92.98,92.98,91.00,92.50,14565
22-Apr-13,92.84,93.00,91.16,93.00,10823
19-Apr-13,91.95,93.59,91.59,93.59,4073
18-Apr-13,93.18,93.18,91.23,91.67,5207
17-Apr-13,90.52,92.90,90.26,92.75,20433
16-Apr-13,90.00,91.58,90.00,90.71,25733
15-Apr-13,92.75,92.75,89.51,89.58,5637
12-Apr-13,94.43,94.99,92.51,93.00,5805
11-Apr-13,93.14,94.07,92.62,93.25,8017
10-Apr-13,94.05,94.80,93.02,93.15,6185
9-Apr-13,92.75,94.59,92.75,93.49,18445
8-Apr-13,90.50,92.79,90.50,92.65,24274
5-Apr-13,92.08,92.08,90.30,90.85,11759
4-Apr-13,92.98,93.96,91.80,92.50,6984
3-Apr-13,93.20,93.35,92.36,92.59,4107
2-Apr-13,95.27,95.27,92.17,92.17,12560
1-Apr-13,94.46,95.10,93.64,95.10,7070
28-Mar-13,93.00,95.13,93.00,94.82,6125
27-Mar-13,94.36,95.94,92.63,92.94,6776
26-Mar-13,93.77,95.25,93.63,94.32,13524
