Date, Open, High, Low, Close, Volume
17-May-13,8.25,8.25,8.17,8.19,13309
16-May-13,8.18,8.24,8.18,8.23,13885
15-May-13,8.19,8.19,8.15,8.18,9743
14-May-13,8.19,8.26,8.19,8.24,20163
13-May-13,8.31,8.35,8.22,8.22,23130
10-May-13,8.33,8.35,8.32,8.34,10186
9-May-13,8.35,8.36,8.25,8.32,17022
8-May-13,8.30,8.35,8.29,8.35,28050
7-May-13,8.22,8.35,8.22,8.30,16710
6-May-13,8.26,8.33,8.24,8.28,20381
3-May-13,8.30,8.35,8.22,8.26,12300
2-May-13,8.25,8.33,8.21,8.30,7966
1-May-13,8.25,8.25,8.22,8.22,8628
30-Apr-13,8.25,8.27,8.16,8.23,21050
29-Apr-13,8.31,8.34,8.23,8.23,15335
26-Apr-13,8.19,8.37,8.15,8.31,22914
25-Apr-13,8.17,8.27,8.10,8.20,22910
24-Apr-13,8.03,8.16,8.03,8.11,5577
23-Apr-13,8.05,8.16,8.03,8.03,21090
22-Apr-13,8.04,8.07,8.00,8.00,21205
19-Apr-13,7.94,7.99,7.94,7.96,5900
18-Apr-13,8.03,8.03,7.93,7.93,16887
17-Apr-13,8.02,8.04,7.93,7.96,15894
16-Apr-13,8.04,8.06,7.99,8.00,16175
15-Apr-13,8.06,8.09,8.02,8.04,28248
12-Apr-13,8.17,8.19,8.07,8.18,15912
11-Apr-13,8.11,8.17,8.10,8.17,8853
10-Apr-13,8.17,8.17,8.07,8.11,19522
9-Apr-13,8.14,8.17,8.08,8.17,10195
8-Apr-13,8.04,8.14,8.02,8.08,17204
5-Apr-13,8.09,8.10,8.03,8.09,9980
4-Apr-13,8.04,8.13,8.03,8.08,13989
3-Apr-13,8.08,8.08,8.02,8.08,13800
2-Apr-13,8.08,8.08,8.03,8.07,6010
1-Apr-13,8.08,8.08,8.00,8.03,13623
28-Mar-13,8.08,8.08,7.99,8.03,16908
27-Mar-13,8.01,8.07,8.01,8.02,6217
26-Mar-13,8.05,8.07,8.01,8.06,7879
25-Mar-13,8.08,8.08,7.98,8.05,9641
22-Mar-13,8.01,8.07,7.98,8.03,6757
21-Mar-13,8.07,8.10,7.97,8.01,15618
20-Mar-13,7.89,8.04,7.89,8.04,9477
19-Mar-13,7.88,7.95,7.85,7.91,23184
18-Mar-13,7.69,7.98,7.69,7.90,23560
15-Mar-13,7.94,7.94,7.75,7.76,32218
14-Mar-13,8.11,8.11,7.87,7.94,59560
13-Mar-13,8.00,8.10,7.97,8.07,21703
12-Mar-13,8.19,8.20,8.02,8.05,47764
11-Mar-13,8.20,8.20,8.05,8.19,11011
8-Mar-13,8.17,8.24,8.13,8.16,7217
7-Mar-13,8.19,8.23,8.08,8.15,15960
6-Mar-13,8.24,8.24,8.16,8.19,6149
5-Mar-13,8.14,8.15,8.08,8.13,18739
4-Mar-13,8.11,8.16,8.05,8.08,29876
1-Mar-13,8.11,8.16,8.11,8.15,35650
28-Feb-13,8.14,8.15,8.06,8.06,6173
27-Feb-13,8.05,8.09,8.05,8.09,18281
26-Feb-13,8.09,8.09,8.05,8.08,23137
25-Feb-13,8.09,8.10,8.05,8.08,13734
22-Feb-13,8.06,8.09,8.02,8.05,14836
21-Feb-13,8.20,8.20,8.00,8.00,24162
20-Feb-13,8.19,8.20,8.11,8.19,5795
19-Feb-13,8.14,8.20,8.04,8.14,24349
15-Feb-13,8.12,8.13,8.10,8.10,5429
14-Feb-13,8.08,8.15,8.04,8.12,5704
13-Feb-13,8.12,8.12,8.07,8.08,28329
12-Feb-13,8.25,8.25,8.10,8.14,36362
11-Feb-13,8.27,8.27,8.13,8.14,16947
8-Feb-13,8.48,8.54,8.15,8.15,39222
7-Feb-13,8.34,8.49,8.30,8.45,19559
6-Feb-13,8.18,8.34,8.13,8.34,43443
5-Feb-13,8.19,8.22,8.12,8.16,35106
4-Feb-13,7.97,8.24,7.96,8.22,62269
1-Feb-13,7.96,7.98,7.94,7.98,14368
31-Jan-13,7.96,7.96,7.85,7.90,17673
30-Jan-13,7.94,7.97,7.93,7.95,21521
29-Jan-13,7.97,7.99,7.93,7.95,14281
28-Jan-13,7.94,8.00,7.89,7.99,54736
25-Jan-13,7.91,7.96,7.86,7.95,24420
24-Jan-13,7.86,7.89,7.82,7.86,35065
23-Jan-13,7.83,7.86,7.78,7.86,82515
22-Jan-13,7.66,7.79,7.66,7.72,46243
18-Jan-13,7.70,7.72,7.68,7.69,30046
17-Jan-13,7.65,7.68,7.65,7.66,33541
16-Jan-13,7.66,7.69,7.61,7.66,20991
15-Jan-13,7.64,7.65,7.60,7.62,12236
14-Jan-13,7.66,7.66,7.60,7.60,12728
11-Jan-13,7.61,7.66,7.60,7.63,24012
10-Jan-13,7.67,7.67,7.53,7.62,57454
9-Jan-13,7.61,7.65,7.54,7.64,38776
8-Jan-13,7.62,7.62,7.42,7.57,90316
7-Jan-13,7.51,7.62,7.51,7.62,17910
4-Jan-13,7.61,7.63,7.50,7.56,26459
3-Jan-13,7.53,7.71,7.44,7.55,37791
2-Jan-13,7.40,7.53,7.40,7.53,51457
31-Dec-12,7.43,7.43,7.36,7.37,3934
28-Dec-12,7.36,7.42,7.36,7.42,9943
27-Dec-12,7.36,7.41,7.35,7.39,4921
26-Dec-12,7.44,7.45,7.39,7.40,25590
24-Dec-12,7.45,7.45,7.43,7.45,6045
21-Dec-12,7.43,7.45,7.40,7.45,5290
20-Dec-12,7.46,7.46,7.40,7.46,11983
19-Dec-12,7.44,7.44,7.40,7.43,10278
18-Dec-12,7.40,7.45,7.40,7.40,10446
17-Dec-12,7.43,7.43,7.35,7.40,22882
14-Dec-12,7.49,7.51,7.38,7.38,41943
13-Dec-12,7.51,7.51,7.45,7.49,14920
