Date, Open, High, Low, Close, Volume
17-May-13,18.74,18.81,18.66,18.76,94486
16-May-13,18.74,18.94,18.66,18.84,106161
15-May-13,18.87,18.87,18.56,18.68,275535
14-May-13,19.00,19.05,18.60,18.77,187466
13-May-13,19.36,19.37,18.91,19.00,94723
10-May-13,19.41,19.50,19.39,19.47,39703
9-May-13,19.36,19.65,19.35,19.37,99721
8-May-13,19.33,19.42,19.30,19.33,80839
7-May-13,19.17,19.42,19.17,19.39,50723
6-May-13,19.19,19.43,19.15,19.29,64235
3-May-13,19.22,19.29,19.05,19.29,43270
2-May-13,19.22,19.38,19.15,19.26,46886
1-May-13,19.30,19.30,19.00,19.10,75801
30-Apr-13,19.25,19.43,19.06,19.16,79273
29-Apr-13,18.84,19.25,18.84,19.25,48813
26-Apr-13,18.91,18.98,18.80,18.90,46016
25-Apr-13,19.15,19.15,18.68,18.80,88059
24-Apr-13,19.35,19.52,19.05,19.08,76339
23-Apr-13,19.36,19.55,19.19,19.46,138099
22-Apr-13,19.50,19.74,19.33,19.37,100811
19-Apr-13,19.52,19.59,19.45,19.51,21178
18-Apr-13,19.55,19.69,19.50,19.56,74705
17-Apr-13,19.74,19.80,19.62,19.65,24839
16-Apr-13,19.74,19.97,19.61,19.92,82706
15-Apr-13,19.55,19.87,19.50,19.55,41789
12-Apr-13,20.00,20.00,19.54,19.55,67274
11-Apr-13,20.01,20.02,20.00,20.00,187090
10-Apr-13,20.04,20.04,20.00,20.00,128546
9-Apr-13,19.97,20.04,19.90,20.00,101378
8-Apr-13,19.90,19.99,19.90,19.90,65145
5-Apr-13,20.05,20.05,19.90,19.90,28851
4-Apr-13,20.00,20.01,20.00,20.00,177410
3-Apr-13,20.00,20.01,20.00,20.00,174504
2-Apr-13,20.00,20.02,20.00,20.00,304879
1-Apr-13,20.00,20.05,20.00,20.00,608570
28-Mar-13,20.01,20.03,20.00,20.00,20639
27-Mar-13,20.00,20.01,20.00,20.00,51487
26-Mar-13,20.15,20.16,20.00,20.00,82060
25-Mar-13,20.00,20.50,20.00,20.15,88324
22-Mar-13,20.00,20.01,20.00,20.00,129186
21-Mar-13,20.03,20.03,20.00,20.00,20040
20-Mar-13,20.05,20.05,20.00,20.00,218595
19-Mar-13,20.00,20.15,20.00,20.01,35571
18-Mar-13,20.00,20.07,20.00,20.00,44588
15-Mar-13,20.10,20.15,20.00,20.00,17723
14-Mar-13,20.00,20.10,20.00,20.10,50769
13-Mar-13,20.00,20.01,20.00,20.00,95349
12-Mar-13,20.01,20.01,20.00,20.00,80424
11-Mar-13,20.02,20.02,20.00,20.00,14415
8-Mar-13,20.01,20.08,20.00,20.00,74978
7-Mar-13,20.02,20.03,20.00,20.00,49385
6-Mar-13,20.00,20.04,20.00,20.00,42879
5-Mar-13,20.00,20.02,20.00,20.00,45829
4-Mar-13,20.00,20.03,20.00,20.00,141010
1-Mar-13,20.00,20.01,20.00,20.00,209913
28-Feb-13,20.00,20.02,20.00,20.00,122287
27-Feb-13,20.03,20.03,20.00,20.00,292641
26-Feb-13,20.00,20.06,20.00,20.00,1925462
