Date, Open, High, Low, Close, Volume
17-May-13,29.83,30.31,29.83,29.97,1381514
16-May-13,29.73,29.87,29.40,29.70,901047
15-May-13,29.32,30.04,29.19,29.68,1148242
14-May-13,28.87,29.54,28.87,29.32,543218
13-May-13,28.80,29.06,28.77,28.91,572890
10-May-13,29.01,29.12,28.84,28.93,1426016
9-May-13,29.45,29.67,28.74,28.97,1868308
8-May-13,29.07,29.60,28.81,29.49,1380291
7-May-13,28.80,29.24,28.75,29.06,1152247
6-May-13,28.65,29.01,28.55,28.74,854648
3-May-13,28.59,29.01,28.39,28.65,1146334
2-May-13,27.51,28.57,27.15,28.20,3814813
1-May-13,25.81,26.57,25.67,26.10,2484339
30-Apr-13,26.11,26.44,25.64,25.79,3841860
29-Apr-13,26.32,26.47,25.89,26.01,1972138
26-Apr-13,26.07,26.35,26.01,26.09,715403
25-Apr-13,26.44,26.69,26.07,26.07,882409
24-Apr-13,26.41,26.46,26.18,26.36,673903
23-Apr-13,26.18,26.60,25.91,26.40,1284152
22-Apr-13,26.36,26.47,25.67,25.84,1805705
19-Apr-13,25.90,26.33,25.74,26.30,972493
18-Apr-13,26.29,26.29,25.41,25.69,1451889
17-Apr-13,26.50,26.57,26.04,26.25,800136
16-Apr-13,26.66,26.78,26.20,26.63,962546
15-Apr-13,27.60,27.60,26.45,26.45,994150
12-Apr-13,28.12,28.37,27.63,27.78,823521
11-Apr-13,27.66,28.33,27.64,28.20,952129
10-Apr-13,27.71,27.71,27.25,27.59,1046869
9-Apr-13,27.63,28.01,27.45,27.67,842731
8-Apr-13,26.63,27.60,26.55,27.56,969186
5-Apr-13,26.44,26.66,26.20,26.48,751402
4-Apr-13,26.70,27.04,26.30,26.91,812387
3-Apr-13,27.31,27.33,26.41,26.72,1324326
2-Apr-13,27.56,27.91,27.24,27.34,618913
1-Apr-13,27.88,27.97,27.18,27.50,538108
28-Mar-13,27.36,28.08,27.31,27.88,953525
27-Mar-13,27.06,27.51,26.89,27.36,314500
26-Mar-13,27.17,27.61,27.13,27.23,671646
25-Mar-13,27.13,27.60,27.10,27.19,1212497
22-Mar-13,27.17,27.20,26.98,27.02,585884
21-Mar-13,27.52,27.76,26.75,27.02,1398410
20-Mar-13,27.44,28.02,27.31,27.65,1245728
19-Mar-13,27.64,27.94,27.13,27.35,666413
18-Mar-13,27.64,27.75,27.37,27.48,1271585
15-Mar-13,28.40,28.46,27.92,28.09,1314092
14-Mar-13,28.80,29.00,28.34,28.50,745416
13-Mar-13,29.12,29.12,28.54,28.71,1527965
12-Mar-13,28.94,29.61,28.89,29.21,1297643
11-Mar-13,29.59,29.60,29.38,29.58,1256444
8-Mar-13,29.81,29.92,29.59,29.64,1090688
7-Mar-13,29.30,29.76,29.22,29.65,1082867
6-Mar-13,29.00,29.32,28.83,29.24,697337
5-Mar-13,28.77,29.03,28.65,28.87,747976
4-Mar-13,28.25,28.91,28.25,28.57,944672
1-Mar-13,27.53,28.37,27.44,28.34,960827
28-Feb-13,27.80,28.04,27.49,27.68,800463
27-Feb-13,27.43,28.02,27.43,27.84,647167
26-Feb-13,27.38,27.50,26.53,27.39,1485284
25-Feb-13,28.35,28.44,27.06,27.08,720573
22-Feb-13,27.93,28.30,27.74,28.10,1238895
21-Feb-13,27.93,27.93,27.35,27.77,1141719
20-Feb-13,28.58,28.67,27.87,28.03,1759364
19-Feb-13,28.49,28.66,28.42,28.66,1122553
15-Feb-13,28.50,28.67,28.35,28.57,1080542
14-Feb-13,28.47,28.74,28.47,28.53,1065029
13-Feb-13,28.50,29.25,28.33,28.53,3096835
12-Feb-13,28.04,28.67,27.45,28.48,3452114
11-Feb-13,27.26,27.41,26.64,26.88,2379371
8-Feb-13,27.11,27.42,27.07,27.39,1403671
7-Feb-13,27.32,27.41,26.57,27.20,1298650
6-Feb-13,27.00,27.71,27.00,27.31,927408
5-Feb-13,26.74,27.34,26.74,27.13,1017813
4-Feb-13,27.06,27.22,26.75,26.78,1095028
1-Feb-13,27.26,27.41,27.18,27.36,747975
31-Jan-13,26.78,27.10,26.74,27.01,1271389
30-Jan-13,27.25,27.30,26.74,26.77,960483
29-Jan-13,28.12,28.15,27.23,27.32,1272688
28-Jan-13,28.13,28.37,27.81,28.26,1607601
25-Jan-13,27.25,28.25,26.98,28.01,2496652
24-Jan-13,27.37,27.79,27.06,27.09,1312253
23-Jan-13,27.60,27.67,27.24,27.25,929796
22-Jan-13,27.24,27.61,27.00,27.61,1601963
18-Jan-13,27.44,27.50,26.98,27.21,1030741
17-Jan-13,27.27,27.63,27.15,27.47,1515620
16-Jan-13,27.35,27.43,26.90,27.15,721888
15-Jan-13,26.52,27.51,26.52,27.46,1868322
14-Jan-13,26.19,26.91,26.06,26.77,1589202
11-Jan-13,26.09,26.15,25.62,26.05,1453997
10-Jan-13,25.63,25.63,25.18,25.50,781496
9-Jan-13,25.56,25.58,25.39,25.50,1212460
8-Jan-13,25.70,26.04,25.31,25.44,1081657
7-Jan-13,25.10,25.82,25.04,25.79,1045306
4-Jan-13,25.49,25.50,25.05,25.36,539829
3-Jan-13,25.40,25.64,25.14,25.34,1269744
2-Jan-13,26.08,26.08,25.19,25.24,1529450
31-Dec-12,24.25,25.55,24.25,25.32,1194250
28-Dec-12,24.39,24.60,24.25,24.30,494042
27-Dec-12,24.61,24.80,24.21,24.58,563130
26-Dec-12,24.84,24.91,24.61,24.64,480048
24-Dec-12,25.08,25.30,24.58,24.73,328003
21-Dec-12,24.90,25.44,24.65,25.22,1654317
20-Dec-12,24.84,25.44,24.38,25.40,1457520
19-Dec-12,25.16,25.16,24.61,24.85,508474
18-Dec-12,24.97,25.09,24.85,25.07,984334
17-Dec-12,24.22,25.02,24.17,24.90,1091885
14-Dec-12,24.50,24.62,24.14,24.20,1760443
13-Dec-12,24.89,25.00,24.44,24.51,1251648
12-Dec-12,25.90,26.11,25.20,25.25,540248
11-Dec-12,24.69,25.79,24.54,25.72,1625403
10-Dec-12,24.44,24.79,24.26,24.59,884484
7-Dec-12,24.81,25.06,24.57,24.75,1338681
6-Dec-12,24.77,24.91,24.66,24.77,633800
5-Dec-12,25.07,25.13,24.65,24.84,699570
4-Dec-12,25.14,25.14,24.69,24.95,762805
3-Dec-12,25.77,25.83,24.91,25.09,1311799
30-Nov-12,25.51,25.58,25.03,25.56,764764
29-Nov-12,24.91,25.75,24.91,25.56,1631909
28-Nov-12,24.70,24.99,24.35,24.86,1272615
27-Nov-12,24.48,25.08,24.39,24.90,1594212
26-Nov-12,24.53,24.62,24.23,24.46,1039691
23-Nov-12,24.85,24.87,24.58,24.75,658395
21-Nov-12,24.99,25.15,24.71,24.76,1468636
20-Nov-12,24.71,25.05,24.09,24.98,3608781
19-Nov-12,23.83,24.90,23.76,24.74,3003151
16-Nov-12,22.41,24.07,22.41,23.92,5666734
15-Nov-12,21.60,21.98,21.28,21.58,2284469
14-Nov-12,22.65,22.70,21.53,21.60,1714284
13-Nov-12,22.68,22.92,22.59,22.59,585944
12-Nov-12,22.37,23.06,22.27,22.84,856453
9-Nov-12,22.14,22.71,21.90,22.24,1660966
8-Nov-12,23.22,23.32,22.35,22.37,1099644
7-Nov-12,23.93,24.90,23.15,23.24,2367546
6-Nov-12,23.69,24.10,23.57,23.99,1048624
5-Nov-12,23.22,23.85,23.22,23.58,1037064
2-Nov-12,23.74,23.75,22.69,23.44,3534757
1-Nov-12,23.54,24.28,23.21,23.99,1338133
31-Oct-12,23.49,23.61,23.04,23.46,677914
26-Oct-12,23.66,23.83,23.22,23.51,688333
25-Oct-12,23.54,23.81,23.22,23.73,986735
24-Oct-12,23.74,23.79,23.22,23.27,1037825
23-Oct-12,23.74,23.93,23.37,23.56,1153914
22-Oct-12,24.12,24.20,23.87,24.13,781993
19-Oct-12,24.20,24.34,23.82,24.14,1489225
18-Oct-12,24.22,24.48,23.98,24.25,1117485
17-Oct-12,25.25,25.37,24.11,24.34,1301637
16-Oct-12,24.45,24.53,24.15,24.27,539804
15-Oct-12,24.19,24.34,23.86,24.30,582195
12-Oct-12,24.45,24.55,24.10,24.16,916249
11-Oct-12,24.27,24.66,24.13,24.14,1340399
10-Oct-12,24.21,24.28,23.75,24.12,1427600
9-Oct-12,24.15,24.55,24.11,24.26,1658326
8-Oct-12,24.42,24.44,24.07,24.11,1268120
5-Oct-12,24.78,24.80,24.41,24.47,1614087
4-Oct-12,24.84,24.86,24.42,24.59,2482316
3-Oct-12,24.25,25.41,23.65,24.86,5327223
2-Oct-12,23.40,23.76,23.25,23.60,1842067
1-Oct-12,23.75,24.98,23.11,23.31,998482
28-Sep-12,23.18,23.37,22.91,23.22,1253449
27-Sep-12,22.10,23.57,22.02,23.39,2621722
26-Sep-12,22.88,22.88,21.89,22.07,1272409
25-Sep-12,22.40,22.83,22.32,22.80,1957143
24-Sep-12,22.30,22.49,22.17,22.31,926360
21-Sep-12,22.94,22.98,22.47,22.47,1113338
