Date, Open, High, Low, Close, Volume
17-May-13,26.02,26.29,26.02,26.27,24029
16-May-13,26.10,26.18,25.97,26.00,13947
15-May-13,25.99,26.20,25.82,26.12,16914
14-May-13,25.80,26.09,25.76,25.85,22133
13-May-13,25.50,26.39,25.50,25.69,7285
10-May-13,25.72,25.72,25.50,25.61,26127
9-May-13,25.38,25.70,25.26,25.63,26686
8-May-13,25.31,25.51,25.30,25.50,12401
7-May-13,25.04,25.58,24.94,25.44,20955
6-May-13,25.09,25.09,24.23,24.98,18681
3-May-13,25.16,25.49,25.05,25.32,21741
2-May-13,24.50,25.00,24.50,24.85,15850
1-May-13,24.44,24.44,23.99,24.10,31522
30-Apr-13,24.25,24.35,24.25,24.35,21554
29-Apr-13,24.26,24.37,24.06,24.24,14910
26-Apr-13,24.50,24.50,23.94,24.13,29658
25-Apr-13,24.31,24.40,24.15,24.39,6652
24-Apr-13,24.44,24.49,23.94,24.40,6105
23-Apr-13,24.30,24.49,24.25,24.40,9740
22-Apr-13,24.42,24.42,23.80,24.10,7520
19-Apr-13,24.23,24.60,24.23,24.29,18897
18-Apr-13,24.40,24.58,24.24,24.24,27866
17-Apr-13,24.49,25.43,24.00,24.29,15133
16-Apr-13,24.01,24.59,24.01,24.59,9935
15-Apr-13,24.54,24.54,23.93,23.99,22815
12-Apr-13,24.13,24.79,24.00,24.55,13148
11-Apr-13,24.75,24.82,24.42,24.53,17562
10-Apr-13,24.41,25.03,24.41,24.84,22986
9-Apr-13,24.26,24.67,24.20,24.50,9191
8-Apr-13,24.44,24.63,23.71,24.31,8526
5-Apr-13,24.00,24.55,24.00,24.38,14000
4-Apr-13,24.01,24.46,24.00,24.19,4645
3-Apr-13,24.06,24.67,23.89,24.00,21035
2-Apr-13,24.55,24.65,23.89,24.09,17776
1-Apr-13,24.55,24.68,24.50,24.58,11856
28-Mar-13,24.50,24.65,24.45,24.50,15879
27-Mar-13,24.51,24.52,24.02,24.29,11737
26-Mar-13,24.63,24.76,24.33,24.73,30794
25-Mar-13,25.10,25.13,24.63,24.63,21999
22-Mar-13,24.79,25.02,24.63,25.00,20565
21-Mar-13,24.98,25.21,24.77,24.80,7967
20-Mar-13,25.31,25.57,25.08,25.20,10894
19-Mar-13,25.37,25.37,25.00,25.11,9342
18-Mar-13,25.24,25.60,24.75,25.15,13469
15-Mar-13,24.72,25.41,24.50,25.40,36207
14-Mar-13,25.30,25.30,24.57,24.64,17672
13-Mar-13,24.69,25.44,24.69,25.39,16079
12-Mar-13,24.31,24.97,24.31,24.73,36587
11-Mar-13,24.28,24.50,24.28,24.43,7444
8-Mar-13,24.30,24.48,24.01,24.34,53042
7-Mar-13,23.99,24.10,23.92,24.10,33060
6-Mar-13,24.00,24.00,23.54,23.81,11540
5-Mar-13,24.02,24.15,23.68,23.90,20562
4-Mar-13,24.15,24.23,23.61,23.72,14274
1-Mar-13,23.97,24.29,23.91,24.24,6433
28-Feb-13,24.18,24.45,24.18,24.24,24376
27-Feb-13,24.10,24.34,23.97,24.21,18738
26-Feb-13,24.32,24.36,23.80,24.31,15144
25-Feb-13,24.49,24.50,23.04,24.16,20454
22-Feb-13,24.48,24.74,24.12,24.43,36822
21-Feb-13,24.21,24.49,24.20,24.33,17189
20-Feb-13,24.59,24.72,24.14,24.21,21163
19-Feb-13,24.70,24.91,24.49,24.73,13065
15-Feb-13,24.74,24.82,24.40,24.66,18343
14-Feb-13,24.56,24.78,24.25,24.66,5226
13-Feb-13,25.01,25.03,24.44,24.72,18546
12-Feb-13,24.53,25.01,24.15,25.00,55973
11-Feb-13,24.78,24.80,24.53,24.53,14908
8-Feb-13,24.73,24.89,24.26,24.83,26087
7-Feb-13,24.99,25.40,24.56,24.67,111493
6-Feb-13,24.87,25.11,24.81,24.93,12560
5-Feb-13,25.48,25.48,24.92,25.05,39053
4-Feb-13,25.41,25.45,24.89,25.31,59154
1-Feb-13,25.85,25.85,25.50,25.63,18019
31-Jan-13,25.47,25.85,24.94,25.69,20926
30-Jan-13,25.65,25.84,25.25,25.42,19005
29-Jan-13,25.46,25.79,25.20,25.77,34189
28-Jan-13,25.43,25.46,25.25,25.44,10053
25-Jan-13,25.50,25.50,25.25,25.47,12885
24-Jan-13,25.28,25.45,25.28,25.35,13889
23-Jan-13,25.33,25.39,25.22,25.28,43672
22-Jan-13,25.29,25.41,25.20,25.38,12094
18-Jan-13,25.32,25.44,25.26,25.36,22327
17-Jan-13,25.02,25.42,25.02,25.40,38258
16-Jan-13,24.97,25.18,24.85,25.00,14461
15-Jan-13,24.82,25.07,24.82,25.06,17599
14-Jan-13,25.05,25.11,24.84,24.98,32346
11-Jan-13,24.90,25.14,24.50,24.88,22007
10-Jan-13,25.09,25.09,24.70,24.84,21315
9-Jan-13,25.14,25.14,24.77,25.04,17673
8-Jan-13,24.97,25.14,24.77,25.11,30088
7-Jan-13,24.50,25.10,24.50,24.90,71171
4-Jan-13,24.71,24.71,24.33,24.45,59692
3-Jan-13,24.94,25.00,24.43,24.50,19709
2-Jan-13,25.20,25.45,24.72,24.89,43433
31-Dec-12,24.37,24.93,24.27,24.93,26347
28-Dec-12,24.22,24.63,24.22,24.45,23756
27-Dec-12,24.05,24.39,23.66,24.30,46318
26-Dec-12,24.00,24.15,23.79,24.03,34959
24-Dec-12,23.94,24.15,23.86,24.00,10476
21-Dec-12,23.59,23.97,23.25,23.89,82992
20-Dec-12,23.01,23.81,22.84,23.53,35250
19-Dec-12,21.02,21.90,20.68,21.85,36822
18-Dec-12,20.87,21.09,20.58,20.95,15992
17-Dec-12,19.67,21.42,19.67,20.80,29640
14-Dec-12,19.01,19.77,18.94,19.66,42711
13-Dec-12,18.99,19.35,18.84,19.11,14047
12-Dec-12,18.87,19.57,18.82,19.03,38418
11-Dec-12,19.09,19.31,18.80,19.09,48105
10-Dec-12,18.87,19.24,18.75,18.93,21597
7-Dec-12,19.21,19.21,18.62,18.89,8816
6-Dec-12,18.95,19.21,18.41,19.09,36338
5-Dec-12,19.85,19.96,19.12,19.25,23975
4-Dec-12,19.40,19.84,19.23,19.77,16362
3-Dec-12,19.45,19.61,18.61,19.00,26162
30-Nov-12,18.84,19.81,18.55,19.45,64973
29-Nov-12,18.47,18.90,18.29,18.76,17375
28-Nov-12,18.05,18.35,17.95,18.32,33389
27-Nov-12,18.65,18.65,18.16,18.21,16683
26-Nov-12,18.24,18.50,18.12,18.42,13881
23-Nov-12,18.45,18.50,18.15,18.48,9144
21-Nov-12,18.23,18.51,18.23,18.44,13250
20-Nov-12,18.73,18.73,17.99,18.27,15162
19-Nov-12,18.20,18.57,18.05,18.41,34000
16-Nov-12,18.15,18.25,17.84,18.05,56345
15-Nov-12,18.15,18.34,18.02,18.25,24517
14-Nov-12,19.10,19.10,17.92,18.21,28819
13-Nov-12,19.52,19.56,19.11,19.12,17365
12-Nov-12,19.30,19.75,19.30,19.46,28140
9-Nov-12,20.25,20.75,19.14,19.19,33383
8-Nov-12,21.18,21.37,20.50,20.50,21669
7-Nov-12,21.80,21.80,21.19,21.19,38271
6-Nov-12,22.35,22.35,21.94,22.06,4670
5-Nov-12,22.44,22.65,21.93,21.94,6835
2-Nov-12,22.60,22.66,22.27,22.42,26604
1-Nov-12,22.36,22.61,22.22,22.55,20421
31-Oct-12,22.64,22.74,22.07,22.61,7330
26-Oct-12,22.84,22.84,21.99,22.62,3574
25-Oct-12,21.90,22.40,21.86,22.37,5088
24-Oct-12,22.00,22.37,21.89,22.27,5520
23-Oct-12,22.23,22.67,21.86,22.66,8546
22-Oct-12,22.57,23.00,22.26,22.32,8462
19-Oct-12,22.56,22.64,22.03,22.55,16069
18-Oct-12,23.71,23.71,22.70,22.75,25494
17-Oct-12,23.71,23.75,23.53,23.65,9015
16-Oct-12,23.25,24.00,23.25,23.80,43696
15-Oct-12,22.86,23.16,22.35,23.08,7877
12-Oct-12,22.59,23.00,22.56,22.87,6785
11-Oct-12,22.85,22.85,22.59,22.65,4112
10-Oct-12,23.30,23.30,22.42,22.69,10159
9-Oct-12,23.15,23.44,23.15,23.20,4924
8-Oct-12,23.07,23.50,23.05,23.16,7664
5-Oct-12,23.37,23.66,23.29,23.50,13517
4-Oct-12,23.65,23.69,23.02,23.36,12067
3-Oct-12,23.64,23.88,23.50,23.51,7968
2-Oct-12,23.96,24.15,23.47,23.58,6911
1-Oct-12,23.89,24.21,23.67,23.85,9238
28-Sep-12,24.17,24.25,23.80,23.86,9133
27-Sep-12,24.16,24.46,23.98,24.31,12025
26-Sep-12,23.84,24.23,23.61,24.23,7742
25-Sep-12,24.00,24.09,23.55,23.55,16632
24-Sep-12,23.77,23.94,23.38,23.94,13919
21-Sep-12,24.10,24.17,23.71,23.89,31907
20-Sep-12,23.92,23.92,23.51,23.77,3479
19-Sep-12,24.37,24.49,23.83,24.14,23699
18-Sep-12,24.43,24.54,24.34,24.39,18794
17-Sep-12,24.52,24.68,24.31,24.53,14368
14-Sep-12,24.30,24.75,24.00,24.75,26661
13-Sep-12,23.89,24.35,23.85,24.35,16945
12-Sep-12,23.65,23.96,23.55,23.89,7562
11-Sep-12,23.88,24.21,23.74,23.94,13542
10-Sep-12,24.12,24.24,23.87,23.95,7606
7-Sep-12,24.28,24.32,23.93,24.18,24779
6-Sep-12,23.78,24.19,23.78,24.17,12317
5-Sep-12,24.18,24.18,23.40,23.69,18357
4-Sep-12,23.86,24.27,23.39,23.85,14112
31-Aug-12,24.31,24.55,23.85,23.87,5937
30-Aug-12,24.38,24.59,24.01,24.03,7602
29-Aug-12,24.57,24.80,24.31,24.65,9048
28-Aug-12,23.60,24.62,23.60,24.58,14412
27-Aug-12,23.41,23.41,23.14,23.37,7422
24-Aug-12,23.18,23.55,23.18,23.39,8714
23-Aug-12,23.45,23.73,23.20,23.34,8653
22-Aug-12,23.96,24.60,23.51,23.58,6765
21-Aug-12,24.49,24.73,23.80,23.87,5319
20-Aug-12,24.18,24.52,23.07,24.43,43859
17-Aug-12,23.20,24.49,23.20,24.35,19078
16-Aug-12,23.27,23.41,22.97,23.30,12360
15-Aug-12,23.20,23.54,23.01,23.42,24612
14-Aug-12,23.71,23.79,22.90,23.00,11130
13-Aug-12,24.30,24.30,22.89,23.68,18553
10-Aug-12,24.14,24.85,23.71,24.30,34222
9-Aug-12,25.00,25.00,24.03,24.17,101485
8-Aug-12,25.53,26.30,25.29,25.39,15247
7-Aug-12,26.18,26.29,25.51,25.75,21284
6-Aug-12,25.86,26.12,25.82,25.98,7205
3-Aug-12,24.70,25.85,24.70,25.85,14318
2-Aug-12,24.53,25.00,24.08,24.52,12526
1-Aug-12,25.23,25.50,24.50,24.50,25343
31-Jul-12,25.42,25.84,24.64,25.22,19530
30-Jul-12,25.99,26.14,25.42,25.46,15253
27-Jul-12,25.19,26.30,25.19,26.01,21171
26-Jul-12,25.16,25.91,24.82,25.00,44324
25-Jul-12,25.40,25.76,24.79,24.79,28030
24-Jul-12,25.65,25.81,25.10,25.16,20769
23-Jul-12,25.34,26.17,25.14,25.66,33689
20-Jul-12,25.39,25.69,25.39,25.61,17721
19-Jul-12,25.53,25.89,25.35,25.55,40466
18-Jul-12,24.15,25.53,24.15,25.53,55934
17-Jul-12,24.59,25.00,24.24,24.28,15666
16-Jul-12,25.21,25.21,24.36,24.41,24786
13-Jul-12,25.35,25.58,24.96,25.33,47800
12-Jul-12,25.35,25.85,24.88,25.12,51956
11-Jul-12,25.67,26.08,25.35,25.36,19185
10-Jul-12,25.72,26.14,25.06,25.63,25403
9-Jul-12,25.56,25.89,25.36,25.63,11802
6-Jul-12,25.37,26.10,25.11,25.51,29010
5-Jul-12,26.27,26.45,25.56,25.70,42655
3-Jul-12,25.89,26.43,25.71,26.43,21861
2-Jul-12,26.20,26.20,25.04,25.96,28154
29-Jun-12,26.20,26.55,25.57,26.09,47457
28-Jun-12,25.05,25.64,25.00,25.62,16425
27-Jun-12,24.56,25.19,24.53,25.19,12274
26-Jun-12,24.00,24.63,24.00,24.53,17462
25-Jun-12,23.51,24.08,23.51,24.01,48681
22-Jun-12,23.82,24.04,23.65,23.98,67039
21-Jun-12,23.89,24.12,23.75,23.75,105699
20-Jun-12,23.81,23.94,23.55,23.83,69760
19-Jun-12,23.43,24.10,23.35,23.71,56798
18-Jun-12,24.03,24.03,23.29,23.38,34895
15-Jun-12,23.21,24.16,23.07,24.12,58876
14-Jun-12,22.80,23.43,22.80,23.26,13144
13-Jun-12,22.74,22.97,22.74,22.80,8391
12-Jun-12,22.74,22.97,22.74,22.83,10433
11-Jun-12,23.13,23.13,22.75,22.75,18828
8-Jun-12,22.75,23.06,22.75,23.00,23411
7-Jun-12,23.12,23.14,22.75,22.78,46294
