Date, Open, High, Low, Close, Volume
17-May-13,25.49,25.72,25.40,25.64,444012
16-May-13,25.50,25.79,25.47,25.47,177486
15-May-13,25.35,25.66,25.22,25.56,406447
14-May-13,25.40,25.54,25.35,25.40,190242
13-May-13,25.47,25.56,25.30,25.36,166216
10-May-13,25.55,25.68,25.25,25.54,312311
9-May-13,25.72,25.90,25.48,25.55,272213
8-May-13,25.86,25.93,25.63,25.82,400886
7-May-13,25.54,25.93,25.47,25.89,498884
6-May-13,25.20,25.50,25.11,25.43,185599
3-May-13,25.15,25.46,25.09,25.19,197528
2-May-13,25.06,25.22,24.81,24.99,173182
1-May-13,25.27,25.28,24.96,25.04,332325
30-Apr-13,24.98,25.35,24.78,25.35,577373
29-Apr-13,25.29,25.30,24.66,24.96,501861
26-Apr-13,25.51,25.51,25.24,25.29,344456
25-Apr-13,25.07,25.60,24.77,25.47,924132
24-Apr-13,24.45,25.03,24.31,24.65,352754
23-Apr-13,24.66,24.79,24.38,24.45,566972
22-Apr-13,24.62,24.71,24.44,24.63,185514
19-Apr-13,24.50,24.61,24.27,24.53,364949
18-Apr-13,24.69,24.84,24.29,24.45,273167
17-Apr-13,24.95,25.07,24.60,24.72,395230
16-Apr-13,25.01,25.23,24.84,25.06,608840
15-Apr-13,25.37,25.47,24.92,24.93,483386
12-Apr-13,25.57,25.59,25.35,25.50,323476
11-Apr-13,25.64,25.66,25.45,25.57,279792
10-Apr-13,25.39,25.65,25.32,25.64,363781
9-Apr-13,25.30,25.52,25.30,25.34,360074
8-Apr-13,25.18,25.29,24.95,25.29,225108
5-Apr-13,24.89,25.21,24.89,25.18,327456
4-Apr-13,24.77,25.09,24.72,25.09,312123
3-Apr-13,25.48,25.48,24.74,24.81,568757
2-Apr-13,25.73,25.81,25.32,25.54,406687
1-Apr-13,25.67,25.67,25.45,25.55,738949
28-Mar-13,25.70,25.70,25.46,25.62,617444
27-Mar-13,25.61,25.69,25.40,25.66,431413
26-Mar-13,25.90,25.99,25.84,25.99,479019
25-Mar-13,25.77,25.89,25.72,25.88,914740
22-Mar-13,25.72,25.87,25.64,25.77,801522
21-Mar-13,25.15,25.76,25.15,25.72,1245982
20-Mar-13,25.26,25.33,25.11,25.26,601767
19-Mar-13,24.97,25.27,24.71,25.26,1313780
18-Mar-13,24.59,25.00,24.22,24.99,1601869
15-Mar-13,25.10,25.35,24.64,24.83,1733239
14-Mar-13,25.34,25.42,25.10,25.27,1098915
13-Mar-13,25.52,25.54,24.81,25.34,1536057
12-Mar-13,25.30,25.58,25.25,25.41,1598987
11-Mar-13,25.25,25.48,25.25,25.35,2404072
8-Mar-13,25.55,25.61,25.06,25.28,12630691
7-Mar-13,26.88,26.90,25.57,26.08,1802403
6-Mar-13,28.06,28.14,26.85,27.00,593836
5-Mar-13,28.18,28.69,28.18,28.57,155761
4-Mar-13,28.00,28.25,27.83,28.11,375181
1-Mar-13,28.24,28.32,27.97,28.00,322482
28-Feb-13,27.87,28.46,27.86,28.36,218851
27-Feb-13,27.77,27.96,27.71,27.84,178966
26-Feb-13,27.48,27.79,27.35,27.76,165813
25-Feb-13,27.63,27.97,27.41,27.41,191910
22-Feb-13,27.46,27.61,27.37,27.61,79723
21-Feb-13,27.67,27.67,27.21,27.34,116879
20-Feb-13,27.80,27.90,27.63,27.68,150959
19-Feb-13,27.67,27.79,27.57,27.76,305711
15-Feb-13,27.63,27.70,27.49,27.57,78261
14-Feb-13,27.52,27.68,27.34,27.56,125633
