Date, Open, High, Low, Close, Volume
17-May-13,16.44,16.51,16.31,16.50,6333
16-May-13,16.35,16.46,16.35,16.41,1599
15-May-13,16.65,16.70,16.40,16.40,6989
14-May-13,16.86,16.86,16.70,16.70,2958
13-May-13,16.90,16.90,16.90,16.90,1747
10-May-13,17.07,17.07,17.00,17.01,4162
9-May-13,17.00,17.07,17.00,17.02,2032
8-May-13,17.26,17.26,16.86,17.07,6805
7-May-13,17.14,17.29,17.00,17.29,2767
6-May-13,17.19,17.24,17.06,17.14,1260
3-May-13,17.10,17.26,17.10,17.20,1016
2-May-13,17.02,17.11,16.98,16.98,742
1-May-13,17.02,17.15,17.01,17.07,4007
30-Apr-13,16.76,17.05,16.74,17.02,4635
29-Apr-13,17.05,17.05,16.77,16.84,2802
26-Apr-13,17.20,17.23,16.93,16.93,4626
25-Apr-13,17.30,17.30,17.05,17.14,4100
24-Apr-13,17.28,17.33,17.28,17.32,1300
23-Apr-13,17.03,17.38,17.03,17.35,4017
22-Apr-13,-,-,-,16.91,0
19-Apr-13,16.92,16.92,16.91,16.91,300
18-Apr-13,16.95,16.95,16.95,16.95,180
17-Apr-13,16.70,16.89,16.70,16.89,6746
16-Apr-13,16.75,16.75,16.70,16.72,2291
15-Apr-13,16.77,16.81,16.72,16.77,1944
12-Apr-13,17.00,17.00,16.83,16.83,1711
11-Apr-13,16.85,16.95,16.85,16.89,2307
10-Apr-13,17.03,17.03,16.93,16.94,1487
9-Apr-13,17.06,17.06,16.92,16.92,2590
8-Apr-13,17.08,17.08,16.78,16.89,3293
5-Apr-13,16.83,16.94,16.79,16.94,6297
4-Apr-13,16.55,16.79,16.46,16.60,8847
3-Apr-13,16.47,16.54,16.47,16.54,1112
2-Apr-13,16.34,16.53,16.34,16.42,3185
1-Apr-13,16.59,16.59,16.30,16.34,3631
28-Mar-13,16.27,16.32,16.27,16.31,2734
27-Mar-13,16.42,16.42,16.32,16.36,2864
26-Mar-13,16.24,16.34,16.24,16.34,868
25-Mar-13,16.35,16.39,16.20,16.33,8336
22-Mar-13,16.16,16.28,16.10,16.26,3572
21-Mar-13,16.31,16.35,16.18,16.18,7299
20-Mar-13,16.19,16.22,16.14,16.19,5200
19-Mar-13,16.13,16.19,16.13,16.19,1103
18-Mar-13,16.11,16.29,15.91,16.21,10077
15-Mar-13,15.71,15.94,15.67,15.90,9759
14-Mar-13,16.20,16.20,15.81,15.81,12833
13-Mar-13,16.24,16.28,16.12,16.13,3730
12-Mar-13,16.54,16.55,16.32,16.33,16765
11-Mar-13,16.62,16.67,16.52,16.59,2771
8-Mar-13,16.92,16.92,16.61,16.70,14299
7-Mar-13,17.16,17.16,17.05,17.06,3954
6-Mar-13,17.10,17.15,17.00,17.14,7755
5-Mar-13,17.18,17.18,17.09,17.09,500
4-Mar-13,17.00,17.18,16.95,17.18,9104
1-Mar-13,17.14,17.14,16.99,17.00,2445
28-Feb-13,17.07,17.12,17.07,17.10,2872
27-Feb-13,17.27,17.27,17.08,17.08,5954
26-Feb-13,17.33,17.36,17.19,17.19,14831
25-Feb-13,17.36,17.36,17.21,17.21,6577
22-Feb-13,17.19,17.34,17.19,17.30,3847
21-Feb-13,17.09,17.34,17.09,17.27,4758
20-Feb-13,17.20,17.20,17.15,17.19,1216
19-Feb-13,17.09,17.18,17.06,17.17,6571
15-Feb-13,17.34,17.34,17.14,17.17,6202
14-Feb-13,17.39,17.39,17.25,17.30,5461
13-Feb-13,17.70,17.73,17.52,17.52,6608
12-Feb-13,17.76,17.76,17.73,17.74,1220
11-Feb-13,17.81,17.84,17.78,17.84,4475
8-Feb-13,18.05,18.05,17.77,17.81,9287
7-Feb-13,18.02,18.05,18.02,18.05,2462
6-Feb-13,17.94,17.99,17.94,17.99,1226
5-Feb-13,17.93,17.93,17.88,17.88,963
4-Feb-13,18.01,18.01,17.88,17.88,5226
1-Feb-13,18.00,18.08,17.97,18.01,4377
31-Jan-13,17.95,17.95,17.75,17.85,5591
30-Jan-13,17.85,17.90,17.81,17.90,1822
29-Jan-13,17.85,17.92,17.54,17.85,6205
28-Jan-13,18.09,18.13,17.80,17.86,5138
25-Jan-13,18.08,18.11,17.96,17.97,10526
24-Jan-13,18.05,18.06,17.99,18.05,1800
23-Jan-13,17.98,18.04,17.94,18.02,2617
22-Jan-13,18.02,18.02,17.90,17.92,2991
18-Jan-13,17.93,18.02,17.90,17.90,1418
17-Jan-13,17.92,17.96,17.89,17.93,2003
16-Jan-13,17.86,17.86,17.81,17.85,2361
15-Jan-13,17.84,17.88,17.84,17.85,5530
14-Jan-13,17.83,17.88,17.77,17.85,2238
11-Jan-13,17.78,17.85,17.78,17.83,3463
10-Jan-13,17.95,17.95,17.72,17.76,4877
9-Jan-13,18.06,18.06,17.99,17.99,2056
8-Jan-13,17.83,18.03,17.83,18.03,4316
7-Jan-13,17.88,17.89,17.75,17.80,5855
4-Jan-13,17.55,17.77,17.55,17.77,10040
3-Jan-13,17.26,17.54,17.26,17.47,3104
2-Jan-13,17.04,17.38,17.04,17.30,2524
31-Dec-12,17.06,17.08,17.00,17.00,1862
28-Dec-12,16.83,17.03,16.83,16.93,9918
27-Dec-12,17.11,17.20,16.90,16.99,6987
26-Dec-12,17.36,17.36,17.07,17.11,13670
24-Dec-12,17.44,17.50,17.14,17.15,11869
21-Dec-12,17.49,17.67,17.49,17.50,11004
20-Dec-12,17.67,17.67,17.50,17.52,8224
19-Dec-12,17.39,17.68,17.29,17.65,16647
18-Dec-12,17.76,17.76,17.61,17.61,4500
17-Dec-12,18.78,18.78,17.90,17.90,28342
14-Dec-12,18.81,18.91,18.81,18.82,2668
13-Dec-12,18.97,19.07,18.95,18.95,8442
12-Dec-12,19.00,19.08,18.98,19.01,1970
11-Dec-12,19.04,19.09,18.99,19.09,5235
10-Dec-12,19.09,19.12,18.85,18.89,4862
7-Dec-12,19.18,19.18,18.82,18.88,4551
6-Dec-12,19.01,19.01,18.95,18.95,3854
5-Dec-12,18.95,19.05,18.90,18.96,7128
4-Dec-12,18.80,18.92,18.37,18.86,10992
3-Dec-12,18.90,18.90,18.73,18.80,6322
30-Nov-12,18.88,18.92,18.80,18.86,3698
29-Nov-12,18.99,19.07,18.86,18.87,5361
28-Nov-12,18.98,19.06,18.90,18.92,6752
27-Nov-12,18.84,18.98,18.84,18.98,3332
26-Nov-12,18.85,18.98,18.80,18.89,4102
23-Nov-12,18.86,18.93,18.79,18.79,1899
21-Nov-12,18.59,18.80,18.59,18.80,6761
20-Nov-12,18.52,18.56,18.45,18.56,6474
19-Nov-12,18.59,18.65,18.43,18.48,11912
16-Nov-12,18.12,18.48,18.12,18.47,6468
15-Nov-12,18.10,18.11,17.91,18.11,8499
14-Nov-12,18.24,18.30,18.07,18.07,4311
13-Nov-12,18.26,18.26,18.18,18.18,1279
12-Nov-12,18.39,18.39,18.25,18.32,2635
9-Nov-12,18.25,18.32,18.22,18.24,3837
8-Nov-12,18.07,18.23,18.07,18.23,2875
7-Nov-12,17.93,18.05,17.93,18.04,5230
6-Nov-12,17.96,17.96,17.87,17.91,3490
5-Nov-12,18.20,18.21,17.94,18.04,4752
2-Nov-12,18.38,18.38,18.03,18.22,4819
1-Nov-12,18.26,18.38,18.26,18.38,2261
31-Oct-12,18.17,18.23,18.13,18.23,3110
26-Oct-12,18.06,18.15,18.06,18.15,836
25-Oct-12,18.07,18.08,18.05,18.05,3095
24-Oct-12,17.94,18.04,17.94,18.04,1814
23-Oct-12,18.12,18.18,17.72,17.94,14250
22-Oct-12,18.27,18.27,18.06,18.09,4194
19-Oct-12,18.43,18.46,18.25,18.29,5248
18-Oct-12,18.27,18.53,18.27,18.51,4049
17-Oct-12,18.25,18.40,18.18,18.40,6703
16-Oct-12,18.23,18.29,18.23,18.24,2563
15-Oct-12,18.20,18.24,18.19,18.21,1253
12-Oct-12,18.22,18.24,18.17,18.17,5010
11-Oct-12,17.92,18.20,17.92,18.20,4559
10-Oct-12,17.90,18.42,17.90,18.00,23866
9-Oct-12,18.01,18.02,17.85,17.90,7811
8-Oct-12,17.98,18.06,17.97,18.01,6996
5-Oct-12,17.73,18.03,17.73,17.92,10057
4-Oct-12,17.65,17.73,17.64,17.73,2633
3-Oct-12,17.58,17.68,17.58,17.68,1104
2-Oct-12,17.41,17.58,17.41,17.56,2276
1-Oct-12,17.39,17.53,17.21,17.40,16528
28-Sep-12,17.26,17.33,17.24,17.33,3137
27-Sep-12,17.27,17.28,17.10,17.17,3522
26-Sep-12,17.05,17.26,17.02,17.20,9509
25-Sep-12,16.99,17.05,16.95,16.96,4935
24-Sep-12,17.10,17.10,17.04,17.07,3734
21-Sep-12,16.98,17.10,16.98,17.10,2856
20-Sep-12,16.95,16.98,16.95,16.95,667
19-Sep-12,16.85,16.95,16.85,16.95,4912
18-Sep-12,16.86,16.86,16.82,16.82,1143
