Date, Open, High, Low, Close, Volume
17-May-13,14.90,15.37,14.90,15.31,39070
16-May-13,15.13,15.21,14.80,14.90,45770
15-May-13,14.86,15.19,14.75,15.10,55567
14-May-13,15.11,15.15,14.91,15.02,49644
13-May-13,14.85,15.11,14.75,15.11,49476
10-May-13,15.36,15.40,14.85,15.03,60519
9-May-13,15.66,15.66,15.25,15.35,62527
8-May-13,15.50,15.99,15.49,15.62,53660
7-May-13,15.50,15.72,15.32,15.70,31085
6-May-13,15.59,15.64,15.33,15.52,34199
3-May-13,15.87,15.89,15.56,15.63,22627
2-May-13,15.69,15.80,15.57,15.78,28735
1-May-13,15.74,15.80,15.52,15.69,13272
30-Apr-13,15.82,15.99,15.56,15.94,42127
29-Apr-13,17.25,17.25,15.49,15.81,120373
26-Apr-13,15.82,15.82,15.55,15.69,35214
25-Apr-13,15.70,15.84,15.54,15.81,42390
24-Apr-13,15.24,15.84,15.22,15.65,139824
23-Apr-13,15.20,15.25,14.88,15.25,25561
22-Apr-13,14.80,15.24,14.74,15.06,39150
19-Apr-13,14.66,15.17,14.63,14.90,54096
18-Apr-13,14.72,14.78,14.50,14.65,31969
17-Apr-13,15.01,15.08,14.51,14.72,94838
16-Apr-13,14.77,15.53,14.64,15.20,117921
15-Apr-13,14.90,15.08,14.68,14.77,40870
12-Apr-13,15.34,15.34,14.77,15.08,43127
11-Apr-13,15.54,15.89,15.31,15.37,64321
10-Apr-13,15.68,15.68,15.34,15.41,54524
9-Apr-13,15.14,15.71,15.14,15.43,75495
8-Apr-13,14.35,15.32,14.33,15.28,107111
5-Apr-13,14.23,14.45,14.06,14.35,63071
4-Apr-13,14.54,14.56,14.15,14.43,80796
3-Apr-13,13.78,14.42,13.53,14.40,155001
2-Apr-13,14.13,14.25,13.78,13.97,100556
1-Apr-13,14.63,14.71,14.11,14.19,69254
28-Mar-13,14.89,14.99,14.50,14.72,53906
27-Mar-13,15.07,15.17,14.80,14.85,77456
26-Mar-13,16.01,16.01,15.13,15.16,126031
25-Mar-13,16.19,16.19,15.75,16.06,63640
22-Mar-13,16.47,16.65,16.10,16.18,89971
21-Mar-13,16.09,16.34,16.07,16.24,53805
20-Mar-13,16.22,16.38,15.90,16.10,95085
19-Mar-13,16.74,16.74,16.04,16.22,103005
18-Mar-13,16.45,16.68,15.95,16.68,104761
15-Mar-13,16.52,16.78,16.37,16.65,161117
14-Mar-13,16.21,16.45,15.86,16.35,105877
13-Mar-13,15.69,16.22,15.64,16.14,118102
12-Mar-13,15.76,15.89,15.10,15.67,121250
11-Mar-13,15.70,15.83,15.37,15.70,52437
8-Mar-13,15.84,16.03,15.69,15.92,55204
7-Mar-13,15.67,15.90,15.51,15.79,68330
6-Mar-13,15.42,15.59,14.75,15.54,93014
5-Mar-13,15.61,15.80,15.14,15.29,69530
4-Mar-13,14.33,15.70,14.33,15.31,147009
1-Mar-13,14.50,14.85,14.18,14.52,133785
28-Feb-13,15.38,15.38,14.30,14.53,196659
27-Feb-13,15.13,15.84,15.13,15.69,139469
26-Feb-13,14.74,15.45,14.67,15.15,77844
25-Feb-13,15.28,15.28,14.54,14.65,57465
22-Feb-13,15.12,15.44,14.54,14.93,231745
21-Feb-13,15.70,15.82,14.88,14.95,133757
20-Feb-13,16.50,16.58,15.51,15.89,146768
19-Feb-13,16.79,16.83,16.22,16.54,106564
15-Feb-13,16.87,17.04,16.48,16.76,86120
14-Feb-13,16.69,16.98,16.60,16.82,74343
13-Feb-13,16.77,16.92,16.62,16.85,48897
12-Feb-13,16.52,16.80,16.20,16.73,82199
11-Feb-13,16.47,16.79,16.42,16.67,33160
8-Feb-13,16.56,16.92,16.50,16.61,80458
7-Feb-13,16.92,16.94,16.36,16.49,88350
6-Feb-13,16.77,16.92,16.31,16.92,75530
5-Feb-13,17.02,17.02,16.65,16.90,46689
4-Feb-13,17.61,17.61,16.76,16.87,154407
1-Feb-13,16.83,17.84,16.81,17.81,98250
31-Jan-13,17.09,17.39,16.56,16.65,154939
30-Jan-13,17.36,17.62,16.98,17.18,59664
29-Jan-13,16.97,17.39,16.90,17.36,75926
28-Jan-13,17.35,17.42,16.51,16.97,170943
25-Jan-13,18.00,18.00,17.30,17.36,70661
24-Jan-13,18.00,18.00,17.67,17.90,40450
23-Jan-13,18.30,18.30,17.92,18.03,64588
22-Jan-13,17.99,18.70,17.93,18.24,125309
18-Jan-13,18.16,18.33,17.88,18.04,55175
17-Jan-13,17.69,18.07,17.63,18.05,97383
16-Jan-13,17.21,17.65,17.17,17.58,93355
15-Jan-13,17.97,17.97,16.87,17.40,159005
14-Jan-13,18.03,18.34,17.81,18.06,92286
11-Jan-13,18.26,18.31,17.71,18.20,94641
10-Jan-13,18.47,18.47,18.03,18.10,44163
9-Jan-13,18.26,18.31,18.05,18.23,70698
8-Jan-13,18.68,18.86,17.79,18.22,144052
7-Jan-13,18.25,18.89,18.22,18.68,152493
4-Jan-13,18.66,18.73,18.15,18.24,107739
3-Jan-13,18.92,19.16,18.57,18.67,89989
2-Jan-13,18.58,19.12,18.58,19.05,103261
31-Dec-12,17.74,18.45,17.64,18.14,79733
28-Dec-12,18.08,18.18,17.49,17.61,69295
27-Dec-12,17.71,18.42,17.71,18.22,80879
26-Dec-12,17.86,18.06,17.71,17.74,59362
24-Dec-12,17.40,17.71,17.32,17.61,19540
21-Dec-12,17.60,17.74,17.16,17.35,157770
20-Dec-12,18.19,18.34,17.81,17.95,158768
19-Dec-12,18.79,18.88,18.05,18.33,135918
18-Dec-12,17.97,18.75,17.75,18.48,153493
17-Dec-12,18.07,18.21,17.82,18.11,60131
14-Dec-12,17.75,18.29,17.75,18.15,90776
13-Dec-12,17.80,18.34,17.72,17.93,147324
12-Dec-12,17.28,18.31,17.14,18.10,227378
11-Dec-12,17.16,17.32,16.66,17.32,202301
10-Dec-12,16.08,17.19,16.00,17.12,144857
7-Dec-12,15.68,16.13,15.31,16.08,159084
6-Dec-12,15.90,15.95,15.67,15.85,48968
5-Dec-12,15.96,16.01,15.53,15.86,136678
4-Dec-12,15.02,15.99,14.99,15.79,157793
3-Dec-12,15.22,15.31,14.72,15.14,107268
30-Nov-12,15.40,15.40,14.80,15.23,84327
29-Nov-12,14.28,15.48,14.11,15.47,157414
28-Nov-12,13.62,14.36,13.52,14.32,113614
27-Nov-12,13.65,13.76,13.45,13.70,65841
26-Nov-12,13.80,13.94,13.59,13.70,53708
23-Nov-12,13.92,13.92,13.50,13.74,37095
21-Nov-12,13.79,14.01,13.62,14.00,62324
20-Nov-12,13.83,13.97,13.65,13.77,67259
19-Nov-12,13.78,14.10,13.25,13.96,62715
16-Nov-12,14.11,14.25,13.60,13.78,37034
15-Nov-12,13.92,14.03,13.70,14.03,47117
14-Nov-12,14.02,14.12,13.78,13.81,48767
13-Nov-12,14.03,14.18,13.75,14.06,148692
12-Nov-12,14.10,14.35,14.05,14.24,70522
9-Nov-12,13.92,14.16,13.55,14.06,152282
8-Nov-12,13.63,14.30,13.63,14.20,134580
7-Nov-12,13.64,13.76,13.27,13.65,79047
6-Nov-12,13.92,13.94,13.70,13.90,66805
