Date, Open, High, Low, Close, Volume
17-May-13,44.45,45.08,44.27,44.87,78013
16-May-13,44.28,44.67,43.52,44.08,79268
15-May-13,44.17,44.78,44.06,44.52,86949
14-May-13,44.06,44.35,43.81,44.16,119698
13-May-13,44.58,44.73,43.44,44.12,90613
10-May-13,44.44,45.00,44.14,44.81,75869
9-May-13,44.69,44.97,44.15,44.54,45200
8-May-13,44.99,45.31,44.62,44.90,78658
7-May-13,44.67,45.04,44.09,45.04,35996
6-May-13,44.23,44.50,43.92,44.50,78279
3-May-13,44.53,45.38,43.66,44.08,314490
2-May-13,42.95,43.89,42.95,43.78,94999
1-May-13,43.31,43.53,42.15,42.54,146516
30-Apr-13,43.42,43.70,42.92,43.68,56932
29-Apr-13,44.01,44.09,43.32,43.43,54497
26-Apr-13,45.00,45.27,43.85,43.89,64628
25-Apr-13,45.50,46.20,45.09,45.12,142743
24-Apr-13,43.65,45.32,43.65,45.21,222325
23-Apr-13,43.25,43.97,43.05,43.42,87825
22-Apr-13,42.46,43.22,41.96,42.94,114547
19-Apr-13,43.73,43.88,41.88,42.74,151851
18-Apr-13,44.71,45.50,43.73,44.10,222603
17-Apr-13,47.55,47.68,44.20,44.80,435238
16-Apr-13,50.68,52.49,50.27,52.32,84527
15-Apr-13,52.57,52.57,49.88,50.06,92287
12-Apr-13,53.20,53.59,52.34,52.84,48163
11-Apr-13,53.68,54.22,53.12,53.53,52952
10-Apr-13,53.41,54.28,53.37,53.68,80140
9-Apr-13,53.01,53.60,52.71,53.11,128853
8-Apr-13,52.31,53.09,51.94,52.95,45027
5-Apr-13,52.03,52.40,51.55,52.08,52603
4-Apr-13,52.15,53.18,51.80,53.06,52671
3-Apr-13,52.55,53.00,51.78,51.97,78961
2-Apr-13,53.45,53.68,52.16,52.33,43988
1-Apr-13,53.53,53.69,52.29,53.13,88458
28-Mar-13,53.67,53.70,52.95,53.52,48018
27-Mar-13,53.27,53.69,52.95,53.52,38783
26-Mar-13,53.88,53.88,53.21,53.75,56014
25-Mar-13,53.88,54.20,52.91,53.44,77987
22-Mar-13,52.95,53.97,52.87,53.75,58077
21-Mar-13,53.27,53.30,52.55,52.77,34296
20-Mar-13,53.15,53.82,52.81,53.71,54372
19-Mar-13,53.19,53.86,52.57,52.92,106274
18-Mar-13,52.54,53.79,51.30,52.85,90754
15-Mar-13,53.56,53.95,53.15,53.37,200901
14-Mar-13,52.27,53.36,52.09,53.31,95301
13-Mar-13,51.74,52.36,51.31,52.01,102414
12-Mar-13,51.40,51.84,51.12,51.55,87066
11-Mar-13,52.11,52.11,51.27,51.65,40662
8-Mar-13,51.93,52.42,51.39,52.12,59465
7-Mar-13,50.95,51.50,49.67,51.49,184831
6-Mar-13,51.71,52.54,51.64,52.34,70334
5-Mar-13,50.70,51.77,50.70,51.66,74045
4-Mar-13,51.19,51.19,49.70,50.52,88742
1-Mar-13,50.32,51.64,50.30,51.29,108748
28-Feb-13,50.37,51.25,50.37,50.76,68267
27-Feb-13,49.32,50.91,49.32,50.43,73204
26-Feb-13,49.01,50.05,48.88,49.38,98665
25-Feb-13,51.03,51.13,48.66,48.86,145791
22-Feb-13,50.84,50.84,50.08,50.69,54181
21-Feb-13,50.23,50.63,50.06,50.49,65507
20-Feb-13,50.39,51.48,50.10,50.15,103317
19-Feb-13,50.13,50.50,50.06,50.50,116414
15-Feb-13,50.50,50.50,49.78,50.16,84536
14-Feb-13,49.96,50.63,49.96,50.33,34523
13-Feb-13,49.75,50.48,49.68,50.31,48202
12-Feb-13,49.57,49.80,49.24,49.65,61290
11-Feb-13,48.78,49.55,48.30,49.52,52169
8-Feb-13,47.68,48.73,47.37,48.66,74122
7-Feb-13,49.60,49.60,46.82,47.38,107434
6-Feb-13,49.69,50.70,49.64,50.48,71642
5-Feb-13,50.27,50.27,49.79,49.90,53684
4-Feb-13,50.20,50.92,49.42,49.71,70176
1-Feb-13,49.88,50.90,49.40,50.42,155223
31-Jan-13,49.69,50.20,49.46,49.49,111884
30-Jan-13,51.11,51.21,49.70,49.86,51390
29-Jan-13,50.37,51.33,50.28,51.20,78295
28-Jan-13,50.33,50.82,49.87,50.65,32560
25-Jan-13,50.46,50.80,49.73,50.21,64015
24-Jan-13,49.52,50.79,49.52,50.57,68247
23-Jan-13,50.36,50.36,49.46,49.55,56891
22-Jan-13,49.53,50.50,49.52,50.34,54882
18-Jan-13,49.28,49.80,48.67,49.67,40407
17-Jan-13,48.78,49.57,48.50,49.45,20148
16-Jan-13,48.60,48.94,48.30,48.66,39529
15-Jan-13,48.83,49.04,48.44,48.90,49354
14-Jan-13,49.29,49.51,48.71,49.12,71315
11-Jan-13,49.23,50.00,49.15,49.50,98706
10-Jan-13,49.13,49.13,47.86,48.98,80057
9-Jan-13,49.60,49.60,48.61,48.83,82956
8-Jan-13,47.56,49.82,47.36,49.61,84236
7-Jan-13,49.03,49.03,47.62,47.68,63852
4-Jan-13,49.77,49.77,49.06,49.47,53677
3-Jan-13,49.49,49.76,49.07,49.41,42062
2-Jan-13,48.70,49.67,48.70,49.37,103094
31-Dec-12,46.28,47.62,46.21,47.41,53166
28-Dec-12,46.48,47.20,46.35,46.38,81918
27-Dec-12,47.42,47.42,45.89,46.93,50403
26-Dec-12,47.52,47.83,46.95,47.51,40693
24-Dec-12,46.81,47.66,46.68,47.32,37469
21-Dec-12,47.74,48.21,46.89,46.95,269737
20-Dec-12,48.08,48.60,47.68,48.27,71199
19-Dec-12,47.81,48.60,47.38,48.10,73624
18-Dec-12,46.04,48.07,46.04,47.63,66882
17-Dec-12,45.69,46.20,44.86,45.79,124078
14-Dec-12,45.69,46.28,45.32,45.62,54083
13-Dec-12,46.61,46.87,45.51,45.67,49358
12-Dec-12,46.51,46.51,45.56,45.76,60291
11-Dec-12,46.24,46.78,45.83,46.24,45293
10-Dec-12,45.52,46.05,45.43,46.05,59298
7-Dec-12,45.00,45.75,44.66,45.42,61617
6-Dec-12,44.66,44.69,44.17,44.65,76016
5-Dec-12,45.95,46.00,44.52,44.64,65832
4-Dec-12,44.32,46.00,44.15,45.85,76106
3-Dec-12,45.56,45.56,44.14,44.22,46946
30-Nov-12,45.64,45.66,44.78,45.06,78173
29-Nov-12,45.55,45.88,45.20,45.47,62019
28-Nov-12,44.83,45.12,44.44,45.11,71230
27-Nov-12,44.63,45.36,44.61,45.08,91197
26-Nov-12,43.58,44.59,43.55,44.58,50350
23-Nov-12,43.97,43.97,43.32,43.71,31959
21-Nov-12,43.98,43.98,43.25,43.72,62363
20-Nov-12,43.36,43.94,43.20,43.85,61238
19-Nov-12,44.37,44.37,42.83,43.56,64998
16-Nov-12,41.00,43.85,40.46,43.67,133843
15-Nov-12,41.38,41.62,40.74,41.14,44432
14-Nov-12,41.83,42.13,41.22,41.28,85631
13-Nov-12,41.65,42.25,41.65,41.83,26178
12-Nov-12,43.16,43.29,41.86,42.03,87665
9-Nov-12,41.93,43.43,41.82,43.04,58328
8-Nov-12,42.51,42.92,42.13,42.23,62144
7-Nov-12,43.50,43.61,42.13,42.40,77197
6-Nov-12,43.92,44.38,43.87,44.12,52235
5-Nov-12,42.89,43.84,42.78,43.64,39539
2-Nov-12,43.71,43.71,42.78,42.79,71312
1-Nov-12,42.91,44.30,42.88,43.65,58205
31-Oct-12,42.51,42.96,42.29,42.84,62566
26-Oct-12,43.04,43.48,42.42,42.60,112579
25-Oct-12,43.02,43.12,42.48,43.12,50806
24-Oct-12,42.32,42.60,42.00,42.60,63891
23-Oct-12,42.35,42.68,41.86,42.29,132328
22-Oct-12,44.05,44.05,42.43,42.81,186314
19-Oct-12,43.83,44.98,42.98,44.05,152523
18-Oct-12,43.34,45.60,43.34,44.08,340162
17-Oct-12,40.99,44.03,40.04,43.62,435600
16-Oct-12,37.00,37.93,36.74,37.89,72423
15-Oct-12,37.05,37.09,36.65,37.04,41231
12-Oct-12,36.93,37.08,36.58,36.87,66522
11-Oct-12,37.00,37.00,36.56,36.99,44725
10-Oct-12,37.03,37.15,36.40,36.73,55138
9-Oct-12,38.39,38.39,36.85,36.88,71059
8-Oct-12,38.20,38.55,37.97,38.48,42301
5-Oct-12,37.90,39.09,37.86,38.40,104342
4-Oct-12,37.88,37.88,36.96,37.73,72130
3-Oct-12,37.26,38.13,37.17,37.62,44837
2-Oct-12,37.07,37.50,36.77,37.22,46673
1-Oct-12,36.70,36.89,36.25,36.63,51964
28-Sep-12,36.72,37.08,36.31,36.39,104881
27-Sep-12,37.01,37.25,36.77,36.95,55463
26-Sep-12,37.36,37.37,36.79,36.89,60568
25-Sep-12,37.53,37.66,37.06,37.24,54920
24-Sep-12,37.17,37.60,36.98,37.44,45300
21-Sep-12,37.40,37.89,37.21,37.41,71758
20-Sep-12,36.87,37.30,36.67,37.02,46116
19-Sep-12,37.30,37.35,36.89,37.17,23971
18-Sep-12,36.53,37.36,36.53,37.31,39842
17-Sep-12,36.77,36.80,35.99,36.68,41119
14-Sep-12,36.94,37.54,36.88,37.08,59287
13-Sep-12,35.94,37.00,35.29,36.83,79255
12-Sep-12,35.97,36.15,35.45,35.97,44625
11-Sep-12,36.05,36.53,35.68,35.75,55605
10-Sep-12,36.18,36.55,36.07,36.27,31584
7-Sep-12,34.50,36.17,34.50,36.08,61329
6-Sep-12,32.92,34.52,32.92,34.39,94301
5-Sep-12,33.54,33.70,32.29,32.75,197955
4-Sep-12,33.75,33.88,33.07,33.62,52535
31-Aug-12,34.50,34.50,33.57,33.91,76884
30-Aug-12,34.10,34.48,33.85,34.13,24422
29-Aug-12,34.21,34.80,34.08,34.43,26827
28-Aug-12,34.58,34.58,34.14,34.39,25256
27-Aug-12,34.50,34.88,34.37,34.55,21767
24-Aug-12,34.25,34.48,34.07,34.29,11393
23-Aug-12,34.88,34.88,34.27,34.38,16570
22-Aug-12,35.26,35.31,34.76,34.98,21587
21-Aug-12,35.21,35.72,35.18,35.44,31923
20-Aug-12,35.03,35.11,34.58,35.00,24487
17-Aug-12,35.16,35.34,34.82,35.31,45073
16-Aug-12,34.64,35.39,34.29,35.29,30168
15-Aug-12,33.81,34.75,33.81,34.72,31786
14-Aug-12,34.31,34.44,33.70,33.95,40506
13-Aug-12,34.00,34.16,33.69,34.16,25375
10-Aug-12,33.71,34.29,33.59,34.16,26219
9-Aug-12,34.08,34.22,33.86,33.88,46252
8-Aug-12,34.21,34.66,33.99,34.09,39780
7-Aug-12,34.43,34.83,34.26,34.27,39300
6-Aug-12,34.38,35.05,34.10,34.13,55769
3-Aug-12,33.59,34.42,33.50,34.32,73719
2-Aug-12,32.85,33.60,32.62,32.99,93152
1-Aug-12,34.04,34.15,33.08,33.08,60233
31-Jul-12,34.36,34.66,33.87,33.89,89317
30-Jul-12,35.04,35.15,34.15,34.44,72013
27-Jul-12,34.43,35.22,34.38,35.09,67091
26-Jul-12,34.41,34.82,34.07,34.27,53346
25-Jul-12,34.25,34.40,33.71,33.88,74201
24-Jul-12,34.91,34.91,33.86,34.00,139766
23-Jul-12,34.79,35.65,34.42,34.81,214308
20-Jul-12,34.01,37.00,34.01,35.91,397658
19-Jul-12,39.40,39.85,39.15,39.48,82201
18-Jul-12,37.85,39.81,37.71,39.44,153698
17-Jul-12,38.55,38.55,37.74,37.94,42255
16-Jul-12,38.29,38.33,37.79,38.25,37561
13-Jul-12,38.92,39.01,38.35,38.51,124482
12-Jul-12,37.90,39.20,37.61,38.87,133048
11-Jul-12,38.09,38.22,37.78,38.16,45396
10-Jul-12,38.15,38.60,37.95,38.07,106787
9-Jul-12,38.02,38.18,37.70,38.16,77501
6-Jul-12,38.10,38.28,37.92,38.17,48026
5-Jul-12,38.07,38.53,38.02,38.45,57481
3-Jul-12,38.00,38.22,37.92,38.22,75134
2-Jul-12,37.55,38.14,37.32,38.06,61854
29-Jun-12,37.25,37.78,37.19,37.55,117789
28-Jun-12,36.18,36.47,35.81,36.43,49623
27-Jun-12,36.55,36.80,36.24,36.57,74677
26-Jun-12,36.16,36.95,35.55,36.55,71386
25-Jun-12,36.54,36.75,35.96,36.22,59651
22-Jun-12,36.69,37.20,36.35,37.09,163894
21-Jun-12,37.09,37.09,36.35,36.43,67507
20-Jun-12,36.92,37.59,36.59,37.18,81663
19-Jun-12,36.46,37.17,36.07,37.04,75537
18-Jun-12,35.45,36.45,35.16,36.35,58847
15-Jun-12,34.88,36.01,34.75,35.56,205497
14-Jun-12,34.85,35.04,34.33,34.71,76130
13-Jun-12,34.95,35.69,34.58,34.91,78403
12-Jun-12,35.12,35.27,34.65,34.94,130701
11-Jun-12,36.15,36.34,34.92,34.94,102638
8-Jun-12,35.66,36.25,35.53,35.96,87482
7-Jun-12,36.60,36.70,35.65,35.75,96773
6-Jun-12,35.55,36.21,35.55,36.17,76082
5-Jun-12,34.64,35.32,34.64,35.20,55793
4-Jun-12,35.08,35.30,34.06,34.89,100249
1-Jun-12,35.19,35.33,34.84,34.99,108542
31-May-12,35.98,36.41,35.55,36.11,112035
30-May-12,36.50,36.68,35.80,35.85,67169
29-May-12,36.84,37.26,36.41,36.92,70901
25-May-12,36.90,37.18,36.46,36.69,69220
24-May-12,36.69,36.94,36.29,36.94,48671
23-May-12,36.39,36.79,36.02,36.64,81658
22-May-12,37.13,37.29,36.57,36.86,100199
21-May-12,36.83,37.34,36.36,37.15,97490
18-May-12,36.57,37.34,36.49,36.69,85547
17-May-12,37.45,37.48,36.60,36.63,100682
16-May-12,37.46,38.00,37.21,37.31,131429
15-May-12,37.31,37.66,37.13,37.25,121011
14-May-12,36.52,37.72,36.01,37.30,228342
11-May-12,36.75,37.25,36.73,37.03,136793
10-May-12,37.10,37.46,36.81,37.09,88410
9-May-12,36.40,37.12,36.38,36.88,69910
8-May-12,36.13,36.97,36.05,36.88,79805
7-May-12,36.01,36.72,35.75,36.48,96681
4-May-12,36.53,36.53,35.87,36.15,101534
3-May-12,37.44,37.55,36.71,36.85,104847
2-May-12,36.96,37.62,36.45,37.59,124428
1-May-12,36.87,37.78,36.54,37.07,140500
30-Apr-12,38.10,38.22,36.88,36.94,120868
27-Apr-12,38.06,38.34,37.78,38.28,111607
26-Apr-12,37.20,38.23,37.20,38.10,132083
25-Apr-12,37.54,37.95,37.09,37.29,82843
24-Apr-12,36.54,37.12,36.54,37.04,126141
23-Apr-12,36.01,36.51,34.91,36.42,202308
20-Apr-12,37.70,38.42,36.34,36.70,435990
19-Apr-12,38.59,39.73,36.91,37.78,940089
18-Apr-12,34.02,34.44,33.74,33.91,127535
17-Apr-12,33.42,34.51,33.34,34.31,163671
16-Apr-12,33.31,33.73,32.94,33.21,138581
13-Apr-12,33.81,33.86,33.09,33.16,85811
12-Apr-12,33.25,34.16,33.25,33.97,80943
11-Apr-12,33.12,33.28,32.74,33.28,73191
10-Apr-12,33.76,33.96,32.61,32.76,96409
9-Apr-12,33.54,34.07,33.45,33.78,113066
5-Apr-12,33.69,34.29,33.61,34.12,57475
4-Apr-12,33.34,33.84,33.32,33.74,103273
3-Apr-12,34.44,34.59,33.60,33.87,73049
2-Apr-12,33.91,34.77,33.70,34.66,98770
30-Mar-12,34.49,34.49,33.91,33.99,67669
29-Mar-12,33.70,34.46,33.58,34.23,84055
28-Mar-12,34.44,34.44,33.72,33.97,98990
27-Mar-12,34.00,34.66,34.00,34.38,63459
26-Mar-12,33.70,34.53,33.70,34.06,112995
23-Mar-12,32.90,33.57,32.70,33.34,87827
22-Mar-12,32.80,33.08,32.53,33.02,141542
21-Mar-12,32.56,33.22,32.53,33.10,134483
20-Mar-12,32.33,32.46,31.94,32.40,87765
19-Mar-12,32.63,33.15,32.44,32.60,82929
16-Mar-12,32.58,32.77,32.36,32.58,163849
15-Mar-12,32.39,33.00,32.30,32.56,103832
14-Mar-12,32.78,33.03,32.17,32.36,72177
13-Mar-12,32.37,32.74,32.08,32.74,82317
12-Mar-12,31.98,32.51,31.89,32.00,68487
9-Mar-12,30.84,32.21,30.84,32.01,92688
8-Mar-12,31.00,31.35,30.48,30.82,95317
7-Mar-12,30.74,30.93,30.52,30.80,87145
6-Mar-12,30.57,30.92,30.38,30.52,104002
5-Mar-12,30.72,31.14,30.40,31.01,84613
2-Mar-12,31.89,31.89,30.72,30.92,147708
1-Mar-12,32.38,33.39,31.81,31.85,156680
29-Feb-12,33.12,33.63,31.88,32.17,792292
28-Feb-12,32.84,33.46,32.54,33.09,155356
27-Feb-12,33.21,33.80,32.59,33.53,135548
24-Feb-12,34.43,34.48,33.46,33.50,84749
23-Feb-12,34.00,34.67,33.72,34.37,54473
22-Feb-12,33.76,34.31,33.43,33.93,57751
21-Feb-12,34.31,34.43,33.80,33.87,68932
17-Feb-12,34.44,34.44,33.75,33.97,75127
16-Feb-12,33.02,34.40,33.00,34.37,52082
15-Feb-12,33.38,33.70,32.77,32.92,59623
14-Feb-12,33.27,33.27,32.58,33.14,93347
13-Feb-12,33.46,33.58,33.02,33.42,68582
10-Feb-12,32.63,33.14,32.63,33.00,78328
9-Feb-12,33.00,33.11,32.58,32.92,76719
8-Feb-12,32.82,32.98,32.55,32.84,65804
7-Feb-12,32.00,33.43,30.57,32.57,336474
6-Feb-12,34.28,35.05,33.58,34.01,263869
3-Feb-12,33.50,34.66,33.50,34.53,66247
2-Feb-12,33.72,34.00,33.49,33.52,55410
1-Feb-12,32.41,33.76,32.32,33.72,129203
31-Jan-12,32.30,32.61,31.92,32.14,62909
30-Jan-12,32.15,32.39,31.42,32.09,54019
27-Jan-12,32.21,32.42,32.13,32.41,52702
26-Jan-12,32.70,32.70,32.35,32.40,44341
25-Jan-12,32.26,32.82,31.95,32.53,68380
24-Jan-12,31.93,32.53,31.62,32.36,104199
23-Jan-12,32.66,32.87,31.99,32.26,78680
20-Jan-12,32.86,32.91,32.36,32.66,49101
19-Jan-12,32.67,33.09,32.61,32.96,40224
18-Jan-12,32.09,32.58,31.98,32.57,70976
17-Jan-12,32.16,32.20,31.53,32.02,121562
13-Jan-12,31.62,31.82,31.31,31.76,74315
12-Jan-12,31.36,32.06,31.19,32.02,111723
11-Jan-12,31.45,31.52,31.08,31.38,92798
10-Jan-12,30.86,31.72,30.78,31.49,177792
9-Jan-12,30.50,30.78,30.16,30.46,123703
6-Jan-12,30.36,30.79,30.00,30.33,163274
