Date, Open, High, Low, Close, Volume
17-May-13,16.16,16.43,16.04,16.29,22203
16-May-13,16.07,16.36,16.04,16.07,2629
15-May-13,16.24,16.40,15.98,16.02,6043
14-May-13,16.24,16.45,16.08,16.41,10500
13-May-13,16.03,16.20,15.81,16.12,18028
10-May-13,16.12,16.21,15.93,16.21,3871
9-May-13,16.12,16.25,15.95,16.04,5736
8-May-13,16.74,16.74,16.15,16.24,9092
7-May-13,16.66,16.66,16.14,16.24,12580
6-May-13,16.63,16.65,16.50,16.56,8017
3-May-13,16.58,16.69,16.50,16.59,8065
2-May-13,15.67,16.50,15.67,16.29,10706
1-May-13,16.00,16.04,15.35,15.77,48289
30-Apr-13,15.50,16.00,15.40,16.00,13182
29-Apr-13,15.00,15.50,15.00,15.48,19176
26-Apr-13,15.44,15.44,14.69,14.86,16270
25-Apr-13,15.36,15.78,15.19,15.48,15311
24-Apr-13,15.96,15.98,14.95,15.43,37192
23-Apr-13,15.99,15.99,15.34,15.68,9587
22-Apr-13,15.92,15.92,15.67,15.80,2610
19-Apr-13,15.62,16.04,15.62,15.97,5543
18-Apr-13,15.92,16.13,15.52,15.58,19780
17-Apr-13,16.50,16.68,15.79,15.80,40388
16-Apr-13,15.97,16.78,15.92,16.72,22110
15-Apr-13,16.88,16.88,15.45,15.87,21523
12-Apr-13,16.52,16.95,16.34,16.94,22935
11-Apr-13,17.13,17.13,16.59,16.61,5750
10-Apr-13,16.58,17.10,16.25,17.07,17411
9-Apr-13,16.72,17.15,16.45,16.58,24393
8-Apr-13,16.83,16.91,16.60,16.82,17025
5-Apr-13,16.34,17.20,16.33,16.99,30125
4-Apr-13,16.68,16.92,16.36,16.71,20203
3-Apr-13,17.26,17.40,16.58,16.60,80856
2-Apr-13,17.06,17.22,16.96,17.12,29774
1-Apr-13,17.37,17.40,16.76,17.09,11002
28-Mar-13,17.18,17.60,17.18,17.46,30807
27-Mar-13,16.57,17.28,16.57,17.09,16112
26-Mar-13,16.77,16.77,16.43,16.76,11880
25-Mar-13,16.42,16.77,16.13,16.72,14530
22-Mar-13,16.37,16.44,16.35,16.41,9946
21-Mar-13,16.35,16.43,16.13,16.38,9425
20-Mar-13,16.58,16.58,15.76,16.50,17448
19-Mar-13,16.45,16.60,16.20,16.54,49437
18-Mar-13,16.40,16.50,16.27,16.40,11428
15-Mar-13,16.65,16.65,16.48,16.54,35323
14-Mar-13,16.30,16.58,16.23,16.53,8946
13-Mar-13,16.00,16.40,15.98,16.29,6386
12-Mar-13,16.02,16.12,16.00,16.03,9409
11-Mar-13,16.10,16.10,15.94,16.05,10501
8-Mar-13,16.16,16.22,15.61,16.10,31531
7-Mar-13,16.02,16.10,15.85,15.98,6133
6-Mar-13,15.51,16.01,15.51,15.98,2607
5-Mar-13,16.00,16.15,15.54,15.71,21891
4-Mar-13,15.51,16.19,15.51,16.08,16079
1-Mar-13,15.38,15.77,15.33,15.58,12795
28-Feb-13,15.81,15.90,15.55,15.60,12796
27-Feb-13,15.43,16.02,15.43,15.87,13605
26-Feb-13,15.50,15.76,15.01,15.45,17709
25-Feb-13,15.85,16.00,15.46,15.47,19405
22-Feb-13,15.70,15.94,15.66,15.80,9804
21-Feb-13,16.16,16.24,15.59,15.60,8060
20-Feb-13,15.93,16.78,15.86,16.16,43778
19-Feb-13,15.69,15.93,15.69,15.91,31425
15-Feb-13,15.73,15.73,15.53,15.70,17114
14-Feb-13,15.28,15.77,15.28,15.61,20616
13-Feb-13,15.16,15.39,15.07,15.35,7185
12-Feb-13,14.98,15.30,14.86,15.10,13340
11-Feb-13,15.43,15.45,14.80,15.01,18753
8-Feb-13,15.30,15.52,15.30,15.43,57328
7-Feb-13,15.31,15.34,15.09,15.32,10464
6-Feb-13,15.41,15.44,15.29,15.35,20978
5-Feb-13,15.35,15.46,15.24,15.46,10537
4-Feb-13,15.30,15.38,15.20,15.20,12330
1-Feb-13,14.99,15.41,14.96,15.40,17999
31-Jan-13,15.00,15.15,14.89,14.90,11734
30-Jan-13,15.07,15.16,14.95,14.99,2690
29-Jan-13,14.83,15.37,14.83,15.35,21738
28-Jan-13,14.91,15.09,14.42,14.76,40977
25-Jan-13,15.40,15.40,14.60,15.05,20358
24-Jan-13,15.41,15.50,15.30,15.43,44528
23-Jan-13,15.41,15.49,15.38,15.40,17054
22-Jan-13,15.33,15.45,15.22,15.40,30164
18-Jan-13,15.18,15.39,15.18,15.34,24851
17-Jan-13,15.14,15.31,15.12,15.24,13625
16-Jan-13,14.98,15.09,14.78,15.05,18070
15-Jan-13,14.71,15.01,14.71,14.95,8118
14-Jan-13,15.19,15.19,14.39,14.75,7347
11-Jan-13,15.29,15.53,14.99,15.16,18714
10-Jan-13,15.24,15.48,15.10,15.31,18684
9-Jan-13,14.90,15.17,14.90,15.09,10793
8-Jan-13,14.94,14.94,14.64,14.79,7169
7-Jan-13,15.15,15.23,14.87,14.89,31686
4-Jan-13,15.08,15.18,15.00,15.15,11207
3-Jan-13,14.94,15.19,14.76,14.97,28894
2-Jan-13,14.50,14.94,14.40,14.89,37535
31-Dec-12,13.77,14.30,13.36,14.27,16068
28-Dec-12,14.05,14.05,13.50,13.71,17642
27-Dec-12,14.35,14.43,13.88,14.13,31393
26-Dec-12,14.67,14.75,14.30,14.35,18469
24-Dec-12,14.60,14.74,14.00,14.67,41055
21-Dec-12,14.58,14.74,14.50,14.71,64300
20-Dec-12,14.44,14.58,14.37,14.57,34102
19-Dec-12,14.43,14.44,14.19,14.37,23285
18-Dec-12,14.30,14.44,14.06,14.35,49973
17-Dec-12,14.30,14.30,14.00,14.28,27193
14-Dec-12,14.30,14.42,14.05,14.27,11025
13-Dec-12,14.21,14.35,14.00,14.35,33336
12-Dec-12,14.30,14.35,14.04,14.15,15642
11-Dec-12,14.22,14.32,14.09,14.32,11592
10-Dec-12,14.22,14.22,14.01,14.21,13715
7-Dec-12,14.09,14.15,14.00,14.15,4784
6-Dec-12,14.19,14.24,13.85,14.08,36348
5-Dec-12,14.47,14.47,14.12,14.14,10150
4-Dec-12,14.33,14.55,14.31,14.51,18014
3-Dec-12,14.49,14.49,14.12,14.27,15581
30-Nov-12,14.37,14.61,14.00,14.45,38998
29-Nov-12,14.47,14.57,14.20,14.45,64796
28-Nov-12,14.33,14.50,14.20,14.45,19233
27-Nov-12,14.12,14.49,14.12,14.34,13419
26-Nov-12,14.15,14.41,14.03,14.16,25656
23-Nov-12,14.05,14.20,14.01,14.16,57202
21-Nov-12,13.79,14.21,13.78,14.10,40565
20-Nov-12,13.62,14.40,13.60,13.67,43582
19-Nov-12,13.50,13.90,13.50,13.84,14048
16-Nov-12,13.78,13.78,13.36,13.51,21366
15-Nov-12,14.00,14.17,13.78,13.86,15204
14-Nov-12,14.00,14.27,13.90,13.90,11116
13-Nov-12,13.76,13.95,13.72,13.90,11822
12-Nov-12,14.18,14.18,13.73,14.01,6326
9-Nov-12,13.81,14.16,13.70,14.16,28120
8-Nov-12,14.41,14.41,13.88,13.92,11355
7-Nov-12,14.55,14.61,14.26,14.41,20800
6-Nov-12,14.59,14.76,14.53,14.76,19459
5-Nov-12,14.35,14.59,14.35,14.57,9854
2-Nov-12,14.44,14.48,14.20,14.40,12810
1-Nov-12,14.40,14.44,14.14,14.38,19800
31-Oct-12,14.20,14.40,14.19,14.40,5545
26-Oct-12,14.07,14.39,13.81,14.26,19900
25-Oct-12,13.87,14.25,13.75,14.15,9404
24-Oct-12,14.12,14.13,13.73,13.78,19215
23-Oct-12,14.03,14.18,13.85,14.08,36447
22-Oct-12,14.33,14.33,14.05,14.11,5532
19-Oct-12,14.38,14.38,14.01,14.07,22496
18-Oct-12,14.36,14.48,14.20,14.31,11740
17-Oct-12,14.36,14.47,13.96,14.46,6566
16-Oct-12,14.48,14.48,14.05,14.38,36588
15-Oct-12,14.40,14.41,14.23,14.40,3912
12-Oct-12,14.30,14.36,14.21,14.31,5500
11-Oct-12,14.23,14.35,14.20,14.33,10560
10-Oct-12,14.36,14.36,13.92,14.05,20546
9-Oct-12,14.34,14.47,14.26,14.28,3224
8-Oct-12,14.20,14.58,14.02,14.25,26632
5-Oct-12,14.17,14.24,14.02,14.20,11662
4-Oct-12,14.25,14.25,14.02,14.07,16100
3-Oct-12,14.34,14.64,14.10,14.22,14090
2-Oct-12,14.61,14.79,14.27,14.33,14281
