Date, Open, High, Low, Close, Volume
17-May-13,3.99,4.04,3.65,4.04,7225
16-May-13,3.99,4.04,3.84,3.91,2488
15-May-13,4.00,4.00,3.99,3.99,1150
14-May-13,3.96,4.05,3.96,4.05,1400
13-May-13,4.00,4.00,3.90,3.91,5300
10-May-13,3.99,4.10,3.98,4.03,6109
9-May-13,3.94,4.01,3.93,3.99,4448
8-May-13,3.95,4.00,3.90,3.90,4725
7-May-13,3.75,3.97,3.75,3.97,11521
6-May-13,3.89,3.90,3.75,3.80,20100
3-May-13,3.86,3.88,3.72,3.77,1857
2-May-13,3.70,3.80,3.68,3.69,2140
1-May-13,3.68,3.78,3.62,3.72,11450
30-Apr-13,3.42,3.71,3.19,3.57,309901
29-Apr-13,3.64,3.64,3.35,3.46,25584
26-Apr-13,3.75,3.90,3.52,3.67,28504
25-Apr-13,3.90,3.90,3.80,3.80,1397
24-Apr-13,3.57,3.89,3.57,3.71,5896
22-Apr-13,3.81,3.86,3.81,3.86,400
19-Apr-13,4.00,4.00,3.81,3.81,1400
18-Apr-13,3.81,3.90,3.81,3.82,900
17-Apr-13,4.01,4.01,3.72,3.82,2800
16-Apr-13,3.97,4.10,3.91,3.91,3001
15-Apr-13,3.40,3.98,3.36,3.98,5270
12-Apr-13,3.87,3.87,3.87,3.87,550
11-Apr-13,3.91,3.98,3.85,3.87,6850
10-Apr-13,3.80,4.05,3.80,3.91,3404
9-Apr-13,3.99,3.99,3.56,3.80,24301
8-Apr-13,4.00,4.02,3.99,3.99,1000
5-Apr-13,3.92,4.09,3.92,4.02,2912
4-Apr-13,4.06,4.06,4.01,4.01,400
3-Apr-13,4.02,4.10,3.99,4.10,1700
2-Apr-13,4.21,4.21,4.05,4.09,13501
1-Apr-13,4.29,4.29,3.94,4.27,6250
28-Mar-13,4.10,4.35,4.00,4.34,15393
27-Mar-13,4.05,4.14,3.99,4.14,7360
26-Mar-13,4.13,4.20,4.10,4.11,1625
25-Mar-13,4.21,4.21,3.99,4.20,17000
22-Mar-13,4.14,4.26,4.09,4.16,4499
21-Mar-13,4.16,4.24,4.15,4.15,1400
20-Mar-13,4.35,4.35,4.17,4.18,7419
19-Mar-13,4.35,4.35,3.98,4.20,7914
18-Mar-13,4.19,4.19,4.16,4.16,1200
15-Mar-13,4.16,4.36,4.15,4.35,9401
14-Mar-13,4.07,4.38,4.07,4.36,15438
13-Mar-13,4.24,4.38,4.14,4.16,6530
12-Mar-13,4.21,4.21,4.17,4.19,900
11-Mar-13,4.30,4.37,4.29,4.37,2800
8-Mar-13,4.20,4.36,4.16,4.35,29973
7-Mar-13,4.16,4.20,4.09,4.18,9530
6-Mar-13,4.12,4.30,4.12,4.17,15072
5-Mar-13,4.19,4.30,4.09,4.14,29655
4-Mar-13,4.50,4.50,4.30,4.30,1900
1-Mar-13,4.35,4.49,4.25,4.48,5700
28-Feb-13,4.34,4.50,4.25,4.49,9349
27-Feb-13,4.36,4.49,4.36,4.36,5068
26-Feb-13,4.48,4.50,4.29,4.48,2113
25-Feb-13,4.38,4.48,4.35,4.47,4160
22-Feb-13,4.36,4.50,4.35,4.50,3200
21-Feb-13,4.36,4.36,4.35,4.35,1346
20-Feb-13,4.46,4.49,4.42,4.49,1590
19-Feb-13,4.36,4.36,4.36,4.36,320
15-Feb-13,4.41,4.50,4.40,4.50,3073
14-Feb-13,4.70,4.70,4.57,4.57,500
13-Feb-13,4.48,4.68,4.48,4.50,4507
12-Feb-13,4.40,4.72,4.40,4.58,6638
