Date, Open, High, Low, Close, Volume
17-May-13,15.54,15.54,15.54,15.54,100
16-May-13,15.51,15.59,15.49,15.59,3400
15-May-13,15.42,15.69,15.42,15.58,4267
14-May-13,15.45,15.47,15.40,15.47,5685
13-May-13,15.44,15.49,15.41,15.43,6988
10-May-13,15.49,15.49,15.49,15.49,250
9-May-13,15.30,15.46,15.25,15.46,1300
8-May-13,15.30,15.35,15.29,15.35,3170
7-May-13,15.35,15.35,15.30,15.33,1300
6-May-13,15.33,15.33,15.33,15.33,150
3-May-13,15.27,15.30,15.27,15.30,1400
2-May-13,15.21,15.33,15.15,15.30,2324
1-May-13,15.13,15.18,15.13,15.18,1301
30-Apr-13,15.05,15.05,15.02,15.02,3000
29-Apr-13,-,-,-,15.09,0
26-Apr-13,15.11,15.23,15.00,15.09,4171
25-Apr-13,15.06,15.06,15.04,15.05,1400
24-Apr-13,15.11,15.12,15.06,15.10,1800
23-Apr-13,15.01,15.16,15.01,15.16,1356
22-Apr-13,15.11,15.11,14.92,14.96,3790
19-Apr-13,14.92,14.93,14.91,14.91,2521
18-Apr-13,14.95,14.95,14.87,14.88,1689
17-Apr-13,14.90,14.90,14.90,14.90,700
16-Apr-13,14.90,14.90,14.90,14.90,200
15-Apr-13,14.90,14.93,14.89,14.89,3454
12-Apr-13,14.89,14.91,14.89,14.91,500
11-Apr-13,14.88,14.93,14.88,14.88,3250
10-Apr-13,14.95,14.95,14.80,14.85,4670
9-Apr-13,15.07,15.07,14.85,14.85,3660
8-Apr-13,14.79,14.93,14.79,14.93,3002
5-Apr-13,14.79,14.80,14.76,14.79,400
4-Apr-13,14.82,14.82,14.72,14.72,1657
3-Apr-13,14.54,14.71,14.54,14.71,4393
2-Apr-13,14.55,14.66,14.51,14.66,2440
1-Apr-13,14.72,14.72,14.57,14.59,1135
28-Mar-13,14.65,14.65,14.61,14.61,1665
27-Mar-13,-,-,-,14.68,0
26-Mar-13,14.68,14.68,14.60,14.68,1636
25-Mar-13,14.71,14.71,14.59,14.64,2294
22-Mar-13,14.84,14.84,14.70,14.70,700
21-Mar-13,14.66,14.75,14.66,14.74,2103
20-Mar-13,14.62,14.65,14.62,14.65,400
19-Mar-13,14.52,14.62,14.47,14.57,3084
18-Mar-13,14.09,14.45,14.09,14.45,11472
15-Mar-13,14.45,14.55,14.17,14.22,5917
14-Mar-13,14.77,14.77,14.40,14.40,7200
13-Mar-13,14.76,14.81,14.76,14.76,1355
12-Mar-13,14.90,14.94,14.89,14.89,4343
11-Mar-13,15.26,15.26,14.99,15.04,5596
8-Mar-13,15.31,15.31,15.31,15.31,100
7-Mar-13,15.33,15.36,15.33,15.36,300
6-Mar-13,15.36,15.36,15.36,15.36,1615
5-Mar-13,15.35,15.36,15.35,15.36,1000
4-Mar-13,15.36,15.36,15.35,15.36,1038
1-Mar-13,15.36,15.36,15.36,15.36,561
28-Feb-13,15.37,15.37,15.35,15.35,3132
27-Feb-13,15.50,15.55,15.37,15.43,5671
26-Feb-13,15.60,15.60,15.50,15.50,3741
25-Feb-13,15.75,15.75,15.60,15.60,1225
22-Feb-13,15.68,15.87,15.68,15.71,5288
21-Feb-13,15.92,15.92,15.71,15.78,6350
20-Feb-13,15.88,15.89,15.82,15.89,1623
19-Feb-13,-,-,-,15.86,0
15-Feb-13,15.92,15.92,15.85,15.86,1571
14-Feb-13,16.02,16.02,15.93,15.93,575
13-Feb-13,16.10,16.10,16.07,16.07,330
12-Feb-13,-,-,-,16.13,0
11-Feb-13,-,-,-,16.13,0
8-Feb-13,16.14,16.14,16.00,16.13,2643
7-Feb-13,-,-,-,16.14,0
6-Feb-13,16.10,16.14,16.10,16.14,615
5-Feb-13,15.95,16.05,15.95,16.05,949
4-Feb-13,16.07,16.09,15.97,15.97,3381
1-Feb-13,16.01,16.04,15.90,15.90,1339
31-Jan-13,15.89,15.93,15.89,15.89,600
30-Jan-13,15.86,15.90,15.84,15.90,1681
29-Jan-13,16.00,16.00,15.98,15.98,300
28-Jan-13,16.23,16.23,15.94,15.98,1540
