Date, Open, High, Low, Close, Volume
17-May-13,52.64,54.31,52.64,54.26,1327066
16-May-13,52.36,52.82,52.17,52.50,786145
15-May-13,53.15,53.32,52.22,52.52,493616
14-May-13,52.97,53.34,52.46,53.24,696160
13-May-13,52.74,52.84,52.14,52.54,371459
10-May-13,52.97,53.08,52.67,52.68,503941
9-May-13,52.68,53.28,52.62,52.96,448375
8-May-13,52.78,53.32,52.39,52.55,797036
7-May-13,52.73,53.25,52.73,53.04,437938
6-May-13,52.63,53.08,52.47,52.70,354317
3-May-13,52.79,53.40,52.54,52.55,412784
2-May-13,53.77,53.95,52.79,52.81,483568
1-May-13,53.02,53.73,52.73,53.58,624526
30-Apr-13,53.94,54.25,52.99,53.28,601089
29-Apr-13,54.69,54.92,53.91,53.93,447243
26-Apr-13,54.00,54.73,53.42,54.66,886004
25-Apr-13,52.64,54.83,52.05,54.27,2582202
24-Apr-13,49.03,49.52,48.84,49.08,834628
23-Apr-13,48.78,49.56,48.78,48.89,495122
22-Apr-13,48.07,48.77,47.49,48.57,759988
19-Apr-13,47.54,48.34,47.28,47.90,496881
18-Apr-13,47.99,48.04,47.16,47.33,695124
17-Apr-13,48.11,48.17,47.45,47.75,539697
16-Apr-13,48.79,48.80,48.11,48.39,535598
15-Apr-13,49.58,49.61,48.28,48.39,436351
12-Apr-13,49.55,49.90,49.10,49.83,330184
11-Apr-13,50.01,50.33,49.73,49.76,389822
10-Apr-13,49.37,50.09,49.11,50.00,496382
9-Apr-13,49.50,49.50,48.83,49.16,498860
8-Apr-13,47.56,49.50,47.56,49.28,1140508
5-Apr-13,49.81,50.12,49.45,50.01,195207
4-Apr-13,50.53,50.65,50.16,50.45,98486
3-Apr-13,51.68,51.68,50.32,50.39,366517
2-Apr-13,51.76,51.89,51.20,51.73,459370
1-Apr-13,51.86,52.23,51.12,51.56,243130
28-Mar-13,51.74,52.10,51.56,51.97,276326
27-Mar-13,51.76,51.94,51.49,51.74,190263
26-Mar-13,52.10,52.32,51.79,52.05,188498
25-Mar-13,52.47,52.70,51.64,51.86,218766
22-Mar-13,52.05,52.66,52.05,52.45,837182
21-Mar-13,51.75,52.00,51.47,51.75,272905
20-Mar-13,51.54,52.02,51.38,51.78,387542
19-Mar-13,51.45,51.49,50.98,51.44,288360
18-Mar-13,50.66,51.66,50.62,51.53,260308
15-Mar-13,51.29,51.50,51.04,51.18,477036
14-Mar-13,51.00,51.42,50.90,51.28,451923
13-Mar-13,50.79,50.98,50.54,50.92,371187
12-Mar-13,50.87,50.87,50.41,50.69,297243
11-Mar-13,50.20,51.15,50.07,50.89,453306
8-Mar-13,50.00,50.19,49.77,50.12,484945
7-Mar-13,49.63,49.80,49.23,49.75,206952
6-Mar-13,49.90,50.29,49.50,49.56,298146
5-Mar-13,49.51,50.15,49.40,49.95,628431
4-Mar-13,47.44,49.36,47.30,49.28,618902
1-Mar-13,47.57,47.65,47.00,47.48,615129
28-Feb-13,47.91,48.43,47.41,47.75,443615
27-Feb-13,47.67,48.06,47.40,47.82,440505
26-Feb-13,48.18,48.18,47.29,47.64,451686
25-Feb-13,49.27,49.40,47.89,47.95,354229
22-Feb-13,49.45,49.59,48.73,48.98,382504
21-Feb-13,49.26,49.46,49.00,49.20,591456
20-Feb-13,49.45,49.79,49.12,49.30,367993
19-Feb-13,49.20,49.65,48.93,49.59,391368
15-Feb-13,49.51,49.59,49.20,49.40,335261
14-Feb-13,49.24,49.55,49.01,49.51,395350
13-Feb-13,49.34,49.56,49.19,49.45,689026
12-Feb-13,48.94,49.44,48.92,49.39,398860
11-Feb-13,49.53,49.88,48.76,49.01,329998
8-Feb-13,49.52,49.96,49.09,49.36,360002
7-Feb-13,48.70,49.92,48.40,49.39,985422
6-Feb-13,47.03,47.91,47.00,47.76,217433
5-Feb-13,47.34,47.78,47.12,47.41,450893
4-Feb-13,48.31,48.51,47.01,47.34,703946
1-Feb-13,48.05,49.71,45.99,48.66,1762827
31-Jan-13,46.42,48.86,46.42,48.16,1687298
30-Jan-13,45.98,46.40,45.38,45.52,453891
29-Jan-13,46.68,46.71,45.88,46.11,428410
28-Jan-13,46.30,46.88,45.90,46.72,407577
25-Jan-13,46.66,47.03,45.95,46.28,415255
24-Jan-13,46.87,47.25,46.31,46.69,424089
23-Jan-13,47.64,47.85,46.68,46.85,446330
22-Jan-13,46.74,48.06,46.38,47.70,801711
18-Jan-13,47.36,47.41,46.20,46.84,425499
17-Jan-13,46.57,47.36,46.33,47.26,391293
16-Jan-13,46.35,46.69,46.24,46.47,325840
15-Jan-13,46.30,46.94,46.08,46.53,337796
14-Jan-13,46.93,46.96,46.39,46.48,348027
11-Jan-13,46.92,47.09,46.48,46.91,288718
10-Jan-13,47.46,47.56,46.93,47.02,249851
9-Jan-13,47.06,47.40,46.80,47.33,323638
8-Jan-13,46.77,47.16,46.44,46.93,439495
7-Jan-13,46.79,47.20,46.43,46.92,361813
4-Jan-13,46.13,47.07,45.84,46.81,629865
3-Jan-13,45.38,46.43,45.29,46.11,369040
2-Jan-13,45.55,45.69,44.99,45.36,476931
