Date, Open, High, Low, Close, Volume
17-May-13,17.91,18.10,17.74,17.86,420195
16-May-13,17.85,18.10,17.67,17.74,452247
15-May-13,17.28,17.84,17.12,17.83,218016
14-May-13,17.30,17.48,17.24,17.31,158691
13-May-13,17.41,17.52,17.26,17.31,72587
10-May-13,17.57,17.59,17.24,17.37,72848
9-May-13,17.59,17.80,17.46,17.50,54846
8-May-13,17.75,17.80,17.60,17.65,66642
7-May-13,17.50,17.83,17.48,17.72,83128
6-May-13,17.45,17.95,17.40,17.50,113530
3-May-13,16.86,17.57,16.86,17.40,97465
2-May-13,17.48,17.55,17.29,17.44,77536
1-May-13,17.86,18.06,17.45,17.50,140449
30-Apr-13,17.42,18.06,17.19,17.87,417260
29-Apr-13,17.56,17.63,17.37,17.37,95863
26-Apr-13,17.37,17.51,17.09,17.44,122914
25-Apr-13,17.16,17.77,17.04,17.44,242467
24-Apr-13,16.96,17.24,16.96,17.09,173411
23-Apr-13,16.93,17.27,16.82,17.02,364138
22-Apr-13,16.69,16.93,16.23,16.77,355544
19-Apr-13,16.18,16.85,16.05,16.72,308334
18-Apr-13,16.46,16.58,16.06,16.12,123156
17-Apr-13,16.87,17.02,16.30,16.49,98558
16-Apr-13,16.64,17.04,16.49,16.94,119141
15-Apr-13,16.86,17.05,16.44,16.54,129350
12-Apr-13,16.92,17.06,16.85,16.96,96331
11-Apr-13,16.86,17.18,16.86,17.00,128107
10-Apr-13,16.79,17.06,16.79,16.85,101198
9-Apr-13,16.91,17.05,16.70,16.83,72342
8-Apr-13,16.94,17.03,16.53,16.93,93075
5-Apr-13,16.61,17.18,16.59,16.96,104818
4-Apr-13,16.73,16.87,16.48,16.73,110263
3-Apr-13,16.95,17.10,16.65,16.67,98152
2-Apr-13,17.04,17.20,16.91,16.95,246605
1-Apr-13,17.10,17.10,16.55,17.01,133342
28-Mar-13,17.03,17.39,16.71,17.13,319014
27-Mar-13,17.00,17.08,16.78,16.96,116908
26-Mar-13,17.07,17.15,16.77,17.02,287082
25-Mar-13,17.09,17.14,16.95,17.00,151761
22-Mar-13,17.57,17.71,17.00,17.02,150774
21-Mar-13,17.09,17.83,16.87,17.49,185516
20-Mar-13,17.25,17.43,16.93,17.09,200116
19-Mar-13,18.00,18.06,17.14,17.21,465364
18-Mar-13,18.02,18.25,17.83,18.23,49606
15-Mar-13,17.95,18.42,17.95,18.18,133031
14-Mar-13,17.89,17.98,17.71,17.97,42661
13-Mar-13,17.89,18.15,17.84,17.91,76098
12-Mar-13,18.09,18.25,17.86,17.92,44625
11-Mar-13,18.20,18.45,18.02,18.09,58568
8-Mar-13,18.50,18.50,18.11,18.16,30069
7-Mar-13,18.44,18.57,18.29,18.47,25781
6-Mar-13,18.03,18.51,18.01,18.38,21700
5-Mar-13,18.05,18.21,17.72,18.01,104067
4-Mar-13,17.77,18.45,17.76,18.21,104890
1-Mar-13,18.31,18.38,17.86,17.98,159182
28-Feb-13,17.82,18.53,17.76,18.50,124853
27-Feb-13,17.96,18.23,17.76,18.19,57548
26-Feb-13,17.76,18.04,17.76,17.97,31349
25-Feb-13,18.10,18.27,17.68,17.77,67656
22-Feb-13,17.86,18.45,17.84,18.10,59510
21-Feb-13,17.99,18.10,17.59,17.85,152086
20-Feb-13,17.55,18.19,17.50,18.06,58667
19-Feb-13,17.46,17.73,17.43,17.48,23008
15-Feb-13,17.68,17.69,17.44,17.50,54814
14-Feb-13,17.30,17.57,17.27,17.53,58501
13-Feb-13,17.23,17.49,17.23,17.41,60858
12-Feb-13,16.61,17.28,16.61,17.27,49585
11-Feb-13,16.44,16.62,16.32,16.55,83348
8-Feb-13,16.38,16.87,16.38,16.52,246059
7-Feb-13,16.03,16.34,16.00,16.18,736393
6-Feb-13,15.52,16.12,15.52,15.97,261811
5-Feb-13,15.30,15.51,15.18,15.47,94355
4-Feb-13,15.35,15.54,15.15,15.22,75307
1-Feb-13,15.50,15.54,15.14,15.35,648529
31-Jan-13,16.06,16.32,15.35,15.47,1045719
30-Jan-13,16.76,16.77,16.07,16.11,154599
29-Jan-13,16.50,16.89,16.42,16.62,56487
28-Jan-13,16.65,16.72,16.38,16.55,40858
25-Jan-13,16.66,16.80,16.64,16.72,176329
24-Jan-13,16.70,17.00,16.59,16.62,71445
23-Jan-13,16.59,16.80,16.59,16.73,93486
22-Jan-13,16.88,17.00,16.55,16.67,63741
18-Jan-13,17.09,17.09,16.79,16.83,30156
17-Jan-13,17.05,17.17,17.02,17.06,19941
16-Jan-13,17.10,17.16,17.02,17.02,28873
15-Jan-13,17.10,17.24,17.05,17.10,98658
14-Jan-13,17.41,17.51,17.06,17.17,147298
11-Jan-13,17.80,17.80,17.33,17.54,22087
10-Jan-13,17.52,17.92,17.45,17.72,55311
9-Jan-13,17.48,17.94,17.39,17.58,123460
8-Jan-13,17.38,17.64,17.31,17.51,52874
7-Jan-13,17.14,17.64,17.14,17.53,30480
4-Jan-13,17.20,17.28,17.05,17.23,105693
3-Jan-13,17.12,17.24,17.00,17.15,179990
2-Jan-13,17.30,17.30,17.06,17.12,149853
31-Dec-12,16.96,17.15,16.78,17.07,65114
28-Dec-12,17.03,17.13,16.79,16.90,34531
27-Dec-12,17.10,17.32,16.88,17.13,42226
26-Dec-12,17.14,17.24,16.95,17.14,53680
24-Dec-12,17.25,17.35,16.79,17.14,29830
21-Dec-12,17.31,17.50,16.85,17.19,1170556
20-Dec-12,17.31,17.55,17.31,17.50,77093
19-Dec-12,17.79,17.79,17.25,17.46,131401
18-Dec-12,17.09,17.84,17.09,17.37,219360
17-Dec-12,16.86,17.49,16.76,17.05,75480
14-Dec-12,17.11,17.11,16.75,16.93,44982
13-Dec-12,17.24,17.24,16.85,17.10,33009
12-Dec-12,17.24,17.24,17.08,17.17,24262
11-Dec-12,16.90,17.20,16.85,17.16,42884
10-Dec-12,16.75,17.09,16.75,17.09,15931
7-Dec-12,17.06,17.08,16.85,16.95,22135
6-Dec-12,16.93,17.10,16.85,17.00,20732
5-Dec-12,16.85,17.20,16.85,17.10,27347
4-Dec-12,17.02,17.09,16.75,16.87,96870
3-Dec-12,17.41,17.41,16.91,16.91,23489
30-Nov-12,17.02,17.35,16.93,17.26,34165
29-Nov-12,17.02,17.17,16.91,17.14,21235
28-Nov-12,17.00,17.19,16.90,17.00,14781
27-Nov-12,17.30,17.30,17.00,17.09,31342
26-Nov-12,17.00,17.35,16.94,17.35,29139
23-Nov-12,16.76,17.48,16.42,16.97,13566
21-Nov-12,16.99,17.20,16.92,17.07,13629
20-Nov-12,16.94,17.09,16.83,17.07,18553
