Date, Open, High, Low, Close, Volume
30-Jan-13,0.57,0.57,0.51,0.55,145806
29-Jan-13,0.55,0.58,0.53,0.56,141075
28-Jan-13,0.51,0.55,0.51,0.54,111877
25-Jan-13,0.50,0.53,0.48,0.52,93231
24-Jan-13,0.50,0.50,0.47,0.50,96215
23-Jan-13,0.50,0.51,0.49,0.50,79525
22-Jan-13,0.48,0.50,0.47,0.49,103548
18-Jan-13,0.48,0.50,0.46,0.48,127723
17-Jan-13,0.45,0.49,0.45,0.49,114000
16-Jan-13,0.48,0.48,0.45,0.47,85893
15-Jan-13,0.53,0.55,0.46,0.48,139575
14-Jan-13,0.52,0.56,0.52,0.55,39454
11-Jan-13,0.57,0.57,0.54,0.55,26215
10-Jan-13,0.53,0.57,0.52,0.56,148652
9-Jan-13,0.53,0.54,0.50,0.53,23421
8-Jan-13,0.51,0.52,0.49,0.50,19941
7-Jan-13,0.49,0.55,0.49,0.51,124972
4-Jan-13,0.45,0.49,0.42,0.49,190965
3-Jan-13,0.45,0.47,0.45,0.45,50718
2-Jan-13,0.48,0.48,0.47,0.47,63814
31-Dec-12,0.43,0.47,0.41,0.47,62495
28-Dec-12,0.40,0.40,0.39,0.40,209493
27-Dec-12,0.44,0.45,0.42,0.42,78930
26-Dec-12,0.45,0.48,0.43,0.45,97281
24-Dec-12,0.50,0.50,0.48,0.49,53625
21-Dec-12,0.50,0.51,0.48,0.50,26870
20-Dec-12,0.52,0.52,0.47,0.52,90764
19-Dec-12,0.53,0.55,0.50,0.55,74822
18-Dec-12,0.50,0.57,0.48,0.57,338944
17-Dec-12,0.59,0.59,0.44,0.50,133768
14-Dec-12,0.45,0.50,0.43,0.50,207966
13-Dec-12,0.39,0.45,0.39,0.45,136552
12-Dec-12,0.37,0.39,0.37,0.39,36292
11-Dec-12,0.38,0.39,0.36,0.37,23982
10-Dec-12,0.38,0.40,0.34,0.37,90789
7-Dec-12,0.40,0.42,0.34,0.37,150624
6-Dec-12,0.42,0.44,0.40,0.42,130413
5-Dec-12,0.44,0.44,0.42,0.43,59935
4-Dec-12,0.44,0.45,0.42,0.45,106825
3-Dec-12,0.45,0.46,0.40,0.44,107012
30-Nov-12,0.47,0.47,0.41,0.46,125957
29-Nov-12,0.48,0.50,0.42,0.46,316249
28-Nov-12,0.50,0.50,0.48,0.48,78535
27-Nov-12,0.50,0.50,0.48,0.49,126030
26-Nov-12,0.54,0.54,0.49,0.49,101423
23-Nov-12,0.50,0.54,0.50,0.51,10902
21-Nov-12,0.51,0.54,0.50,0.50,45234
20-Nov-12,0.57,0.57,0.55,0.55,14553
19-Nov-12,0.53,0.58,0.52,0.57,57690
16-Nov-12,0.49,0.54,0.49,0.52,52432
15-Nov-12,0.54,0.55,0.48,0.49,60075
14-Nov-12,0.53,0.53,0.51,0.53,31229
13-Nov-12,0.52,0.54,0.50,0.54,47420
12-Nov-12,0.49,0.52,0.49,0.52,300
9-Nov-12,0.52,0.52,0.49,0.49,7907
8-Nov-12,0.52,0.52,0.49,0.52,24150
7-Nov-12,0.51,0.52,0.51,0.52,3125
6-Nov-12,0.52,0.52,0.50,0.52,36287
5-Nov-12,0.50,0.52,0.50,0.52,20951
2-Nov-12,0.49,0.49,0.49,0.49,0
1-Nov-12,0.51,0.52,0.49,0.52,45770
31-Oct-12,0.50,0.51,0.49,0.51,76034
26-Oct-12,0.49,0.51,0.49,0.51,8140
25-Oct-12,0.50,0.51,0.50,0.50,4400
24-Oct-12,0.51,0.52,0.45,0.49,30483
23-Oct-12,0.52,0.52,0.49,0.49,27044
22-Oct-12,0.50,0.52,0.49,0.49,24307
19-Oct-12,0.49,0.49,0.49,0.49,8000
18-Oct-12,0.50,0.50,0.49,0.49,17475
17-Oct-12,0.52,0.53,0.49,0.49,21500
16-Oct-12,0.50,0.52,0.49,0.49,7437
15-Oct-12,0.53,0.53,0.48,0.50,51345
12-Oct-12,0.51,0.53,0.50,0.50,8355
11-Oct-12,0.53,0.53,0.50,0.50,50593
10-Oct-12,0.50,0.52,0.50,0.50,11800
9-Oct-12,0.50,0.52,0.50,0.50,45406
8-Oct-12,0.50,0.51,0.50,0.51,32442
5-Oct-12,0.52,0.55,0.51,0.51,28870
4-Oct-12,0.55,0.56,0.53,0.53,21099
3-Oct-12,0.51,0.57,0.48,0.53,41216
2-Oct-12,0.48,0.54,0.48,0.51,7954
1-Oct-12,0.53,0.56,0.47,0.50,109064
28-Sep-12,0.56,0.56,0.53,0.53,23130
27-Sep-12,0.54,0.56,0.52,0.55,28440
26-Sep-12,0.52,0.56,0.50,0.55,43093
25-Sep-12,0.56,0.56,0.51,0.52,116613
24-Sep-12,0.56,0.57,0.52,0.54,64600
21-Sep-12,0.55,0.56,0.52,0.55,50670
20-Sep-12,0.57,0.60,0.53,0.55,549690
19-Sep-12,0.57,0.58,0.52,0.57,195977
18-Sep-12,0.57,0.57,0.54,0.54,33495
17-Sep-12,0.58,0.58,0.56,0.57,3010
14-Sep-12,0.54,0.58,0.54,0.57,30351
13-Sep-12,0.58,0.61,0.51,0.58,84873
12-Sep-12,0.62,0.62,0.56,0.58,27743
11-Sep-12,0.62,0.62,0.56,0.61,35879
10-Sep-12,0.62,0.62,0.60,0.62,49405
7-Sep-12,0.61,0.65,0.61,0.64,9350
6-Sep-12,0.65,0.65,0.60,0.61,5400
5-Sep-12,0.65,0.65,0.63,0.63,15373
4-Sep-12,0.65,0.65,0.63,0.63,3397
31-Aug-12,0.63,0.64,0.63,0.64,830
30-Aug-12,0.63,0.63,0.60,0.63,1800
29-Aug-12,0.63,0.63,0.63,0.63,127
28-Aug-12,0.63,0.65,0.63,0.65,1029
27-Aug-12,0.62,0.63,0.61,0.63,2820
24-Aug-12,0.63,0.64,0.63,0.63,4420
23-Aug-12,0.61,0.63,0.60,0.63,6800
22-Aug-12,0.66,0.66,0.59,0.61,2401
21-Aug-12,0.67,0.67,0.61,0.65,13791
20-Aug-12,0.62,0.66,0.50,0.66,11980
17-Aug-12,0.64,0.65,0.64,0.65,11802
16-Aug-12,0.43,0.67,0.43,0.65,70141
15-Aug-12,0.66,0.66,0.65,0.66,2100
14-Aug-12,0.69,0.70,0.66,0.69,4604
13-Aug-12,0.65,0.68,0.65,0.68,2927
10-Aug-12,0.63,0.66,0.63,0.65,12890
9-Aug-12,0.70,0.70,0.66,0.67,8510
8-Aug-12,0.68,0.69,0.68,0.69,3505
7-Aug-12,0.68,0.70,0.68,0.68,11838
6-Aug-12,0.66,0.69,0.66,0.69,6025
3-Aug-12,0.68,0.70,0.67,0.70,9760
2-Aug-12,0.70,0.70,0.65,0.65,46339
1-Aug-12,0.70,0.70,0.67,0.70,29422
31-Jul-12,0.68,0.70,0.68,0.69,3687
30-Jul-12,0.67,0.70,0.67,0.68,20050
27-Jul-12,0.70,0.70,0.68,0.68,8410
26-Jul-12,0.68,0.70,0.68,0.70,6534
25-Jul-12,0.68,0.70,0.67,0.70,30279
24-Jul-12,0.74,0.74,0.66,0.68,11092
23-Jul-12,0.67,0.68,0.67,0.67,12260
20-Jul-12,0.69,0.69,0.66,0.67,35626
19-Jul-12,0.66,0.69,0.66,0.67,39948
18-Jul-12,0.70,0.70,0.67,0.69,24063
17-Jul-12,0.70,0.70,0.67,0.70,28499
16-Jul-12,0.70,0.70,0.67,0.70,36507
13-Jul-12,0.69,0.70,0.67,0.69,3670
12-Jul-12,0.70,0.70,0.67,0.69,5062
11-Jul-12,0.70,0.70,0.66,0.69,17279
10-Jul-12,0.70,0.70,0.65,0.70,23669
9-Jul-12,0.70,0.70,0.68,0.69,9870
6-Jul-12,0.69,0.70,0.66,0.66,17199
5-Jul-12,0.70,0.70,0.66,0.70,49256
3-Jul-12,0.67,0.69,0.65,0.69,29028
2-Jul-12,0.65,0.67,0.65,0.67,16798
29-Jun-12,0.67,0.67,0.65,0.65,19700
28-Jun-12,0.69,0.69,0.62,0.65,18280
27-Jun-12,0.90,0.90,0.61,0.64,46804
26-Jun-12,0.63,0.66,0.59,0.59,29555
25-Jun-12,0.65,0.68,0.59,0.64,6587
22-Jun-12,0.62,0.63,0.62,0.63,11350
21-Jun-12,0.65,0.65,0.59,0.61,75510
20-Jun-12,0.69,0.70,0.64,0.66,124559
19-Jun-12,0.67,0.69,0.67,0.69,54187
18-Jun-12,0.64,0.67,0.63,0.65,39600
15-Jun-12,0.64,0.67,0.59,0.64,41100
14-Jun-12,0.65,0.66,0.60,0.64,28802
13-Jun-12,0.67,0.68,0.59,0.65,31801
12-Jun-12,0.67,0.68,0.63,0.63,15778
11-Jun-12,0.61,0.65,0.60,0.65,46777
8-Jun-12,0.62,0.62,0.52,0.58,106569
7-Jun-12,0.60,0.62,0.60,0.62,34730
6-Jun-12,0.57,0.62,0.56,0.59,34633
5-Jun-12,0.57,0.59,0.57,0.59,1874
4-Jun-12,0.61,0.62,0.56,0.57,11740
