Date, Open, High, Low, Close, Volume
17-May-13,48.78,49.76,48.66,49.43,874586
16-May-13,48.75,49.21,48.31,48.39,723806
15-May-13,48.39,49.00,48.11,48.85,879164
14-May-13,47.19,48.48,47.14,48.41,754085
13-May-13,47.77,47.87,47.02,47.40,1317496
10-May-13,48.82,48.82,47.72,48.27,1016834
9-May-13,49.30,49.41,48.49,48.58,651628
8-May-13,49.29,49.51,48.78,49.34,908873
7-May-13,49.47,49.50,49.05,49.44,892862
6-May-13,49.32,49.55,48.85,49.46,564106
3-May-13,48.91,49.63,48.83,49.06,730952
2-May-13,48.32,48.38,47.52,47.98,635917
1-May-13,49.27,49.29,47.49,47.69,947287
30-Apr-13,48.26,49.41,47.82,49.41,1470140
29-Apr-13,48.10,48.30,47.55,48.26,734512
26-Apr-13,48.77,48.77,47.27,47.61,885862
25-Apr-13,48.55,49.01,48.29,48.33,1272742
24-Apr-13,48.75,49.22,48.51,48.55,1228518
23-Apr-13,49.14,49.35,48.19,48.65,1706429
22-Apr-13,47.12,49.07,46.90,48.77,2530645
19-Apr-13,48.18,49.18,45.86,47.10,5684213
18-Apr-13,42.69,42.84,41.61,42.23,2515288
17-Apr-13,43.07,43.25,42.34,42.36,1329682
16-Apr-13,42.65,43.69,42.40,43.69,1760612
15-Apr-13,43.48,43.65,41.75,41.97,1611606
12-Apr-13,44.76,44.83,43.30,43.96,1200087
11-Apr-13,44.37,45.53,44.10,44.97,1467884
10-Apr-13,44.10,44.82,43.39,44.51,1591993
9-Apr-13,43.28,44.34,43.03,43.90,1275314
8-Apr-13,42.74,43.08,42.28,43.07,1250414
5-Apr-13,41.71,42.84,41.55,42.76,1961188
4-Apr-13,42.14,43.27,42.05,42.71,1219435
3-Apr-13,42.45,42.57,41.61,42.04,1372562
2-Apr-13,42.94,44.14,42.35,42.46,2081827
1-Apr-13,43.83,44.04,42.57,43.02,1572720
28-Mar-13,43.32,44.08,42.99,44.05,1341489
27-Mar-13,42.44,43.74,42.03,43.54,2174297
26-Mar-13,42.69,42.90,42.33,42.87,1352764
25-Mar-13,43.36,43.53,42.34,42.43,1856601
22-Mar-13,43.32,43.94,43.09,43.21,1746416
21-Mar-13,43.81,43.96,43.00,43.11,2395758
20-Mar-13,45.33,45.62,44.10,44.16,1866464
19-Mar-13,46.05,46.20,44.39,44.78,1124412
18-Mar-13,46.20,46.43,45.36,46.04,1123514
15-Mar-13,46.91,47.76,46.84,47.06,1052624
14-Mar-13,47.61,47.61,46.83,47.27,1029058
13-Mar-13,48.23,48.26,47.32,47.35,1293837
12-Mar-13,47.76,48.45,47.56,48.32,826892
11-Mar-13,47.19,47.92,46.84,47.88,723485
8-Mar-13,47.07,47.49,46.81,47.31,728398
7-Mar-13,46.40,47.10,46.38,46.63,532791
6-Mar-13,46.72,46.74,46.26,46.42,944448
5-Mar-13,46.09,46.83,46.09,46.39,1052687
4-Mar-13,45.98,46.14,44.73,45.68,1490865
1-Mar-13,46.68,46.68,45.35,46.21,1506772
28-Feb-13,46.96,47.22,46.77,46.85,1575930
27-Feb-13,46.04,47.49,45.95,47.16,1028339
26-Feb-13,45.93,46.28,45.07,45.86,1830274
25-Feb-13,48.02,48.32,45.63,45.66,1508527
22-Feb-13,46.55,47.77,46.48,47.55,1208512
21-Feb-13,47.12,47.12,45.80,46.32,1733275
20-Feb-13,49.64,49.73,47.24,47.50,1380476
19-Feb-13,50.15,50.45,48.98,49.74,1446175
15-Feb-13,50.20,50.65,49.87,50.16,1039446
14-Feb-13,49.99,50.33,49.80,50.20,941641
13-Feb-13,49.49,50.68,49.42,50.34,1347608
12-Feb-13,49.43,49.76,49.04,49.14,946796
11-Feb-13,49.24,49.68,49.06,49.50,935582
8-Feb-13,48.52,49.88,48.52,49.50,1325952
7-Feb-13,48.84,48.90,47.64,48.50,1154867
6-Feb-13,47.18,48.88,46.90,48.83,1841867
5-Feb-13,46.81,47.27,46.81,47.11,874281
4-Feb-13,46.89,47.17,46.52,46.53,719611
1-Feb-13,47.12,47.59,47.06,47.37,1022807
31-Jan-13,46.87,47.45,46.60,46.88,1079555
30-Jan-13,47.23,47.79,46.99,47.20,1432025
29-Jan-13,47.94,48.89,46.83,48.08,2528072
28-Jan-13,47.08,47.16,45.89,46.25,1910140
25-Jan-13,47.18,47.28,46.68,46.97,2083758
24-Jan-13,47.26,47.72,46.87,47.06,783477
23-Jan-13,47.22,47.55,47.02,47.37,640022
22-Jan-13,47.38,47.64,46.90,47.37,1001292
18-Jan-13,47.27,47.27,46.46,47.22,746847
17-Jan-13,47.06,47.51,46.70,47.03,972472
16-Jan-13,45.72,46.82,45.34,46.75,1211643
15-Jan-13,45.75,46.04,45.49,45.83,1250947
14-Jan-13,45.85,46.33,45.59,45.85,1562691
11-Jan-13,47.24,47.27,46.46,46.64,1343322
10-Jan-13,47.42,47.67,47.15,47.33,852455
9-Jan-13,46.99,47.28,46.87,47.21,726317
8-Jan-13,46.87,47.25,46.57,46.76,918159
7-Jan-13,47.16,47.35,46.32,46.88,1408194
4-Jan-13,46.38,47.51,46.36,47.50,1251017
3-Jan-13,46.51,46.73,46.12,46.43,1396052
2-Jan-13,45.61,46.50,45.53,46.50,1636877
31-Dec-12,43.21,44.55,43.08,44.53,810583
28-Dec-12,43.97,44.01,43.16,43.28,560202
27-Dec-12,44.36,44.36,43.06,43.96,724936
26-Dec-12,44.46,44.93,44.18,44.23,519296
24-Dec-12,44.49,44.62,44.00,44.31,359604
21-Dec-12,44.57,45.01,44.40,44.56,1554108
20-Dec-12,45.09,45.31,44.63,45.10,1906030
19-Dec-12,44.27,45.28,44.26,45.08,2450422
18-Dec-12,42.98,44.32,42.88,44.26,1589008
17-Dec-12,43.27,43.38,42.62,43.00,1041258
14-Dec-12,42.73,43.40,42.51,43.28,1214417
13-Dec-12,42.88,43.18,42.19,42.47,1105040
12-Dec-12,43.08,43.38,42.52,43.03,1481645
11-Dec-12,42.66,43.12,42.35,42.67,1523273
10-Dec-12,41.83,42.58,41.83,42.43,690352
7-Dec-12,41.89,42.24,41.69,41.94,1129359
6-Dec-12,42.02,42.14,41.41,41.69,980353
5-Dec-12,41.00,42.30,41.00,42.00,2088769
4-Dec-12,40.75,41.23,40.43,40.99,841441
3-Dec-12,41.70,41.99,40.70,40.80,1817313
30-Nov-12,40.39,41.50,40.31,41.04,2354963
29-Nov-12,39.57,40.41,39.15,40.34,2032110
28-Nov-12,39.10,39.50,38.88,39.29,1473115
27-Nov-12,39.51,40.41,39.37,39.42,1407508
26-Nov-12,39.52,39.80,39.40,39.67,605189
23-Nov-12,39.58,39.93,39.28,39.70,316320
21-Nov-12,39.00,39.29,38.66,39.18,569271
20-Nov-12,39.90,39.90,38.76,39.01,1016920
19-Nov-12,39.13,40.02,39.13,39.95,1205953
16-Nov-12,38.83,39.08,38.13,38.57,1406216
15-Nov-12,38.75,39.19,38.61,38.83,1229980
14-Nov-12,39.08,39.25,38.76,38.91,1430536
13-Nov-12,38.26,39.20,38.26,39.15,1314889
12-Nov-12,38.69,38.84,38.34,38.51,887565
9-Nov-12,38.35,38.91,38.25,38.50,935355
8-Nov-12,39.15,39.37,37.98,38.46,1060414
7-Nov-12,39.11,39.76,38.90,39.08,1530608
6-Nov-12,39.66,40.56,39.47,40.31,743363
5-Nov-12,39.00,39.65,39.00,39.60,623155
2-Nov-12,40.45,40.52,39.11,39.16,1116133
1-Nov-12,38.07,40.23,37.96,40.16,1313726
31-Oct-12,38.42,38.99,37.69,37.99,1211429
26-Oct-12,37.88,38.51,37.76,38.38,825001
25-Oct-12,38.25,38.59,37.65,37.99,1046837
24-Oct-12,38.90,39.00,38.20,38.36,2128046
23-Oct-12,36.18,39.46,36.18,38.19,3506833
22-Oct-12,37.37,37.69,37.00,37.44,1861733
19-Oct-12,37.87,38.00,37.19,37.26,1642833
18-Oct-12,37.76,38.41,37.63,38.21,1354358
17-Oct-12,37.09,38.11,36.98,37.98,1566078
16-Oct-12,36.05,37.35,36.01,36.98,1743910
15-Oct-12,35.44,35.86,34.96,35.84,1668415
12-Oct-12,35.52,35.88,34.98,35.31,2929398
11-Oct-12,36.41,36.74,35.64,35.65,2993601
10-Oct-12,36.74,36.74,35.75,35.91,1598284
9-Oct-12,36.83,37.21,36.54,36.73,1335132
8-Oct-12,37.00,37.12,36.64,36.83,2638000
5-Oct-12,38.08,38.33,37.25,37.47,2498231
4-Oct-12,37.80,37.94,37.45,37.70,1195859
3-Oct-12,37.88,38.09,37.43,37.59,1499776
2-Oct-12,37.86,38.41,37.56,37.99,1389712
1-Oct-12,38.21,38.61,37.54,37.72,1510289
28-Sep-12,37.94,38.35,37.64,37.91,2817562
27-Sep-12,38.53,38.73,37.97,38.20,1947421
26-Sep-12,37.74,38.46,37.50,38.20,1408640
25-Sep-12,39.08,39.40,37.74,37.75,1945333
24-Sep-12,39.96,39.97,38.56,38.96,2770404
21-Sep-12,41.29,42.12,39.79,40.00,3680752
20-Sep-12,41.55,42.21,40.83,42.03,1476301
19-Sep-12,42.09,43.18,41.88,42.68,2497138
18-Sep-12,41.34,41.54,40.97,41.50,937527
17-Sep-12,42.43,42.56,41.33,41.58,1278057
14-Sep-12,41.32,43.15,41.32,42.68,2275692
13-Sep-12,39.35,41.46,39.16,41.25,1402878
12-Sep-12,39.88,40.14,39.39,39.51,1089212
11-Sep-12,40.00,40.28,39.72,39.78,1580918
10-Sep-12,39.28,40.38,39.15,40.10,1868015
7-Sep-12,38.68,39.85,38.32,39.56,1731765
6-Sep-12,37.36,38.67,37.36,38.31,1567978
5-Sep-12,37.28,37.81,37.01,37.05,1926757
4-Sep-12,37.73,38.14,37.02,37.30,1580763
31-Aug-12,38.36,38.61,37.88,38.26,1632134
30-Aug-12,38.86,38.86,37.97,38.01,1654446
29-Aug-12,39.64,39.67,38.90,38.96,1694296
28-Aug-12,39.94,40.06,39.32,39.40,1312547
27-Aug-12,40.39,40.47,39.72,39.94,864536
24-Aug-12,40.48,40.74,40.07,40.32,655645
