Date, Open, High, Low, Close, Volume
17-May-13,0.28,0.28,0.26,0.27,805922
16-May-13,0.28,0.29,0.27,0.28,1209754
15-May-13,0.28,0.28,0.27,0.28,1010850
14-May-13,0.31,0.31,0.28,0.28,547076
13-May-13,0.29,0.29,0.27,0.28,659129
10-May-13,0.29,0.29,0.27,0.28,1141701
9-May-13,0.29,0.30,0.28,0.29,608759
8-May-13,0.30,0.30,0.29,0.30,750752
7-May-13,0.28,0.30,0.28,0.29,656358
6-May-13,0.30,0.30,0.28,0.28,496168
3-May-13,0.30,0.30,0.29,0.30,425508
2-May-13,0.30,0.30,0.29,0.30,322659
1-May-13,0.30,0.30,0.29,0.29,438897
30-Apr-13,0.30,0.30,0.29,0.30,387857
29-Apr-13,0.30,0.30,0.29,0.30,744741
26-Apr-13,0.30,0.32,0.29,0.30,506121
25-Apr-13,0.30,0.32,0.30,0.31,1519380
24-Apr-13,0.32,0.32,0.28,0.30,1155916
23-Apr-13,0.31,0.32,0.29,0.31,122129
22-Apr-13,0.31,0.32,0.30,0.31,562688
19-Apr-13,0.31,0.31,0.29,0.29,348057
18-Apr-13,0.28,0.30,0.28,0.30,520243
17-Apr-13,0.34,0.34,0.28,0.29,1186476
16-Apr-13,0.34,0.35,0.32,0.33,549206
15-Apr-13,0.36,0.37,0.32,0.32,1162208
12-Apr-13,0.40,0.40,0.37,0.38,644396
11-Apr-13,0.40,0.41,0.40,0.40,273373
10-Apr-13,0.43,0.43,0.39,0.39,755789
9-Apr-13,0.42,0.43,0.41,0.43,343812
8-Apr-13,0.42,0.43,0.41,0.42,257600
5-Apr-13,0.40,0.42,0.40,0.42,334279
4-Apr-13,0.40,0.41,0.40,0.41,478842
3-Apr-13,0.40,0.42,0.39,0.40,839039
2-Apr-13,0.44,0.46,0.40,0.41,677027
1-Apr-13,0.47,0.47,0.43,0.45,395322
28-Mar-13,0.47,0.47,0.45,0.46,402332
27-Mar-13,0.45,0.47,0.45,0.46,374238
26-Mar-13,0.45,0.46,0.45,0.45,305522
25-Mar-13,0.47,0.49,0.45,0.45,733976
22-Mar-13,0.48,0.49,0.46,0.47,496522
21-Mar-13,0.45,0.48,0.43,0.48,1143559
20-Mar-13,0.41,0.44,0.41,0.44,643462
19-Mar-13,0.41,0.41,0.40,0.41,403125
18-Mar-13,0.40,0.41,0.39,0.41,271364
15-Mar-13,0.40,0.40,0.38,0.40,716421
14-Mar-13,0.40,0.41,0.39,0.40,257323
13-Mar-13,0.42,0.42,0.39,0.39,353578
12-Mar-13,0.41,0.42,0.40,0.40,486590
11-Mar-13,0.40,0.42,0.39,0.39,625493
8-Mar-13,0.39,0.39,0.39,0.39,602986
7-Mar-13,0.40,0.41,0.39,0.39,606472
6-Mar-13,0.40,0.41,0.39,0.39,487424
5-Mar-13,0.40,0.40,0.38,0.40,351449
4-Mar-13,0.40,0.41,0.38,0.39,636716
1-Mar-13,0.39,0.41,0.39,0.40,468446
28-Feb-13,0.41,0.42,0.40,0.40,451245
27-Feb-13,0.42,0.42,0.41,0.41,343313
26-Feb-13,0.44,0.45,0.41,0.42,539258
25-Feb-13,0.44,0.44,0.43,0.44,325466
22-Feb-13,0.41,0.44,0.41,0.43,366285
21-Feb-13,0.42,0.43,0.41,0.41,1169150
20-Feb-13,0.44,0.45,0.42,0.42,506807
19-Feb-13,0.49,0.50,0.45,0.46,565364
15-Feb-13,0.51,0.51,0.40,0.48,762513
14-Feb-13,0.52,0.52,0.51,0.51,237930
13-Feb-13,0.53,0.54,0.52,0.52,183582
12-Feb-13,0.52,0.53,0.52,0.53,134734
11-Feb-13,0.53,0.54,0.51,0.52,303604
8-Feb-13,0.54,0.55,0.53,0.54,177067
7-Feb-13,0.54,0.55,0.54,0.54,249325
6-Feb-13,0.55,0.55,0.54,0.54,123318
5-Feb-13,0.53,0.56,0.53,0.55,129370
4-Feb-13,0.55,0.55,0.53,0.53,321573
1-Feb-13,0.56,0.56,0.54,0.55,214996
31-Jan-13,0.54,0.55,0.54,0.55,305167
30-Jan-13,0.56,0.56,0.54,0.55,422315
29-Jan-13,0.54,0.55,0.53,0.53,345199
28-Jan-13,0.55,0.55,0.53,0.54,280508
25-Jan-13,0.56,0.56,0.53,0.55,502843
24-Jan-13,0.58,0.58,0.55,0.56,287183
23-Jan-13,0.60,0.60,0.57,0.57,312561
22-Jan-13,0.61,0.62,0.60,0.60,360149
18-Jan-13,0.62,0.62,0.59,0.61,373280
17-Jan-13,0.61,0.64,0.60,0.60,1001958
16-Jan-13,0.63,0.63,0.58,0.59,2195944
15-Jan-13,0.57,0.62,0.57,0.60,1025358
14-Jan-13,0.55,0.57,0.54,0.56,709873
11-Jan-13,0.56,0.56,0.54,0.54,145301
10-Jan-13,0.53,0.55,0.52,0.55,388629
9-Jan-13,0.53,0.54,0.52,0.53,128640
8-Jan-13,0.54,0.54,0.51,0.53,367958
7-Jan-13,0.54,0.56,0.54,0.54,194065
4-Jan-13,0.55,0.55,0.53,0.55,637489
3-Jan-13,0.57,0.60,0.55,0.57,291573
2-Jan-13,0.59,0.59,0.57,0.59,493242
31-Dec-12,0.55,0.57,0.52,0.55,527167
28-Dec-12,0.53,0.53,0.52,0.52,244957
27-Dec-12,0.54,0.54,0.52,0.52,315990
26-Dec-12,0.55,0.56,0.53,0.54,274199
24-Dec-12,0.53,0.53,0.51,0.51,157121
21-Dec-12,0.50,0.52,0.50,0.52,183832
20-Dec-12,0.52,0.53,0.51,0.52,229741
19-Dec-12,0.52,0.53,0.51,0.53,143634
18-Dec-12,0.53,0.54,0.51,0.51,618647
17-Dec-12,0.54,0.54,0.53,0.53,162811
14-Dec-12,0.56,0.56,0.53,0.53,302976
13-Dec-12,0.54,0.56,0.53,0.56,498491
12-Dec-12,0.55,0.57,0.55,0.56,334224
11-Dec-12,0.56,0.57,0.53,0.56,375162
10-Dec-12,0.57,0.59,0.56,0.56,224440
7-Dec-12,0.59,0.60,0.57,0.57,304785
6-Dec-12,0.57,0.65,0.56,0.59,349298
5-Dec-12,0.57,0.58,0.56,0.57,213364
4-Dec-12,0.57,0.58,0.56,0.58,241354
3-Dec-12,0.58,0.59,0.57,0.57,242980
30-Nov-12,0.58,0.59,0.58,0.58,259375
29-Nov-12,0.59,0.60,0.58,0.58,206653
28-Nov-12,0.59,0.60,0.57,0.59,324006
27-Nov-12,0.63,0.64,0.60,0.60,421322
26-Nov-12,0.63,0.63,0.62,0.63,130763
23-Nov-12,0.64,0.64,0.62,0.62,143793
21-Nov-12,0.62,0.63,0.61,0.63,194966
20-Nov-12,0.67,0.67,0.62,0.62,235947
19-Nov-12,0.69,0.70,0.66,0.67,216920
16-Nov-12,0.65,0.67,0.65,0.67,250774
15-Nov-12,0.68,0.68,0.65,0.66,292006
14-Nov-12,0.71,0.72,0.67,0.69,303739
13-Nov-12,0.70,0.70,0.66,0.67,145765
12-Nov-12,0.70,0.70,0.68,0.70,99008
9-Nov-12,0.68,0.71,0.68,0.70,138076
8-Nov-12,0.70,0.70,0.66,0.68,228513
7-Nov-12,0.70,0.71,0.69,0.69,108977
6-Nov-12,0.70,0.71,0.69,0.71,112968
5-Nov-12,0.70,0.70,0.68,0.68,158085
