Date, Open, High, Low, Close, Volume
17-May-13,10.05,10.05,9.99,10.00,118827
16-May-13,10.06,10.09,10.02,10.04,67462
15-May-13,10.05,10.10,10.05,10.07,34943
14-May-13,10.10,10.11,10.07,10.10,149533
13-May-13,10.04,10.10,10.03,10.09,125237
10-May-13,10.12,10.12,10.04,10.05,180800
9-May-13,10.08,10.15,10.06,10.13,190523
8-May-13,10.11,10.15,10.01,10.07,150309
7-May-13,10.15,10.15,10.12,10.15,84881
6-May-13,10.12,10.15,10.08,10.13,94725
3-May-13,10.09,10.15,10.04,10.13,411495
2-May-13,10.05,10.10,10.05,10.08,103146
1-May-13,10.17,10.17,10.05,10.05,101492
30-Apr-13,10.15,10.19,10.09,10.17,112022
29-Apr-13,10.09,10.16,10.08,10.13,179018
26-Apr-13,10.04,10.10,10.00,10.09,219232
25-Apr-13,10.00,10.04,9.99,10.04,244516
24-Apr-13,9.95,10.02,9.95,10.01,301143
23-Apr-13,10.00,10.03,9.95,9.96,159528
22-Apr-13,10.04,10.05,9.98,10.00,236309
19-Apr-13,9.97,10.03,9.94,10.03,341035
18-Apr-13,10.00,10.01,9.85,9.95,236925
17-Apr-13,10.10,10.15,9.97,10.00,466901
16-Apr-13,10.20,10.21,10.08,10.15,354090
15-Apr-13,10.20,10.23,10.14,10.21,490961
12-Apr-13,10.20,10.25,10.20,10.21,335831
11-Apr-13,10.22,10.24,10.20,10.24,203284
10-Apr-13,10.22,10.28,10.20,10.22,1183899
