Date, Open, High, Low, Close, Volume
17-May-13,12.44,12.50,12.35,12.42,313444
16-May-13,12.23,12.42,12.22,12.39,216018
15-May-13,12.30,12.40,12.15,12.27,176633
14-May-13,12.09,12.37,12.08,12.37,228559
13-May-13,12.16,12.20,11.97,12.03,160290
10-May-13,11.89,12.01,11.80,11.89,116971
9-May-13,11.98,12.07,11.83,11.90,108478
8-May-13,12.13,12.20,11.86,12.02,146856
7-May-13,11.60,12.15,11.44,12.13,467163
6-May-13,11.34,11.71,11.31,11.62,258945
3-May-13,11.32,11.55,11.27,11.30,126815
2-May-13,11.18,11.27,11.10,11.14,155008
1-May-13,11.48,11.55,11.12,11.12,259119
30-Apr-13,11.33,11.57,11.26,11.57,167983
29-Apr-13,11.26,11.48,11.20,11.32,97711
26-Apr-13,11.10,11.25,10.96,11.05,275885
25-Apr-13,11.06,11.28,11.06,11.11,200645
24-Apr-13,11.08,11.20,10.95,11.02,74801
23-Apr-13,10.73,11.12,10.68,11.07,188512
22-Apr-13,10.95,10.95,10.50,10.63,198619
19-Apr-13,10.93,11.04,10.79,10.90,159893
18-Apr-13,11.30,11.34,10.89,10.92,179902
17-Apr-13,11.50,11.50,11.02,11.27,135251
16-Apr-13,11.48,11.63,11.25,11.61,118811
15-Apr-13,12.17,12.20,11.21,11.34,185099
12-Apr-13,12.67,12.68,12.24,12.30,77394
11-Apr-13,12.76,12.82,12.63,12.72,119797
10-Apr-13,12.08,12.86,12.08,12.80,155644
9-Apr-13,12.25,12.27,11.95,12.07,193344
8-Apr-13,12.09,12.24,11.90,12.23,206523
5-Apr-13,11.95,12.26,11.89,12.08,111297
4-Apr-13,12.14,12.37,12.03,12.19,185862
3-Apr-13,12.59,12.62,12.17,12.17,296812
2-Apr-13,12.79,12.84,12.47,12.59,164174
1-Apr-13,13.06,13.06,12.59,12.72,123573
28-Mar-13,13.12,13.16,12.89,13.06,311084
27-Mar-13,13.31,13.33,12.83,13.08,160769
26-Mar-13,13.45,13.45,13.30,13.43,68013
25-Mar-13,13.44,13.50,13.27,13.45,132807
22-Mar-13,13.34,13.44,13.27,13.35,88030
21-Mar-13,13.43,13.60,13.25,13.32,198721
20-Mar-13,13.67,13.79,13.55,13.58,242375
19-Mar-13,13.68,13.90,13.51,13.61,160858
18-Mar-13,13.63,13.89,13.48,13.68,126718
15-Mar-13,13.95,13.95,13.76,13.84,191214
14-Mar-13,13.82,13.95,13.80,13.95,136005
13-Mar-13,13.69,13.94,13.62,13.75,198691
12-Mar-13,13.60,13.70,13.54,13.64,150310
11-Mar-13,13.36,13.60,13.35,13.60,130182
8-Mar-13,13.49,13.60,13.31,13.41,203679
7-Mar-13,13.28,13.53,13.18,13.34,399611
6-Mar-13,12.30,13.30,12.30,13.28,729306
5-Mar-13,11.62,12.71,11.21,12.29,645721
4-Mar-13,11.79,11.79,11.48,11.59,162304
1-Mar-13,11.83,11.90,11.65,11.86,83269
