Date, Open, High, Low, Close, Volume
17-May-13,1.05,1.09,0.98,1.01,5755879
16-May-13,0.99,1.03,0.94,0.94,2850215
15-May-13,0.98,0.98,0.94,0.97,1800590
14-May-13,0.97,0.97,0.94,0.96,1127727
13-May-13,0.96,0.98,0.93,0.96,1147875
10-May-13,0.97,0.97,0.90,0.97,1939027
9-May-13,1.05,1.07,0.90,0.93,5043618
8-May-13,1.03,1.05,0.94,1.01,3713569
7-May-13,1.00,1.11,0.99,1.03,6953543
6-May-13,0.89,0.98,0.88,0.97,2700939
3-May-13,0.90,0.90,0.86,0.88,983783
2-May-13,0.90,0.90,0.87,0.89,1065808
1-May-13,0.88,0.89,0.84,0.86,888593
30-Apr-13,0.86,0.87,0.83,0.84,859658
29-Apr-13,0.88,0.90,0.86,0.88,492975
26-Apr-13,0.89,0.89,0.87,0.88,599904
25-Apr-13,0.87,0.91,0.85,0.89,1356447
24-Apr-13,0.88,0.88,0.81,0.87,1488018
23-Apr-13,0.96,1.00,0.87,0.88,11842321
22-Apr-13,0.83,0.83,0.75,0.76,1073130
19-Apr-13,0.84,0.85,0.79,0.80,820477
18-Apr-13,0.86,0.87,0.83,0.84,898823
17-Apr-13,0.92,0.92,0.86,0.87,1180869
16-Apr-13,0.93,0.94,0.90,0.93,1068249
15-Apr-13,0.96,0.98,0.93,0.94,710380
12-Apr-13,0.95,0.97,0.94,0.96,516869
11-Apr-13,0.97,0.97,0.95,0.95,740418
10-Apr-13,0.97,0.98,0.95,0.97,464285
9-Apr-13,0.98,1.00,0.95,0.97,523658
8-Apr-13,1.00,1.01,0.95,0.97,1645607
5-Apr-13,1.03,1.03,0.99,1.00,841376
4-Apr-13,1.04,1.04,1.00,1.02,593832
3-Apr-13,1.03,1.05,1.00,1.00,1074166
2-Apr-13,1.07,1.07,1.03,1.03,401630
1-Apr-13,1.02,1.08,1.01,1.07,1506085
28-Mar-13,1.05,1.06,1.02,1.05,1221698
27-Mar-13,1.02,1.05,1.02,1.05,773297
26-Mar-13,1.05,1.08,1.01,1.05,1438408
25-Mar-13,1.06,1.08,1.05,1.07,874817
22-Mar-13,1.06,1.08,1.05,1.06,1232420
21-Mar-13,1.11,1.11,1.05,1.08,1152933
20-Mar-13,1.05,1.11,1.04,1.10,1677619
19-Mar-13,1.06,1.09,1.04,1.06,2153656
18-Mar-13,1.12,1.18,1.05,1.10,5946604
15-Mar-13,1.06,1.08,1.04,1.06,1435591
14-Mar-13,1.05,1.07,1.04,1.06,958632
13-Mar-13,1.05,1.07,1.02,1.07,2054715
12-Mar-13,1.14,1.14,1.05,1.07,2256499
11-Mar-13,1.18,1.18,1.12,1.15,3028175
8-Mar-13,1.16,1.23,1.10,1.12,11526131
7-Mar-13,1.02,1.12,1.00,1.10,7112258
6-Mar-13,0.98,1.03,0.98,1.03,1249047
5-Mar-13,1.00,1.03,0.98,0.98,1442038
4-Mar-13,0.96,1.02,0.95,1.01,1817930
1-Mar-13,0.97,0.98,0.95,0.97,622663
28-Feb-13,1.03,1.03,0.95,0.98,1575116
27-Feb-13,1.00,1.04,0.98,1.03,2102817
26-Feb-13,1.01,1.03,0.90,0.98,4683363
25-Feb-13,1.13,1.15,1.00,1.02,6139910
22-Feb-13,1.10,1.18,1.09,1.15,4824311
21-Feb-13,1.23,1.23,1.17,1.19,1916947
20-Feb-13,1.26,1.28,1.21,1.22,2448340
19-Feb-13,1.22,1.29,1.20,1.29,3248518
15-Feb-13,1.28,1.34,1.25,1.26,3316834
14-Feb-13,1.28,1.37,1.23,1.32,3812690
13-Feb-13,1.34,1.37,1.29,1.30,3670954
12-Feb-13,1.51,1.54,1.36,1.38,8715069
11-Feb-13,1.40,1.54,1.35,1.54,17043171
8-Feb-13,1.20,1.29,1.15,1.29,7254687
7-Feb-13,1.19,1.20,1.13,1.16,3393618
6-Feb-13,1.26,1.30,1.18,1.20,6713017
5-Feb-13,1.16,1.32,1.15,1.23,8433917
4-Feb-13,1.18,1.23,1.13,1.17,10478113
1-Feb-13,1.42,1.44,1.25,1.32,17587078
31-Jan-13,-,1.72,1.41,1.51,42161321
30-Jan-13,7.95,8.38,7.78,8.02,2828473
29-Jan-13,8.05,8.33,7.60,7.68,2748028
28-Jan-13,7.80,8.45,7.80,8.18,4014208
25-Jan-13,7.56,7.84,7.44,7.72,2873827
24-Jan-13,7.57,7.71,7.40,7.44,1808994
23-Jan-13,7.95,7.96,7.51,7.63,2367985
22-Jan-13,7.90,7.97,7.22,7.74,6056872
18-Jan-13,7.28,7.46,6.51,7.00,5440332
17-Jan-13,7.46,7.97,7.25,7.31,4821783
16-Jan-13,9.40,9.43,6.17,8.10,8533931
15-Jan-13,9.10,9.44,9.05,9.35,2272281
14-Jan-13,8.61,9.30,8.46,9.05,2914291
11-Jan-13,8.58,8.62,8.40,8.46,1255776
10-Jan-13,8.60,8.69,8.24,8.57,1541908
9-Jan-13,8.00,8.55,7.92,8.48,2087424
8-Jan-13,8.10,8.14,7.81,7.90,1070489
7-Jan-13,8.14,8.20,7.90,7.99,1546130
4-Jan-13,8.15,8.38,8.02,8.03,2490710
3-Jan-13,8.39,8.39,8.03,8.15,1181542
