Date, Open, High, Low, Close, Volume
17-May-13,0.34,0.34,0.30,0.32,217843
16-May-13,0.34,0.35,0.18,0.33,243150
15-May-13,0.38,0.38,0.35,0.37,23250
14-May-13,0.37,0.37,0.34,0.35,47000
13-May-13,0.37,0.39,0.35,0.38,66697
10-May-13,0.35,0.37,0.35,0.37,35789
9-May-13,0.37,0.37,0.33,0.34,32709
8-May-13,0.35,0.38,0.34,0.36,29689
7-May-13,0.35,0.37,0.34,0.37,27500
6-May-13,0.36,0.39,0.34,0.39,22000
3-May-13,0.32,0.39,0.32,0.39,124822
2-May-13,0.36,0.36,0.32,0.33,122208
1-May-13,0.39,0.39,0.34,0.36,49193
30-Apr-13,0.37,0.38,0.35,0.35,72125
29-Apr-13,0.36,0.38,0.36,0.37,55403
26-Apr-13,0.36,0.38,0.36,0.37,39777
25-Apr-13,0.39,0.40,0.37,0.37,38726
24-Apr-13,0.38,0.40,0.37,0.38,79557
23-Apr-13,0.36,0.38,0.36,0.36,41387
22-Apr-13,0.39,0.40,0.36,0.39,99596
19-Apr-13,0.40,0.40,0.36,0.40,79700
18-Apr-13,0.36,0.40,0.36,0.39,96187
17-Apr-13,0.37,0.40,0.36,0.40,5200
16-Apr-13,0.38,0.39,0.36,0.39,18451
15-Apr-13,0.38,0.39,0.36,0.39,31800
12-Apr-13,0.39,0.39,0.36,0.36,84900
11-Apr-13,0.36,0.39,0.36,0.36,137124
10-Apr-13,0.36,0.40,0.36,0.37,196889
9-Apr-13,0.38,0.39,0.36,0.36,50749
8-Apr-13,0.37,0.39,0.36,0.37,162600
5-Apr-13,0.41,0.41,0.35,0.36,45710
4-Apr-13,0.37,0.40,0.36,0.39,41669
3-Apr-13,0.40,0.40,0.36,0.36,84656
2-Apr-13,0.38,0.42,0.36,0.38,83200
1-Apr-13,0.40,0.42,0.37,0.38,210208
28-Mar-13,0.36,0.38,0.35,0.38,66050
27-Mar-13,0.38,0.40,0.32,0.38,78253
26-Mar-13,0.40,0.40,0.38,0.39,39090
25-Mar-13,0.37,0.40,0.37,0.40,120242
22-Mar-13,0.37,0.38,0.35,0.36,51650
21-Mar-13,0.36,0.37,0.35,0.37,71208
20-Mar-13,0.36,0.36,0.34,0.36,28014
19-Mar-13,0.36,0.36,0.33,0.35,107029
18-Mar-13,0.37,0.37,0.32,0.35,122080
15-Mar-13,0.32,0.35,0.31,0.35,60242
14-Mar-13,0.30,0.34,0.30,0.32,79626
13-Mar-13,0.34,0.35,0.32,0.32,42500
12-Mar-13,0.34,0.36,0.33,0.35,86202
11-Mar-13,0.38,0.38,0.33,0.34,56819
8-Mar-13,0.39,0.39,0.36,0.38,28944
7-Mar-13,0.35,0.37,0.28,0.37,728417
6-Mar-13,0.34,0.34,0.33,0.33,106550
5-Mar-13,0.38,0.38,0.33,0.35,287429
4-Mar-13,0.39,0.39,0.36,0.37,155642
1-Mar-13,0.38,0.38,0.37,0.38,174203
28-Feb-13,0.38,0.38,0.36,0.38,120878
27-Feb-13,0.40,0.40,0.37,0.38,86530
26-Feb-13,0.40,0.41,0.36,0.37,143385
25-Feb-13,0.39,0.41,0.39,0.40,168600
22-Feb-13,0.40,0.40,0.38,0.38,128331
21-Feb-13,0.41,0.41,0.39,0.39,28400
20-Feb-13,0.40,0.42,0.39,0.40,101490
19-Feb-13,0.40,0.42,0.40,0.42,118620
15-Feb-13,0.39,0.41,0.39,0.41,48705
14-Feb-13,0.42,0.42,0.38,0.39,128250
13-Feb-13,0.42,0.42,0.40,0.42,87405
12-Feb-13,0.41,0.42,0.40,0.42,74930
11-Feb-13,0.41,0.45,0.39,0.41,222200
8-Feb-13,0.44,0.44,0.41,0.42,171600
7-Feb-13,0.46,0.47,0.41,0.43,314467
6-Feb-13,0.42,0.48,0.42,0.45,351680
5-Feb-13,0.42,0.42,0.40,0.42,42200
4-Feb-13,0.42,0.42,0.36,0.40,158310
1-Feb-13,0.44,0.44,0.40,0.40,213772
31-Jan-13,0.42,0.43,0.40,0.41,122840
30-Jan-13,0.48,0.48,0.41,0.41,361173
29-Jan-13,0.50,0.50,0.48,0.48,107701
28-Jan-13,0.51,0.51,0.48,0.48,74939
25-Jan-13,0.51,0.51,0.48,0.51,41298
24-Jan-13,0.53,0.53,0.48,0.50,120041
23-Jan-13,0.51,0.52,0.49,0.51,113549
22-Jan-13,0.51,0.51,0.49,0.51,316798
18-Jan-13,0.49,0.53,0.49,0.51,165333
17-Jan-13,0.53,0.57,0.48,0.50,323034
16-Jan-13,0.60,0.60,0.53,0.54,144717
15-Jan-13,0.61,0.62,0.54,0.57,215410
14-Jan-13,0.60,0.62,0.55,0.58,254637
11-Jan-13,0.52,0.64,0.52,0.60,274390
10-Jan-13,0.55,0.57,0.50,0.54,291788
9-Jan-13,0.53,0.54,0.50,0.52,254013
8-Jan-13,0.51,0.55,0.50,0.53,168860
7-Jan-13,0.53,0.59,0.50,0.51,420950
4-Jan-13,0.53,0.54,0.51,0.54,167651
3-Jan-13,0.54,0.54,0.51,0.54,123220
2-Jan-13,0.51,0.51,0.48,0.48,54102
31-Dec-12,0.51,0.54,0.48,0.48,146461
28-Dec-12,0.52,0.54,0.49,0.50,68650
27-Dec-12,0.54,0.54,0.49,0.50,207529
26-Dec-12,0.51,0.54,0.49,0.54,155119
24-Dec-12,0.56,0.56,0.51,0.51,155110
21-Dec-12,0.58,0.58,0.53,0.56,65840
20-Dec-12,0.56,0.57,0.53,0.57,276930
19-Dec-12,0.54,0.56,0.50,0.55,192897
18-Dec-12,0.55,0.60,0.52,0.54,333818
17-Dec-12,0.49,0.54,0.48,0.54,424637
14-Dec-12,0.48,0.52,0.44,0.48,316718
13-Dec-12,0.44,0.46,0.41,0.46,400415
12-Dec-12,0.44,0.44,0.39,0.44,59953
11-Dec-12,0.41,0.45,0.39,0.43,148384
10-Dec-12,0.38,0.45,0.37,0.45,235476
7-Dec-12,0.42,0.42,0.38,0.40,77850
6-Dec-12,0.40,0.42,0.38,0.42,65848
5-Dec-12,0.42,0.42,0.37,0.39,166124
4-Dec-12,0.42,0.42,0.39,0.42,70600
3-Dec-12,0.40,0.42,0.38,0.40,53513
30-Nov-12,0.39,0.41,0.37,0.39,303179
29-Nov-12,0.38,0.42,0.38,0.38,10420
28-Nov-12,0.41,0.42,0.39,0.40,66920
27-Nov-12,0.39,0.44,0.39,0.40,66066
26-Nov-12,0.40,0.49,0.38,0.39,425412
23-Nov-12,0.37,0.40,0.34,0.37,16021
21-Nov-12,0.35,0.43,0.35,0.40,52110
20-Nov-12,0.33,0.37,0.32,0.36,49190
19-Nov-12,0.36,0.38,0.34,0.34,36894
16-Nov-12,0.40,0.41,0.37,0.39,67661
15-Nov-12,0.40,0.42,0.34,0.42,159078
14-Nov-12,0.33,0.36,0.33,0.33,9915
13-Nov-12,0.33,0.36,0.32,0.35,44980
12-Nov-12,0.34,0.37,0.34,0.35,18223
9-Nov-12,0.38,0.38,0.34,0.34,45277
8-Nov-12,0.36,0.36,0.34,0.35,24750
7-Nov-12,0.38,0.38,0.36,0.36,18600
6-Nov-12,0.40,0.40,0.36,0.37,4300
5-Nov-12,0.40,0.42,0.35,0.40,43900
2-Nov-12,0.34,0.44,0.34,0.38,232400
1-Nov-12,0.36,0.37,0.34,0.35,10564
31-Oct-12,0.34,0.37,0.34,0.35,69871
26-Oct-12,0.32,0.33,0.30,0.33,8200
25-Oct-12,0.33,0.34,0.32,0.34,4100
24-Oct-12,0.35,0.35,0.32,0.32,9625
23-Oct-12,0.37,0.37,0.32,0.33,11900
22-Oct-12,0.33,0.34,0.32,0.32,1300
19-Oct-12,0.32,0.32,0.31,0.31,32000
18-Oct-12,0.34,0.34,0.32,0.32,30400
17-Oct-12,0.33,0.35,0.32,0.33,30350
16-Oct-12,0.32,0.34,0.32,0.34,9200
15-Oct-12,0.34,0.35,0.32,0.34,20550
12-Oct-12,0.36,0.36,0.32,0.36,8135
11-Oct-12,0.31,0.31,0.31,0.31,0
10-Oct-12,0.41,0.41,0.36,0.38,18700
9-Oct-12,0.39,0.39,0.36,0.38,8000
8-Oct-12,0.36,0.39,0.36,0.38,5728
5-Oct-12,0.38,0.39,0.36,0.37,16750
4-Oct-12,0.36,0.38,0.36,0.36,24760
3-Oct-12,0.36,0.39,0.34,0.36,77137
2-Oct-12,0.39,0.40,0.37,0.40,33650
1-Oct-12,0.44,0.50,0.38,0.39,166579
28-Sep-12,0.44,0.44,0.33,0.38,71340
27-Sep-12,0.41,0.43,0.41,0.42,27415
26-Sep-12,0.46,0.47,0.41,0.43,32323
25-Sep-12,0.44,0.48,0.39,0.43,161870
24-Sep-12,0.33,0.50,0.33,0.40,416528
21-Sep-12,0.36,0.36,0.33,0.34,5100
20-Sep-12,0.33,0.36,0.33,0.36,9000
19-Sep-12,0.36,0.37,0.34,0.35,13300
18-Sep-12,0.36,0.36,0.35,0.35,5494
17-Sep-12,0.31,0.39,0.31,0.35,121242
14-Sep-12,0.30,0.32,0.30,0.31,12194
13-Sep-12,0.33,0.34,0.30,0.30,18089
12-Sep-12,0.37,0.37,0.33,0.35,41700
11-Sep-12,0.36,0.38,0.32,0.33,63399
10-Sep-12,0.36,0.39,0.32,0.35,141085
7-Sep-12,0.31,0.36,0.30,0.34,42660
6-Sep-12,0.30,0.31,0.29,0.31,4050
5-Sep-12,0.30,0.34,0.30,0.31,11339
4-Sep-12,0.30,0.32,0.29,0.30,8195
31-Aug-12,0.31,0.32,0.28,0.32,73765
30-Aug-12,0.36,0.36,0.29,0.33,24350
29-Aug-12,0.34,0.36,0.34,0.36,3900
28-Aug-12,0.37,0.37,0.31,0.35,2979
27-Aug-12,0.37,0.37,0.37,0.37,2950
24-Aug-12,0.36,0.37,0.34,0.36,3300
23-Aug-12,0.35,0.37,0.35,0.37,1300
22-Aug-12,0.36,0.39,0.32,0.36,34900
21-Aug-12,0.30,0.37,0.28,0.37,56992
20-Aug-12,0.28,0.30,0.28,0.30,3600
17-Aug-12,0.28,0.30,0.28,0.30,35718
16-Aug-12,0.30,0.31,0.28,0.28,32870
15-Aug-12,0.34,0.34,0.30,0.30,45500
14-Aug-12,0.32,0.36,0.32,0.36,17470
13-Aug-12,0.34,0.36,0.32,0.35,8800
10-Aug-12,0.34,0.35,0.32,0.35,31069
9-Aug-12,0.34,0.36,0.33,0.36,4700
8-Aug-12,0.34,0.35,0.31,0.35,8045
7-Aug-12,0.36,0.36,0.34,0.36,20144
6-Aug-12,0.35,0.36,0.34,0.35,9900
3-Aug-12,0.31,0.36,0.30,0.34,30325
2-Aug-12,0.31,0.31,0.30,0.31,2500
1-Aug-12,0.32,0.32,0.30,0.30,5438
31-Jul-12,0.33,0.33,0.29,0.30,50931
30-Jul-12,0.35,0.35,0.33,0.33,5200
27-Jul-12,0.35,0.36,0.35,0.36,3500
26-Jul-12,0.35,0.36,0.35,0.36,6692
25-Jul-12,0.32,0.38,0.32,0.37,23625
24-Jul-12,0.34,0.34,0.32,0.34,8212
23-Jul-12,0.32,0.38,0.32,0.32,27400
20-Jul-12,0.37,0.37,0.36,0.36,21620
19-Jul-12,0.33,0.36,0.33,0.34,56714
18-Jul-12,0.34,0.35,0.29,0.32,34300
17-Jul-12,0.34,0.35,0.32,0.34,53502
16-Jul-12,0.37,0.38,0.36,0.36,8812
13-Jul-12,0.40,0.40,0.38,0.39,7475
12-Jul-12,0.38,0.40,0.36,0.39,16300
11-Jul-12,0.40,0.40,0.36,0.36,15000
10-Jul-12,0.41,0.41,0.36,0.39,25000
9-Jul-12,0.40,0.41,0.40,0.41,3200
6-Jul-12,0.38,0.40,0.38,0.40,4900
5-Jul-12,0.42,0.42,0.38,0.42,37729
3-Jul-12,0.44,0.44,0.42,0.43,3900
2-Jul-12,0.42,0.43,0.42,0.43,13000
29-Jun-12,0.44,0.44,0.41,0.43,2110
28-Jun-12,0.44,0.44,0.42,0.44,2525
27-Jun-12,0.40,0.45,0.40,0.43,5200
26-Jun-12,0.44,0.45,0.42,0.43,8641
25-Jun-12,0.40,0.43,0.40,0.42,7380
