Date, Open, High, Low, Close, Volume
17-May-13,29.18,29.18,28.67,28.92,22246
16-May-13,28.94,29.19,28.01,29.00,9810
15-May-13,29.00,29.14,28.77,29.14,25662
14-May-13,28.83,29.19,28.83,29.19,11982
13-May-13,29.00,29.00,28.31,28.83,12891
10-May-13,29.00,29.02,28.85,29.02,10933
9-May-13,29.00,29.15,28.90,28.90,8360
8-May-13,29.10,29.16,28.91,28.95,2395
7-May-13,29.15,29.22,29.15,29.19,3917
6-May-13,29.25,29.36,28.98,29.35,16767
3-May-13,29.54,29.54,29.03,29.16,9606
2-May-13,29.23,29.30,29.20,29.28,4392
1-May-13,29.28,29.33,28.84,29.17,7217
30-Apr-13,29.21,29.35,28.91,29.00,22123
29-Apr-13,28.93,29.35,28.93,29.21,9194
26-Apr-13,29.01,29.75,28.75,28.80,29222
25-Apr-13,28.99,29.33,28.79,29.05,20845
24-Apr-13,29.04,29.04,28.75,28.91,8315
23-Apr-13,29.48,29.49,28.76,28.98,13224
22-Apr-13,29.05,29.40,29.05,29.40,2571
19-Apr-13,29.27,29.30,29.05,29.21,6997
18-Apr-13,29.02,29.54,29.02,29.05,6277
17-Apr-13,28.96,29.47,28.96,29.16,5341
16-Apr-13,29.03,29.78,28.80,29.77,34157
15-Apr-13,29.30,30.23,28.98,29.00,5931
12-Apr-13,29.75,29.75,29.34,29.34,3818
11-Apr-13,30.93,30.93,29.55,29.85,3221
10-Apr-13,29.75,30.27,29.56,29.72,12281
9-Apr-13,29.79,30.00,29.55,29.77,4704
8-Apr-13,29.71,30.30,29.50,29.72,8540
5-Apr-13,29.60,29.99,29.51,29.80,2106
4-Apr-13,30.02,30.20,29.71,29.95,5799
3-Apr-13,30.31,30.31,29.75,30.30,26703
2-Apr-13,30.30,30.40,29.96,30.22,18631
1-Apr-13,31.00,31.00,29.75,30.39,17133
28-Mar-13,31.00,31.70,30.50,31.25,186734
27-Mar-13,30.76,31.00,30.55,30.85,8342
26-Mar-13,30.80,31.00,29.71,31.00,14557
25-Mar-13,30.30,31.00,30.30,31.00,7335
22-Mar-13,30.93,30.96,29.90,30.49,14769
21-Mar-13,30.97,30.99,30.40,30.87,8935
20-Mar-13,30.70,31.00,30.35,30.97,8533
19-Mar-13,30.20,31.07,30.20,30.50,12299
18-Mar-13,29.22,30.48,29.22,30.12,18170
15-Mar-13,31.10,31.10,30.01,30.01,22678
14-Mar-13,30.51,31.00,30.50,30.75,5591
13-Mar-13,29.05,31.25,29.05,31.00,9758
12-Mar-13,30.94,31.40,30.59,31.11,16177
11-Mar-13,31.00,32.05,29.80,31.11,53168
8-Mar-13,29.32,30.90,29.32,30.84,37085
7-Mar-13,29.15,29.50,29.15,29.41,14981
6-Mar-13,29.11,29.34,29.11,29.21,13596
5-Mar-13,29.10,29.20,29.10,29.15,29700
4-Mar-13,29.45,29.45,29.10,29.10,11508
1-Mar-13,29.13,29.28,29.10,29.24,121351
28-Feb-13,29.12,29.29,29.10,29.17,35882
27-Feb-13,29.28,29.28,29.11,29.16,32005
26-Feb-13,29.26,29.26,29.15,29.19,13097
25-Feb-13,29.40,29.60,29.11,29.45,26350
22-Feb-13,29.31,29.50,29.20,29.40,23838
21-Feb-13,29.50,29.50,29.13,29.33,17305
20-Feb-13,29.60,29.70,29.22,29.42,40700
19-Feb-13,29.49,29.64,29.17,29.64,45148
15-Feb-13,29.25,29.32,29.16,29.25,28731
14-Feb-13,29.24,29.40,29.11,29.26,25889
13-Feb-13,29.50,29.75,29.05,29.27,117663
12-Feb-13,30.50,31.00,29.65,29.65,882909
