Date, Open, High, Low, Close, Volume
17-May-13,60.72,60.81,60.22,60.49,48054
16-May-13,60.59,60.93,59.99,60.49,38946
15-May-13,60.12,60.63,60.12,60.37,47271
14-May-13,59.51,60.59,58.80,60.28,109149
13-May-13,59.28,59.84,58.91,59.75,69183
10-May-13,59.67,59.71,59.27,59.52,78595
9-May-13,59.22,59.86,59.15,59.53,96640
8-May-13,59.95,59.95,59.32,59.61,95724
7-May-13,60.18,60.38,59.60,59.92,65369
6-May-13,60.07,60.57,59.95,60.01,84164
3-May-13,59.24,60.86,59.22,60.25,89857
2-May-13,57.94,59.24,57.70,59.09,81847
1-May-13,58.00,58.64,57.65,58.06,154482
30-Apr-13,58.70,59.14,58.24,58.60,98844
29-Apr-13,58.80,59.79,58.61,58.84,153200
26-Apr-13,60.74,61.51,56.90,58.92,195282
25-Apr-13,58.96,61.68,56.11,60.70,138432
24-Apr-13,59.20,59.32,58.92,58.92,35608
23-Apr-13,58.52,59.12,58.00,58.97,85392
22-Apr-13,58.62,58.67,57.63,58.03,74995
19-Apr-13,57.62,58.75,57.62,58.50,69284
18-Apr-13,58.44,58.44,57.56,57.70,64833
17-Apr-13,58.12,59.18,57.49,58.28,96948
16-Apr-13,58.57,58.57,57.64,58.31,83666
15-Apr-13,58.90,59.07,58.00,58.23,93137
12-Apr-13,59.03,59.15,58.34,59.12,39251
11-Apr-13,59.26,59.39,58.72,59.01,99416
10-Apr-13,58.80,59.14,57.81,58.97,60226
9-Apr-13,58.91,59.00,58.37,58.51,45524
8-Apr-13,58.84,59.18,57.85,59.02,60690
5-Apr-13,58.52,58.96,58.05,58.70,55140
4-Apr-13,59.36,59.36,58.02,59.08,145648
3-Apr-13,57.99,58.88,57.14,58.50,88568
2-Apr-13,57.39,58.43,57.25,58.01,114748
1-Apr-13,58.04,58.22,56.58,57.07,90046
28-Mar-13,58.00,58.41,57.51,57.88,144161
27-Mar-13,58.34,58.92,57.52,58.63,55208
26-Mar-13,58.20,58.74,56.92,58.48,97794
