Date, Open, High, Low, Close, Volume
17-May-13,54.03,54.77,53.81,54.10,28765
16-May-13,54.29,54.40,53.56,53.98,27308
15-May-13,55.07,55.71,54.48,54.95,40899
14-May-13,53.68,55.58,53.68,55.00,33882
13-May-13,54.59,54.68,53.57,53.83,12932
10-May-13,54.37,54.71,53.94,54.61,27459
9-May-13,55.34,55.86,53.64,54.26,31053
8-May-13,54.56,55.76,54.51,55.50,46254
7-May-13,54.45,54.96,54.07,54.75,34296
6-May-13,54.46,54.56,53.50,54.26,34089
3-May-13,52.65,54.99,52.47,54.25,70949
2-May-13,52.50,52.98,52.00,52.41,36520
1-May-13,53.35,53.35,52.34,52.34,50732
30-Apr-13,52.68,53.36,52.32,53.36,27829
29-Apr-13,52.68,52.72,52.09,52.57,20121
26-Apr-13,52.54,52.75,52.09,52.31,28891
25-Apr-13,52.01,52.59,52.01,52.54,24614
24-Apr-13,52.30,52.67,51.40,51.77,31266
23-Apr-13,51.49,52.27,51.14,52.25,40222
22-Apr-13,51.26,51.36,50.13,51.11,23140
19-Apr-13,50.00,50.98,49.65,50.82,21463
18-Apr-13,49.05,49.95,48.98,49.94,24452
17-Apr-13,49.45,49.93,48.26,48.85,21170
16-Apr-13,48.93,49.90,48.78,49.65,30677
15-Apr-13,50.59,50.59,48.31,48.47,31557
12-Apr-13,50.42,50.85,50.06,50.72,27833
11-Apr-13,50.26,50.57,49.94,50.20,14963
10-Apr-13,49.58,50.63,49.24,50.46,19612
9-Apr-13,49.97,50.14,49.31,49.38,20887
8-Apr-13,50.28,50.28,49.55,50.05,18976
5-Apr-13,49.07,50.30,49.07,49.98,36845
4-Apr-13,49.61,49.92,49.27,49.84,37518
3-Apr-13,49.34,49.84,48.48,49.44,45909
2-Apr-13,48.99,49.78,48.81,49.22,16661
1-Apr-13,49.11,49.28,48.34,48.58,15360
28-Mar-13,49.24,49.33,48.89,49.05,25546
27-Mar-13,49.07,49.24,48.80,48.93,25170
26-Mar-13,49.22,49.45,48.94,49.42,25528
25-Mar-13,49.24,49.57,48.66,49.01,29311
22-Mar-13,49.91,49.91,48.97,49.24,21080
21-Mar-13,49.40,49.73,49.37,49.60,14129
20-Mar-13,49.62,49.91,49.38,49.77,14194
19-Mar-13,49.90,49.96,49.15,49.41,22165
18-Mar-13,49.38,50.01,49.38,49.70,19994
15-Mar-13,49.75,50.08,49.40,50.06,47339
14-Mar-13,49.62,50.00,49.40,49.73,25555
13-Mar-13,50.19,50.34,49.28,49.67,32807
12-Mar-13,49.28,50.39,49.28,50.31,37060
11-Mar-13,49.06,49.61,49.05,49.52,25402
8-Mar-13,48.89,49.53,48.67,49.36,19220
7-Mar-13,48.32,48.70,47.98,48.69,16170
6-Mar-13,48.50,48.68,47.94,48.46,21422
5-Mar-13,48.27,48.69,48.17,48.53,23943
4-Mar-13,48.32,48.65,47.89,48.41,22622
1-Mar-13,47.58,48.55,47.08,48.52,52379
28-Feb-13,47.42,48.49,47.13,48.03,39607
27-Feb-13,46.92,48.06,46.92,47.51,16119
26-Feb-13,47.01,47.62,46.79,47.00,66312
25-Feb-13,47.76,47.92,46.72,46.78,49927
22-Feb-13,47.61,47.89,47.06,47.68,25601
21-Feb-13,47.03,47.84,46.96,47.58,25618
20-Feb-13,47.93,48.10,46.94,46.97,37830
19-Feb-13,47.45,48.56,47.45,47.99,34947
15-Feb-13,47.64,47.80,47.07,47.30,27635
14-Feb-13,47.75,48.10,47.44,47.44,16723
13-Feb-13,47.99,48.00,47.52,47.83,10754
12-Feb-13,47.49,48.00,47.48,47.73,10581
11-Feb-13,47.04,48.03,47.02,47.81,20163
8-Feb-13,47.09,47.41,46.99,47.04,10520
7-Feb-13,47.43,47.73,46.93,47.18,9937
6-Feb-13,47.71,47.81,47.07,47.59,13119
5-Feb-13,47.80,48.19,47.46,47.90,56082
4-Feb-13,47.72,48.03,47.41,47.53,21033
1-Feb-13,47.00,48.16,47.00,47.92,52943
31-Jan-13,46.68,47.95,46.68,47.46,39736
30-Jan-13,47.77,47.77,46.64,46.79,32064
29-Jan-13,47.69,48.12,47.47,47.95,55392
28-Jan-13,47.49,47.81,47.04,47.62,72805
25-Jan-13,47.59,47.63,46.69,47.34,47071
24-Jan-13,47.74,48.11,47.40,47.60,20971
23-Jan-13,47.58,48.04,47.50,47.84,28947
22-Jan-13,47.73,48.25,47.54,47.86,53509
18-Jan-13,47.81,48.08,47.67,47.87,35686
17-Jan-13,47.41,48.12,47.08,47.95,15682
16-Jan-13,47.64,47.64,46.99,47.15,34834
15-Jan-13,47.39,47.68,47.22,47.55,19278
14-Jan-13,46.63,47.71,46.53,47.69,22847
11-Jan-13,46.47,46.69,45.84,46.52,31331
10-Jan-13,46.67,46.88,45.88,46.26,29967
9-Jan-13,46.42,46.74,46.26,46.67,31679
8-Jan-13,46.60,46.81,46.41,46.50,28351
7-Jan-13,46.87,46.87,46.03,46.47,51679
4-Jan-13,46.88,47.19,46.70,46.86,11499
3-Jan-13,46.84,46.86,46.37,46.60,19845
2-Jan-13,46.36,47.06,46.02,46.78,43997
31-Dec-12,44.50,45.63,44.00,45.40,20850
28-Dec-12,44.80,45.42,44.27,44.35,13878
27-Dec-12,44.83,45.04,44.10,44.87,8580
26-Dec-12,45.65,45.90,44.55,44.77,12879
24-Dec-12,46.08,46.08,45.40,45.56,8079
21-Dec-12,46.61,46.76,45.95,46.37,77523
20-Dec-12,46.23,46.93,46.22,46.87,30001
19-Dec-12,46.15,46.38,45.73,46.22,37713
18-Dec-12,45.94,46.29,45.38,46.00,27944
17-Dec-12,44.19,45.92,44.19,45.88,51587
14-Dec-12,43.84,44.29,43.84,44.23,39212
13-Dec-12,44.28,44.62,43.76,44.01,61244
12-Dec-12,45.06,45.24,44.33,44.39,30417
11-Dec-12,45.73,45.73,45.13,45.50,35724
10-Dec-12,45.99,46.30,45.22,45.69,55869
7-Dec-12,47.97,47.98,45.88,46.06,62990
6-Dec-12,47.93,48.34,47.76,48.20,36885
5-Dec-12,46.86,48.40,46.86,48.07,53952
4-Dec-12,45.41,47.21,45.41,46.90,118297
3-Dec-12,46.62,46.62,45.31,46.26,33100
30-Nov-12,44.41,45.41,44.41,45.00,40801
29-Nov-12,43.95,45.37,43.83,45.26,20707
28-Nov-12,43.63,44.30,43.42,43.73,20350
27-Nov-12,43.68,44.11,43.56,43.60,12229
26-Nov-12,43.09,43.79,43.09,43.78,6930
23-Nov-12,43.46,43.66,43.05,43.30,6801
21-Nov-12,43.15,43.56,42.76,43.43,13203
20-Nov-12,42.62,43.26,42.54,43.24,26960
19-Nov-12,42.30,42.82,42.30,42.80,17099
16-Nov-12,41.62,42.50,41.17,42.26,33230
15-Nov-12,43.12,43.22,41.38,41.72,28527
14-Nov-12,44.51,44.72,43.45,43.49,16677
13-Nov-12,44.22,45.10,44.21,44.52,16649
12-Nov-12,44.46,45.10,44.00,44.46,18040
9-Nov-12,43.75,44.73,43.75,44.47,21256
8-Nov-12,44.87,44.87,43.58,43.76,29190
7-Nov-12,46.44,46.44,45.05,45.05,22088
6-Nov-12,46.15,46.90,45.78,46.66,18673
5-Nov-12,45.08,45.91,45.08,45.73,16536
2-Nov-12,46.72,47.13,45.00,45.20,19347
1-Nov-12,47.04,47.22,46.06,46.65,19588
31-Oct-12,47.15,47.15,46.07,46.97,11411
26-Oct-12,47.30,47.30,46.77,47.15,9166
25-Oct-12,47.17,47.44,46.86,47.44,9211
24-Oct-12,46.88,47.38,46.50,47.30,16233
