Date, Open, High, Low, Close, Volume
17-May-13,1.32,1.34,1.26,1.27,7775
16-May-13,1.32,1.34,1.30,1.32,8767
15-May-13,1.32,1.34,1.32,1.32,9049
14-May-13,1.32,1.36,1.32,1.32,13000
13-May-13,1.32,1.35,1.32,1.34,5851
10-May-13,1.40,1.40,1.32,1.33,4624
9-May-13,1.34,1.42,1.32,1.40,2526
8-May-13,1.35,1.41,1.32,1.32,2598
7-May-13,1.32,1.38,1.32,1.32,3840
6-May-13,1.37,1.41,1.32,1.33,4664
3-May-13,1.36,1.36,1.32,1.32,9101
2-May-13,1.42,1.42,1.35,1.35,1058
1-May-13,1.35,1.37,1.32,1.37,3700
30-Apr-13,1.35,1.40,1.35,1.36,9210
29-Apr-13,1.39,1.40,1.35,1.35,1766
26-Apr-13,1.32,1.33,1.32,1.32,1166
25-Apr-13,1.32,1.39,1.32,1.32,6055
24-Apr-13,1.32,1.40,1.32,1.39,632
23-Apr-13,1.32,1.35,1.32,1.35,2498
22-Apr-13,1.38,1.38,1.38,1.38,500
19-Apr-13,1.34,1.45,1.34,1.45,600
18-Apr-13,1.35,1.35,1.31,1.33,7332
17-Apr-13,1.40,1.47,1.40,1.46,3638
16-Apr-13,1.39,1.45,1.37,1.41,2316
15-Apr-13,1.40,1.41,1.39,1.39,12018
12-Apr-13,1.49,1.50,1.41,1.42,5484
11-Apr-13,1.49,1.49,1.49,1.49,250
10-Apr-13,1.44,1.49,1.44,1.49,3691
9-Apr-13,1.40,1.48,1.40,1.41,683
8-Apr-13,1.41,1.41,1.40,1.40,3478
5-Apr-13,1.41,1.41,1.40,1.41,3017
4-Apr-13,1.41,1.48,1.40,1.41,5575
3-Apr-13,1.48,1.48,1.43,1.43,13948
2-Apr-13,1.50,1.50,1.48,1.48,700
1-Apr-13,1.48,1.54,1.48,1.48,4958
28-Mar-13,1.48,1.52,1.48,1.52,4137
27-Mar-13,1.50,1.51,1.49,1.49,5197
26-Mar-13,1.49,1.55,1.49,1.54,866
25-Mar-13,1.51,1.53,1.48,1.49,5520
22-Mar-13,1.50,1.50,1.50,1.50,366
21-Mar-13,1.51,1.56,1.49,1.49,7710
20-Mar-13,1.49,1.52,1.49,1.50,952
19-Mar-13,1.51,1.51,1.50,1.51,2299
18-Mar-13,1.51,1.51,1.45,1.50,9333
15-Mar-13,1.50,1.56,1.49,1.49,1253
14-Mar-13,1.49,1.58,1.48,1.50,3213
13-Mar-13,1.50,1.51,1.50,1.51,1450
12-Mar-13,1.59,1.60,1.54,1.54,4200
11-Mar-13,1.59,1.60,1.50,1.50,2225
8-Mar-13,1.55,1.55,1.49,1.49,2483
7-Mar-13,1.48,1.56,1.48,1.51,14784
6-Mar-13,1.49,1.49,1.48,1.49,5152
5-Mar-13,1.57,1.57,1.50,1.50,23550
4-Mar-13,1.50,1.56,1.50,1.54,916
1-Mar-13,1.56,1.60,1.54,1.58,3433
28-Feb-13,1.53,1.54,1.51,1.52,1367
27-Feb-13,1.53,1.56,1.51,1.53,6302
26-Feb-13,1.52,1.56,1.50,1.50,5385
25-Feb-13,1.52,1.57,1.50,1.50,8761
22-Feb-13,1.54,1.59,1.50,1.50,31074
21-Feb-13,1.55,1.59,1.50,1.52,6346
20-Feb-13,1.63,1.63,1.52,1.55,24487
19-Feb-13,1.97,2.07,1.31,1.60,140740
15-Feb-13,2.10,2.10,1.99,2.00,17522
14-Feb-13,2.14,2.14,2.05,2.13,2875
13-Feb-13,2.05,2.17,2.01,2.10,3252
12-Feb-13,2.04,2.06,2.03,2.06,2400
11-Feb-13,2.11,2.12,2.01,2.12,3178
8-Feb-13,2.10,2.17,2.00,2.17,3857
7-Feb-13,2.10,2.20,2.10,2.14,6923
6-Feb-13,2.00,2.14,1.99,2.11,6874
5-Feb-13,2.06,2.06,2.02,2.02,6541
4-Feb-13,2.10,2.11,2.05,2.07,10784
1-Feb-13,2.15,2.15,2.10,2.10,11775
31-Jan-13,2.12,2.15,2.10,2.12,10472
30-Jan-13,2.10,2.17,2.10,2.12,17010
29-Jan-13,2.12,2.17,2.11,2.12,9050
28-Jan-13,2.13,2.21,2.13,2.13,8426
25-Jan-13,2.13,2.19,2.12,2.13,1533
24-Jan-13,2.18,2.23,2.13,2.15,15334
23-Jan-13,2.22,2.23,2.12,2.23,14525
22-Jan-13,2.22,2.22,2.13,2.17,2414
18-Jan-13,2.15,2.19,2.13,2.18,9047
17-Jan-13,2.15,2.22,2.15,2.19,1116
16-Jan-13,2.18,2.18,2.10,2.18,4200
15-Jan-13,2.13,2.22,2.10,2.15,5167
14-Jan-13,2.20,2.20,2.18,2.20,2901
11-Jan-13,2.17,2.22,2.05,2.22,27945
10-Jan-13,2.17,2.25,2.17,2.20,16950
9-Jan-13,2.19,2.20,2.15,2.19,5885
8-Jan-13,2.15,2.23,2.13,2.17,42385
7-Jan-13,2.05,2.19,2.03,2.15,38974
4-Jan-13,2.15,2.15,1.96,2.10,18335
3-Jan-13,2.10,2.15,1.94,2.15,16786
2-Jan-13,2.11,2.12,1.95,2.07,18609
31-Dec-12,1.92,2.10,1.92,1.96,19493
28-Dec-12,1.93,1.98,1.92,1.96,7257
27-Dec-12,2.01,2.10,1.95,1.98,10067
26-Dec-12,2.13,2.16,2.00,2.11,10571
24-Dec-12,2.10,2.18,2.00,2.10,10009
21-Dec-12,2.05,2.13,2.01,2.13,38308
20-Dec-12,1.80,2.21,1.80,2.07,83143
19-Dec-12,1.71,1.84,1.71,1.80,15652
18-Dec-12,1.66,1.80,1.61,1.76,17617
17-Dec-12,1.60,1.71,1.60,1.71,21573
14-Dec-12,1.62,1.74,1.62,1.63,11791
13-Dec-12,1.67,1.71,1.67,1.67,2260
12-Dec-12,1.68,1.71,1.67,1.67,4257
11-Dec-12,1.77,1.77,1.68,1.68,11910
10-Dec-12,1.85,1.90,1.72,1.72,45154
7-Dec-12,1.80,1.83,1.76,1.82,18833
6-Dec-12,1.80,1.83,1.73,1.80,25268
5-Dec-12,1.70,1.95,1.69,1.84,39223
4-Dec-12,1.73,1.74,1.71,1.73,3598
3-Dec-12,1.75,1.75,1.65,1.74,8812
30-Nov-12,1.59,1.78,1.59,1.72,8466
29-Nov-12,1.69,1.69,1.63,1.63,6556
28-Nov-12,1.70,1.80,1.61,1.68,34005
27-Nov-12,1.34,2.20,1.30,1.80,116628
26-Nov-12,1.38,1.44,1.34,1.39,18878
23-Nov-12,1.37,1.50,1.37,1.41,8882
21-Nov-12,1.40,1.56,1.35,1.35,14259
20-Nov-12,1.40,1.40,1.37,1.39,6279
19-Nov-12,1.38,1.69,1.32,1.42,35680
16-Nov-12,1.36,1.44,1.36,1.40,1700
15-Nov-12,1.39,1.45,1.36,1.36,17337
14-Nov-12,1.40,1.46,1.40,1.40,5748
13-Nov-12,1.38,1.44,1.38,1.38,5900
12-Nov-12,1.38,1.45,1.38,1.41,4035
9-Nov-12,1.46,1.46,1.38,1.41,2732
8-Nov-12,1.56,1.58,1.41,1.41,36042
7-Nov-12,1.63,1.69,1.57,1.57,10643
6-Nov-12,1.72,1.72,1.64,1.67,19929
5-Nov-12,1.76,1.76,1.69,1.71,9316
2-Nov-12,1.66,1.76,1.65,1.72,7724
1-Nov-12,1.78,1.78,1.63,1.74,18005
31-Oct-12,1.71,1.81,1.71,1.75,6580
26-Oct-12,1.72,1.75,1.71,1.75,450
25-Oct-12,1.74,1.83,1.74,1.79,1909
24-Oct-12,1.74,1.79,1.71,1.75,7416
23-Oct-12,1.72,1.80,1.72,1.78,1258
22-Oct-12,1.76,1.80,1.75,1.75,10989
19-Oct-12,1.83,1.98,1.71,1.80,15431
18-Oct-12,1.87,1.92,1.83,1.90,3897
17-Oct-12,2.00,2.13,1.81,1.97,14127
16-Oct-12,1.81,2.11,1.81,2.00,10419
15-Oct-12,1.85,2.20,1.85,1.99,26180
12-Oct-12,1.87,1.90,1.84,1.87,4959
11-Oct-12,1.91,1.95,1.83,1.90,14158
10-Oct-12,1.96,2.10,1.90,1.91,11177
9-Oct-12,2.08,2.08,2.01,2.05,6661
8-Oct-12,2.16,2.16,2.08,2.12,4389
5-Oct-12,2.16,2.20,2.16,2.16,1566
4-Oct-12,2.17,2.21,2.16,2.17,6960
3-Oct-12,2.22,2.26,2.17,2.21,10213
2-Oct-12,2.30,2.30,2.21,2.27,14625
1-Oct-12,2.38,2.38,2.22,2.34,9664
28-Sep-12,2.27,2.41,2.21,2.36,10235
27-Sep-12,2.33,2.46,2.28,2.37,17330
26-Sep-12,2.30,2.53,2.27,2.38,9845
25-Sep-12,2.45,2.46,2.31,2.31,10716
24-Sep-12,2.52,2.57,2.35,2.47,10942
21-Sep-12,2.44,2.60,2.44,2.52,13571
20-Sep-12,2.22,2.43,2.19,2.43,12308
19-Sep-12,2.51,2.54,2.20,2.34,29087
18-Sep-12,2.59,2.70,2.59,2.60,500
17-Sep-12,2.68,2.68,2.53,2.68,5327
14-Sep-12,2.68,2.87,2.55,2.70,10160
13-Sep-12,2.60,2.89,2.60,2.61,14765
12-Sep-12,2.72,2.72,2.55,2.66,6148
11-Sep-12,2.91,2.91,2.71,2.72,23461
10-Sep-12,2.50,3.30,2.50,2.92,40036
7-Sep-12,2.60,2.60,2.43,2.53,13445
6-Sep-12,2.51,2.60,2.45,2.59,4395
5-Sep-12,2.69,2.70,2.50,2.54,20385
4-Sep-12,2.82,2.82,2.61,2.65,7019
31-Aug-12,3.34,3.34,2.70,2.70,50639
30-Aug-12,3.25,3.62,2.71,3.38,72070
29-Aug-12,2.25,3.43,2.25,3.24,66688
28-Aug-12,0.00,2.50,1.80,2.24,62493
27-Aug-12,0.00,2.76,2.58,2.58,1154
24-Aug-12,2.59,2.64,2.53,2.62,7663
23-Aug-12,2.76,2.76,2.59,2.59,3314
22-Aug-12,2.88,2.88,2.64,2.64,10003
21-Aug-12,2.76,2.88,2.76,2.76,3524
20-Aug-12,3.00,3.00,2.66,2.76,5464
17-Aug-12,3.00,3.00,2.65,2.88,3621
16-Aug-12,2.70,3.00,2.70,3.00,582
15-Aug-12,2.64,3.00,2.64,3.00,3439
14-Aug-12,3.00,3.00,2.64,2.88,1085
13-Aug-12,2.58,2.86,2.58,2.64,1743
10-Aug-12,2.56,2.76,2.56,2.58,1746
9-Aug-12,2.53,2.76,2.53,2.64,3584
8-Aug-12,2.70,2.76,2.54,2.54,5562
7-Aug-12,2.66,2.86,2.66,2.76,2883
6-Aug-12,3.12,3.12,2.40,2.82,25301
3-Aug-12,3.00,3.22,3.00,3.04,3407
2-Aug-12,3.10,3.12,3.00,3.00,828
1-Aug-12,3.07,3.12,3.00,3.10,2102
31-Jul-12,3.00,3.24,3.00,3.18,801
30-Jul-12,3.12,3.30,3.00,3.24,2014
27-Jul-12,3.12,3.35,3.00,3.00,4376
26-Jul-12,3.12,3.35,3.12,3.20,2694
25-Jul-12,3.12,3.22,3.04,3.12,2374
24-Jul-12,3.35,3.36,3.12,3.16,3674
23-Jul-12,3.07,3.35,3.06,3.06,3911
20-Jul-12,3.07,3.24,3.06,3.06,3047
19-Jul-12,3.07,3.24,3.06,3.24,723
18-Jul-12,3.24,3.35,3.05,3.06,2149
17-Jul-12,3.04,3.24,3.00,3.05,1027
16-Jul-12,3.00,3.46,3.00,3.12,461
13-Jul-12,3.13,3.47,3.00,3.00,1754
12-Jul-12,3.24,3.48,3.13,3.24,1352
11-Jul-12,3.26,3.48,3.24,3.24,2454
10-Jul-12,3.25,3.48,3.25,3.25,2524
9-Jul-12,3.59,3.59,3.25,3.26,217
6-Jul-12,3.24,3.52,3.24,3.52,597
5-Jul-12,3.24,3.54,3.12,3.54,3056
3-Jul-12,3.36,3.36,3.14,3.24,1068
2-Jul-12,3.36,3.59,3.36,3.58,479
29-Jun-12,3.06,3.60,3.06,3.57,6048
28-Jun-12,3.12,3.12,3.00,3.12,1803
27-Jun-12,3.12,3.24,3.01,3.24,4595
26-Jun-12,3.12,3.36,3.12,3.12,1832
25-Jun-12,3.24,3.36,2.98,3.12,3760
22-Jun-12,3.48,3.59,3.48,3.48,302
21-Jun-12,3.36,3.40,3.14,3.40,8551
20-Jun-12,3.48,3.83,3.48,3.61,2092
19-Jun-12,3.25,3.84,3.25,3.60,767
18-Jun-12,3.36,3.83,3.36,3.49,2317
15-Jun-12,3.24,3.83,3.24,3.60,5464
14-Jun-12,3.13,3.48,3.01,3.24,5756
13-Jun-12,3.24,3.48,3.24,3.48,2458
12-Jun-12,3.25,3.47,3.13,3.24,1335
11-Jun-12,3.48,3.48,3.25,3.42,1144
8-Jun-12,3.13,3.47,3.13,3.26,3430
7-Jun-12,3.48,3.48,3.00,3.29,7045
6-Jun-12,3.00,3.36,2.89,3.03,5607
5-Jun-12,3.24,3.24,2.82,2.88,3325
4-Jun-12,3.36,3.36,2.88,3.12,8693
1-Jun-12,3.12,3.36,3.12,3.36,2662
31-May-12,3.48,3.48,3.12,3.24,6545
30-May-12,3.00,3.47,3.00,3.36,289
29-May-12,3.48,3.48,3.00,3.13,6789
25-May-12,3.34,3.48,3.24,3.24,3559
24-May-12,3.24,3.48,3.24,3.25,5244
23-May-12,3.36,3.59,3.24,3.36,3427
22-May-12,3.48,3.60,3.30,3.36,3552
21-May-12,3.23,3.96,3.01,3.48,10556
18-May-12,3.96,4.20,2.40,3.24,18224
17-May-12,4.44,4.44,3.96,4.20,7120
16-May-12,4.70,4.90,4.32,4.32,7118
15-May-12,5.04,5.16,4.68,4.68,6648
