Date, Open, High, Low, Close, Volume
17-May-13,46.55,47.04,45.72,46.48,203466
16-May-13,46.70,47.16,46.22,46.48,234095
15-May-13,46.57,47.19,46.49,46.85,236702
14-May-13,45.05,46.94,44.83,46.75,321803
13-May-13,45.29,45.37,44.81,44.93,83840
10-May-13,45.15,45.29,44.93,45.25,99940
9-May-13,45.34,45.52,44.90,45.06,182624
8-May-13,45.61,45.78,44.88,45.35,271288
7-May-13,45.30,45.82,44.96,45.79,184876
6-May-13,44.57,45.27,44.41,45.13,148213
3-May-13,44.88,45.69,44.71,44.72,185633
2-May-13,43.70,44.76,43.70,44.62,256520
1-May-13,43.46,43.91,43.21,43.49,271403
30-Apr-13,43.30,43.88,43.30,43.63,122823
29-Apr-13,43.29,43.69,43.21,43.34,236053
26-Apr-13,43.60,43.96,42.95,43.19,223186
25-Apr-13,43.33,45.00,43.33,43.98,487843
24-Apr-13,43.80,43.85,42.23,43.67,352121
23-Apr-13,45.60,45.60,43.56,44.13,432671
22-Apr-13,45.22,45.62,45.11,45.32,149268
19-Apr-13,45.13,45.89,45.03,45.32,173981
18-Apr-13,45.04,45.60,44.42,45.11,163577
17-Apr-13,44.98,45.24,43.78,44.85,447407
16-Apr-13,46.08,46.26,45.07,45.30,419211
15-Apr-13,47.40,47.52,45.66,45.67,455109
12-Apr-13,49.69,49.69,47.95,48.15,174853
11-Apr-13,49.62,50.04,49.14,49.78,158744
10-Apr-13,49.05,49.88,48.95,49.63,230950
9-Apr-13,49.45,49.66,48.89,48.95,187974
8-Apr-13,48.94,49.62,48.86,49.27,190976
5-Apr-13,49.08,49.36,48.48,48.80,192879
4-Apr-13,49.88,49.96,49.53,49.69,110077
3-Apr-13,50.99,51.03,49.67,49.79,141538
2-Apr-13,51.68,51.98,50.58,50.82,171368
1-Apr-13,52.54,53.04,50.24,51.52,492222
28-Mar-13,52.39,52.70,51.55,52.47,172849
27-Mar-13,52.20,52.49,51.78,52.21,237487
26-Mar-13,52.19,52.76,52.06,52.55,285365
25-Mar-13,51.83,51.98,51.05,51.91,146902
22-Mar-13,51.10,51.68,50.90,51.60,120093
21-Mar-13,51.47,51.83,50.86,51.00,122092
20-Mar-13,51.95,52.32,51.52,51.70,114727
19-Mar-13,51.77,51.98,51.23,51.61,161977
18-Mar-13,51.40,51.94,51.22,51.58,112733
15-Mar-13,52.50,52.50,51.56,51.79,292950
14-Mar-13,52.53,53.18,52.32,52.60,243102
13-Mar-13,51.41,52.51,50.99,52.25,891402
12-Mar-13,52.43,53.09,52.37,52.40,259446
11-Mar-13,52.63,53.27,52.42,52.56,244100
8-Mar-13,53.35,54.12,52.85,52.94,292237
7-Mar-13,53.17,53.72,52.95,53.15,397769
6-Mar-13,52.76,53.27,52.61,53.25,197674
5-Mar-13,52.02,53.03,52.00,52.68,265993
4-Mar-13,51.80,52.12,51.53,51.92,397408
1-Mar-13,50.22,52.10,50.22,51.99,294114
28-Feb-13,50.43,51.09,50.06,50.64,231273
27-Feb-13,49.59,50.74,49.59,50.46,202098
26-Feb-13,50.58,50.61,49.43,49.63,379213
25-Feb-13,51.15,51.29,50.21,50.50,268983
22-Feb-13,51.20,51.53,50.66,50.88,376895
21-Feb-13,50.78,51.21,50.56,51.00,515125
20-Feb-13,51.21,51.54,50.72,50.75,447954
19-Feb-13,50.35,51.18,50.28,51.15,423427
15-Feb-13,50.48,50.84,50.21,50.47,290928
14-Feb-13,50.19,50.72,50.19,50.62,356846
13-Feb-13,49.44,50.19,49.28,50.18,278425
12-Feb-13,49.42,49.42,48.96,49.35,197671
11-Feb-13,49.28,49.42,49.04,49.42,259176
8-Feb-13,48.16,49.34,48.16,49.30,301913
7-Feb-13,47.75,48.17,47.29,48.17,437678
6-Feb-13,47.08,47.82,46.80,47.68,239962
5-Feb-13,47.73,47.76,47.09,47.26,301049
4-Feb-13,46.65,47.79,46.16,47.56,490487
1-Feb-13,48.15,49.05,48.01,48.85,196142
31-Jan-13,48.01,48.24,47.70,47.91,277584
30-Jan-13,48.09,48.36,48.05,48.21,238819
29-Jan-13,48.11,48.25,47.65,48.21,447978
28-Jan-13,48.27,48.30,47.99,48.19,477712
25-Jan-13,46.75,48.31,46.70,48.08,365181
24-Jan-13,45.22,47.24,44.53,46.56,1275888
23-Jan-13,43.00,43.53,42.72,43.16,327746
22-Jan-13,41.90,43.49,41.90,43.12,340505
18-Jan-13,41.77,41.93,41.57,41.76,115559
17-Jan-13,41.52,41.96,41.28,41.73,271721
16-Jan-13,41.38,41.80,41.06,41.44,118223
15-Jan-13,41.00,41.68,40.50,41.47,70351
14-Jan-13,41.47,41.47,40.87,41.27,95083
11-Jan-13,41.18,41.64,40.80,41.47,136571
10-Jan-13,41.61,41.99,40.62,41.08,140736
9-Jan-13,40.66,41.60,40.65,41.39,142886
8-Jan-13,40.74,40.86,39.55,40.43,247501
7-Jan-13,40.43,40.91,40.35,40.85,179008
4-Jan-13,40.41,40.90,40.16,40.66,154332
3-Jan-13,40.11,40.49,39.54,40.21,114249
2-Jan-13,40.24,40.49,39.72,40.15,157807
31-Dec-12,38.78,39.85,38.48,39.67,142804
28-Dec-12,38.86,39.20,38.63,38.85,84055
27-Dec-12,39.60,39.60,38.41,39.09,100485
26-Dec-12,39.79,39.97,39.36,39.49,162681
24-Dec-12,39.70,39.77,39.29,39.77,50912
21-Dec-12,39.27,39.93,38.72,39.92,613569
20-Dec-12,38.91,39.57,38.80,39.44,102743
19-Dec-12,39.38,39.44,38.79,38.91,215344
18-Dec-12,39.35,39.56,38.63,39.25,204311
17-Dec-12,38.50,39.39,38.41,39.28,213789
14-Dec-12,38.65,38.93,38.32,38.40,200944
13-Dec-12,39.07,39.54,38.68,38.82,63676
12-Dec-12,39.07,39.60,38.73,39.11,167226
11-Dec-12,38.37,39.08,38.01,39.05,189971
10-Dec-12,37.75,38.25,37.56,38.20,110724
7-Dec-12,37.91,37.97,37.52,37.82,63946
6-Dec-12,37.70,38.40,37.38,37.83,224500
5-Dec-12,37.27,38.05,36.71,37.80,246180
4-Dec-12,37.04,37.19,36.75,37.17,77905
3-Dec-12,37.51,37.51,36.80,36.98,156811
30-Nov-12,37.74,37.80,37.08,37.24,173333
29-Nov-12,37.03,37.80,36.46,37.69,200994
28-Nov-12,36.90,37.06,36.55,36.74,385752
27-Nov-12,37.00,37.48,36.88,37.06,98598
26-Nov-12,36.55,37.10,36.12,37.09,195365
23-Nov-12,36.58,36.86,36.48,36.59,65044
21-Nov-12,36.41,36.65,36.09,36.55,63442
20-Nov-12,36.17,36.40,35.63,36.34,156180
19-Nov-12,35.28,36.32,35.16,36.32,127144
16-Nov-12,34.40,35.01,34.21,34.92,275293
15-Nov-12,34.88,35.06,34.37,34.51,236923
14-Nov-12,35.49,35.70,34.79,34.84,136116
13-Nov-12,35.51,35.73,35.18,35.33,230833
12-Nov-12,35.97,36.67,35.61,35.74,127989
9-Nov-12,35.99,36.37,35.91,35.97,179987
8-Nov-12,37.37,37.38,36.01,36.05,255715
7-Nov-12,38.24,38.44,37.02,37.17,507839
6-Nov-12,38.47,38.96,38.34,38.92,152713
5-Nov-12,38.68,38.68,38.10,38.29,144269
2-Nov-12,39.24,39.24,38.27,38.81,242569
1-Nov-12,39.07,39.47,38.64,38.99,283205
31-Oct-12,38.92,39.32,38.30,39.09,233355
26-Oct-12,39.25,39.34,38.77,38.91,188043
25-Oct-12,37.58,40.92,37.21,39.38,593908
24-Oct-12,37.92,38.02,37.13,37.20,187016
23-Oct-12,37.60,38.03,37.55,37.90,72536
22-Oct-12,38.27,38.28,37.54,37.79,167619
19-Oct-12,38.50,38.62,38.00,38.28,206566
18-Oct-12,38.64,39.30,38.20,38.44,278160
17-Oct-12,38.73,38.74,37.97,38.64,220080
16-Oct-12,38.93,39.35,38.64,38.80,169205
15-Oct-12,39.03,39.25,38.70,38.84,105557
12-Oct-12,39.28,39.44,38.61,39.00,228320
11-Oct-12,38.98,39.73,38.98,39.35,150265
10-Oct-12,39.15,39.26,38.20,38.83,331873
9-Oct-12,38.70,39.46,38.52,39.15,294466
8-Oct-12,38.86,38.86,38.32,38.63,165653
5-Oct-12,39.59,40.22,38.90,38.94,267389
4-Oct-12,39.04,39.71,38.69,39.50,121795
3-Oct-12,39.00,39.19,38.41,38.87,240498
2-Oct-12,39.18,39.65,38.55,38.92,356599
1-Oct-12,38.81,39.25,38.42,38.99,218893
28-Sep-12,38.90,39.04,38.50,38.57,252374
27-Sep-12,37.44,39.24,37.44,39.15,368234
26-Sep-12,37.73,37.73,36.93,37.07,184403
25-Sep-12,38.35,38.57,37.38,37.49,284847
24-Sep-12,37.85,38.25,37.54,38.00,274173
21-Sep-12,38.62,38.71,37.72,37.85,660705
20-Sep-12,38.12,38.43,37.86,38.33,334453
19-Sep-12,38.93,39.23,37.79,38.29,577346
18-Sep-12,39.36,39.66,38.37,38.72,592465
17-Sep-12,40.96,41.10,40.02,40.29,330666
14-Sep-12,41.09,41.47,40.73,41.15,471544
13-Sep-12,41.11,41.56,40.58,40.84,617915
12-Sep-12,41.53,41.90,40.90,41.13,271739
11-Sep-12,40.30,41.56,39.88,41.43,665227
10-Sep-12,40.68,40.74,40.13,40.35,263889
7-Sep-12,39.09,40.87,38.99,40.73,278492
6-Sep-12,39.22,39.65,38.56,39.00,683232
5-Sep-12,39.54,39.63,39.09,39.46,250482
4-Sep-12,38.91,39.75,38.68,39.58,182544
31-Aug-12,39.47,39.47,38.63,38.82,210755
30-Aug-12,40.03,40.06,39.00,39.09,195261
29-Aug-12,39.77,40.41,39.68,40.11,296946
28-Aug-12,39.22,40.00,39.22,39.74,190819
27-Aug-12,39.64,39.95,39.03,39.22,159465
24-Aug-12,38.56,39.88,38.43,39.58,297615
23-Aug-12,38.97,39.31,38.50,38.56,312397
22-Aug-12,38.82,39.11,38.81,39.08,386417
21-Aug-12,39.00,39.08,38.67,38.97,421988
20-Aug-12,39.63,39.83,38.66,38.85,302284
17-Aug-12,39.79,40.06,38.94,39.82,220087
16-Aug-12,39.85,40.15,39.40,39.89,198925
15-Aug-12,39.17,40.39,38.98,39.81,308947
14-Aug-12,39.59,39.59,39.03,39.20,274935
13-Aug-12,38.81,39.58,38.50,39.49,273397
10-Aug-12,38.47,39.02,38.18,38.94,252384
9-Aug-12,38.68,38.86,38.12,38.49,259761
8-Aug-12,38.61,39.33,38.43,38.78,344344
7-Aug-12,37.92,38.85,37.70,38.67,276011
6-Aug-12,37.35,38.00,37.11,37.73,224071
3-Aug-12,37.64,37.89,37.31,37.50,433786
2-Aug-12,37.19,37.85,37.05,37.32,344100
1-Aug-12,38.16,39.10,37.24,37.25,500062
31-Jul-12,37.53,39.04,37.50,38.32,772781
30-Jul-12,36.73,38.09,36.73,37.49,971475
27-Jul-12,36.60,37.23,34.85,37.02,840208
26-Jul-12,42.00,42.00,35.99,36.69,2802916
25-Jul-12,44.63,45.13,44.32,45.12,1550853
24-Jul-12,44.52,44.55,43.64,44.28,206567
23-Jul-12,44.36,44.74,44.09,44.41,179000
20-Jul-12,45.19,45.39,44.65,44.96,169205
19-Jul-12,45.70,46.06,45.17,45.57,170332
18-Jul-12,45.12,45.60,45.01,45.48,132485
17-Jul-12,45.68,45.82,44.85,45.16,103481
16-Jul-12,44.56,45.59,44.29,45.39,287797
13-Jul-12,44.53,45.26,44.40,44.87,115442
12-Jul-12,44.58,44.94,43.51,44.31,235824
11-Jul-12,44.76,45.07,44.63,44.82,118480
10-Jul-12,45.64,45.66,44.74,44.81,144494
9-Jul-12,44.90,45.52,44.83,45.26,200757
6-Jul-12,44.96,45.45,44.81,45.02,131325
5-Jul-12,45.25,45.93,44.84,45.44,171994
3-Jul-12,44.12,45.37,44.09,45.36,104077
2-Jul-12,44.28,44.43,43.12,44.05,259202
29-Jun-12,43.71,44.11,43.31,44.04,167490
28-Jun-12,42.23,43.21,42.16,42.86,156183
27-Jun-12,41.96,42.56,41.86,42.31,179809
26-Jun-12,41.50,42.12,41.36,41.82,191864
25-Jun-12,42.00,42.07,41.14,41.50,116471
22-Jun-12,41.89,42.11,41.43,42.07,238852
21-Jun-12,42.48,43.07,41.47,41.60,186844
20-Jun-12,42.68,43.13,42.30,42.38,163381
19-Jun-12,41.74,42.83,41.74,42.59,174930
18-Jun-12,40.99,41.66,40.75,41.55,158404
15-Jun-12,41.07,41.35,40.52,41.15,574661
14-Jun-12,40.96,41.22,40.69,41.07,146260
13-Jun-12,41.85,42.39,40.70,40.97,145086
12-Jun-12,41.88,42.00,41.10,41.95,167206
11-Jun-12,42.54,43.11,41.58,41.65,193692
8-Jun-12,42.08,42.44,42.08,42.30,298440
7-Jun-12,43.77,43.92,41.96,42.17,265633
6-Jun-12,43.54,43.72,43.04,43.40,267347
5-Jun-12,42.63,43.75,42.45,43.46,188675
4-Jun-12,42.97,43.11,42.46,42.92,133735
1-Jun-12,41.82,44.26,40.35,42.89,359012
31-May-12,44.32,44.80,43.73,44.48,260575
30-May-12,44.19,44.41,43.94,44.11,194077
29-May-12,43.80,45.70,43.80,44.49,205391
25-May-12,43.71,43.71,43.02,43.31,153526
24-May-12,44.37,44.37,43.02,43.69,141766
23-May-12,42.76,43.36,41.65,43.29,427970
22-May-12,44.00,44.23,42.93,43.16,213760
21-May-12,43.19,43.91,42.90,43.90,216217
18-May-12,43.72,43.96,43.15,43.21,177765
17-May-12,44.49,44.78,43.69,43.70,198766
16-May-12,44.82,45.02,44.34,44.35,147253
15-May-12,44.95,45.17,44.59,44.67,132510
14-May-12,44.56,45.34,44.56,44.83,228384
11-May-12,44.68,45.13,44.61,45.08,193285
10-May-12,45.47,45.60,44.69,45.13,147636
9-May-12,45.33,45.56,44.85,45.02,194307
8-May-12,44.62,45.88,44.48,45.72,411878
7-May-12,44.94,45.28,44.51,44.92,458777
4-May-12,46.26,46.39,45.31,45.38,387393
3-May-12,46.66,46.97,46.41,46.60,350549
2-May-12,46.13,46.74,46.13,46.74,311991
1-May-12,46.68,47.09,46.28,46.35,369163
30-Apr-12,46.75,46.91,46.27,46.75,263699
27-Apr-12,46.31,47.11,46.25,46.81,332218
26-Apr-12,43.00,46.66,43.00,45.97,560246
25-Apr-12,42.48,43.02,42.48,42.88,418609
24-Apr-12,42.01,42.68,41.63,41.95,305726
23-Apr-12,41.98,42.25,41.63,41.90,268534
20-Apr-12,44.98,45.38,41.89,42.51,767933
19-Apr-12,45.07,45.21,44.53,44.87,245270
18-Apr-12,45.33,45.57,44.86,44.95,418582
17-Apr-12,44.99,45.85,44.77,45.50,167648
16-Apr-12,44.33,45.16,44.13,44.75,235812
13-Apr-12,44.23,44.61,44.11,44.11,164780
12-Apr-12,44.32,44.60,44.20,44.26,257119
11-Apr-12,44.89,44.89,44.13,44.39,234941
10-Apr-12,45.42,45.44,44.05,44.46,425007
9-Apr-12,45.07,45.89,45.00,45.67,229303
5-Apr-12,46.15,46.16,45.48,45.76,227422
4-Apr-12,46.74,46.98,45.96,46.25,198955
3-Apr-12,48.01,48.29,47.16,47.37,211582
2-Apr-12,47.82,48.69,47.75,48.18,269304
30-Mar-12,48.01,48.20,47.43,47.93,288280
29-Mar-12,48.20,48.39,47.54,47.91,182258
28-Mar-12,48.76,49.42,48.06,48.41,287834
27-Mar-12,48.93,49.12,47.96,48.81,279219
26-Mar-12,48.16,48.82,47.80,48.81,177717
23-Mar-12,46.68,47.45,46.56,47.38,157049
22-Mar-12,46.37,46.68,46.08,46.60,144922
21-Mar-12,46.77,46.99,46.42,46.71,164467
20-Mar-12,47.35,47.41,46.50,46.59,165727
19-Mar-12,47.05,48.39,47.05,47.75,153465
16-Mar-12,47.64,47.98,47.01,47.05,204839
15-Mar-12,47.69,47.69,47.01,47.53,248673
14-Mar-12,48.26,48.45,47.51,47.56,141398
13-Mar-12,47.95,48.36,47.18,48.31,233452
12-Mar-12,46.90,47.74,46.82,47.52,177577
