Date, Open, High, Low, Close, Volume
17-May-13,67.58,68.12,67.27,67.34,271602
16-May-13,67.63,67.92,67.22,67.40,351160
15-May-13,67.00,67.74,66.78,67.74,303094
14-May-13,66.18,67.11,66.09,67.10,110139
13-May-13,66.24,66.43,65.70,66.19,302095
10-May-13,66.00,66.54,65.89,66.52,108259
9-May-13,66.43,66.48,65.85,66.00,217748
8-May-13,66.53,66.90,66.21,66.59,213296
7-May-13,65.92,66.79,65.72,66.52,220495
6-May-13,65.36,66.02,65.25,65.80,282159
3-May-13,64.74,66.01,64.64,65.30,229765
2-May-13,63.59,64.52,63.59,64.26,222776
1-May-13,64.87,64.87,63.49,63.59,459835
30-Apr-13,64.37,64.89,63.81,64.87,302684
29-Apr-13,63.77,64.53,63.62,64.28,306187
26-Apr-13,63.91,64.17,63.40,63.56,307825
25-Apr-13,63.58,64.00,63.33,63.99,338846
24-Apr-13,65.49,65.50,61.03,63.52,1105450
23-Apr-13,64.65,65.55,64.15,65.53,267905
22-Apr-13,63.82,64.73,63.65,64.22,303839
19-Apr-13,63.46,64.07,62.77,63.82,389451
18-Apr-13,64.09,64.14,63.07,63.31,345650
17-Apr-13,64.24,64.39,63.46,64.00,411711
16-Apr-13,64.48,64.90,64.17,64.65,353461
15-Apr-13,66.59,66.75,63.83,63.98,300434
12-Apr-13,67.33,67.46,66.89,67.06,163266
11-Apr-13,67.44,67.94,67.20,67.47,341326
10-Apr-13,66.40,67.37,66.07,67.34,305758
9-Apr-13,66.55,66.63,65.88,66.09,301683
8-Apr-13,65.91,66.54,65.62,66.35,199038
5-Apr-13,65.52,66.06,64.68,65.98,269742
4-Apr-13,65.71,66.19,65.44,65.95,365183
3-Apr-13,67.15,67.26,65.21,65.76,633244
2-Apr-13,67.70,68.09,66.83,66.92,305612
1-Apr-13,67.56,67.95,67.21,67.46,306320
28-Mar-13,67.35,68.07,67.23,67.79,376041
27-Mar-13,67.06,67.54,66.73,67.17,290096
26-Mar-13,67.78,68.08,67.34,67.48,213572
25-Mar-13,68.31,68.47,67.18,67.52,331020
22-Mar-13,67.99,68.34,67.80,68.05,174358
21-Mar-13,67.76,68.14,67.37,67.77,297451
20-Mar-13,69.01,69.27,68.10,68.50,692432
19-Mar-13,70.05,70.27,68.19,69.39,498671
18-Mar-13,69.25,70.50,69.15,69.86,425250
15-Mar-13,69.70,70.00,69.14,69.51,564714
14-Mar-13,69.95,70.55,69.85,69.85,235116
13-Mar-13,69.31,69.71,69.15,69.62,97008
12-Mar-13,69.74,69.90,68.94,69.17,191071
11-Mar-13,69.44,70.00,69.36,69.74,207579
8-Mar-13,68.68,69.58,68.62,69.33,236689
7-Mar-13,68.29,68.73,68.09,68.21,161066
6-Mar-13,68.45,68.92,67.86,68.26,420534
5-Mar-13,68.17,69.38,68.11,68.20,316317
4-Mar-13,67.43,67.93,66.70,67.85,271959
1-Mar-13,67.43,67.80,66.32,67.72,446712
28-Feb-13,67.99,68.46,67.63,67.87,362743
27-Feb-13,66.41,68.28,66.41,68.00,188094
