Date, Open, High, Low, Close, Volume
17-May-13,7.33,7.38,7.33,7.36,31519
16-May-13,7.35,7.38,7.35,7.35,32501
15-May-13,7.39,7.40,7.33,7.38,58593
14-May-13,7.37,7.41,7.37,7.38,34593
13-May-13,7.45,7.45,7.38,7.38,73663
10-May-13,7.46,7.49,7.46,7.46,25586
9-May-13,7.44,7.44,7.41,7.44,34214
8-May-13,7.40,7.42,7.40,7.42,48565
7-May-13,7.40,7.44,7.39,7.41,44902
6-May-13,7.45,7.50,7.37,7.37,72465
3-May-13,7.48,7.55,7.47,7.49,20766
2-May-13,7.44,7.52,7.44,7.50,21389
1-May-13,7.43,7.49,7.43,7.46,36000
30-Apr-13,7.44,7.50,7.42,7.50,43084
29-Apr-13,7.44,7.46,7.40,7.46,49419
26-Apr-13,7.47,7.47,7.41,7.42,24150
25-Apr-13,7.39,7.45,7.39,7.45,64030
24-Apr-13,7.37,7.43,7.37,7.43,28015
23-Apr-13,7.37,7.43,7.36,7.41,37860
22-Apr-13,7.34,7.38,7.34,7.37,28914
19-Apr-13,7.34,7.38,7.34,7.36,43850
18-Apr-13,7.34,7.39,7.34,7.38,28298
17-Apr-13,7.35,7.37,7.33,7.37,47895
16-Apr-13,7.33,7.38,7.32,7.35,46136
15-Apr-13,7.35,7.38,7.34,7.34,36531
12-Apr-13,7.43,7.43,7.32,7.37,76534
11-Apr-13,7.42,7.44,7.41,7.43,36630
10-Apr-13,7.39,7.46,7.39,7.46,28514
9-Apr-13,7.38,7.42,7.37,7.42,26650
8-Apr-13,7.35,7.46,7.35,7.41,83825
5-Apr-13,7.32,7.37,7.32,7.37,20030
4-Apr-13,7.34,7.36,7.33,7.36,19374
3-Apr-13,7.38,7.38,7.31,7.34,49893
2-Apr-13,7.27,7.35,7.27,7.35,55583
1-Apr-13,7.25,7.30,7.24,7.30,64761
28-Mar-13,7.26,7.29,7.24,7.29,41231
27-Mar-13,7.22,7.32,7.22,7.32,55503
26-Mar-13,7.26,7.28,7.25,7.27,30718
25-Mar-13,7.32,7.32,7.26,7.26,20841
22-Mar-13,7.25,7.28,7.23,7.28,39066
21-Mar-13,7.17,7.27,7.17,7.27,70472
20-Mar-13,7.15,7.23,7.14,7.21,76034
19-Mar-13,7.10,7.16,7.10,7.16,43050
18-Mar-13,7.07,7.16,7.07,7.13,86556
15-Mar-13,7.15,7.19,7.13,7.16,50116
14-Mar-13,7.17,7.21,7.12,7.18,65546
13-Mar-13,7.17,7.21,7.17,7.21,48837
12-Mar-13,7.18,7.20,7.11,7.18,84059
11-Mar-13,7.20,7.25,7.20,7.24,24737
8-Mar-13,7.25,7.28,7.22,7.24,33259
7-Mar-13,7.27,7.29,7.26,7.27,39933
6-Mar-13,7.26,7.29,7.26,7.28,24474
5-Mar-13,7.24,7.30,7.24,7.26,35044
4-Mar-13,7.23,7.28,7.23,7.27,26418
1-Mar-13,7.25,7.28,7.20,7.26,51661
28-Feb-13,7.25,7.32,7.25,7.31,58906
27-Feb-13,7.25,7.27,7.25,7.25,70167
26-Feb-13,7.29,7.30,7.26,7.26,24025
25-Feb-13,7.31,7.31,7.29,7.30,31375
