Date, Open, High, Low, Close, Volume
17-May-13,10.96,10.99,10.90,10.95,367589
16-May-13,10.94,10.99,10.88,10.93,645101
15-May-13,10.89,10.97,10.85,10.94,624108
14-May-13,10.78,10.85,10.75,10.85,519664
13-May-13,10.76,10.78,10.72,10.78,361920
10-May-13,10.71,10.77,10.70,10.74,354642
9-May-13,10.70,10.75,10.66,10.69,418825
8-May-13,10.65,10.77,10.65,10.73,411482
7-May-13,10.64,10.70,10.64,10.70,767781
6-May-13,10.61,10.70,10.60,10.65,380857
3-May-13,10.66,10.70,10.60,10.66,453776
2-May-13,10.60,10.67,10.58,10.64,261398
1-May-13,10.55,10.64,10.52,10.59,259065
30-Apr-13,10.56,10.63,10.54,10.56,393650
29-Apr-13,10.61,10.61,10.57,10.59,267569
26-Apr-13,10.63,10.63,10.52,10.59,233775
25-Apr-13,10.57,10.68,10.55,10.63,409521
24-Apr-13,10.49,10.62,10.49,10.57,341943
23-Apr-13,10.46,10.51,10.37,10.50,534620
22-Apr-13,10.38,10.43,10.34,10.39,273526
19-Apr-13,10.39,10.40,10.32,10.40,292985
18-Apr-13,10.37,10.41,10.32,10.35,378404
17-Apr-13,10.37,10.43,10.32,10.40,312038
16-Apr-13,10.39,10.49,10.34,10.49,409489
15-Apr-13,10.50,10.63,10.30,10.30,579889
12-Apr-13,10.50,10.52,10.41,10.47,412431
11-Apr-13,10.44,10.54,10.42,10.51,407717
10-Apr-13,10.45,10.52,10.39,10.44,313895
9-Apr-13,10.45,10.46,10.30,10.40,409188
8-Apr-13,10.31,10.38,10.25,10.35,364324
5-Apr-13,10.34,10.43,10.30,10.42,309950
4-Apr-13,10.37,10.42,10.36,10.42,285174
3-Apr-13,10.54,10.54,10.34,10.39,442132
2-Apr-13,10.54,10.58,10.48,10.50,325870
1-Apr-13,10.63,10.65,10.50,10.54,229637
28-Mar-13,10.45,10.63,10.42,10.61,404630
27-Mar-13,10.40,10.53,10.40,10.43,383053
26-Mar-13,10.47,10.54,10.46,10.52,279594
25-Mar-13,10.55,10.62,10.42,10.51,353787
22-Mar-13,10.45,10.59,10.45,10.56,358292
21-Mar-13,10.39,10.47,10.39,10.45,324875
20-Mar-13,10.49,10.52,10.40,10.41,361877
27-Jun-12,9.52,9.54,9.43,9.46,337046
26-Jun-12,9.40,9.45,9.36,9.41,432287
15-Jun-12,9.21,9.34,9.16,9.17,770977
11-Jun-12,9.12,9.17,9.11,9.13,415116
