Date, Open, High, Low, Close, Volume
17-May-13,33.20,33.57,33.00,33.29,1977144
16-May-13,33.04,33.65,32.81,33.10,1392467
15-May-13,32.26,33.27,31.88,32.96,2727333
14-May-13,30.36,32.95,30.36,32.71,4037189
13-May-13,29.91,30.47,29.89,30.36,2576475
10-May-13,30.18,30.30,29.70,30.08,2819766
9-May-13,30.61,30.80,29.96,30.14,3595142
8-May-13,30.59,32.09,30.38,30.75,5726575
7-May-13,30.00,30.96,29.91,30.50,3446889
6-May-13,29.74,29.98,29.08,29.85,2337748
3-May-13,30.19,31.22,29.35,29.80,4035371
2-May-13,30.25,30.50,28.70,30.28,6357441
1-May-13,30.74,31.62,29.64,30.20,15094144
30-Apr-13,29.59,30.38,29.59,30.10,1792070
29-Apr-13,28.60,29.89,28.60,29.50,1940348
26-Apr-13,28.13,29.07,28.13,28.60,1192956
25-Apr-13,27.99,28.50,27.64,28.13,682604
24-Apr-13,28.29,28.50,27.85,27.90,1158079
23-Apr-13,28.75,28.78,27.85,28.44,1530139
22-Apr-13,29.80,29.80,28.10,28.64,911107
19-Apr-13,28.50,29.50,27.95,29.00,862734
18-Apr-13,28.72,28.72,27.75,28.35,1329610
17-Apr-13,28.00,29.90,27.01,28.49,908373
