Date, Open, High, Low, Close, Volume
17-May-13,134.12,138.00,134.12,135.46,8493
16-May-13,134.04,135.33,133.67,133.76,2392
15-May-13,136.00,137.00,134.00,134.66,5132
14-May-13,129.52,139.00,129.52,133.23,4809
13-May-13,126.38,130.06,126.38,127.45,3290
10-May-13,125.59,127.93,125.59,127.87,830
9-May-13,123.40,126.87,123.40,125.84,5183
8-May-13,123.61,124.73,123.00,123.79,3642
7-May-13,122.03,124.00,121.51,123.61,2473
6-May-13,116.06,122.80,116.06,122.55,42413
3-May-13,116.65,116.85,115.13,116.24,4823
2-May-13,115.20,115.68,115.00,115.41,10003
1-May-13,118.35,118.35,115.00,115.00,10265
30-Apr-13,115.99,117.69,115.99,117.69,5024
29-Apr-13,115.88,116.98,115.55,115.99,2469
26-Apr-13,115.58,116.55,115.00,115.71,5436
25-Apr-13,115.35,116.19,115.00,115.69,2630
24-Apr-13,115.75,117.41,115.39,115.90,3381
23-Apr-13,118.35,118.35,115.51,115.79,4023
22-Apr-13,114.19,116.93,114.19,116.58,1977
19-Apr-13,112.87,114.46,112.87,114.20,4449
18-Apr-13,113.70,113.77,112.67,113.52,2807
17-Apr-13,115.68,119.95,112.85,113.47,4792
16-Apr-13,115.13,117.13,115.13,117.00,2764
15-Apr-13,116.50,117.22,115.05,115.05,5868
12-Apr-13,116.37,116.60,115.74,116.60,5202
11-Apr-13,118.96,118.96,117.33,117.33,3642
10-Apr-13,117.30,118.60,117.30,118.60,3749
9-Apr-13,117.82,118.39,115.86,116.55,3768
8-Apr-13,116.18,118.25,115.50,118.25,5573
5-Apr-13,118.32,118.32,116.00,116.51,6537
4-Apr-13,120.51,121.81,118.59,120.35,2481
3-Apr-13,123.45,123.45,119.30,120.03,8375
2-Apr-13,116.55,121.04,116.55,121.00,5736
1-Apr-13,115.00,117.38,115.00,117.26,3373
28-Mar-13,115.75,116.67,115.00,115.00,9289
27-Mar-13,115.08,123.53,115.00,115.05,8652
26-Mar-13,117.00,117.51,115.76,116.50,3633
25-Mar-13,119.51,119.51,115.75,116.07,8169
22-Mar-13,119.25,119.74,118.50,118.57,5637
21-Mar-13,119.01,119.76,119.01,119.76,3178
20-Mar-13,119.72,121.14,119.56,120.46,4340
19-Mar-13,119.62,119.84,118.51,119.30,4406
18-Mar-13,119.32,119.32,118.44,118.44,1207
15-Mar-13,119.22,119.80,118.22,119.49,7602
14-Mar-13,120.00,120.00,117.60,118.97,2963
13-Mar-13,119.03,121.44,118.83,119.75,6166
12-Mar-13,121.91,122.05,119.80,120.25,5108
11-Mar-13,124.24,124.24,122.35,122.35,4428
8-Mar-13,124.46,124.49,123.59,123.75,4247
7-Mar-13,124.12,124.56,122.16,123.80,5233
6-Mar-13,124.50,124.50,122.15,123.74,1046
5-Mar-13,124.76,124.95,123.11,124.46,5842
4-Mar-13,125.47,131.52,123.50,124.35,10805
1-Mar-13,114.72,128.56,114.72,125.44,11588
28-Feb-13,114.00,116.47,114.00,115.84,6878
27-Feb-13,114.79,115.00,113.57,114.09,2762
26-Feb-13,114.01,115.00,114.00,114.31,1218
25-Feb-13,113.88,115.00,113.70,113.70,3723
22-Feb-13,113.00,114.55,112.75,114.55,4965
21-Feb-13,111.52,112.33,111.00,112.14,2868
20-Feb-13,111.82,112.82,110.50,111.15,7785
19-Feb-13,110.41,112.22,110.41,112.22,9072
15-Feb-13,110.00,111.00,109.33,110.91,10988
14-Feb-13,109.16,109.35,108.99,109.16,2976
13-Feb-13,109.49,109.76,108.50,109.76,6055
12-Feb-13,108.74,109.25,108.55,108.81,3276
11-Feb-13,108.93,108.93,108.00,108.10,6862
8-Feb-13,107.80,107.99,107.30,107.99,3715
7-Feb-13,108.51,108.51,106.60,106.60,3503
6-Feb-13,103.16,109.00,103.16,108.59,6863
5-Feb-13,107.50,108.20,107.31,108.10,1914
4-Feb-13,108.56,108.56,105.83,105.83,3572
1-Feb-13,107.60,108.70,107.23,108.70,6103
31-Jan-13,107.69,109.00,106.25,107.85,10909
30-Jan-13,108.34,108.62,106.71,107.51,9687
29-Jan-13,104.75,108.52,104.75,107.75,4811
28-Jan-13,102.20,106.00,102.20,105.11,9604
25-Jan-13,102.32,102.96,101.90,102.15,7768
24-Jan-13,103.61,103.61,102.75,102.87,6954
