Date, Open, High, Low, Close, Volume
17-May-13,37.92,37.95,37.42,37.67,5429
16-May-13,37.99,38.24,37.81,37.94,4360
15-May-13,37.78,38.03,37.65,37.81,2807
14-May-13,37.54,38.00,37.54,38.00,5888
13-May-13,36.75,37.70,36.35,37.29,15612
10-May-13,36.75,36.85,36.51,36.85,1844
9-May-13,36.96,36.96,36.51,36.72,3686
8-May-13,36.58,36.98,36.58,36.73,1165
7-May-13,36.75,36.97,36.50,36.80,2909
6-May-13,36.49,36.50,36.45,36.50,3518
3-May-13,35.95,36.45,35.88,36.25,5812
2-May-13,35.84,36.43,35.35,35.61,12462
1-May-13,37.00,37.00,35.50,35.67,13854
30-Apr-13,37.30,37.30,36.70,37.21,4011
29-Apr-13,37.50,37.70,37.08,37.42,2071
26-Apr-13,37.89,37.89,37.39,37.41,3762
25-Apr-13,37.59,38.00,37.59,37.91,2175
24-Apr-13,37.38,38.12,36.88,37.80,7638
23-Apr-13,36.35,37.13,36.35,37.13,3856
22-Apr-13,36.41,36.42,36.02,36.11,5768
19-Apr-13,36.25,36.74,36.00,36.66,3367
18-Apr-13,36.35,36.45,36.33,36.33,5898
17-Apr-13,36.59,37.00,35.86,36.35,8287
16-Apr-13,35.84,36.81,35.84,36.80,5764
15-Apr-13,38.00,38.26,36.08,36.08,12062
12-Apr-13,37.79,38.25,37.75,38.25,12077
11-Apr-13,38.75,38.75,37.87,38.00,6013
10-Apr-13,39.60,39.67,38.87,39.00,7357
9-Apr-13,40.01,40.02,39.53,39.55,4593
8-Apr-13,40.25,40.28,39.75,39.75,4845
5-Apr-13,40.05,40.25,39.75,40.25,19746
4-Apr-13,39.25,40.25,38.94,40.25,8988
3-Apr-13,39.03,39.29,38.75,39.00,7440
2-Apr-13,38.91,39.53,38.58,39.19,18676
1-Apr-13,39.29,39.29,38.29,38.68,12766
28-Mar-13,39.34,39.84,39.09,39.25,9270
27-Mar-13,39.20,39.25,39.15,39.17,2720
26-Mar-13,39.46,39.50,39.19,39.50,972
25-Mar-13,39.89,39.99,39.39,39.39,9127
22-Mar-13,38.60,39.86,38.60,39.86,20574
21-Mar-13,37.87,38.60,37.87,38.37,4528
20-Mar-13,37.84,38.10,37.52,37.93,14999
19-Mar-13,38.00,38.00,37.20,37.62,20503
18-Mar-13,37.60,38.00,37.60,37.81,16430
15-Mar-13,37.78,38.01,37.51,37.89,22606
14-Mar-13,37.47,37.82,37.38,37.82,4483
13-Mar-13,36.92,37.52,36.92,37.29,5475
12-Mar-13,36.47,36.85,36.23,36.72,8408
11-Mar-13,36.00,37.01,36.00,36.45,6212
8-Mar-13,36.25,36.25,35.89,36.09,4031
7-Mar-13,35.80,36.00,35.50,36.00,3370
6-Mar-13,34.90,35.60,34.66,35.60,5085
5-Mar-13,34.98,36.01,34.45,34.75,45130
4-Mar-13,34.35,34.99,34.35,34.94,7167
1-Mar-13,34.81,34.81,34.22,34.70,5734
28-Feb-13,34.79,35.14,34.05,34.05,11606
27-Feb-13,34.21,34.62,34.21,34.62,2075
26-Feb-13,34.80,34.80,34.45,34.45,2638
25-Feb-13,35.48,35.48,34.63,34.63,2844
22-Feb-13,35.49,35.74,34.99,35.38,9258
21-Feb-13,35.05,35.30,35.05,35.29,2347
20-Feb-13,36.13,36.13,35.30,35.30,9230
19-Feb-13,36.01,36.33,36.01,36.33,3999
15-Feb-13,36.50,36.56,36.11,36.20,9068
14-Feb-13,35.89,36.12,35.40,36.00,2908
13-Feb-13,35.55,35.65,35.55,35.65,1032
12-Feb-13,35.37,35.60,35.37,35.60,674
11-Feb-13,35.59,35.59,35.35,35.45,584
8-Feb-13,35.69,35.69,35.69,35.69,1156
7-Feb-13,35.76,35.76,35.31,35.64,4059
6-Feb-13,36.48,36.48,36.00,36.01,882
5-Feb-13,36.70,36.70,36.26,36.56,3746
4-Feb-13,37.40,37.45,36.22,36.39,6315
1-Feb-13,36.22,37.16,36.22,37.16,3956
31-Jan-13,36.46,36.46,35.76,35.99,7243
30-Jan-13,37.00,37.11,36.39,36.49,13212
29-Jan-13,36.11,37.10,35.84,36.96,5481
28-Jan-13,35.83,36.56,35.83,36.06,15032
25-Jan-13,35.34,36.00,35.34,36.00,3149
24-Jan-13,34.95,35.30,34.80,35.30,2878
23-Jan-13,34.86,35.21,34.55,34.95,40689
22-Jan-13,34.35,35.25,34.15,35.00,8738
18-Jan-13,34.57,34.70,34.05,34.44,3909
17-Jan-13,33.70,34.98,33.70,34.71,7140
16-Jan-13,33.40,33.86,33.34,33.34,1835
15-Jan-13,33.20,33.54,33.04,33.54,1843
14-Jan-13,34.60,34.76,33.53,33.74,4297
11-Jan-13,35.07,35.09,34.51,34.78,1791
10-Jan-13,34.61,35.34,34.29,34.95,16119
9-Jan-13,33.39,34.69,33.20,34.64,7424
8-Jan-13,32.52,33.41,32.46,33.40,26641
7-Jan-13,32.50,32.69,32.50,32.50,1625
4-Jan-13,32.24,32.50,32.14,32.50,8261
3-Jan-13,32.05,32.45,32.02,32.02,4175
2-Jan-13,31.50,32.50,31.16,32.38,17299
31-Dec-12,30.60,31.35,30.25,31.01,12953
28-Dec-12,30.46,30.90,30.46,30.53,1987
27-Dec-12,30.81,30.81,30.33,30.53,1853
26-Dec-12,31.30,31.30,30.83,30.83,3900
24-Dec-12,31.47,31.51,31.14,31.14,1801
21-Dec-12,31.86,32.16,31.72,31.84,17148
20-Dec-12,31.95,32.20,31.24,31.98,5826
19-Dec-12,32.20,32.25,31.85,32.12,5885
18-Dec-12,31.76,32.25,31.70,32.25,3981
17-Dec-12,30.39,31.44,30.39,31.44,2990
14-Dec-12,29.59,30.22,29.59,30.22,13459
13-Dec-12,29.45,29.60,29.23,29.59,1400
12-Dec-12,30.33,30.33,29.69,29.75,3184
11-Dec-12,29.36,30.42,29.36,30.42,6520
10-Dec-12,29.73,29.73,29.03,29.26,2761
7-Dec-12,30.13,30.13,28.98,29.85,4648
6-Dec-12,29.91,30.00,29.89,30.00,2838
5-Dec-12,30.45,30.45,29.75,30.00,4800
4-Dec-12,30.82,31.03,30.25,30.25,6105
3-Dec-12,31.62,31.79,30.05,30.82,8290
30-Nov-12,32.32,32.32,31.62,31.62,5579
29-Nov-12,32.00,32.33,31.95,32.33,2817
28-Nov-12,31.32,32.00,31.09,31.72,4497
27-Nov-12,30.84,31.54,30.84,31.30,4984
26-Nov-12,30.63,31.14,30.53,31.14,6532
23-Nov-12,30.61,30.83,30.26,30.83,1684
21-Nov-12,30.37,30.70,30.37,30.63,1996
20-Nov-12,30.68,30.71,30.45,30.51,1812
19-Nov-12,30.35,30.70,30.16,30.57,3302
16-Nov-12,30.56,30.84,29.87,30.07,13218
15-Nov-12,31.64,31.64,30.60,30.85,3478
14-Nov-12,32.44,32.44,31.60,31.60,2517
13-Nov-12,31.94,32.29,31.64,32.29,10942
12-Nov-12,32.07,32.40,31.92,32.00,12310
9-Nov-12,31.74,32.29,31.74,32.24,2733
8-Nov-12,31.92,32.06,31.83,31.96,19065
7-Nov-12,32.00,32.25,31.75,31.92,21787
