Date, Open, High, Low, Close, Volume
17-May-13,2.18,2.26,2.14,2.26,586792
16-May-13,2.20,2.24,2.17,2.18,508158
15-May-13,2.25,2.25,2.18,2.23,433178
14-May-13,2.28,2.34,2.20,2.25,604033
13-May-13,2.35,2.38,2.26,2.28,290483
10-May-13,2.23,2.35,2.22,2.35,375902
9-May-13,2.37,2.37,2.05,2.26,2262366
8-May-13,2.36,2.43,2.29,2.40,1089703
7-May-13,2.19,2.40,2.18,2.36,1057271
6-May-13,2.13,2.18,2.13,2.18,154641
3-May-13,2.18,2.21,2.12,2.13,543506
2-May-13,2.02,2.15,2.00,2.14,377344
1-May-13,2.14,2.15,1.98,2.00,734149
30-Apr-13,2.15,2.20,2.04,2.04,1263586
29-Apr-13,2.17,2.18,2.12,2.16,613360
26-Apr-13,2.09,2.19,2.08,2.17,374074
25-Apr-13,1.99,2.10,1.98,2.09,302586
24-Apr-13,2.03,2.04,1.98,1.99,318623
23-Apr-13,2.01,2.05,2.00,2.04,382027
22-Apr-13,2.05,2.05,1.99,2.01,653459
19-Apr-13,2.07,2.10,2.00,2.04,222961
18-Apr-13,2.02,2.12,2.02,2.08,820900
17-Apr-13,2.02,2.13,1.99,2.02,451682
16-Apr-13,2.01,2.04,1.98,2.02,353889
15-Apr-13,2.10,2.12,2.00,2.01,385347
12-Apr-13,2.12,2.18,2.06,2.11,350026
11-Apr-13,2.04,2.14,2.04,2.13,390047
10-Apr-13,2.04,2.07,2.03,2.05,415208
9-Apr-13,2.06,2.06,2.03,2.05,311754
8-Apr-13,2.06,2.07,2.04,2.05,1112961
5-Apr-13,1.98,2.06,1.98,2.05,1167265
4-Apr-13,2.02,2.04,1.99,2.04,776348
3-Apr-13,2.06,2.06,2.00,2.03,391226
2-Apr-13,2.08,2.10,2.03,2.05,301398
1-Apr-13,2.13,2.13,2.03,2.07,548538
28-Mar-13,2.04,2.15,2.00,2.15,374121
27-Mar-13,1.95,2.02,1.85,2.02,1468403
26-Mar-13,2.05,2.05,1.95,1.98,394250
25-Mar-13,2.05,2.05,1.96,2.02,339848
