Date, Open, High, Low, Close, Volume
17-May-13,3.90,3.90,3.84,3.90,70345
16-May-13,3.87,3.93,3.85,3.90,63576
15-May-13,3.81,3.92,3.81,3.92,124819
14-May-13,3.79,3.89,3.79,3.85,117977
13-May-13,3.79,3.82,3.79,3.80,101552
10-May-13,3.75,3.79,3.64,3.79,42194
9-May-13,3.69,3.76,3.69,3.74,105016
8-May-13,3.70,3.74,3.63,3.72,66389
7-May-13,3.71,3.76,3.66,3.72,62565
6-May-13,3.66,3.75,3.66,3.71,56309
3-May-13,3.66,3.82,3.66,3.70,114373
2-May-13,3.55,3.68,3.51,3.66,76132
1-May-13,3.52,3.59,3.52,3.56,101041
30-Apr-13,3.51,3.65,3.51,3.57,131213
29-Apr-13,3.56,3.63,3.42,3.49,60239
26-Apr-13,3.50,3.60,3.35,3.53,117343
25-Apr-13,3.41,3.55,3.41,3.49,75461
24-Apr-13,3.38,3.47,3.35,3.40,63689
23-Apr-13,3.41,3.49,3.26,3.40,62833
22-Apr-13,3.36,3.48,3.24,3.42,80047
19-Apr-13,3.37,3.44,3.33,3.38,63243
18-Apr-13,3.24,3.50,3.24,3.38,55849
17-Apr-13,3.26,3.30,3.15,3.26,59956
16-Apr-13,3.45,3.45,3.19,3.26,76449
15-Apr-13,3.64,3.64,3.36,3.45,55663
12-Apr-13,3.69,3.96,3.59,3.64,215871
11-Apr-13,3.28,3.70,3.28,3.68,193186
10-Apr-13,3.10,3.34,3.08,3.30,188663
9-Apr-13,3.16,3.16,3.05,3.07,98936
8-Apr-13,3.00,3.16,3.00,3.14,148270
5-Apr-13,3.04,3.19,2.97,3.02,403933
4-Apr-13,3.06,3.10,3.00,3.06,68218
3-Apr-13,3.09,3.14,3.02,3.07,74097
2-Apr-13,3.04,3.14,3.02,3.05,91433
1-Apr-13,3.14,3.18,3.00,3.09,128622
28-Mar-13,3.13,3.17,3.03,3.16,105048
27-Mar-13,3.07,3.14,3.05,3.13,46010
26-Mar-13,3.10,3.14,3.08,3.12,92384
25-Mar-13,3.22,3.22,3.04,3.12,287252
22-Mar-13,3.13,3.27,3.10,3.23,150503
21-Mar-13,3.10,3.20,3.08,3.18,99960
20-Mar-13,3.20,3.25,3.03,3.16,313299
19-Mar-13,3.38,3.40,3.19,3.22,155006
18-Mar-13,3.40,3.47,3.25,3.41,211089
15-Mar-13,3.49,3.49,3.34,3.40,243340
14-Mar-13,3.25,3.84,3.24,3.49,568133
13-Mar-13,3.20,3.25,3.08,3.21,281537
12-Mar-13,3.30,3.30,3.20,3.22,64618
11-Mar-13,3.36,3.40,3.20,3.30,97627
8-Mar-13,3.22,3.43,3.22,3.33,146249
7-Mar-13,3.25,3.28,3.17,3.22,137567
6-Mar-13,3.49,3.52,3.15,3.22,338174
5-Mar-13,3.50,3.56,3.49,3.52,71785
4-Mar-13,3.56,3.65,3.52,3.53,54824
1-Mar-13,3.54,3.65,3.54,3.61,166309
28-Feb-13,3.53,3.68,3.53,3.59,141935
27-Feb-13,3.52,3.60,3.50,3.58,95221
26-Feb-13,3.48,3.58,3.48,3.55,192190
25-Feb-13,3.60,3.60,3.47,3.51,136806
22-Feb-13,3.60,3.64,3.50,3.56,165895
21-Feb-13,3.68,3.70,3.55,3.60,243542
20-Feb-13,3.85,3.88,3.68,3.72,138101
19-Feb-13,3.79,3.99,3.75,3.88,130233
15-Feb-13,3.96,4.06,3.78,3.80,172343
14-Feb-13,3.91,3.97,3.88,3.97,94027
13-Feb-13,4.01,4.01,3.84,3.91,136300
12-Feb-13,3.83,4.00,3.82,4.00,118664
11-Feb-13,3.79,3.96,3.79,3.86,218052
8-Feb-13,3.77,3.83,3.74,3.81,215773
7-Feb-13,3.80,3.83,3.73,3.80,195293
6-Feb-13,3.64,3.82,3.64,3.81,258779
5-Feb-13,3.67,3.72,3.65,3.70,156207
