Date, Open, High, Low, Close, Volume
17-May-13,9.98,9.99,9.97,9.99,3998
16-May-13,10.03,10.05,9.96,9.97,15425
15-May-13,9.99,10.04,9.99,10.00,20781
14-May-13,10.00,10.03,9.98,10.03,15128
13-May-13,10.13,10.13,10.00,10.03,9443
10-May-13,10.10,10.15,10.08,10.08,10793
9-May-13,10.09,10.18,10.08,10.12,20123
8-May-13,10.21,10.21,10.08,10.13,12634
7-May-13,10.13,10.18,10.10,10.17,9155
6-May-13,10.14,10.20,10.13,10.13,6609
3-May-13,10.25,10.25,10.14,10.16,24475
2-May-13,10.21,10.22,10.15,10.22,10095
1-May-13,10.15,10.17,10.10,10.17,11388
30-Apr-13,10.21,10.21,10.07,10.10,23479
29-Apr-13,10.17,10.18,10.14,10.16,4090
26-Apr-13,10.10,10.18,10.10,10.13,31536
25-Apr-13,10.17,10.17,10.06,10.11,13563
24-Apr-13,10.15,10.15,10.10,10.11,12724
23-Apr-13,10.17,10.20,10.15,10.18,7123
22-Apr-13,10.14,10.16,10.08,10.10,12486
19-Apr-13,10.06,10.14,10.06,10.10,13507
18-Apr-13,10.14,10.15,10.06,10.07,27072
17-Apr-13,10.17,10.17,10.14,10.15,9294
16-Apr-13,10.20,10.20,10.02,10.11,21141
15-Apr-13,10.19,10.22,10.17,10.18,21386
12-Apr-13,10.19,10.21,10.17,10.21,9505
11-Apr-13,10.12,10.17,10.11,10.15,14659
10-Apr-13,10.07,10.17,10.07,10.15,34572
9-Apr-13,10.12,10.19,10.11,10.12,10919
8-Apr-13,10.25,10.25,10.16,10.17,7852
5-Apr-13,10.11,10.20,10.11,10.20,19261
4-Apr-13,10.03,10.12,10.03,10.10,34981
3-Apr-13,9.93,10.07,9.93,10.07,37274
2-Apr-13,10.13,10.13,10.00,10.02,58200
1-Apr-13,10.12,10.23,10.03,10.05,70420
28-Mar-13,10.34,10.34,10.09,10.19,54606
27-Mar-13,10.16,10.32,10.10,10.31,65992
26-Mar-13,10.05,10.10,10.03,10.10,12280
25-Mar-13,10.02,10.12,9.99,10.12,23080
22-Mar-13,10.02,10.08,10.02,10.07,13113
21-Mar-13,10.05,10.16,10.04,10.08,29897
20-Mar-13,10.02,10.14,10.02,10.14,15451
19-Mar-13,9.94,10.08,9.94,10.06,33571
18-Mar-13,9.76,10.06,9.76,10.06,38681
15-Mar-13,9.88,9.97,9.76,9.87,71794
14-Mar-13,10.09,10.11,9.90,9.98,93837
13-Mar-13,10.16,10.23,10.12,10.15,46159
12-Mar-13,10.14,10.24,10.12,10.22,49598
11-Mar-13,10.18,10.28,10.16,10.20,50459
8-Mar-13,10.27,10.33,10.21,10.24,23441
7-Mar-13,10.33,10.34,10.29,10.33,25665
6-Mar-13,10.34,10.38,10.29,10.38,36883
5-Mar-13,10.38,10.39,10.37,10.37,20697
4-Mar-13,10.43,10.44,10.38,10.38,21494
1-Mar-13,10.40,10.49,9.67,10.46,52319
28-Feb-13,10.42,10.47,10.39,10.39,40304
27-Feb-13,10.37,10.45,10.37,10.45,29968
26-Feb-13,10.39,10.42,10.38,10.40,21941
25-Feb-13,10.42,10.47,10.42,10.45,13795
22-Feb-13,10.43,10.45,10.43,10.45,5032
21-Feb-13,10.40,10.49,10.40,10.46,13324
20-Feb-13,10.41,10.44,10.40,10.44,15814
19-Feb-13,10.40,10.46,10.40,10.44,17483
15-Feb-13,10.52,10.55,10.43,10.43,34633
14-Feb-13,10.53,10.55,10.51,10.55,7836
13-Feb-13,10.58,10.61,10.58,10.59,14437
12-Feb-13,10.59,10.63,10.59,10.63,11857
11-Feb-13,10.61,10.66,10.61,10.63,13557
8-Feb-13,10.62,10.69,10.62,10.63,19344
7-Feb-13,10.64,10.70,10.64,10.67,7471
6-Feb-13,10.61,10.67,10.61,10.67,7418
5-Feb-13,10.60,10.67,10.60,10.63,13264
4-Feb-13,10.68,10.70,10.63,10.63,23102
1-Feb-13,10.68,10.69,10.63,10.67,15269
31-Jan-13,10.66,10.66,10.55,10.65,40650
30-Jan-13,10.50,10.64,10.50,10.60,46289
29-Jan-13,10.60,10.72,10.56,10.61,40314
28-Jan-13,10.80,10.80,10.65,10.67,22388
25-Jan-13,10.85,10.85,10.71,10.77,31313
24-Jan-13,10.80,10.86,10.80,10.86,24731
23-Jan-13,10.83,10.86,10.78,10.86,30722
22-Jan-13,10.85,10.86,10.78,10.86,26341
18-Jan-13,10.77,10.84,10.76,10.84,13620
17-Jan-13,10.75,10.81,10.75,10.80,28688
16-Jan-13,10.68,10.80,10.64,10.75,20623
15-Jan-13,10.74,10.76,10.67,10.73,46640
14-Jan-13,10.73,10.78,10.73,10.73,14357
11-Jan-13,10.73,10.76,10.73,10.73,19346
10-Jan-13,10.77,10.77,10.72,10.72,23451
9-Jan-13,10.75,10.83,10.74,10.76,30689
8-Jan-13,10.72,10.81,10.70,10.75,31924
7-Jan-13,10.71,10.77,10.70,10.75,26628
