Date, Open, High, Low, Close, Volume
17-May-13,0.07,0.08,0.06,0.08,185389
16-May-13,0.07,0.08,0.07,0.08,71283
15-May-13,0.08,0.08,0.06,0.06,213617
14-May-13,0.07,0.08,0.07,0.08,106985
13-May-13,0.07,0.07,0.07,0.07,74960
10-May-13,0.07,0.07,0.07,0.07,39519
9-May-13,0.07,0.07,0.06,0.06,14188
8-May-13,0.07,0.08,0.06,0.07,133297
7-May-13,0.07,0.08,0.07,0.07,209709
6-May-13,0.07,0.07,0.06,0.07,263100
3-May-13,0.06,0.07,0.06,0.07,29574
2-May-13,0.06,0.06,0.06,0.06,116497
1-May-13,0.07,0.07,0.05,0.05,191201
30-Apr-13,0.06,0.06,0.05,0.06,182604
29-Apr-13,0.06,0.07,0.05,0.05,147782
26-Apr-13,0.06,0.07,0.05,0.05,131847
25-Apr-13,0.06,0.07,0.06,0.06,70215
24-Apr-13,0.08,0.08,0.06,0.06,125166
23-Apr-13,0.08,0.08,0.07,0.07,199623
22-Apr-13,0.06,0.08,0.06,0.07,907559
19-Apr-13,0.06,0.06,0.05,0.06,238265
18-Apr-13,0.06,0.06,0.06,0.06,123264
17-Apr-13,0.05,0.06,0.05,0.05,197444
16-Apr-13,0.07,0.07,0.05,0.05,255550
15-Apr-13,0.06,0.06,0.06,0.06,104010
12-Apr-13,0.06,0.06,0.06,0.06,173305
11-Apr-13,0.06,0.06,0.05,0.06,222521
10-Apr-13,0.05,0.07,0.05,0.06,1214068
9-Apr-13,0.08,0.08,0.05,0.05,973516
8-Apr-13,0.08,0.09,0.08,0.09,50371
5-Apr-13,0.09,0.09,0.08,0.08,56175
4-Apr-13,0.09,0.10,0.08,0.08,26050
3-Apr-13,0.08,0.09,0.08,0.09,61506
2-Apr-13,0.10,0.10,0.08,0.09,900895
1-Apr-13,0.10,0.10,0.09,0.10,209200
28-Mar-13,0.10,0.10,0.10,0.10,488561
27-Mar-13,0.10,0.10,0.10,0.10,36400
26-Mar-13,0.11,0.11,0.10,0.10,169204
25-Mar-13,0.10,0.10,0.10,0.10,144615
22-Mar-13,0.10,0.11,0.10,0.10,135384
21-Mar-13,0.10,0.11,0.10,0.10,107958
20-Mar-13,0.11,0.11,0.10,0.11,138900
19-Mar-13,0.10,0.11,0.10,0.11,86793
18-Mar-13,0.11,0.11,0.10,0.11,40046
15-Mar-13,0.10,0.11,0.10,0.11,87821
14-Mar-13,0.10,0.10,0.10,0.10,412338
13-Mar-13,0.10,0.11,0.10,0.10,100070
12-Mar-13,0.10,0.11,0.10,0.10,80250
11-Mar-13,0.11,0.11,0.10,0.11,92934
8-Mar-13,0.11,0.12,0.10,0.11,257133
7-Mar-13,0.11,0.12,0.10,0.11,131401
6-Mar-13,0.12,0.12,0.10,0.11,77979
5-Mar-13,0.11,0.12,0.11,0.12,40394
4-Mar-13,0.12,0.12,0.10,0.11,326322
1-Mar-13,0.13,0.13,0.12,0.12,16288
28-Feb-13,0.13,0.13,0.12,0.12,169314
27-Feb-13,0.12,0.13,0.12,0.12,195593
