Date, Open, High, Low, Close, Volume
17-May-13,109.46,110.65,109.33,110.59,204657
16-May-13,109.64,110.39,108.97,109.15,118780
15-May-13,108.59,110.12,108.59,110.03,200679
14-May-13,109.01,109.28,108.60,108.99,118913
13-May-13,109.78,109.78,108.68,108.92,84424
10-May-13,108.81,109.93,108.37,109.80,224954
9-May-13,107.71,108.78,107.45,107.66,135531
8-May-13,108.22,108.85,107.38,107.92,239976
7-May-13,108.08,108.50,107.48,108.36,171274
6-May-13,108.28,108.43,107.31,107.36,190331
3-May-13,108.10,109.15,108.01,108.83,366668
2-May-13,104.87,107.24,104.75,106.83,648061
1-May-13,104.60,105.00,103.91,104.31,324165
30-Apr-13,104.45,105.02,103.96,104.76,144107
29-Apr-13,104.33,105.40,104.29,104.69,228316
26-Apr-13,103.54,104.40,103.05,103.73,328952
25-Apr-13,104.46,105.43,104.21,104.29,281519
24-Apr-13,102.21,103.32,102.21,103.02,259515
23-Apr-13,101.62,102.54,101.03,101.88,216538
22-Apr-13,100.37,100.90,99.50,100.53,392757
19-Apr-13,101.25,101.84,100.21,100.86,674552
18-Apr-13,100.87,101.39,100.11,100.37,695330
17-Apr-13,101.00,101.49,97.25,98.27,846685
16-Apr-13,96.16,97.12,95.75,96.46,452441
15-Apr-13,97.35,97.47,94.92,95.23,339190
12-Apr-13,97.84,98.47,97.12,98.13,323021
11-Apr-13,98.05,99.44,97.99,98.37,447645
10-Apr-13,96.24,98.38,96.24,97.69,345998
9-Apr-13,96.00,96.35,95.41,95.83,415032
8-Apr-13,95.09,95.89,94.44,95.83,1152472
5-Apr-13,93.33,94.92,93.02,94.80,230281
4-Apr-13,93.98,94.29,92.99,94.24,303932
3-Apr-13,95.44,95.68,93.96,94.35,721069
2-Apr-13,95.07,95.73,94.12,94.92,299778
1-Apr-13,96.22,96.68,94.94,95.26,507921
28-Mar-13,94.71,96.32,94.71,96.15,525335
27-Mar-13,93.78,94.44,92.85,94.40,487043
26-Mar-13,96.02,96.49,94.31,95.19,370011
25-Mar-13,97.14,97.96,96.62,97.24,209182
22-Mar-13,97.25,97.72,96.46,97.00,822471
21-Mar-13,97.55,98.56,97.55,97.58,683357
20-Mar-13,98.12,98.76,97.98,98.50,723053
19-Mar-13,98.11,98.45,96.75,97.74,224744
18-Mar-13,97.62,98.76,97.47,97.93,223585
15-Mar-13,100.31,100.45,97.93,99.06,466066
14-Mar-13,98.46,100.13,98.46,100.10,176317
13-Mar-13,97.43,98.42,97.15,97.56,148835
12-Mar-13,97.88,98.24,96.95,97.39,215290
11-Mar-13,96.65,98.33,96.65,97.74,140233
8-Mar-13,98.66,98.66,97.00,97.26,174038
7-Mar-13,99.59,99.86,98.36,98.50,160943
6-Mar-13,100.50,101.22,99.66,99.69,207647
5-Mar-13,98.97,100.78,98.83,99.92,450966
4-Mar-13,98.07,99.37,97.71,98.61,172545
1-Mar-13,97.66,99.62,97.13,99.43,617464
28-Feb-13,99.48,99.74,98.87,98.88,158394
27-Feb-13,98.77,99.73,98.38,99.68,149492
26-Feb-13,97.81,99.73,97.75,99.37,354520
25-Feb-13,100.38,100.82,96.99,97.04,193633
22-Feb-13,97.78,99.57,97.78,99.42,158853
21-Feb-13,99.06,99.06,97.82,98.23,214379
