Date, Open, High, Low, Close, Volume
17-May-13,8.21,8.28,8.14,8.17,3271617
16-May-13,8.22,8.31,8.14,8.16,4229138
15-May-13,8.20,8.29,8.16,8.26,4428608
14-May-13,8.18,8.27,8.16,8.20,3056016
13-May-13,8.20,8.21,8.13,8.17,2730247
10-May-13,8.20,8.27,8.17,8.18,2945738
9-May-13,8.30,8.33,8.17,8.17,4108327
8-May-13,8.28,8.38,8.22,8.27,5752068
7-May-13,8.27,8.33,8.23,8.30,4956543
6-May-13,8.03,8.32,8.01,8.26,6343208
3-May-13,7.81,8.06,7.81,8.01,3212895
2-May-13,7.69,7.82,7.69,7.81,2060400
1-May-13,7.78,7.83,7.64,7.67,2735506
30-Apr-13,7.74,7.83,7.69,7.83,5189607
29-Apr-13,7.64,7.76,7.62,7.72,3132670
26-Apr-13,7.64,7.72,7.61,7.64,2582065
25-Apr-13,7.63,7.69,7.53,7.67,2511957
24-Apr-13,7.57,7.67,7.57,7.64,1675000
23-Apr-13,7.56,7.61,7.50,7.58,3226792
22-Apr-13,7.62,7.62,7.46,7.51,2562349
19-Apr-13,7.44,7.61,7.41,7.59,3156735
18-Apr-13,7.43,7.48,7.36,7.45,5816579
17-Apr-13,7.42,7.47,7.28,7.40,5174845
16-Apr-13,7.45,7.51,7.40,7.49,5304856
15-Apr-13,7.40,7.51,7.29,7.32,5757803
12-Apr-13,7.32,7.45,7.32,7.44,3864198
11-Apr-13,7.26,7.38,7.22,7.32,5228336
10-Apr-13,7.21,7.30,7.19,7.24,13067703
9-Apr-13,7.33,7.35,7.22,7.22,6565241
8-Apr-13,7.30,7.37,7.24,7.34,3724038
5-Apr-13,7.15,7.33,7.15,7.28,4075265
4-Apr-13,7.20,7.31,7.18,7.23,4291617
3-Apr-13,7.25,7.25,7.17,7.19,5872287
2-Apr-13,7.36,7.42,7.29,7.30,7174062
1-Apr-13,7.37,7.40,7.29,7.34,4207182
28-Mar-13,7.42,7.44,7.33,7.40,3457510
27-Mar-13,7.35,7.40,7.29,7.39,2280132
26-Mar-13,7.39,7.41,7.36,7.40,1080247
25-Mar-13,7.36,7.42,7.31,7.36,2311371
22-Mar-13,7.30,7.35,7.26,7.35,1508549
21-Mar-13,7.31,7.34,7.26,7.28,1928563
20-Mar-13,7.27,7.34,7.23,7.33,2647325
19-Mar-13,7.33,7.33,7.20,7.26,10893389
18-Mar-13,7.36,7.41,7.28,7.32,3241119
15-Mar-13,7.37,7.42,7.33,7.42,4496506
14-Mar-13,7.36,7.44,7.33,7.39,1922957
13-Mar-13,7.32,7.40,7.29,7.31,3773770
12-Mar-13,7.40,7.40,7.26,7.29,2936829
11-Mar-13,7.35,7.41,7.32,7.38,2487018
8-Mar-13,7.40,7.40,7.29,7.38,2762623
7-Mar-13,7.42,7.45,7.32,7.34,2452684
6-Mar-13,7.46,7.48,7.37,7.43,2167525
5-Mar-13,7.37,7.47,7.30,7.45,3793917
4-Mar-13,7.25,7.37,7.24,7.35,4355859
1-Mar-13,7.21,7.28,7.18,7.25,3560285
28-Feb-13,7.26,7.32,7.23,7.26,7868616
27-Feb-13,7.15,7.33,7.15,7.26,7683450
26-Feb-13,7.11,7.19,7.07,7.18,5052000
25-Feb-13,7.25,7.25,7.07,7.08,4566660
22-Feb-13,7.12,7.28,7.12,7.20,7557899
21-Feb-13,7.19,7.21,7.02,7.07,6858695
20-Feb-13,7.33,7.37,7.17,7.20,5695156
19-Feb-13,7.31,7.38,7.30,7.34,3054141
15-Feb-13,7.26,7.33,7.24,7.32,6088449
14-Feb-13,7.15,7.25,7.15,7.25,3881049
13-Feb-13,7.22,7.23,7.16,7.18,3082470
12-Feb-13,7.16,7.19,7.12,7.19,5091916
11-Feb-13,7.15,7.20,7.10,7.11,5125011
8-Feb-13,7.11,7.18,7.06,7.13,7102574
7-Feb-13,7.11,7.16,7.05,7.06,5702741
6-Feb-13,7.11,7.18,7.11,7.13,3396768
5-Feb-13,7.18,7.22,7.12,7.14,2819672
4-Feb-13,7.11,7.16,7.04,7.13,5315137
1-Feb-13,7.06,7.20,7.04,7.14,5226702
31-Jan-13,7.02,7.09,6.94,7.06,6499733
30-Jan-13,7.08,7.12,6.99,7.02,7628888
29-Jan-13,7.10,7.20,7.08,7.11,7771385
28-Jan-13,7.03,7.14,7.02,7.12,8042449
25-Jan-13,6.93,7.10,6.88,7.04,6455081
24-Jan-13,6.89,6.94,6.87,6.90,3103457
23-Jan-13,6.96,6.96,6.85,6.86,5335595
22-Jan-13,6.96,6.97,6.89,6.96,3953726
18-Jan-13,6.87,6.95,6.85,6.95,5698513
17-Jan-13,6.82,6.94,6.77,6.89,4952024
16-Jan-13,6.72,6.82,6.71,6.81,2810022
15-Jan-13,6.72,6.77,6.69,6.77,3428275
14-Jan-13,6.70,6.74,6.68,6.73,3250845
11-Jan-13,6.66,6.70,6.62,6.70,4413949
10-Jan-13,6.64,6.66,6.56,6.65,9727888
9-Jan-13,6.58,6.66,6.51,6.63,4607133
8-Jan-13,6.58,6.60,6.49,6.55,4994735
7-Jan-13,6.58,6.62,6.55,6.60,1622916
4-Jan-13,6.55,6.62,6.51,6.61,7404003
3-Jan-13,6.60,6.63,6.48,6.52,8318986
2-Jan-13,6.63,6.63,6.51,6.56,4488160
31-Dec-12,6.43,6.50,6.38,6.49,3488073
28-Dec-12,6.43,6.47,6.40,6.44,2553924
27-Dec-12,6.45,6.49,6.39,6.47,2405198
26-Dec-12,6.45,6.52,6.40,6.46,2426110
24-Dec-12,6.47,6.53,6.42,6.52,1102635
21-Dec-12,6.46,6.54,6.41,6.50,5460444
20-Dec-12,6.40,6.54,6.39,6.53,7338984
19-Dec-12,6.43,6.47,6.36,6.40,4071550
18-Dec-12,6.33,6.44,6.33,6.43,9930266
17-Dec-12,6.36,6.40,6.31,6.38,4076927
14-Dec-12,6.32,6.38,6.26,6.36,7176683
13-Dec-12,6.31,6.33,6.24,6.30,5485614
12-Dec-12,6.35,6.35,6.24,6.32,6287534
11-Dec-12,6.35,6.40,6.31,6.35,4047794
10-Dec-12,6.35,6.39,6.31,6.35,11917372
7-Dec-12,6.28,6.35,6.22,6.32,6606765
6-Dec-12,6.23,6.30,6.17,6.24,8560881
5-Dec-12,6.34,6.35,6.19,6.21,3996011
